Date,Open,High,Low,Close,Volume,Adj Close
2010-12-09,27.25,28.110001,26.99,27.92,10609700,26.601763
2010-12-10,27.4,27.719999,27.059999,27.41,1206800,26.115842
2010-12-13,27.5,27.719999,27.0,27.4,473200,26.106314
2010-12-14,27.700001,27.969999,27.02,27.309999,358200,26.020563
2010-12-15,27.200001,27.700001,27.190001,27.450001,242200,26.153954
2010-12-16,27.6,27.65,27.209999,27.65,260000,26.34451
2010-12-17,27.549999,28.059999,27.5,28.059999,69800,26.735152
2010-12-20,28.1,28.42,27.84,28.139999,65900,26.811375
2010-12-21,28.17,29.040001,28.01,28.91,210200,27.54502
2010-12-22,29.0,30.52,28.959999,29.450001,103000,28.059525
2010-12-23,29.68,29.68,28.889999,29.1,66100,27.72605
2010-12-27,29.15,29.360001,28.870001,28.98,29800,27.611714
2010-12-28,28.99,29.129999,28.809999,29.049999,90200,27.678409
2010-12-29,29.25,29.25,28.84,29.08,85300,27.706993
2010-12-30,29.23,29.950001,28.610001,28.959999,149800,27.592658
2010-12-31,29.0,29.120001,28.83,29.120001,68800,27.745106
