Date,Open,High,Low,Close,Volume,Adj Close
2007-08-02,14.0,17.1,13.63,16.75,18495200,14.679229
2007-08-03,16.299999,17.0,15.25,15.75,1704500,13.802857
2007-08-06,15.8,16.190001,15.28,16.18,852900,14.179697
2007-08-07,16.030001,17.0,15.98,17.0,694200,14.898322
2007-08-08,17.01,17.440001,16.15,16.5,1256900,14.460136
2007-08-09,16.49,16.49,16.02,16.07,593500,14.083296
2007-08-10,15.82,16.299999,15.15,15.69,1423800,13.750274
2007-08-13,15.74,15.95,15.36,15.45,287700,13.539945
2007-08-14,15.15,15.5,14.6,14.88,355400,13.040413
2007-08-15,14.78,15.0,14.5,14.84,215700,13.005359
2007-08-16,14.62,14.75,14.2,14.27,416800,12.505827
2007-08-17,14.97,15.35,13.01,14.0,1555200,12.269206
2007-08-20,14.0,14.97,13.95,14.52,468700,12.72492
2007-08-21,14.65,14.91,13.92,14.62,234500,12.812557
2007-08-22,14.85,15.7,14.7,15.64,174700,13.706456
2007-08-23,15.56,16.639999,15.45,16.360001,1508200,14.337444
2007-08-24,16.809999,16.93,16.0,16.93,811400,14.836976
2007-08-27,16.68,16.68,15.74,16.530001,109800,14.486427
2007-08-28,16.73,16.73,15.75,16.25,178200,14.241043
2007-08-29,16.15,16.25,15.7,16.25,193700,14.241043
2007-08-30,16.25,16.85,16.0,16.35,491300,14.32868
2007-08-31,16.5,16.68,16.280001,16.52,164300,14.477664
2007-09-04,16.51,16.75,15.95,16.01,136200,14.030714
2007-09-05,16.0,16.0,15.4,15.52,103000,13.601292
2007-09-06,15.42,15.53,14.87,15.36,150500,13.461071
2007-09-07,15.25,15.28,14.58,14.69,245000,12.873902
2007-09-10,14.48,14.84,14.37,14.58,380300,12.777502
2007-09-11,14.65,15.0,14.5,14.61,235600,12.803793
2007-09-12,14.55,15.23,14.53,14.95,409300,13.101759
2007-09-13,14.94,14.94,14.35,14.75,441500,12.926485
2007-09-14,14.4,14.75,14.38,14.56,64800,12.759975
2007-09-17,14.45,14.68,14.26,14.39,30000,12.610991
2007-09-18,14.39,15.44,14.31,14.57,105900,12.768738
2007-09-19,14.5,15.4,14.42,14.75,890300,12.926485
2007-09-20,14.65,14.74,14.41,14.43,79300,12.646046
2007-09-21,14.43,14.61,13.84,14.07,461700,12.330552
2007-09-24,14.22,14.22,13.75,13.91,288200,12.190332
2007-09-25,13.83,14.05,13.37,13.7,493700,12.006294
2007-09-26,13.8,15.33,13.75,14.43,736200,12.646046
2007-09-27,14.6,16.68,14.57,15.98,929400,14.004422
2007-09-28,15.76,17.040001,15.7,16.950001,1309500,14.854504
2007-10-01,16.75,18.870001,16.440001,17.68,1208000,15.494255
2007-10-02,17.83,17.83,17.15,17.549999,490200,15.380325
2007-10-03,17.67,17.959999,17.299999,17.32,397600,15.17876
2007-10-04,17.34,17.450001,16.889999,17.389999,85400,15.240106
2007-10-05,16.49,17.389999,15.76,16.860001,331000,14.77563
2007-10-08,16.75,16.870001,16.379999,16.42,133100,14.390026
2007-10-09,16.74,16.790001,15.54,15.8,320400,13.846676
2007-10-10,15.88,16.049999,15.83,16.030001,250300,14.048242
2007-10-11,16.25,16.690001,15.6,15.85,231900,13.890494
2007-10-12,15.78,16.969999,15.77,16.42,267100,14.390026
2007-10-15,16.25,16.27,15.86,15.95,69200,13.978131
2007-10-16,15.85,16.02,15.69,15.76,94400,13.811621
2007-10-17,15.9,16.309999,15.9,16.15,271700,14.153405
2007-10-18,16.049999,16.4,15.77,16.040001,211600,14.057005
2007-10-19,16.139999,16.389999,15.77,15.96,102200,13.986895
2007-10-22,15.83,15.99,15.55,15.74,137500,13.794093
2007-10-23,15.76,15.81,15.58,15.75,67100,13.802857
2007-10-24,15.6,15.7,15.09,15.22,120500,13.33838
2007-10-25,15.35,15.65,15.05,15.22,111400,13.33838
2007-10-26,15.3,16.32,15.3,16.309999,473500,14.293625
2007-10-29,16.4,16.950001,16.299999,16.57,956300,14.521481
2007-10-30,16.41,16.5,16.190001,16.209999,37400,14.205987
2007-10-31,16.299999,16.299999,15.45,16.0,274800,14.02195
2007-11-01,15.96,16.049999,15.43,15.54,194700,13.618819
2007-11-02,15.52,15.52,14.76,15.06,135500,13.198161
2007-11-05,14.85,15.51,14.43,15.51,181000,13.592528
2007-11-06,15.58,15.58,14.6,14.82,139800,12.987831
2007-11-07,14.66,15.08,14.66,14.75,201300,12.926485
2007-11-08,15.02,15.02,14.5,14.85,183300,13.014122
2007-11-09,14.7,15.28,14.61,14.65,175700,12.838847
2007-11-12,14.71,14.73,13.97,14.06,140600,12.321789
2007-11-13,14.5,16.08,14.5,15.5,346000,13.583764
2007-11-14,15.92,16.08,15.02,15.31,226500,13.417254
2007-11-15,15.13,15.5,14.93,14.97,162900,13.119287
2007-11-16,14.86,14.92,14.44,14.63,118000,12.82132
2007-11-19,14.4,14.83,14.08,14.68,139000,12.865139
2007-11-20,14.89,16.0,14.83,15.45,129900,13.539945
2007-11-21,15.5,15.7,15.14,15.53,135700,13.610055
2007-11-23,15.15,15.43,15.08,15.15,64100,13.277033
2007-11-26,15.25,15.32,14.51,14.61,89600,12.803793
2007-11-27,14.54,15.33,13.88,14.77,321600,12.944013
2007-11-28,14.83,15.0,14.09,14.09,147100,12.34808
2007-11-29,14.0,14.56,14.0,14.39,95600,12.610991
2007-11-30,14.71,14.71,14.22,14.3,119300,12.532118
2007-12-03,14.47,15.05,14.29,15.04,169400,13.180633
2007-12-04,14.93,14.93,13.89,13.94,183500,12.216623
2007-12-05,14.25,14.38,14.01,14.16,129700,12.409425
2007-12-06,14.16,14.2,13.87,13.97,41200,12.242915
2007-12-07,14.0,14.32,13.95,14.31,354600,12.540882
2007-12-10,14.31,14.31,13.91,14.14,176700,12.391898
2007-12-11,14.02,14.12,13.9,14.12,124800,12.374371
2007-12-12,14.1,14.2,13.22,13.37,196700,11.717092
2007-12-13,13.11,14.05,13.11,14.05,229300,12.313025
2007-12-14,13.85,14.38,13.6,14.32,283100,12.549645
2007-12-17,13.86,14.45,13.61,14.05,233200,12.313025
2007-12-18,14.28,14.28,13.73,14.05,60700,12.313025
2007-12-19,14.0,14.5,13.9,14.26,57800,12.497063
2007-12-20,14.49,15.65,14.27,14.98,158900,13.12805
2007-12-21,15.19,15.65,14.99,15.56,112300,13.636347
2007-12-24,15.4,16.0,15.4,15.96,21800,13.986895
2007-12-26,15.76,15.84,15.51,15.64,62400,13.706456
2007-12-27,15.55,15.72,15.3,15.3,59500,13.40849
2007-12-28,15.47,15.66,14.93,15.3,74400,13.40849
2007-12-31,15.42,15.42,15.07,15.23,48400,13.347143
2008-01-02,15.04,15.38,14.54,15.32,266200,13.426017
2008-01-03,15.25,15.25,14.91,15.15,107600,13.277033
2008-01-04,15.27,15.27,14.33,14.6,27600,12.795029
2008-01-07,14.7,14.7,13.65,13.74,230300,12.041349
2008-01-08,13.74,13.74,13.4,13.4,77500,11.743383
2008-01-09,13.35,13.47,13.2,13.4,83300,11.743383
2008-01-10,13.15,13.76,13.04,13.47,71600,11.804729
2008-01-11,13.5,13.52,13.01,13.07,308600,11.45418
2008-01-14,13.33,13.33,12.11,12.66,454600,11.094868
2008-01-15,12.5,12.92,12.16,12.23,170900,10.718027
2008-01-16,12.1,12.15,11.51,11.65,176700,10.209732
2008-01-17,11.51,13.45,10.77,12.64,1094800,11.077341
2008-01-18,12.63,12.63,11.86,12.51,236300,10.963412
2008-01-22,12.01,12.72,11.73,12.56,71100,11.007231
2008-01-23,12.34,12.53,12.1,12.1,138600,10.6041
2008-01-24,12.34,12.34,11.51,12.02,121100,10.53399
2008-01-25,12.1,12.21,11.57,11.65,256400,10.209732
