Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,13.32,13.590001,13.26,13.349999,17600,4.45
2006-01-04,12.99999,14.49999,12.99999,13.68,136200,4.56
2006-01-05,13.19001,14.37,13.19001,13.549981,10800,4.51666
2006-01-06,13.95,14.13,13.80999,13.95,24200,4.65
2006-01-09,14.219999,14.419981,13.95,14.419981,21000,4.80666
2006-01-10,14.439991,14.49,14.31,14.35002,10400,4.78334
2006-01-11,14.49999,14.830019,14.25,14.460001,15200,4.82
2006-01-12,14.73,14.73,14.43,14.47998,35400,4.82666
2006-01-13,14.49,14.49,14.45001,14.45001,8000,4.81667
2006-01-17,14.400001,14.49999,14.04999,14.04999,21000,4.68333
2006-01-18,13.52001,13.76001,13.5,13.76001,47400,4.58667
2006-01-19,13.98,14.00001,13.72998,14.00001,8000,4.66667
2006-01-20,13.5,13.509991,13.39998,13.5,15200,4.5
2006-01-23,13.26,13.74999,13.13001,13.74999,18600,4.58333
2006-01-24,14.00001,14.00001,13.64001,13.72998,10800,4.57666
2006-01-25,13.74,13.84002,13.74,13.78002,1400,4.59334
2006-01-26,13.60002,13.78002,13.60002,13.78002,4200,4.59334
2006-01-27,13.90002,14.35002,13.52001,14.25,38000,4.75
2006-01-30,14.49,14.49999,13.609981,13.609981,10200,4.53666
2006-01-31,14.439991,14.439991,14.13,14.299981,18200,4.76666
2006-02-01,14.400001,14.45001,14.25,14.25,13200,4.75
2006-02-02,13.47999,14.53998,13.29999,14.01,7800,4.67
2006-02-03,14.41002,14.55,14.240009,14.25,10200,4.75
2006-02-06,14.53998,14.53998,14.04999,14.280001,11000,4.76
2006-02-07,14.280001,14.280001,14.280001,14.280001,0,4.76
2006-02-08,14.59998,14.59998,14.00001,14.02002,6200,4.67334
2006-02-09,14.04999,14.04999,13.569991,13.90002,5600,4.63334
2006-02-10,13.72002,14.08998,13.72002,14.08998,600,4.69666
2006-02-13,14.00001,14.02998,14.00001,14.02998,600,4.67666
2006-02-14,14.07,14.59998,14.07,14.240009,2000,4.74667
2006-02-15,14.25,14.25,14.219999,14.25,27800,4.75
2006-02-16,14.47002,14.49999,14.00001,14.25,283200,4.75
2006-02-17,14.47002,14.59998,14.14998,14.35002,48000,4.78334
2006-02-21,14.45001,14.49999,14.439991,14.49999,16800,4.83333
2006-02-22,14.49999,14.59998,14.29002,14.59998,8600,4.86666
2006-02-23,14.69001,16.27002,14.69001,15.99999,258000,5.33333
2006-02-24,16.32,16.450019,15.45,16.09998,32600,5.36666
2006-02-27,16.27002,16.27002,16.02,16.05,21000,5.35
2006-02-28,16.2,16.2,15.780001,15.99,27200,5.33
2006-03-01,16.2,16.2,15.99,16.09998,37200,5.36666
2006-03-02,16.03998,16.11,16.03998,16.09998,82800,5.36666
2006-03-03,16.05,16.09998,15.97002,15.97002,32400,5.32334
2006-03-06,15.99999,15.99999,15.620009,15.93,54200,5.31
2006-03-07,15.99999,16.09002,15.819991,16.02,59600,5.34
2006-03-08,16.88001,17.49,16.39998,17.25,132600,5.75
2006-03-09,17.49999,17.51001,17.13,17.29002,44000,5.76334
2006-03-10,17.53002,17.53002,17.35002,17.35002,29600,5.78334
2006-03-13,17.59998,17.59998,17.319991,17.33001,21000,5.77667
2006-03-14,17.55,17.55,17.299981,17.299981,33200,5.76666
2006-03-15,17.53998,17.53998,17.259991,17.299981,3800,5.76666
2006-03-16,17.53998,17.53998,17.25,17.299981,6800,5.76666
2006-03-17,17.31,17.31,16.05999,16.27998,41400,5.42666
2006-03-20,16.5,16.5,15.50001,16.14,78000,5.38
2006-03-21,16.33998,16.509991,16.32,16.33998,128400,5.44666
2006-03-22,16.409999,16.409999,16.03002,16.17999,14000,5.39333
2006-03-23,15.960001,16.39998,15.960001,16.39998,21000,5.46666
2006-03-24,16.39998,16.39998,16.09002,16.09002,12200,5.36334
