Date,Open,High,Low,Close,Volume,Adj Close
2013-06-12,23.08,28.469999,23.02,28.469999,5500200,28.469999
2013-06-13,28.6,28.75,26.0,26.1,2160900,26.1
2013-06-14,26.76,27.549999,26.200001,26.59,1159500,26.59
2013-06-17,27.25,27.790001,26.57,26.690001,715300,26.690001
2013-06-18,26.85,27.16,25.610001,25.870001,777500,25.870001
2013-06-19,25.870001,26.469999,25.66,26.26,476400,26.26
2013-06-20,25.6,26.35,25.209999,26.040001,410700,26.040001
2013-06-21,25.809999,26.290001,25.799999,26.1,304100,26.1
2013-06-24,25.280001,25.870001,25.15,25.700001,271300,25.700001
2013-06-25,25.98,26.16,25.85,25.959999,115800,25.959999
2013-06-26,26.309999,27.16,26.1,27.07,323600,27.07
2013-06-27,27.24,27.889999,27.18,27.790001,309600,27.790001
2013-06-28,27.49,28.0,27.049999,27.559999,192900,27.559999
2013-07-01,27.6,27.68,26.4,26.690001,259000,26.690001
2013-07-02,27.139999,27.139999,26.4,26.799999,137500,26.799999
2013-07-03,26.82,27.370001,26.74,27.200001,111900,27.200001
2013-07-05,27.41,30.82,27.33,30.82,590800,30.82
2013-07-08,29.32,31.469999,28.85,30.219999,790800,30.219999
2013-07-09,30.35,30.59,29.549999,30.58,249700,30.58
2013-07-10,30.58,32.400002,30.5,32.200001,357600,32.200001
2013-07-11,32.970001,32.990002,31.799999,32.290001,201400,32.290001
2013-07-12,32.509998,32.91,32.080002,32.799999,112800,32.799999
2013-07-15,32.650002,32.77,30.5,31.450001,291000,31.450001
2013-07-16,31.5,31.51,29.049999,29.49,426900,29.49
2013-07-17,29.559999,30.4,28.9,29.33,314300,29.33
2013-07-18,29.5,30.08,28.879999,29.18,168700,29.18
2013-07-19,29.1,29.58,28.5,28.5,185600,28.5
2013-07-22,28.17,29.27,27.35,28.0,937100,28.0
2013-07-23,28.280001,28.74,28.030001,28.34,145900,28.34
2013-07-24,28.690001,28.75,27.82,27.99,123200,27.99
2013-07-25,27.93,28.52,27.51,28.07,172000,28.07
2013-07-26,28.360001,30.360001,28.34,30.200001,275200,30.200001
2013-07-29,30.700001,31.92,30.299999,31.620001,61200,31.620001
2013-07-30,33.09,34.990002,32.5,34.919998,1003500,34.919998
2013-07-31,36.25,36.849998,35.09,35.759998,551900,35.759998
2013-08-01,36.0,36.439999,33.689999,34.830002,436600,34.830002
2013-08-02,34.950001,36.59,34.5,36.240002,242800,36.240002
2013-08-05,36.669998,37.740002,36.23,36.950001,217900,36.950001
2013-08-06,37.25,37.540001,36.700001,36.799999,164500,36.799999
2013-08-07,36.700001,36.779999,34.299999,34.439999,276100,34.439999
2013-08-08,34.759998,35.529999,34.75,34.93,109200,34.93
2013-08-09,35.0,35.66,35.0,35.150002,92100,35.150002
2013-08-12,35.130001,35.200001,34.0,34.540001,155700,34.540001
2013-08-13,34.5,36.110001,34.299999,35.299999,136700,35.299999
2013-08-14,35.419998,36.490002,35.419998,36.330002,206500,36.330002
2013-08-15,35.990002,37.939999,34.700001,37.18,248100,37.18
2013-08-16,37.240002,37.279999,36.66,37.040001,112600,37.040001
2013-08-19,37.0,37.0,36.130001,36.549999,118500,36.549999
2013-08-20,36.529999,36.900002,36.240002,36.630001,96900,36.630001
2013-08-21,36.490002,36.77,36.25,36.639999,284500,36.639999
2013-08-22,36.669998,37.139999,36.009998,36.279999,72500,36.279999
2013-08-23,36.0,36.0,34.779999,35.509998,139500,35.509998
2013-08-26,35.509998,36.0,34.900002,35.259998,91300,35.259998
2013-08-27,34.759998,34.759998,32.830002,33.139999,227100,33.139999
2013-08-28,33.0,33.689999,32.759998,33.27,105800,33.27
2013-08-29,33.439999,33.849998,33.349998,33.759998,40100,33.759998
2013-08-30,34.07,34.07,33.080002,33.799999,60200,33.799999
2013-09-03,34.029999,35.209999,34.029999,35.09,123800,35.09
2013-09-04,35.139999,35.43,34.5,35.389999,220700,35.389999
2013-09-05,35.349998,37.450001,35.349998,37.02,151400,37.02
2013-09-06,37.689999,37.950001,36.0,37.560001,121600,37.560001
2013-09-09,37.700001,38.93,37.700001,38.740002,147300,38.740002
2013-09-10,38.950001,39.470001,38.529999,39.459999,147800,39.459999
2013-09-11,39.27,39.950001,38.799999,39.950001,115200,39.950001
2013-09-12,39.959999,40.360001,39.16,40.139999,103200,40.139999
2013-09-13,40.369999,40.41,38.799999,40.299999,108200,40.299999
2013-09-16,39.490002,39.599998,37.0,38.330002,562500,38.330002
2013-09-17,38.200001,40.23,37.869999,39.810001,197500,39.810001
2013-09-18,40.209999,41.200001,39.84,41.029999,176400,41.029999
2013-09-19,41.240002,41.810001,40.610001,41.540001,124100,41.540001
2013-09-20,41.509998,41.790001,38.830002,38.860001,488400,38.860001
2013-09-23,38.84,40.849998,37.91,39.959999,283300,39.959999
2013-09-24,40.16,40.23,38.5,39.099998,150700,39.099998
2013-09-25,38.990002,40.060001,38.310001,39.830002,125600,39.830002
2013-09-26,39.91,40.869999,38.889999,39.380001,196200,39.380001
2013-09-27,39.049999,39.57,38.869999,39.119999,118300,39.119999
2013-09-30,38.740002,39.25,38.0,38.639999,526800,38.639999
2013-10-01,38.630001,39.360001,38.0,39.130001,110100,39.130001
2013-10-02,38.849998,39.459999,38.639999,39.34,181900,39.34
2013-10-03,39.09,39.09,37.099998,38.07,127000,38.07
2013-10-04,38.0,38.189999,37.48,38.029999,78900,38.029999
2013-10-07,36.57,37.09,35.259998,35.299999,301500,35.299999
2013-10-08,35.360001,36.27,32.400002,33.360001,467700,33.360001
2013-10-09,33.360001,33.540001,31.75,32.48,237700,32.48
2013-10-10,32.790001,36.0,32.790001,35.799999,237800,35.799999
2013-10-11,35.889999,36.689999,34.759998,36.220001,160900,36.220001
2013-10-14,35.740002,36.040001,35.18,35.759998,72900,35.759998
2013-10-15,35.759998,35.849998,35.279999,35.529999,76000,35.529999
2013-10-16,35.709999,35.990002,35.459999,35.5,85300,35.5
2013-10-17,35.509998,36.529999,35.419998,36.5,122900,36.5
2013-10-18,36.549999,36.75,35.740002,36.080002,104200,36.080002
2013-10-21,36.130001,37.02,35.849998,37.009998,174300,37.009998
2013-10-22,37.439999,39.849998,37.389999,39.68,430600,39.68
2013-10-23,38.34,38.439999,34.73,34.970001,4955200,34.970001
2013-10-24,35.16,35.16,32.450001,33.07,1728200,33.07
2013-10-25,33.0,34.349998,32.900002,33.209999,974300,33.209999
2013-10-28,33.900002,33.900002,32.529999,32.68,548900,32.68
2013-10-29,32.509998,32.77,31.809999,31.889999,564200,31.889999
2013-10-30,31.9,32.490002,31.540001,31.9,596700,31.9
2013-10-31,31.809999,31.940001,30.5,30.780001,736600,30.780001
2013-11-01,30.709999,31.33,30.5,30.9,507500,30.9
2013-11-04,31.530001,32.790001,31.25,32.619999,818600,32.619999
2013-11-05,29.969999,29.969999,27.0,27.700001,2354900,27.700001
2013-11-06,27.75,27.809999,26.610001,27.690001,713900,27.690001
2013-11-07,27.93,28.450001,27.48,27.65,384500,27.65
2013-11-08,27.559999,28.549999,27.559999,28.440001,424600,28.440001
2013-11-11,28.370001,28.879999,28.07,28.66,261800,28.66
2013-11-12,28.5,28.709999,28.120001,28.5,297000,28.5
2013-11-13,28.25,30.120001,28.25,29.99,292400,29.99
2013-11-14,29.98,29.98,28.92,29.360001,216000,29.360001
2013-11-15,29.290001,29.5,28.67,29.01,205100,29.01
2013-11-18,29.370001,30.0,28.52,29.0,275200,29.0
2013-11-19,28.82,28.889999,27.59,27.610001,371700,27.610001
2013-11-20,27.68,28.389999,27.41,27.690001,345700,27.690001
2013-11-21,27.799999,28.610001,27.27,28.43,135700,28.43
2013-11-22,28.5,29.139999,28.02,28.98,196600,28.98
2013-11-25,28.950001,29.41,28.24,28.610001,368800,28.610001
2013-11-26,28.68,30.0,28.26,29.559999,362700,29.559999
2013-11-27,29.530001,30.0,29.059999,29.620001,196900,29.620001
2013-11-29,29.57,29.83,29.16,29.209999,44800,29.209999
2013-12-02,29.15,29.200001,28.73,29.15,273500,29.15
2013-12-03,29.01,29.17,27.629999,27.75,292600,27.75
2013-12-04,28.15,28.75,27.92,28.18,238500,28.18
2013-12-05,28.08,28.940001,27.9,28.690001,230400,28.690001
2013-12-06,28.870001,29.6,28.83,29.27,384800,29.27
2013-12-09,29.16,29.75,29.049999,29.73,239400,29.73
2013-12-10,29.6,29.860001,29.33,29.469999,161300,29.469999
2013-12-11,29.379999,29.469999,28.450001,28.629999,190400,28.629999
2013-12-12,28.51,28.51,27.57,27.73,205700,27.73
2013-12-13,27.370001,27.370001,25.18,25.459999,820300,25.459999
2013-12-16,25.190001,26.52,25.190001,26.49,284400,26.49
2013-12-17,26.450001,26.84,26.02,26.209999,167700,26.209999
2013-12-18,26.35,27.700001,26.17,27.43,262300,27.43
2013-12-19,27.379999,27.780001,27.200001,27.379999,105900,27.379999
2013-12-20,27.48,29.09,27.48,29.049999,388700,29.049999
2013-12-23,29.139999,29.690001,28.59,29.030001,256700,29.030001
