Date,Open,High,Low,Close,Volume,Adj Close
2013-10-14,41.0,42.0,40.25,41.200001,316000,24.547723
2013-10-15,41.200001,41.299999,41.099998,41.200001,182000,24.547723
2013-10-16,41.400002,41.400002,41.099998,41.27,763600,24.589431
2013-10-17,44.830002,44.830002,41.029999,43.23,1396200,25.757234
2013-10-18,43.75,44.509998,42.650002,44.299999,558400,26.39476
2013-10-21,44.009998,44.279999,43.549999,44.200001,316800,26.335179
2013-10-22,44.02,44.68,43.439999,44.549999,1508500,26.543715
2013-10-23,42.959999,44.150002,41.700001,43.66,988400,26.013436
2013-10-24,43.599998,44.130001,43.41,43.84,964100,26.120684
2013-10-25,44.290001,44.740002,43.639999,44.419998,581400,26.466258
2013-10-28,44.5,44.779999,44.0,44.389999,59700,26.448384
2013-10-29,44.110001,44.75,44.0,44.52,176200,26.525841
2013-10-30,44.939999,45.73,44.0,44.360001,263800,26.43051
2013-10-31,44.349998,45.169998,44.02,45.0,404700,26.811833
2013-11-01,45.189999,45.740002,44.650002,45.639999,1043700,27.193157
2013-11-04,45.799999,47.200001,45.669998,46.799999,1771700,27.884306
2013-11-05,53.5,53.5,46.259998,46.52,1145500,27.717478
2013-11-06,46.5,47.18,45.91,46.900002,1583800,27.943889
2013-11-07,47.900002,47.900002,45.259998,45.810001,1110300,27.294447
2013-11-08,45.400002,45.799999,44.720001,45.490002,2594100,27.103785
2013-11-11,45.75,46.48,45.25,45.810001,1224200,27.294447
2013-11-12,46.75,46.950001,45.369999,45.419998,1063600,27.062076
2013-11-13,44.34,45.119999,44.34,44.900002,881600,26.752252
2013-11-14,44.490002,45.450001,44.490002,44.950001,1097400,26.782043
2013-11-15,45.029999,45.400002,44.939999,45.200001,625300,26.930998
2013-11-18,45.200001,45.490002,44.84,45.07,431600,26.85354
2013-11-19,44.509998,45.040001,44.279999,44.52,1106000,26.525841
2013-11-20,45.0,45.0,44.27,44.599998,1241600,26.573505
2013-11-21,44.919998,44.93,44.290001,44.66,774200,26.609255
2013-11-22,45.709999,46.150002,45.060001,46.119999,872300,27.479149
2013-11-25,45.310001,46.119999,44.860001,45.939999,1007600,27.371902
2013-11-26,46.150002,46.419998,45.619999,46.299999,315100,27.586397
2013-11-27,46.209999,46.889999,46.09,46.68,240400,27.812809
2013-11-29,46.5,47.049999,45.939999,46.119999,295900,27.479149
2013-12-02,46.740002,47.110001,45.610001,47.040001,524700,28.027304
