Date,Open,High,Low,Close,Volume,Adj Close
2006-03-15,59.970001,63.5,30.0,33.5,25500,31.549847
2006-03-16,34.0,38.0,28.799999,29.5,14700,27.782701
2006-03-17,32.0,32.0,25.030001,27.5,22000,25.899128
2006-03-20,26.0,26.0,21.6,23.09,79100,21.74585
2006-03-21,23.299999,24.389999,22.799999,23.85,10700,22.461608
2006-03-22,24.0,26.0,23.9,26.0,23200,24.486448
2006-03-23,27.450001,28.0,26.120001,28.0,5600,26.370021
2006-03-24,27.82,28.5,26.9,28.5,15400,26.840914
2006-03-27,28.5,32.0,28.5,32.0,12600,30.137167
2006-03-28,32.0,34.990002,30.02,31.01,29100,29.204799
2006-03-29,31.639999,33.889999,31.639999,33.400002,9700,31.455669
2006-03-30,33.599998,34.48,32.75,33.490002,13800,31.54043
2006-03-31,34.0,34.400002,32.849998,33.779999,5400,31.813546
2006-04-03,33.75,34.959999,33.75,34.25,11600,32.256187
2006-04-04,34.970001,34.990002,34.5,34.5,11500,32.491633
2006-04-05,34.849998,37.0,34.400002,36.5,43300,34.375206
2006-04-06,37.619999,38.0,36.810001,37.009998,20800,34.855516
2006-04-07,37.700001,39.200001,36.849998,38.450001,21500,36.21169
2006-04-10,39.5,46.880001,38.900002,45.529999,74300,42.879537
2006-04-11,46.73,53.68,46.060001,49.029999,80700,46.175789
2006-04-12,50.0,52.0,45.150002,46.700001,42700,43.981429
2006-04-13,46.700001,49.0,43.75,46.049999,25300,43.369266
2006-04-17,45.02,49.48,44.5,46.779999,29700,44.05677
2006-04-18,46.799999,48.900002,46.150002,47.560001,21400,44.791366
2006-04-19,47.560001,48.900002,46.869999,48.099998,18900,45.299928
2006-04-20,48.75,48.75,47.0,47.0,11700,44.263964
2006-04-21,47.759998,47.759998,46.0,46.169998,9500,43.48228
2006-04-24,47.5,47.5,44.25,44.400002,8600,41.815321
2006-04-25,44.0,44.41,38.52,39.84,35100,37.520773
2006-04-26,39.990002,43.700001,39.990002,42.349998,31600,39.884655
2006-04-27,42.349998,43.0,40.189999,41.82,6500,39.38551
2006-04-28,40.049999,41.830002,39.25,41.5,13500,39.084138
2006-05-01,41.0,42.299999,41.0,41.5,10000,39.084138
2006-05-02,42.0,45.0,41.16,45.0,26300,42.380391
2006-05-03,45.0,46.75,44.299999,46.68,15200,43.962593
2006-05-04,47.0,47.0,40.990002,42.099998,18500,39.649209
2006-05-05,46.099998,46.099998,41.200001,43.610001,11100,41.071308
2006-05-08,45.0,47.0,43.009998,47.0,28500,44.263964
2006-05-09,47.400002,50.299999,47.400002,50.299999,89800,47.371859
2006-05-10,50.0,51.0,48.259998,50.5,28100,47.560217
2006-05-11,50.52,52.990002,48.040001,49.75,71800,46.853877
2006-05-12,49.5,50.099998,48.27,49.990002,15000,47.079907
2006-05-15,49.799999,49.799999,42.400002,44.290001,49900,41.711724
2006-05-16,44.709999,44.990002,40.0,43.549999,17100,41.0148
2006-05-17,42.5,42.5,40.23,40.990002,20700,38.603829
2006-05-18,40.98,43.0,37.060001,38.509998,24400,36.268195
2006-05-19,38.509998,39.5,32.650002,34.400002,61400,32.397456
2006-05-22,34.400002,36.970001,33.0,33.880001,29900,31.907727
2006-05-23,34.52,36.5,34.0,35.549999,29500,33.480508
2006-05-24,36.889999,38.0,35.990002,37.0,10900,34.846099
2006-05-25,37.099998,38.439999,37.02,37.610001,5600,35.42059
2006-05-26,37.98,37.98,37.0,37.299999,8400,35.128635
2006-05-30,37.200001,37.5,35.279999,36.07,11800,33.970238
2006-05-31,36.0,36.07,35.0,35.0,9900,32.962526
2006-06-01,35.0,35.349998,34.25,35.349998,5300,33.29215
2006-06-02,35.5,38.41,35.369999,37.43,12800,35.251068
2006-06-05,38.700001,38.75,37.0,37.98,9300,35.76905
2006-06-06,39.84,39.84,36.599998,38.0,7700,35.787886
2006-06-07,38.0,38.400002,37.560001,37.560001,11500,35.373501
2006-06-08,37.07,37.490002,36.5,37.150002,11200,34.987369
2006-06-09,36.689999,36.689999,36.5,36.5,1900,34.375206
2006-06-12,37.5,37.5,33.950001,35.66,17400,33.584105
2006-06-13,33.75,35.66,31.190001,31.5,20200,29.666274
2006-06-14,31.08,32.98,31.08,32.48,6900,30.589224
2006-06-15,32.0,32.0,30.52,31.68,5200,29.835796
2006-06-16,31.5,31.5,28.15,28.639999,18500,26.972764
2006-06-19,28.99,28.99,27.0,27.0,10800,25.428235
2006-06-20,26.73,27.32,26.1,26.51,5700,24.966759
2006-06-21,26.5,27.799999,26.0,27.6,11400,25.993307
2006-06-22,28.0,32.0,28.0,30.5,14500,28.724487
2006-06-23,32.990002,34.25,31.209999,33.91,21900,31.935979
2006-06-26,34.98,36.43,33.529999,34.5,17800,32.491633
2006-06-27,34.150002,36.740002,34.150002,36.5,9300,34.375206
2006-06-28,36.990002,36.990002,35.0,35.0,5300,32.962526
2006-06-29,35.0,35.0,31.51,32.98,13100,31.060117
2006-06-30,32.599998,34.849998,32.599998,33.5,4900,31.549847
2006-07-03,34.849998,34.849998,33.799999,34.290001,900,32.293859
2006-07-05,34.5,34.5,33.0,33.0,2300,31.078953
2006-07-06,34.5,34.5,32.720001,32.720001,6200,30.815254
2006-07-07,31.799999,33.900002,31.799999,32.700001,2000,30.796418
2006-07-10,32.0,33.700001,32.0,33.400002,600,31.455669
2006-07-11,33.25,34.599998,33.130001,34.25,5000,32.256187
2006-07-12,32.200001,34.57,32.0,32.66,5700,30.758746
2006-07-13,33.900002,34.0,33.290001,33.5,1600,31.549847
2006-07-14,33.48,35.0,33.400002,33.549999,8600,31.596935
2006-07-17,33.25,35.099998,33.049999,33.610001,9100,31.653444
2006-07-18,34.990002,34.990002,30.0,30.0,13800,28.253594
2006-07-19,30.049999,32.0,30.049999,31.870001,3700,30.014736
2006-07-20,32.0,33.0,31.5,32.200001,6500,30.325525
2006-07-21,31.629999,32.009998,30.129999,31.4,6600,29.572095
2006-07-24,33.98,33.98,30.5,30.9,3300,29.101202
2006-07-25,30.9,31.200001,29.200001,29.98,5000,28.234758
2006-07-26,33.98,33.98,28.0,30.139999,8200,28.385444
2006-07-27,30.0,32.470001,30.0,32.470001,8600,30.579808
2006-07-28,32.0,32.799999,30.549999,31.0,1800,29.195381
2006-07-31,31.25,32.700001,31.1,32.5,2300,30.60806
2006-08-01,31.6,32.5,31.0,32.5,5600,30.60806
2006-08-02,32.0,32.5,30.879999,31.059999,20000,29.251887
2006-08-03,31.99,31.99,31.0,31.879999,16700,30.024152
2006-08-04,32.299999,32.299999,31.02,31.09,7300,29.280141
2006-08-07,32.25,32.25,31.450001,31.58,3800,29.741617
2006-08-08,31.870001,31.870001,31.0,31.700001,5100,29.854632
2006-08-09,31.129999,31.85,27.85,28.549999,16400,26.888003
2006-08-10,30.5,30.5,26.65,26.65,13400,25.098609
2006-08-11,26.379999,26.57,25.6,25.75,13300,24.251002
2006-08-14,27.799999,27.799999,26.0,26.74,18600,25.18337
2006-08-15,27.99,29.639999,26.799999,28.0,15500,26.370021
2006-08-16,27.66,28.040001,27.290001,27.75,6000,26.134574
2006-08-17,29.49,29.49,28.0,28.41,7000,26.756153
2006-08-18,28.76,28.76,27.299999,27.99,8400,26.360603
2006-08-21,27.98,27.98,27.299999,27.5,4600,25.899128
2006-08-22,27.5,28.0,27.190001,27.75,7800,26.134574
2006-08-23,28.25,28.469999,27.549999,27.93,5600,26.304096
2006-08-24,27.65,28.469999,27.59,27.91,4200,26.28526
