Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,37.050001,37.89,36.249999,37.5,443700,25.0
2006-01-04,37.279999,38.139999,37.1,37.920001,256500,25.280001
2006-01-05,37.93,37.93,37.07,37.650001,193300,25.1
2006-01-06,37.85,37.909999,37.170001,37.800001,362100,25.200001
2006-01-09,37.800001,38.400001,37.669999,37.909999,348300,25.273333
2006-01-10,37.840001,37.9,37.509999,37.680001,123100,25.120001
2006-01-11,37.600001,37.920001,37.3,37.89,158400,25.26
2006-01-12,37.949999,38.219999,37.22,37.319999,241000,24.879999
2006-01-13,37.5,37.629999,36.970001,37.370001,160600,24.913334
2006-01-17,37.450001,37.479999,37.010001,37.27,162300,24.846666
2006-01-18,37.199999,37.469999,36.959999,37.159999,247800,24.773333
2006-01-19,37.3,38.470001,37.279999,38.379999,167100,25.586666
2006-01-20,38.49,38.49,37.479999,37.629999,107500,25.086666
2006-01-23,37.800001,38.080001,37.58,37.94,160500,25.293333
2006-01-24,38.350001,39.129999,38.099999,39.100001,374800,26.066668
2006-01-25,39.249999,39.380001,38.659999,39.129999,384100,26.086666
2006-01-26,39.150001,39.380001,38.889999,39.249999,288300,26.166666
2006-01-27,39.100001,39.559999,38.550001,39.289999,378700,26.193333
2006-01-30,39.249999,39.47,38.64,38.929999,234300,25.953333
2006-01-31,38.899999,39.380001,38.240001,39.0,380500,26.0
2006-02-01,38.8,39.100001,38.64,38.819999,185500,25.879999
2006-02-02,38.899999,39.08,38.499999,38.819999,271900,25.879999
2006-02-03,38.65,39.850001,38.499999,39.260001,285300,26.173334
2006-02-06,39.559999,39.940001,39.08,39.900001,166000,26.6
2006-02-07,39.540001,39.759999,38.499999,38.499999,222600,25.666666
2006-02-08,38.499999,38.979999,38.299999,38.899999,217200,25.933332
2006-02-09,38.849999,39.970001,38.830001,39.249999,349600,26.166666
2006-02-10,39.27,39.47,38.6,39.24,132100,26.16
2006-02-13,39.140001,39.249999,38.57,38.739999,161700,25.826666
2006-02-14,41.65,45.24,41.65,43.159999,1971100,28.773333
2006-02-15,42.100001,44.229999,41.430001,44.080001,690000,29.386667
2006-02-16,43.9,45.460001,43.7,43.85,926700,29.233334
2006-02-17,42.900001,44.149999,42.900001,44.069999,599100,29.379999
2006-02-21,44.280001,44.929999,43.73,43.749999,423000,29.166666
2006-02-22,43.960001,45.850001,43.960001,44.990001,472600,29.993334
2006-02-23,45.009999,45.089999,43.77,43.85,420900,29.233334
2006-02-24,43.85,45.049999,43.5,44.910001,244600,29.940001
2006-02-27,45.35,46.370001,45.32,46.050001,363000,30.700001
2006-02-28,46.199999,46.250001,45.300001,45.75,338100,30.5
2006-03-01,46.15,46.909999,45.71,46.9,186300,31.266666
2006-03-02,47.099999,47.96,46.800001,47.830001,324300,31.886667
2006-03-03,47.830001,47.849999,47.000001,47.299999,293500,31.533333
2006-03-06,47.699999,47.739999,46.610001,46.720001,197800,31.146667
2006-03-07,46.690001,46.690001,44.49,45.249999,510700,30.166666
2006-03-08,45.599999,45.900001,45.150001,45.150001,807100,30.1
2006-03-09,45.52,45.59,44.710001,44.969999,399600,29.98
2006-03-10,44.929999,45.209999,44.739999,44.990001,362500,29.993334
2006-03-13,45.47,46.479999,45.36,45.999999,253600,30.666666
2006-03-14,46.07,46.399999,45.770001,46.330001,295800,30.886667
2006-03-15,31.700001,32.139999,31.450001,31.450001,497800,31.450001
2006-03-16,31.450001,32.0,31.190001,31.57,414500,31.57
2006-03-17,31.74,31.959999,31.450001,31.879999,571800,31.879999
2006-03-20,32.23,32.450001,31.700001,32.299999,554000,32.299999
2006-03-21,32.299999,32.57,31.450001,31.48,291500,31.48
2006-03-22,31.5,32.41,31.32,32.189999,201800,32.189999
2006-03-23,32.290001,32.310001,31.200001,31.91,160200,31.91
2006-03-24,31.6,32.369999,31.389999,32.310001,167800,32.310001
2006-03-27,32.34,32.360001,31.719999,31.780001,172800,31.780001
2006-03-28,31.610001,32.200001,31.200001,31.5,194400,31.5
2006-03-29,32.450001,32.450001,30.9,31.09,252200,31.09
2006-03-30,30.809999,31.059999,30.49,30.780001,229000,30.780001
2006-03-31,30.75,31.0,30.25,30.68,181800,30.68
2006-04-03,31.9,32.540001,31.68,31.709999,498800,31.709999
2006-04-04,31.950001,32.169998,31.799999,32.0,305900,32.0
2006-04-05,32.32,32.34,31.9,32.169998,263600,32.169998
2006-04-06,32.23,32.75,31.99,32.639999,206700,32.639999
2006-04-07,33.0,33.209999,32.849998,33.0,482700,33.0
2006-04-10,33.369999,33.369999,32.740002,32.799999,366900,32.799999
2006-04-11,32.73,32.98,32.400002,32.700001,310600,32.700001
2006-04-12,32.700001,32.880001,32.459999,32.610001,135000,32.610001
2006-04-13,32.580002,32.720001,32.220001,32.610001,123100,32.610001
2006-04-17,32.709999,33.07,32.240002,32.77,469200,32.77
2006-04-18,33.02,34.369999,33.02,34.0,347200,34.0
2006-04-19,34.849998,35.709999,34.150002,35.490002,400400,35.490002
2006-04-20,35.720001,35.849998,35.099998,35.529999,264500,35.529999
2006-04-21,36.25,36.360001,35.5,36.209999,242700,36.209999
2006-04-24,36.5,36.5,34.75,35.310001,310800,35.310001
2006-04-25,35.310001,35.5,34.75,35.360001,268100,35.360001
2006-04-26,35.400002,35.73,34.860001,35.099998,211600,35.099998
2006-04-27,34.139999,34.5,32.740002,33.5,525300,33.5
2006-04-28,33.0,33.299999,32.740002,32.77,316500,32.77
2006-05-01,32.75,33.599998,32.259998,33.549999,310000,33.549999
2006-05-02,34.02,34.299999,29.34,32.650002,1714900,32.650002
2006-05-03,32.220001,32.869999,31.889999,32.75,429000,32.75
2006-05-04,32.720001,33.650002,32.610001,33.240002,322900,33.240002
