Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,30.65,31.35,30.65,31.299999,4835200,31.299999
2013-01-03,30.93,31.85,30.870001,31.65,3256900,31.65
2013-01-04,31.65,32.32,31.610001,31.940001,3475600,31.940001
2013-01-07,31.98,32.330002,31.870001,32.32,2448700,32.32
2013-01-08,32.279999,32.5,31.639999,31.700001,2362700,31.700001
2013-01-09,31.860001,33.16,31.66,33.049999,4383700,33.049999
2013-01-10,33.09,33.23,32.810001,33.169998,2703900,33.169998
2013-01-11,33.119999,33.810001,33.080002,33.200001,2609800,33.200001
2013-01-14,32.950001,34.099998,32.950001,33.849998,3905900,33.849998
2013-01-15,33.689999,35.169998,33.68,34.990002,5891100,34.990002
2013-01-16,34.91,35.23,34.48,35.18,3931200,35.18
2013-01-17,35.459999,36.709999,35.259998,36.540001,6543600,36.540001
2013-01-18,36.560001,37.23,36.419998,36.950001,3129600,36.950001
2013-01-22,36.990002,38.07,36.830002,38.0,3931300,38.0
2013-01-23,37.82,37.849998,36.48,37.560001,5343900,37.560001
2013-01-24,37.68,37.939999,37.27,37.73,2591300,37.73
2013-01-25,37.84,37.990002,37.73,37.740002,3911400,37.740002
2013-01-28,37.700001,37.700001,36.990002,37.380001,4148200,37.380001
2013-01-29,37.380001,37.580002,36.360001,36.66,6906500,36.66
2013-01-30,36.560001,38.139999,36.459999,38.07,5116600,38.07
2013-01-31,37.779999,38.0,37.580002,37.650002,1788200,37.650002
2013-02-01,38.119999,38.459999,37.740002,38.220001,2636800,38.220001
2013-02-04,38.02,38.470001,37.43,37.610001,3206500,37.610001
2013-02-05,37.049999,39.599998,36.540001,37.509998,6927500,37.509998
2013-02-06,37.41,37.810001,37.09,37.18,3206600,37.18
2013-02-07,37.299999,37.5,36.810001,37.07,3716000,37.07
2013-02-08,37.299999,37.490002,37.16,37.220001,1868500,37.220001
2013-02-11,37.169998,37.669998,36.619999,36.66,3524300,36.66
2013-02-12,36.119999,36.529999,35.849998,36.450001,22095600,36.450001
2013-02-13,36.93,37.189999,36.349998,36.889999,7184700,36.889999
2013-02-14,36.740002,37.110001,36.73,36.830002,2861800,36.830002
2013-02-15,36.799999,36.98,36.099998,36.279999,2785000,36.279999
2013-02-19,36.279999,36.509998,35.630001,36.41,5254700,36.41
2013-02-20,36.32,36.360001,35.290001,35.41,5442600,35.41
2013-02-21,35.5,35.98,35.150002,35.790001,6301100,35.790001
2013-02-22,35.810001,35.970001,35.619999,35.759998,2357600,35.759998
2013-02-25,35.84,36.049999,35.169998,35.209999,3180000,35.209999
2013-02-26,35.209999,35.799999,34.900002,35.639999,3706700,35.639999
