Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,28.67,31.24,28.59,31.059999,1006500,31.059999
2006-01-04,31.0,31.360001,30.68,30.790001,477700,30.790001
2006-01-05,30.879999,32.060001,30.6,31.700001,823500,31.700001
2006-01-06,29.0,29.43,27.780001,28.5,1519700,28.5
2006-01-09,28.6,28.889999,28.139999,28.549999,521500,28.549999
2006-01-10,28.620001,29.15,27.889999,29.1,284300,29.1
2006-01-11,29.15,29.299999,28.93,29.09,272400,29.09
2006-01-12,29.09,29.299999,28.860001,29.040001,113600,29.040001
2006-01-13,29.219999,29.219999,28.940001,28.969999,117700,28.969999
2006-01-17,28.690001,28.9,28.290001,28.82,105700,28.82
2006-01-18,28.620001,29.09,28.440001,28.879999,142000,28.879999
2006-01-19,29.1,29.469999,28.709999,29.43,152500,29.43
2006-01-20,29.559999,29.67,28.790001,28.82,231000,28.82
2006-01-23,29.690001,29.690001,29.09,29.17,181700,29.17
2006-01-24,29.200001,30.0,29.09,29.969999,190100,29.969999
2006-01-25,30.1,30.309999,29.73,30.0,100000,30.0
2006-01-26,30.15,31.219999,30.15,31.09,232700,31.09
2006-01-27,31.0,31.1,30.65,30.98,204900,30.98
2006-01-30,31.0,31.040001,30.540001,30.75,118500,30.75
2006-01-31,30.75,30.879999,30.5,30.65,210100,30.65
2006-02-01,30.639999,30.76,30.129999,30.4,278200,30.4
2006-02-02,30.26,30.6,29.889999,30.469999,152900,30.469999
2006-02-03,30.17,31.07,30.17,30.370001,230300,30.370001
2006-02-06,30.469999,30.51,29.549999,30.42,196400,30.42
2006-02-07,30.4,31.0,29.57,29.719999,221000,29.719999
2006-02-08,29.879999,29.879999,29.059999,29.389999,223400,29.389999
2006-02-09,29.370001,29.75,28.9,29.01,257700,29.01
2006-02-10,28.870001,29.209999,28.200001,28.889999,371200,28.889999
2006-02-13,28.780001,28.950001,28.540001,28.65,166000,28.65
2006-02-14,28.629999,30.469999,28.610001,30.200001,320400,30.200001
2006-02-15,30.190001,31.0,29.450001,30.93,315900,30.93
2006-02-16,31.0,31.049999,30.540001,30.870001,112300,30.870001
2006-02-17,30.99,30.99,30.120001,30.65,100400,30.65
2006-02-21,30.85,31.0,30.6,30.98,127800,30.98
2006-02-22,31.049999,31.889999,30.91,31.41,248900,31.41
2006-02-23,31.469999,31.84,31.26,31.58,160700,31.58
2006-02-24,31.459999,31.91,31.290001,31.83,179200,31.83
2006-02-27,31.870001,32.650002,31.66,32.52,251200,32.52
2006-02-28,32.43,32.580002,31.809999,32.080002,289800,32.080002
2006-03-01,32.299999,32.75,32.0,32.549999,197500,32.549999
2006-03-02,32.549999,32.91,32.0,32.830002,225500,32.830002
2006-03-03,32.889999,33.549999,32.299999,32.900002,206200,32.900002
2006-03-06,32.82,32.970001,32.02,32.369999,204700,32.369999
2006-03-07,32.299999,32.529999,31.549999,31.780001,168700,31.780001
2006-03-08,32.02,32.439999,31.469999,32.200001,138700,32.200001
2006-03-09,32.400002,32.41,31.49,31.610001,199000,31.610001
2006-03-10,30.33,34.040001,30.33,33.330002,761500,33.330002
2006-03-13,33.66,34.540001,33.330002,34.09,412900,34.09
2006-03-14,33.529999,33.599998,32.009998,33.099998,666100,33.099998
2006-03-15,33.009998,33.009998,31.9,32.32,314600,32.32
2006-03-16,32.400002,33.130001,32.16,32.34,194100,32.34
2006-03-17,32.400002,32.450001,31.93,32.380001,428900,32.380001
2006-03-20,32.27,32.400002,31.950001,32.25,198200,32.25
2006-03-21,31.65,32.869999,31.5,31.65,224300,31.65
2006-03-22,31.700001,32.689999,31.51,32.52,224200,32.52
2006-03-23,32.599998,32.939999,32.07,32.529999,160400,32.529999
2006-03-24,32.740002,33.450001,32.720001,33.18,230900,33.18
2006-03-27,33.080002,33.299999,32.41,32.509998,188200,32.509998
2006-03-28,32.57,32.57,31.690001,31.85,270400,31.85
2006-03-29,32.029999,32.25,31.57,32.23,172700,32.23
2006-03-30,32.150002,32.23,31.25,31.450001,307000,31.450001
2006-03-31,31.59,32.990002,31.59,32.990002,258900,32.990002
2006-04-03,33.529999,33.900002,31.91,32.009998,388300,32.009998
2006-04-04,32.18,32.18,31.25,31.700001,357900,31.700001
2006-04-05,31.870001,31.91,31.280001,31.58,156700,31.58
2006-04-06,31.76,31.76,31.120001,31.23,160500,31.23
2006-04-07,31.5,31.66,30.549999,30.68,169700,30.68
2006-04-10,30.68,31.0,30.290001,30.690001,225100,30.690001
2006-04-11,30.719999,31.01,29.809999,29.879999,337600,29.879999
2006-04-12,30.040001,30.469999,29.790001,30.34,151000,30.34
2006-04-13,30.4,30.9,30.02,30.65,219200,30.65
2006-04-17,30.77,30.77,29.790001,29.950001,177500,29.950001
2006-04-18,30.24,31.219999,30.23,31.209999,273100,31.209999
2006-04-19,31.290001,31.690001,30.68,31.049999,198200,31.049999
2006-04-20,31.23,31.23,30.27,30.58,230600,30.58
2006-04-21,30.85,30.85,29.41,29.77,267500,29.77
2006-04-24,29.790001,29.879999,29.360001,29.58,168900,29.58
2006-04-25,29.42,29.6,29.110001,29.34,324800,29.34
2006-04-26,29.459999,30.120001,29.07,29.459999,292400,29.459999
2006-04-27,29.290001,30.48,29.15,30.0,301500,30.0
2006-04-28,29.889999,30.559999,29.85,30.309999,175900,30.309999
2006-05-01,30.43,31.030001,30.110001,30.26,180400,30.26
2006-05-02,30.43,30.77,30.059999,30.43,182600,30.43
2006-05-03,30.51,30.709999,29.99,30.379999,116200,30.379999
2006-05-04,30.450001,30.75,29.9,30.24,152900,30.24
2006-05-05,30.389999,31.02,30.35,30.950001,84500,30.950001
2006-05-08,30.799999,31.190001,30.379999,30.620001,157200,30.620001
2006-05-09,30.610001,30.92,30.530001,30.610001,192800,30.610001
2006-05-10,30.549999,30.700001,30.110001,30.48,115800,30.48
2006-05-11,30.48,30.530001,29.860001,29.870001,224600,29.870001
2006-05-12,29.790001,29.85,29.0,29.469999,208200,29.469999
2006-05-15,29.200001,29.76,28.93,29.540001,305100,29.540001
2006-05-16,29.5,29.950001,29.219999,29.459999,255400,29.459999
2006-05-17,29.15,29.67,29.07,29.17,294600,29.17
2006-05-18,29.450001,29.690001,28.68,29.08,377300,29.08
2006-05-19,26.42,26.74,23.08,25.5,3128800,25.5
2006-05-22,25.27,27.27,25.200001,25.85,850500,25.85
2006-05-23,26.049999,26.540001,25.83,25.870001,315600,25.870001
2006-05-24,25.809999,26.790001,25.040001,25.700001,376400,25.700001
2006-05-25,25.790001,25.870001,25.43,25.65,261600,25.65
2006-05-26,25.77,25.889999,25.51,25.700001,221600,25.700001
2006-05-30,25.639999,25.75,24.92,24.92,329800,24.92
2006-05-31,25.120001,25.959999,24.690001,25.860001,447600,25.860001
2006-06-01,25.93,26.299999,25.639999,26.16,287500,26.16
2006-06-02,26.309999,26.309999,25.18,25.459999,282400,25.459999
2006-06-05,25.41,25.459999,24.309999,24.35,395500,24.35
2006-06-06,24.379999,25.030001,23.83,24.98,912700,24.98
2006-06-07,25.0,25.43,24.23,24.27,277300,24.27
2006-06-08,24.040001,24.26,23.299999,23.889999,357900,23.889999
2006-06-09,23.92,24.610001,23.83,24.200001,327800,24.200001
2006-06-12,24.18,24.18,23.280001,23.309999,540700,23.309999
2006-06-13,23.280001,24.370001,23.0,23.370001,430800,23.370001
2006-06-14,23.280001,23.65,22.559999,22.690001,510500,22.690001
2006-06-15,22.790001,23.139999,22.530001,22.93,690300,22.93
2006-06-16,22.82,22.93,21.9,22.620001,887200,22.620001
2006-06-19,22.700001,23.200001,21.879999,21.889999,382400,21.889999
2006-06-20,21.870001,22.9,21.85,22.799999,385900,22.799999
2006-06-21,22.700001,24.110001,22.66,23.67,436400,23.67
2006-06-22,23.629999,24.15,23.5,23.91,453200,23.91
2006-06-23,23.75,24.370001,23.66,24.02,386500,24.02
2006-06-26,24.190001,24.41,23.9,24.1,236800,24.1
2006-06-27,24.049999,24.370001,23.76,23.870001,231000,23.870001
2006-06-28,24.030001,24.030001,23.469999,23.84,118000,23.84
2006-06-29,23.92,24.559999,23.51,24.530001,162700,24.530001
