Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,4.92,5.0,4.7,4.85,918600,22.30507
2006-01-04,4.89,4.89,4.7,4.8,431400,22.075121
2006-01-05,4.81,4.82,4.73,4.81,208700,22.12111
2006-01-06,4.81,4.85,4.75,4.84,232800,22.259081
2006-01-09,4.84,5.0,4.8,5.0,390700,22.994918
2006-01-10,4.96,5.3,4.95,5.25,737600,24.144664
2006-01-11,5.27,5.3,5.22,5.23,546200,24.052684
2006-01-12,5.28,5.3,5.05,5.25,394500,24.144664
2006-01-13,5.13,5.25,5.06,5.2,112100,23.914715
2006-01-17,5.24,5.25,5.05,5.08,185200,23.362836
2006-01-18,5.1,5.15,4.98,4.98,165700,22.902938
2006-01-19,4.96,4.97,4.8,4.85,397800,22.30507
2006-01-20,4.87,5.65,4.59,4.7,521300,21.615223
2006-01-23,4.71,4.76,4.7,4.75,314200,21.845172
2006-01-24,4.75,4.9,4.65,4.9,173800,22.53502
2006-01-25,4.9,4.95,4.8,4.83,133800,22.21309
2006-01-26,4.81,4.9,4.81,4.9,206500,22.53502
2006-01-27,4.9,4.95,4.8,4.9,136800,22.53502
2006-01-30,4.9,4.9,4.75,4.85,105500,22.30507
2006-01-31,4.85,4.9,4.78,4.83,119800,22.21309
2006-02-01,4.8,4.83,4.5,4.7,816000,21.615223
2006-02-02,4.75,4.85,4.3,4.85,2048800,22.30507
2006-02-03,4.85,5.28,4.81,5.25,2553700,24.144664
2006-02-06,5.34,5.35,4.95,5.05,466800,23.224867
2006-02-07,5.0,5.0,4.8,4.82,1122600,22.167101
2006-02-08,4.95,4.95,4.8,4.89,410800,22.48903
2006-02-09,4.87,5.0,4.86,4.95,196500,22.764969
2006-02-10,4.97,5.0,4.89,4.95,207800,22.764969
2006-02-13,4.95,4.95,4.75,4.78,202100,21.983141
2006-02-14,4.76,4.85,4.7,4.85,608900,22.30507
2006-02-15,4.85,5.0,4.7,4.88,129900,22.44304
2006-02-16,4.98,4.98,4.83,4.9,200700,22.53502
2006-02-17,4.89,5.0,4.89,4.95,223100,22.764969
2006-02-21,4.98,5.0,4.8,4.85,244500,22.30507
2006-02-22,4.99,4.99,4.87,4.9,270800,22.53502
2006-02-23,4.95,5.38,4.95,5.31,1642400,24.420602
2006-02-24,5.2,5.25,5.05,5.1,1202600,23.454816
2006-02-27,5.1,5.16,5.05,5.11,618400,23.500805
2006-02-28,5.09,5.09,4.72,4.88,4310400,22.44304
2006-03-01,4.95,5.05,4.81,5.0,4813200,22.994918
2006-03-02,5.01,5.05,4.9,4.96,1481200,22.810958
2006-03-03,4.99,4.99,4.85,4.9,588300,22.53502
2006-03-06,4.99,4.99,4.75,4.77,444200,21.937152
2006-03-07,4.77,5.0,4.73,4.76,751300,21.891161
2006-03-08,4.8,4.85,4.75,4.77,125900,21.937152
2006-03-09,4.8,4.8,4.7,4.8,794800,22.075121
2006-03-10,4.76,5.0,4.73,4.97,1100300,22.856949
2006-03-13,4.95,4.97,4.85,4.9,306900,22.53502
2006-03-14,4.9,4.95,4.85,4.95,794300,22.764969
2006-03-15,4.93,4.94,4.86,4.9,857200,22.53502
2006-03-16,4.9,5.04,4.9,5.02,869400,23.086898
2006-03-17,4.89,5.05,4.84,5.0,355800,22.994918
2006-03-20,4.95,5.0,4.9,4.93,310600,22.672989
2006-03-21,4.9,4.99,4.87,4.9,371100,22.53502
2006-03-22,4.89,4.95,4.85,4.95,291900,22.764969
2006-03-23,4.94,4.94,4.83,4.86,133300,22.35106
2006-03-24,4.8,4.92,4.8,4.92,376700,22.627
2006-03-27,4.91,4.98,4.82,4.98,1839000,22.902938
2006-03-28,4.99,5.1,4.9,5.08,1013000,23.362836
2006-03-29,5.01,5.1,4.95,5.07,691100,23.316847
2006-03-30,5.0,5.08,5.0,5.03,2555400,23.132887
2006-03-31,5.03,5.1,4.95,4.99,1412400,22.948929
2006-04-03,4.97,5.02,4.9,4.91,707200,22.581009
2006-04-04,4.98,4.99,4.91,4.99,309400,22.948929
2006-04-05,4.91,4.97,4.82,4.95,499900,22.764969
2006-04-06,4.99,4.99,4.85,4.86,552700,22.35106
2006-04-07,4.87,4.95,4.85,4.9,338800,22.53502
2006-04-10,4.85,4.9,4.79,4.8,729400,22.075121
2006-04-11,4.8,4.84,4.66,4.7,332300,21.615223
2006-04-12,4.65,4.8,4.23,4.75,1246600,21.845172
2006-04-13,4.75,4.78,4.73,4.76,385900,21.891161
2006-04-17,4.73,4.8,4.72,4.75,289600,21.845172
2006-04-18,4.75,4.79,4.71,4.76,531700,21.891161
2006-04-19,4.7,4.82,4.7,4.82,563700,22.167101
2006-04-20,4.75,4.82,4.75,4.78,298300,21.983141
2006-04-21,4.78,4.82,4.76,4.77,244000,21.937152
2006-04-24,4.8,4.8,4.6,4.67,421200,21.477254
2006-04-25,4.67,4.7,4.63,4.65,154500,21.385274
2006-04-26,4.64,4.75,4.64,4.68,459400,21.523243
2006-04-27,4.73,4.73,4.65,4.66,311100,21.431263
2006-04-28,4.66,4.68,4.47,4.58,808900,21.063345
2006-05-01,4.53,4.7,4.53,4.63,818400,21.293294
2006-05-02,4.6,4.67,4.57,4.6,355300,21.155325
2006-05-03,4.6,4.65,4.54,4.56,304500,20.971364
2006-05-04,4.54,4.56,4.5,4.52,297300,20.787406
2006-05-05,4.5,4.59,4.5,4.54,96400,20.879386
2006-05-08,4.5,4.65,4.5,4.57,248100,21.017355
2006-05-09,4.6,4.85,4.58,4.7,415200,21.615223
2006-05-10,4.7,4.84,4.65,4.75,111300,21.845172
2006-05-11,4.65,4.8,4.65,4.8,223400,22.075121
2006-05-12,4.65,4.8,4.65,4.75,217500,21.845172
2006-05-15,4.75,4.75,4.3,4.6,978300,21.155325
2006-05-16,4.5,4.67,4.5,4.52,650600,20.787406
2006-05-17,4.5,4.6,4.45,4.5,444500,20.695426
2006-05-18,4.5,4.58,4.4,4.41,297300,20.281517
2006-05-19,4.53,4.53,4.35,4.41,134400,20.281517
2006-05-22,4.36,4.45,4.35,4.4,259400,20.235528
2006-05-23,4.35,4.43,4.35,4.36,327900,20.051568
2006-05-24,4.43,4.46,4.35,4.37,477900,20.097559
2006-05-25,4.35,4.45,4.35,4.38,244100,20.143548
2006-05-26,4.34,4.45,4.34,4.39,1130700,20.189539
2006-05-30,4.4,4.45,4.0,4.4,360200,20.235528
2006-05-31,4.45,4.45,4.28,4.33,442400,19.913599
2006-06-01,4.28,4.35,4.2,4.34,678300,19.95959
2006-06-02,4.28,4.36,4.28,4.35,674200,20.005579
2006-06-05,4.3,4.4,4.3,4.35,176600,20.005579
2006-06-06,4.3,4.3,4.27,4.3,423500,19.775629
2006-06-07,4.3,4.33,4.19,4.25,528000,19.54568
2006-06-08,4.2,4.3,4.1,4.16,427500,19.131771
2006-06-09,4.25,4.25,3.99,4.05,851600,18.625884
2006-06-12,4.0,4.05,3.8,3.9,1130600,17.936036
2006-06-13,3.95,4.0,3.85,3.96,506300,18.211974
2006-06-14,3.86,4.1,3.85,3.9,571300,17.936036
2006-06-15,4.05,4.05,3.9,3.94,639400,18.119996
2006-06-16,3.96,4.05,3.95,3.95,591400,18.165985
2006-06-19,4.0,4.0,3.73,3.8,898800,17.476138
2006-06-20,3.81,3.88,3.63,3.75,269600,17.246188
2006-06-21,3.76,3.85,3.7,3.75,1252800,17.246188
2006-06-22,3.75,3.75,3.55,3.61,704300,16.60233
2006-06-23,3.7,3.7,3.5,3.57,143400,16.418372
2006-06-26,3.59,3.75,3.55,3.75,179600,17.246188
