Date,Open,High,Low,Close,Volume,Adj Close
2014-07-31,20.0,20.0,17.040001,17.6,7235400,17.6
2014-08-01,18.209999,18.209999,16.77,16.950001,863900,16.950001
2014-08-04,16.84,17.27,16.110001,16.85,540200,16.85
2014-08-05,16.549999,17.200001,16.48,16.75,196500,16.75
2014-08-06,16.75,17.48,16.26,17.059999,140900,17.059999
2014-08-07,17.08,17.59,17.0,17.49,118700,17.49
2014-08-08,17.549999,17.93,17.35,17.51,70400,17.51
2014-08-11,17.549999,17.950001,17.5,17.85,111200,17.85
2014-08-12,17.870001,18.4,17.629999,18.34,193700,18.34
2014-08-13,18.610001,20.0,18.26,19.799999,277100,19.799999
2014-08-14,19.41,20.91,19.41,20.77,115900,20.77
2014-08-15,21.48,21.48,19.950001,19.959999,89900,19.959999
2014-08-18,20.200001,20.6,20.0,20.469999,29800,20.469999
2014-08-19,20.469999,20.75,20.1,20.389999,55700,20.389999
2014-08-20,20.16,20.9,20.16,20.49,89100,20.49
2014-08-21,20.32,20.6,19.32,20.16,109900,20.16
2014-08-22,19.98,21.0,19.969999,20.459999,101900,20.459999
2014-08-25,20.49,20.6,19.690001,19.870001,56100,19.870001
2014-08-26,19.799999,20.6,19.66,19.73,107100,19.73
2014-08-27,19.52,20.15,19.35,19.51,80800,19.51
2014-08-28,19.5,19.969999,19.290001,19.4,98100,19.4
2014-08-29,19.4,19.655001,19.0,19.379999,123100,19.379999
2014-09-02,19.780001,20.120001,19.379999,19.77,109700,19.77
2014-09-03,19.799999,19.98,18.809999,18.889999,129300,18.889999
2014-09-04,18.950001,19.65,18.6,18.93,166800,18.93
2014-09-05,18.950001,19.43,18.950001,19.040001,85400,19.040001
2014-09-08,19.25,19.459999,18.379999,18.65,150200,18.65
2014-09-09,19.0,19.43,18.771,19.41,87600,19.41
2014-09-10,19.299999,22.114,18.620001,21.620001,335800,21.620001
2014-09-11,21.450001,22.84,20.549999,20.93,900200,20.93
2014-09-12,21.0,21.23,19.290001,20.74,286800,20.74
2014-09-15,20.93,20.950001,20.02,20.870001,74500,20.870001
2014-09-16,21.139999,21.139999,19.73,20.1,207900,20.1
2014-09-17,19.9,20.49,19.66,20.030001,118600,20.030001
2014-09-18,20.0,20.450001,19.799999,20.16,77900,20.16
2014-09-19,20.219999,20.43,19.57,19.57,269700,19.57
2014-09-22,19.77,20.0,19.08,19.76,116900,19.76
2014-09-23,19.52,20.219999,18.700001,18.82,256700,18.82
2014-09-24,18.74,18.98,17.58,18.24,209100,18.24
2014-09-25,18.299999,18.889999,17.860001,18.16,194500,18.16
2014-09-26,18.17,18.93,18.040001,18.450001,205100,18.450001
2014-09-29,18.43,18.549999,17.879999,18.24,145700,18.24
2014-09-30,18.200001,18.73,17.780001,18.309999,1283400,18.309999
2014-10-01,18.299999,18.67,17.559999,17.77,237400,17.77
2014-10-02,17.809999,18.209999,17.23,17.379999,235600,17.379999
2014-10-03,17.5,18.99,17.360001,18.9,139400,18.9
2014-10-06,18.870001,19.57,18.559999,18.68,91900,18.68
2014-10-07,18.57,19.66,17.58,19.290001,97200,19.290001
2014-10-08,19.280001,19.645,19.16,19.370001,93900,19.370001
2014-10-09,19.299999,19.4,18.459999,18.52,104200,18.52
2014-10-10,18.41,19.07,17.940001,17.98,129000,17.98
2014-10-13,18.41,18.655001,17.65,18.219999,132700,18.219999
2014-10-14,18.35,18.5,17.98,18.440001,152100,18.440001
2014-10-15,18.139999,19.540001,17.889999,19.440001,130900,19.440001
2014-10-16,19.49,20.549999,19.25,20.32,99500,20.32
2014-10-17,20.610001,20.690001,19.389999,19.41,43500,19.41
2014-10-20,19.370001,20.26,19.35,20.120001,71400,20.120001
2014-10-21,20.27,20.75,19.0,20.370001,90400,20.370001
2014-10-22,20.299999,21.032,20.01,20.17,107300,20.17
2014-10-23,20.370001,21.110001,20.362,20.67,60900,20.67
2014-10-24,20.690001,20.968,19.99,20.030001,32600,20.030001
2014-10-27,20.030001,20.49,19.77,19.950001,36000,19.950001
2014-10-28,19.959999,20.48,19.549999,20.469999,54900,20.469999
2014-10-29,19.84,20.67,19.84,19.950001,54400,19.950001
2014-10-30,19.370001,20.51,19.370001,20.23,76300,20.23
2014-10-31,20.77,20.77,20.07,20.4,40000,20.4
2014-11-03,20.4,20.51,19.67,19.889999,64800,19.889999
2014-11-04,19.76,19.99,19.5,19.59,68500,19.59
2014-11-05,19.82,19.82,19.290001,19.690001,107300,19.690001
2014-11-06,19.610001,19.940001,19.58,19.799999,37800,19.799999
2014-11-07,19.73,21.290001,19.629999,20.51,88500,20.51
2014-11-10,19.969999,21.0,19.969999,20.790001,50000,20.790001
2014-11-11,20.700001,21.99,20.700001,21.059999,94300,21.059999
2014-11-12,21.040001,21.52,20.858,21.440001,34100,21.440001
2014-11-13,21.719999,21.719999,20.52,21.4,72200,21.4
2014-11-14,21.35,21.805,21.190001,21.360001,42900,21.360001
2014-11-17,21.440001,21.870001,21.299999,21.51,34000,21.51
2014-11-18,21.639999,22.790001,21.639999,22.27,71300,22.27
2014-11-19,22.16,22.84,21.709999,21.719999,36800,21.719999
2014-11-20,21.629999,22.49,21.629999,22.08,55500,22.08
2014-11-21,22.379999,23.75,22.129999,22.959999,90200,22.959999
2014-11-24,23.030001,23.200001,22.530001,23.08,82800,23.08
2014-11-25,23.030001,24.190001,22.469999,23.780001,224100,23.780001
2014-11-26,23.76,23.9,22.879999,23.530001,79900,23.530001
2014-11-28,23.58,25.280001,22.93,24.83,83800,24.83
2014-12-01,24.83,27.74,23.98,24.01,49800,24.01
2014-12-02,24.120001,25.17,22.559999,22.59,145300,22.59
2014-12-03,22.700001,23.09,22.33,22.700001,84000,22.700001
2014-12-04,22.77,22.77,22.209999,22.450001,77900,22.450001
2014-12-05,22.41,22.719999,22.23,22.290001,71500,22.290001
2014-12-08,22.17,24.49,22.17,24.09,152500,24.09
2014-12-09,24.02,24.1,23.16,23.969999,151800,23.969999
2014-12-10,24.65,26.0,23.370001,24.26,240700,24.26
2014-12-11,24.33,24.74,23.5,23.83,176600,23.83
2014-12-12,23.559999,23.85,22.15,22.32,173700,22.32
2014-12-15,22.5,23.73,22.379999,22.9,121400,22.9
2014-12-16,22.700001,23.24,22.620001,22.74,138600,22.74
2014-12-17,22.700001,24.629999,22.700001,24.32,135100,24.32
2014-12-18,24.799999,25.190001,24.24,24.620001,158500,24.620001
2014-12-19,24.57,25.290001,24.4,24.58,496200,24.58
2014-12-22,24.52,25.785,23.732,25.709999,87400,25.709999
2014-12-23,25.75,25.76,24.9,25.35,108900,25.35
2014-12-24,25.440001,25.645,25.084999,25.59,37100,25.59
2014-12-26,25.620001,26.15,25.139999,25.83,53400,25.83
2014-12-29,25.83,26.091,25.4,25.76,54400,25.76
2014-12-30,25.75,26.209999,25.280001,25.620001,63200,25.620001
2014-12-31,25.719999,26.030001,25.195,25.450001,70600,25.450001
