Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,45.02,45.790001,44.490002,45.790001,335900,33.95532
2006-01-04,45.779999,46.0,45.580002,45.779999,176900,33.947903
2006-01-05,46.0,46.299999,45.970001,46.200001,203500,34.259353
2006-01-06,46.349998,47.139999,45.919998,47.139999,250600,34.956404
2006-01-09,47.290001,47.630001,47.099998,47.599998,171300,35.297514
2006-01-10,47.349998,47.540001,46.900002,47.439999,178600,35.178867
2006-01-11,47.59,47.700001,47.23,47.349998,136200,35.112127
2006-01-12,47.099998,47.099998,46.639999,46.66,123200,34.600463
2006-01-13,46.77,47.049999,46.5,46.560001,125600,34.526309
2006-01-17,46.560001,46.639999,46.400002,46.549999,209700,34.518892
2006-01-18,46.549999,46.549999,46.099998,46.450001,197000,34.444739
2006-01-19,46.509998,46.68,44.599998,45.240002,298700,33.547471
2006-01-20,45.240002,45.240002,44.200001,44.470001,163800,32.976482
2006-01-23,44.720001,44.720001,43.27,43.779999,261100,32.464814
2006-01-24,43.630001,44.400002,43.23,44.34,389000,32.88008
2006-01-25,44.389999,44.48,43.91,44.189999,200700,32.768847
2006-01-26,44.950001,44.950001,44.040001,44.130001,216400,32.724356
2006-01-27,44.330002,44.740002,44.150002,44.720001,204900,33.161868
2006-01-30,44.299999,44.689999,44.029999,44.5,172300,32.998727
2006-01-31,44.5,44.950001,44.349998,44.950001,148200,33.332422
2006-02-01,44.75,44.75,44.459999,44.75,234400,33.184113
2006-02-02,44.700001,45.169998,44.389999,44.82,230400,33.236021
2006-02-03,44.799999,45.0,44.599998,44.75,95300,33.184113
2006-02-06,44.650002,45.330002,44.650002,45.099998,178900,33.443652
2006-02-07,45.049999,45.490002,44.900002,45.099998,190400,33.443652
2006-02-08,45.0,45.25,44.900002,45.049999,202100,33.406576
2006-02-09,44.82,45.450001,44.759998,45.150002,75400,33.480732
2006-02-10,45.25,45.349998,45.02,45.27,244000,33.569716
2006-02-13,45.07,45.259998,44.860001,45.009998,151500,33.376913
2006-02-14,45.009998,45.41,44.720001,44.860001,179000,33.265683
2006-02-15,44.389999,44.77,44.299999,44.650002,211600,33.10996
2006-02-16,44.630001,45.07,44.32,44.389999,194900,32.917157
2006-02-17,44.43,44.75,43.900002,44.639999,398400,33.102543
2006-02-21,44.889999,45.27,44.810001,44.860001,259700,33.265683
2006-02-22,45.110001,46.119999,45.110001,46.040001,192400,34.140706
2006-02-23,45.66,46.0,45.200001,45.27,168100,33.569716
2006-02-24,45.27,45.810001,45.099998,45.599998,91500,33.814425
2006-02-27,45.799999,46.43,45.799999,46.299999,136700,34.333506
2006-02-28,46.349998,46.599998,46.130001,46.470001,180100,34.45957
2006-03-01,46.470001,47.299999,46.259998,46.849998,183300,34.741355
2006-03-02,46.599998,46.66,46.209999,46.450001,279800,34.444739
2006-03-03,46.200001,46.889999,46.200001,46.619999,141800,34.5708
2006-03-06,46.790001,47.049999,46.32,46.619999,114600,34.5708
2006-03-07,46.369999,46.98,46.150002,46.580002,183500,34.541141
2006-03-08,46.25,46.5,45.830002,46.200001,161600,34.259353
2006-03-09,45.869999,46.990002,45.860001,46.93,127100,35.051045
2006-03-10,46.77,47.290001,46.490002,47.290001,157400,35.319922
2006-03-13,47.139999,47.450001,46.77,47.349998,118000,35.364733
2006-03-14,47.400002,48.48,47.32,48.48,259800,36.208707
2006-03-15,48.400002,48.849998,48.119999,48.759998,239300,36.417832
2006-03-16,48.759998,48.849998,48.200001,48.849998,286600,36.485052
2006-03-17,48.849998,49.970001,48.830002,49.93,378400,37.291683
