Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,18.379999,18.620001,17.74,18.5,647800,16.447806
2006-01-04,18.360001,18.940001,18.360001,18.85,420500,16.758981
2006-01-05,18.83,19.120001,18.83,19.030001,374400,16.919014
2006-01-06,19.17,19.219999,18.74,19.209999,285800,17.079045
2006-01-09,19.18,19.370001,18.91,19.309999,265800,17.167952
2006-01-10,19.110001,19.530001,19.110001,19.48,358200,17.319094
2006-01-11,19.360001,19.5,19.110001,19.459999,270800,17.301312
2006-01-12,19.33,19.49,18.959999,19.02,217300,16.910123
2006-01-13,19.129999,19.129999,18.76,18.85,311100,16.758981
2006-01-17,18.73,18.74,18.450001,18.450001,282300,16.403353
2006-01-18,18.4,18.690001,17.93,18.620001,312900,16.554495
2006-01-19,18.620001,19.09,18.08,19.01,265800,16.901232
2006-01-20,19.07,19.07,18.27,18.41,357400,16.367789
2006-01-23,18.48,18.9,18.450001,18.610001,548500,16.545604
2006-01-24,22.459999,24.969999,22.440001,24.940001,7001900,22.173421
2006-01-25,24.25,25.1,23.35,24.110001,1963000,21.435492
2006-01-26,24.120001,25.0,24.059999,24.440001,1043700,21.728885
2006-01-27,23.889999,24.52,23.5,24.290001,857400,21.595525
2006-01-30,24.129999,24.889999,24.049999,24.4,625200,21.693322
2006-01-31,25.09,25.950001,25.030001,25.83,1317300,22.964693
2006-02-01,25.9,25.92,25.4,25.59,587200,22.751316
2006-02-02,25.5,25.719999,24.35,24.85,718000,22.093404
2006-02-03,24.92,25.450001,24.51,25.24,487700,22.440141
2006-02-06,25.219999,25.26,24.6,24.93,354600,22.16453
2006-02-07,24.809999,25.43,24.59,24.6,592200,21.871136
2006-02-08,24.65,25.01,24.450001,24.6,378000,21.871136
2006-02-09,24.58,24.82,24.35,24.42,252800,21.711103
2006-02-10,24.379999,24.690001,23.780001,24.629999,604800,21.897807
2006-02-13,24.5,25.1,23.879999,24.139999,594000,21.462163
2006-02-14,24.280001,24.540001,23.799999,24.290001,345300,21.595525
2006-02-15,24.25,24.969999,24.25,24.969999,387800,22.200092
2006-02-16,24.870001,25.459999,24.75,25.26,707700,22.457923
2006-02-17,25.370001,25.73,24.91,25.25,453800,22.449032
2006-02-21,25.25,25.74,25.120001,25.16,499400,22.369015
2006-02-22,25.309999,25.879999,25.110001,25.620001,440700,22.777989
2006-02-23,25.5,25.73,25.280001,25.299999,285600,22.493485
2006-02-24,25.389999,25.5,25.26,25.299999,405900,22.493485
2006-02-27,25.299999,25.879999,25.290001,25.75,314600,22.893567
2006-02-28,25.700001,26.469999,25.639999,25.75,783400,22.893567
2006-03-01,25.93,26.48,25.66,26.469999,448200,23.533697
2006-03-02,26.5,27.0,26.27,26.950001,606600,23.960453
2006-03-03,27.0,27.52,26.879999,27.379999,727400,24.342751
2006-03-06,27.299999,27.469999,26.59,26.59,730100,23.640387
2006-03-07,26.41,27.360001,26.41,27.049999,652500,24.049358
2006-03-08,27.1,27.309999,26.620001,27.040001,581400,24.040469
2006-03-09,25.639999,26.969999,25.209999,26.370001,1266400,23.444792
2006-03-10,26.559999,27.16,26.16,26.59,600000,23.640387
2006-03-13,26.620001,26.860001,25.42,25.540001,829300,22.706863
2006-03-14,25.42,25.82,25.27,25.32,560700,22.511267
2006-03-15,25.450001,25.459999,25.059999,25.209999,650900,22.413468
2006-03-16,25.43,25.690001,25.17,25.26,465100,22.457923
2006-03-17,25.389999,25.610001,24.870001,25.299999,1050000,22.493485
2006-03-20,25.790001,25.790001,25.299999,25.360001,723600,22.54683
2006-03-21,24.58,25.469999,24.450001,24.58,692400,21.853355
2006-03-22,24.66,24.709999,24.07,24.68,662300,21.942262
2006-03-23,24.700001,24.82,24.33,24.51,369700,21.79112
2006-03-24,24.67,24.700001,24.450001,24.58,406300,21.853355
2006-03-27,24.75,24.75,24.23,24.290001,543400,21.595525
2006-03-28,24.43,24.51,24.34,24.42,548100,21.711103
2006-03-29,24.59,24.889999,24.09,24.860001,592000,22.102295
2006-03-30,24.99,25.24,24.85,24.959999,426300,22.191201
2006-03-31,24.799999,25.120001,23.940001,24.52,672300,21.800011
2006-04-03,24.65,24.860001,24.41,24.469999,501300,21.755556
2006-04-04,24.6,24.74,24.17,24.42,410400,21.711103
2006-04-05,24.35,24.75,24.280001,24.49,363000,21.773338
2006-04-06,24.620001,24.620001,24.33,24.379999,327100,21.67554
2006-04-07,24.610001,24.620001,24.200001,24.360001,376600,21.65776
2006-04-10,24.360001,24.360001,21.51,21.799999,2098700,19.381738
2006-04-11,21.809999,22.440001,21.41,22.15,1298400,19.692913
2006-04-12,22.17,22.57,22.09,22.57,574900,20.066323
2006-04-13,22.639999,22.85,22.49,22.799999,502100,20.270808
2006-04-17,22.92,22.93,22.530001,22.639999,665700,20.128557
2006-04-18,22.639999,23.299999,22.549999,23.299999,611500,20.715344
2006-04-19,23.41,23.440001,23.17,23.24,501200,20.662
2006-04-20,23.24,23.280001,22.889999,23.200001,383900,20.626438
2006-04-21,23.33,23.639999,23.01,23.15,550400,20.581983
2006-04-24,22.959999,23.049999,22.65,22.709999,455700,20.190792
2006-04-25,22.700001,22.83,22.32,22.5,494000,20.004088
2006-04-26,22.629999,22.790001,22.33,22.450001,347400,19.959635
2006-04-27,22.49,29.129999,22.309999,27.01,6468500,24.013796
2006-04-28,26.75,26.799999,25.08,25.32,2043300,22.511267
2006-05-01,25.530001,26.08,25.450001,25.51,670000,22.68019
2006-05-02,25.719999,25.870001,25.290001,25.42,430500,22.600174
2006-05-03,25.450001,25.49,25.049999,25.15,585300,22.360125
2006-05-04,26.799999,27.85,26.5,27.33,1978400,24.298299
2006-05-05,27.5,28.26,27.5,28.07,1176300,24.956211
2006-05-08,27.92,28.280001,27.389999,28.27,564700,25.134025
2006-05-09,28.299999,28.49,27.99,28.1,542300,24.982883
2006-05-10,28.0,28.139999,26.940001,26.950001,876600,23.960453
2006-05-11,27.129999,27.379999,26.76,26.98,601600,23.987124
2006-05-12,26.9,26.99,26.059999,26.33,933600,23.409228
2006-05-15,26.139999,26.43,26.02,26.26,502800,23.346993
2006-05-16,26.26,26.299999,25.66,25.74,507700,22.884676
2006-05-17,25.620001,26.040001,25.1,25.219999,540300,22.422359
2006-05-18,25.26,25.76,25.120001,25.139999,490700,22.351234
2006-05-19,25.07,25.35,24.75,25.18,623400,22.386797
