Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,13.05,13.8,13.05,13.67,5446200,13.67
2006-01-04,13.58,14.1,13.55,13.82,7676200,13.82
2006-01-05,13.9,14.51,13.85,14.41,4434200,14.41
2006-01-06,14.5,14.58,14.23,14.42,5315800,14.42
2006-01-09,14.54,14.55,14.26,14.44,3227600,14.44
2006-01-10,14.22,14.4,14.16,14.32,4624400,14.32
2006-01-11,14.29,14.58,14.22,14.49,2166400,14.49
2006-01-12,14.42,14.45,14.22,14.24,2063700,14.24
2006-01-13,14.25,14.29,14.04,14.19,1702000,14.19
2006-01-17,14.02,14.1,13.86,14.01,1411800,14.01
2006-01-18,13.65,13.9,13.37,13.69,6084800,13.69
2006-01-19,14.22,14.62,13.99,14.38,3632900,14.38
2006-01-20,14.35,14.38,13.95,13.98,2795400,13.98
2006-01-23,13.98,14.06,13.7,13.73,2553900,13.73
2006-01-24,13.71,14.25,13.7,13.96,3217100,13.96
2006-01-25,14.0,14.18,13.65,13.83,3025400,13.83
2006-01-26,14.0,14.51,13.78,14.51,4868300,14.51
2006-01-27,14.3,14.84,13.95,14.3,9684100,14.3
2006-01-30,14.33,14.39,14.07,14.08,1752500,14.08
2006-01-31,14.05,14.08,13.72,13.89,3162300,13.89
2006-02-01,13.75,14.15,13.68,14.12,3809000,14.12
2006-02-02,14.05,14.26,13.53,13.72,2901200,13.72
2006-02-03,13.62,14.29,13.51,14.02,5434200,14.02
2006-02-06,13.97,14.18,13.75,14.12,3123700,14.12
2006-02-07,14.05,14.2,13.85,13.98,3181500,13.98
2006-02-08,14.25,14.74,14.23,14.72,3517700,14.72
2006-02-09,14.75,15.05,14.5,14.73,4719600,14.73
2006-02-10,14.66,14.74,14.19,14.54,2838200,14.54
2006-02-13,14.53,14.66,14.41,14.46,2242700,14.46
2006-02-14,14.53,14.91,14.19,14.77,3538000,14.77
2006-02-15,14.71,14.75,14.41,14.57,3929800,14.57
2006-02-16,14.66,14.89,14.61,14.86,1559200,14.86
2006-02-17,14.81,14.91,14.65,14.81,3577700,14.81
2006-02-21,14.8,14.81,14.26,14.4,2979200,14.4
2006-02-22,14.46,14.88,14.07,14.85,2918000,14.85
2006-02-23,14.76,14.94,14.64,14.69,3409200,14.69
2006-02-24,14.76,15.02,14.69,15.0,2089900,15.0
2006-02-27,14.98,15.23,14.96,15.23,3004900,15.23
2006-02-28,15.24,15.25,14.79,14.85,2599200,14.85
2006-03-01,14.94,15.62,14.78,15.52,3420700,15.52
2006-03-02,15.5,15.64,15.17,15.42,2254800,15.42
2006-03-03,15.25,15.41,15.03,15.06,2553600,15.06
2006-03-06,15.17,15.25,14.6,14.69,2401100,14.69
2006-03-07,14.6,14.67,14.05,14.34,3545900,14.34
2006-03-08,14.25,14.3,13.9,14.1,3655300,14.1
2006-03-09,14.09,14.24,13.69,13.76,2413400,13.76
2006-03-10,13.8,13.83,13.46,13.6,2273400,13.6
2006-03-13,13.63,13.78,13.36,13.41,2645400,13.41
2006-03-14,13.41,14.2,13.36,13.98,4965500,13.98
2006-03-15,14.04,14.21,13.99,14.1,2519300,14.1
2006-03-16,14.2,14.24,13.7,13.75,2113600,13.75
2006-03-17,13.71,14.07,13.42,13.71,6486200,13.71
2006-03-20,13.77,13.97,13.49,13.63,2548600,13.63
2006-03-21,13.45,14.05,13.41,13.45,2920600,13.45
2006-03-22,13.4,13.81,13.3,13.76,2066500,13.76
2006-03-23,13.81,14.07,13.69,13.85,1918300,13.85
2006-03-24,13.89,14.2,13.8,14.1,1850400,14.1
2006-03-27,14.12,14.31,14.0,14.21,1286200,14.21
2006-03-28,14.25,14.47,14.07,14.09,2598800,14.09
2006-03-29,14.17,14.87,14.13,14.74,3424800,14.74
2006-03-30,14.84,14.99,14.62,14.69,3553100,14.69
2006-03-31,14.8,14.91,14.63,14.86,1832500,14.86
2006-04-03,14.91,15.49,14.74,15.24,4257200,15.24
2006-04-04,15.11,15.51,15.01,15.21,5154600,15.21
