Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,30.879999,31.0,30.120001,30.74,1671400,24.126716
2006-01-04,30.67,31.07,30.59,31.040001,2369500,24.362176
2006-01-05,31.0,31.0,30.299999,30.530001,1891600,23.961895
2006-01-06,30.75,30.98,30.610001,30.870001,2073600,24.228749
2006-01-09,30.75,31.1,30.75,30.92,1445300,24.267992
2006-01-10,30.719999,31.25,30.700001,31.15,2322000,24.44851
2006-01-11,31.15,31.549999,31.110001,31.450001,2066800,24.68397
2006-01-12,31.49,32.07,31.290001,31.639999,2241300,24.833093
2006-01-13,31.719999,32.029999,31.559999,31.76,1327700,24.927277
2006-01-17,32.0,32.16,31.77,32.099998,2579000,25.19413
2006-01-18,32.0,32.25,31.860001,31.92,2594200,25.052855
2006-01-19,34.099998,35.529999,34.0,35.32,22038800,27.721392
2006-01-20,35.27,36.59,35.119999,35.450001,8975000,27.823425
2006-01-23,35.450001,36.09,35.360001,35.669998,5694800,27.996093
2006-01-24,35.59,35.91,35.279999,35.720001,4535200,28.035339
2006-01-25,35.43,35.599998,35.169998,35.43,5120700,27.807728
2006-01-26,35.43,35.810001,35.43,35.810001,2608100,28.105977
2006-01-27,35.700001,36.0,35.669998,35.990002,2043000,28.247253
2006-01-30,36.0,36.110001,35.779999,35.799999,1717400,28.098127
2006-01-31,35.75,35.98,35.73,35.779999,2068700,28.082429
2006-02-01,35.25,36.049999,35.209999,36.049999,2127000,28.294343
2006-02-02,36.07,36.200001,35.740002,35.900002,4138700,28.176615
2006-02-03,34.950001,36.0,34.950001,35.830002,1618400,28.121675
2006-02-06,35.73,36.16,35.43,36.09,3103400,28.325738
2006-02-07,36.0,36.330002,35.900002,36.0,2779700,28.2551
2006-02-08,36.66,37.18,35.959999,36.25,4479200,28.451316
2006-02-09,36.43,36.560001,36.150002,36.209999,2275400,28.419921
2006-02-10,36.25,36.93,36.209999,36.84,2402500,28.914386
2006-02-13,36.700001,37.07,36.650002,36.82,1447800,28.898688
2006-02-14,36.77,36.779999,36.25,36.599998,2224500,28.726017
2006-02-15,36.380001,36.59,36.25,36.560001,2475300,28.694625
2006-02-16,36.549999,36.75,36.349998,36.73,971100,28.82805
2006-02-17,36.66,36.669998,36.25,36.41,1194800,28.576894
2006-02-21,36.41,36.5,35.650002,35.740002,2778600,28.051037
2006-02-22,35.700001,35.790001,35.459999,35.650002,2440900,27.980399
2006-02-23,35.650002,36.130001,35.599998,35.77,2504300,28.074582
