Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,7.18,7.28,7.14,7.22,510500,7.22
2006-01-04,7.28,7.48,7.25,7.4,934600,7.4
2006-01-05,7.4,7.63,7.4,7.63,605800,7.63
2006-01-06,7.6,7.7,7.29,7.38,499900,7.38
2006-01-09,7.35,7.98,7.32,7.82,910700,7.82
2006-01-10,7.85,7.91,7.7,7.76,446300,7.76
2006-01-11,7.8,7.82,7.55,7.72,356500,7.72
2006-01-12,7.79,7.9,7.5,7.75,369400,7.75
2006-01-13,7.81,7.81,7.6,7.75,518200,7.75
2006-01-17,7.7,7.79,7.5,7.54,404800,7.54
2006-01-18,7.5,7.59,7.41,7.46,212000,7.46
2006-01-19,7.43,7.68,7.41,7.51,294500,7.51
2006-01-20,7.5,7.65,7.47,7.51,327100,7.51
2006-01-23,7.5,7.6,7.38,7.39,406700,7.39
2006-01-24,7.37,7.71,7.36,7.62,580900,7.62
2006-01-25,7.67,7.7,7.37,7.5,440700,7.5
2006-01-26,7.79,8.02,7.57,8.02,2051800,8.02
2006-01-27,8.23,8.3,8.06,8.2,1438800,8.2
2006-01-30,8.19,8.27,8.1,8.12,389900,8.12
2006-01-31,8.1,8.27,8.07,8.15,528100,8.15
2006-02-01,8.27,8.35,8.2,8.35,578900,8.35
2006-02-02,8.35,8.44,8.26,8.35,472800,8.35
2006-02-03,8.32,8.42,8.19,8.29,487700,8.29
2006-02-06,8.2,8.35,8.2,8.29,449400,8.29
2006-02-07,8.3,8.3,8.01,8.01,438800,8.01
2006-02-08,8.1,8.1,7.87,8.04,801300,8.04
2006-02-09,8.17,8.17,7.95,7.98,424800,7.98
2006-02-10,8.0,8.0,7.6,7.67,633700,7.67
2006-02-13,7.71,7.83,7.65,7.7,159100,7.7
2006-02-14,7.75,7.9,7.66,7.81,416100,7.81
2006-02-15,7.81,7.9,7.75,7.79,223900,7.79
2006-02-16,7.77,7.86,7.77,7.82,236600,7.82
2006-02-17,8.32,8.94,8.32,8.6,1441000,8.6
2006-02-21,8.59,8.93,8.55,8.84,821600,8.84
2006-02-22,8.82,9.37,8.82,9.34,1146100,9.34
2006-02-23,9.3,10.03,9.25,9.68,1147700,9.68
2006-02-24,9.72,9.9,9.45,9.81,682700,9.81
2006-02-27,9.81,9.85,9.25,9.35,610700,9.35
2006-02-28,9.3,9.34,9.1,9.1,287100,9.1
2006-03-01,9.1,9.25,9.08,9.18,447900,9.18
2006-03-02,9.25,9.45,9.2,9.24,228400,9.24
2006-03-03,9.24,9.4,9.18,9.3,230800,9.3
2006-03-06,9.37,9.55,9.2,9.33,271400,9.33
2006-03-07,9.35,9.46,9.12,9.14,322600,9.14
2006-03-08,9.17,9.52,9.08,9.5,416800,9.5
2006-03-09,10.54,10.95,10.05,10.35,7623700,10.35
2006-03-10,10.59,10.75,10.5,10.67,1722600,10.67
2006-03-13,10.74,10.86,10.5,10.85,776300,10.85
2006-03-14,10.76,10.85,10.62,10.7,554500,10.7
2006-03-15,10.7,10.75,10.5,10.52,1243000,10.52
2006-03-16,10.5,10.57,10.14,10.15,1295900,10.15
2006-03-17,10.14,10.35,10.1,10.31,527600,10.31
2006-03-20,10.36,10.43,10.19,10.35,940400,10.35
2006-03-21,10.37,10.45,10.25,10.37,933500,10.37
2006-03-22,10.43,10.43,10.15,10.22,626600,10.22
2006-03-23,10.33,10.35,10.2,10.28,393900,10.28
2006-03-24,10.29,10.3,10.17,10.19,410800,10.19
2006-03-27,10.25,10.25,10.08,10.11,523500,10.11
2006-03-28,10.1,10.15,9.9,10.09,891700,10.09
2006-03-29,10.07,10.14,9.93,10.1,487500,10.1
2006-03-30,10.09,10.18,10.02,10.13,375400,10.13
2006-03-31,10.19,10.27,10.13,10.15,438500,10.15
2006-04-03,10.27,10.34,10.15,10.24,235500,10.24
2006-04-04,10.21,10.29,10.17,10.24,225700,10.24
2006-04-05,10.21,10.38,10.11,10.15,334100,10.15
2006-04-06,10.12,10.15,10.06,10.11,216600,10.11
2006-04-07,10.1,10.15,10.0,10.01,313500,10.01
2006-04-10,10.0,10.25,10.0,10.12,348300,10.12
2006-04-11,10.15,10.16,10.03,10.04,274300,10.04
