Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,11.46,11.94,11.4,11.93,1421600,11.93
2013-01-03,11.93,12.26,11.88,11.99,1082300,11.99
2013-01-04,12.04,12.35,12.0,12.27,1082000,12.27
2013-01-07,12.19,12.68,12.04,12.41,1061600,12.41
2013-01-08,12.44,12.92,12.31,12.91,1666200,12.91
2013-01-09,12.93,13.0,12.43,12.79,2059700,12.79
2013-01-10,12.89,12.89,12.41,12.44,890300,12.44
2013-01-11,12.45,12.55,12.32,12.51,649100,12.51
2013-01-14,12.55,12.8,12.51,12.68,629400,12.68
2013-01-15,12.61,12.64,12.34,12.6,1222500,12.6
2013-01-16,12.55,12.63,12.44,12.49,634000,12.49
2013-01-17,12.51,12.67,12.28,12.56,1391600,12.56
2013-01-18,12.63,12.66,12.49,12.61,739600,12.61
2013-01-22,12.66,13.06,12.45,13.04,2047000,13.04
2013-01-23,13.16,13.45,13.1,13.24,3220700,13.24
2013-01-24,13.42,14.93,13.18,14.76,7522800,14.76
2013-01-25,14.73,15.18,14.62,15.1,3507900,15.1
2013-01-28,15.06,15.26,14.83,15.2,3681500,15.2
2013-01-29,15.14,15.2,14.57,14.73,2459700,14.73
2013-01-30,14.52,14.72,14.1,14.41,2411400,14.41
2013-01-31,14.42,14.62,14.19,14.6,1784600,14.6
2013-02-01,14.69,14.73,14.22,14.34,1361500,14.34
2013-02-04,14.2,14.48,13.95,14.19,1490300,14.19
2013-02-05,14.26,14.68,14.18,14.36,1676700,14.36
2013-02-06,14.34,15.04,14.34,14.8,2436400,14.8
2013-02-07,14.8,14.86,14.15,14.2,1801900,14.2
2013-02-08,14.24,14.71,14.24,14.38,1486600,14.38
2013-02-11,14.4,15.02,14.28,14.97,2938700,14.97
2013-02-12,15.05,15.96,14.4,14.78,6918100,14.78
2013-02-13,14.76,14.83,13.77,14.03,4704000,14.03
2013-02-14,13.93,14.43,13.36,14.34,2805800,14.34
2013-02-15,14.47,14.55,13.92,14.21,1555300,14.21
2013-02-19,14.24,14.54,13.88,14.29,2670500,14.29
2013-02-20,14.31,14.37,13.7,13.75,2604000,13.75
2013-02-21,13.71,13.75,13.0,13.24,2851600,13.24
2013-02-22,13.35,13.83,13.33,13.5,1915600,13.5
2013-02-25,13.59,13.66,13.0,13.01,2004000,13.01
2013-02-26,13.1,13.28,12.09,12.2,5253100,12.2
2013-02-27,11.95,12.17,11.54,11.75,4566600,11.75
2013-02-28,11.68,12.06,11.36,12.02,3029800,12.02
2013-03-01,11.88,11.88,11.01,11.4,3609800,11.4
2013-03-04,11.4,11.47,11.2,11.27,1338700,11.27
2013-03-05,11.33,11.43,11.02,11.22,1552400,11.22
2013-03-06,11.23,11.45,11.15,11.23,1149100,11.23
2013-03-07,11.59,12.2,11.42,11.48,1932700,11.48
2013-03-08,11.5,12.13,11.3,11.73,2936400,11.73
2013-03-11,11.75,12.33,11.69,12.11,2147000,12.11
2013-03-12,12.16,12.19,11.58,11.67,1988700,11.67
2013-03-13,11.67,11.96,11.5,11.51,1998100,11.51
2013-03-14,11.53,11.66,11.38,11.64,898900,11.64
2013-03-15,11.65,11.98,11.43,11.47,1665900,11.47
2013-03-18,11.38,11.67,11.21,11.54,857100,11.54
2013-03-19,11.55,11.59,11.05,11.3,1248700,11.3
2013-03-20,11.36,11.45,10.76,10.8,2220700,10.8
2013-03-21,10.83,10.83,10.2,10.24,2719400,10.24
2013-03-22,10.39,10.98,10.34,10.38,3838700,10.38
2013-03-25,10.45,10.72,10.39,10.67,1677300,10.67
2013-03-26,10.67,10.84,10.58,10.72,1058300,10.72
2013-03-27,10.58,10.86,10.5,10.85,1116900,10.85
2013-03-28,10.81,10.89,10.62,10.68,1107300,10.68
2013-04-01,10.71,10.74,10.35,10.38,1261000,10.38
