Date,Open,High,Low,Close,Volume,Adj Close
2010-11-12,15.45,16.0,15.36,15.63,173200,15.63
2010-11-15,15.8,16.120001,15.4,15.84,238100,15.84
2010-11-16,15.68,16.440001,15.55,15.9,315500,15.9
2010-11-17,16.25,16.25,15.9,16.0,274500,16.0
2010-11-18,16.32,16.58,16.01,16.200001,282800,16.200001
2010-11-19,16.280001,16.280001,15.15,15.18,133700,15.18
2010-11-22,15.06,15.37,14.8,15.13,151100,15.13
2010-11-23,15.0,15.25,14.85,15.12,78800,15.12
2010-11-24,15.42,16.059999,15.2,15.65,51000,15.65
2010-11-26,15.35,15.5,15.27,15.48,20700,15.48
2010-11-29,15.42,15.79,15.42,15.57,74600,15.57
2010-11-30,15.52,15.96,15.5,15.9,9600,15.9
2010-12-01,15.92,16.08,15.79,15.95,154200,15.95
2010-12-02,16.030001,16.030001,15.54,15.85,94000,15.85
2010-12-03,15.57,16.469999,15.57,16.200001,137800,16.200001
2010-12-06,16.09,16.959999,16.09,16.77,212300,16.77
2010-12-07,16.93,18.360001,16.85,17.83,255400,17.83
2010-12-08,18.18,18.48,17.950001,18.280001,195400,18.280001
2010-12-09,18.84,19.83,18.450001,19.209999,342500,19.209999
2010-12-10,19.209999,19.780001,18.57,19.48,87200,19.48
2010-12-13,19.4,19.65,19.040001,19.610001,84800,19.610001
2010-12-14,19.559999,19.559999,18.48,18.77,142200,18.77
2010-12-15,18.57,18.889999,17.49,18.389999,96700,18.389999
2010-12-16,18.42,18.73,17.950001,18.26,51100,18.26
2010-12-17,18.25,18.559999,17.52,18.370001,626700,18.370001
2010-12-20,18.469999,18.530001,17.9,18.33,95100,18.33
2010-12-21,19.0,19.77,18.360001,19.76,342200,19.76
2010-12-22,19.610001,20.190001,19.27,19.9,240300,19.9
2010-12-23,20.040001,20.040001,19.370001,20.01,76100,20.01
2010-12-27,19.879999,20.48,19.700001,20.389999,67500,20.389999
2010-12-28,20.360001,20.940001,19.889999,20.41,247900,20.41
2010-12-29,20.540001,20.68,20.4,20.559999,113600,20.559999
2010-12-30,20.559999,20.780001,20.17,20.200001,53500,20.200001
2010-12-31,20.209999,20.6,19.99,20.09,126700,20.09
