Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,11.05,11.08,10.99,11.06,2234900,4.069478
2006-01-04,11.06,11.100001,11.0,11.09,788400,4.080516
2006-01-05,11.100001,11.130001,11.05,11.100001,690700,4.084196
2006-01-06,11.12,11.240001,11.12,11.21,566800,4.12467
2006-01-09,11.22,11.4,11.15,11.38,640500,4.18722
2006-01-10,11.43,11.65,11.38,11.65,849000,4.286566
2006-01-11,11.69,11.7,11.54,11.68,1012700,4.297604
2006-01-12,11.65,11.68,11.580001,11.66,401900,4.290245
2006-01-13,11.68,11.72,11.49,11.71,551600,4.308643
2006-01-17,11.670001,11.75,11.52,11.74,377200,4.319681
2006-01-18,11.7,11.76,11.68,11.71,263800,4.308643
2006-01-19,11.75,11.9,11.68,11.89,617100,4.374873
2006-01-20,11.94,11.950001,11.8,11.950001,755500,4.39695
2006-01-23,11.950001,11.950001,11.86,11.92,334400,4.385911
2006-01-24,11.9,11.950001,11.88,11.950001,441700,4.39695
2006-01-25,11.950001,11.980001,11.83,11.97,424100,4.404308
2006-01-26,11.99,12.05,11.950001,12.04,766400,4.430065
2006-01-27,12.04,12.2,11.9,12.180001,647400,4.481577
2006-01-30,12.2,12.23,11.9,12.150001,528400,4.470539
2006-01-31,12.2,12.2,11.75,11.980001,521000,4.407988
2006-02-01,11.86,12.03,11.810001,12.0,501300,4.415347
2006-02-02,12.04,12.04,11.02,11.99,1135800,4.411668
2006-02-03,12.0,12.0,11.9,11.91,285900,4.382232
2006-02-06,11.91,11.97,11.82,11.96,428200,4.400629
2006-02-07,11.97,11.980001,11.74,11.74,812300,4.319681
2006-02-08,11.7,11.950001,11.7,11.93,333100,4.389591
2006-02-09,11.97,11.97,11.75,11.88,206200,4.371193
2006-02-10,11.840001,11.89,11.640001,11.82,542900,4.349117
2006-02-13,11.75,11.9,11.75,11.840001,310200,4.356476
2006-02-14,11.88,11.980001,11.85,11.96,328000,4.400629
2006-02-15,11.980001,12.0,11.82,12.0,911700,4.415347
2006-02-16,12.0,12.25,11.980001,12.25,1164300,4.507333
2006-02-17,12.25,12.26,12.1,12.22,803900,4.496295
2006-02-21,12.22,12.22,12.03,12.13,287000,4.46318
2006-02-22,12.180001,12.22,12.13,12.2,516100,4.488936
2006-02-23,12.2,12.26,12.14,12.23,334900,4.499974
2006-02-24,12.19,12.25,11.97,12.180001,560000,4.481577
2006-02-27,12.210001,12.29,12.120001,12.27,542900,4.514692
2006-02-28,12.23,12.46,12.16,12.45,771800,4.580922
2006-03-01,12.490001,12.7,12.41,12.68,695100,4.66555
2006-03-02,12.7,12.74,12.63,12.71,458300,4.676588
2006-03-03,12.720001,12.83,12.65,12.77,602300,4.698665
2006-03-06,12.74,12.890001,12.51,12.79,573700,4.706024
2006-03-07,12.750001,12.84,12.65,12.84,333900,4.724421
2006-03-08,12.83,12.95,12.74,12.9,343600,4.746498
2006-03-09,12.95,13.0,12.83,13.0,370800,4.783292
2006-03-10,12.97,13.05,12.88,13.05,450900,4.80169
2006-03-13,13.060001,13.14,13.01,13.030001,300700,4.794331
2006-03-14,13.01,13.22,13.0,13.200001,546700,4.856882
2006-03-15,13.19,13.45,13.18,13.42,477600,4.93783
2006-03-16,13.460001,14.49,13.39,13.75,790900,5.059252
2006-03-17,13.81,13.92,13.52,13.85,1462800,5.096046
2006-03-20,13.9,14.000001,13.75,13.98,609200,5.143879
2006-03-21,13.95,13.95,13.7,13.75,651200,5.059252
2006-03-22,13.79,13.82,13.67,13.7,501300,5.040854
2006-03-23,13.73,13.740001,13.55,13.67,449800,5.029816
2006-03-24,13.7,13.7,13.400001,13.62,350200,5.011419
2006-03-27,13.570001,13.7,13.42,13.5,685100,4.967265
2006-03-28,13.54,13.79,13.5,13.68,765400,5.033495
2006-03-29,13.740001,13.9,13.62,13.87,617800,5.103405
2006-03-30,13.92,13.970001,13.7,13.940001,371600,5.129162
2006-03-31,13.800001,13.95,13.69,13.940001,854600,5.129162
2006-04-03,13.9,13.940001,13.71,13.800001,489900,5.077649
2006-04-04,13.85,13.9,13.58,13.64,962200,5.018778
2006-04-05,13.71,13.9,13.62,13.85,1440400,5.096046
2006-04-06,13.89,13.93,13.7,13.800001,965300,5.077649
2006-04-07,13.85,13.85,13.52,13.56,1144500,4.989342
2006-04-10,13.52,13.55,13.41,13.45,1357000,4.948868
2006-04-11,13.42,13.48,12.750001,13.04,1083000,4.79801
2006-04-12,12.95,13.39,12.920001,13.36,666000,4.915753
2006-04-13,13.33,13.5,13.260001,13.460001,395600,4.952548
2006-04-17,13.41,13.49,13.22,13.35,373100,4.912074
2006-04-18,13.42,13.800001,13.35,13.65,811800,5.022457
2006-04-19,13.71,13.830001,13.55,13.770001,1051200,5.066611
2006-04-20,13.75,13.89,13.73,13.88,1171500,5.107084
2006-04-21,13.9,13.93,13.79,13.87,419300,5.103405
2006-04-24,13.9,13.970001,13.82,13.88,727900,5.107084
2006-04-25,13.85,13.96,13.770001,13.86,465100,5.099726
2006-04-26,13.9,13.95,13.85,13.91,501100,5.118123
2006-04-27,13.88,13.970001,13.75,13.970001,986200,5.1402
2006-04-28,13.9,13.970001,13.9,13.970001,621100,5.1402
2006-05-01,13.940001,13.98,13.87,13.940001,574500,5.129162
2006-05-02,13.9,14.000001,13.9,13.970001,459800,5.1402
2006-05-03,13.970001,13.99,13.92,13.98,265600,5.143879
2006-05-04,13.95,14.000001,13.91,13.98,256900,5.143879
2006-05-05,13.98,13.99,13.95,13.96,198800,5.13652
2006-05-08,13.970001,13.970001,13.75,13.88,285200,5.107084
2006-05-09,13.85,13.940001,13.800001,13.830001,216600,5.088687
2006-05-10,13.85,13.85,13.53,13.69,240100,5.037175
2006-05-11,13.69,13.71,13.28,13.3,368800,4.893676
2006-05-12,13.31,13.44,13.15,13.17,356600,4.845843
2006-05-15,13.15,13.44,12.97,13.34,450400,4.908394
2006-05-16,13.38,13.460001,13.260001,13.45,219200,4.948868
2006-05-17,13.38,13.44,13.19,13.32,267800,4.901035
2006-05-18,13.37,13.45,13.230001,13.400001,787300,4.930471
2006-05-19,13.31,13.570001,13.200001,13.44,818200,4.945189
2006-05-22,13.430001,13.75,13.42,13.61,547200,5.007739
2006-05-23,13.7,13.9,13.570001,13.7,338500,5.040854
2006-05-24,13.67,13.740001,13.41,13.68,443000,5.033495
2006-05-25,13.75,13.800001,13.570001,13.800001,353200,5.077649
2006-05-26,13.78,13.800001,13.62,13.79,139900,5.073969
2006-05-30,13.72,13.72,13.35,13.36,346100,4.915753
2006-05-31,13.42,13.75,13.27,13.7,2157700,5.040854
2006-06-01,13.7,13.9,13.5,13.85,628000,5.096046
2006-06-02,13.800001,13.88,13.68,13.85,463400,5.096046
2006-06-05,13.78,13.78,13.260001,13.3,532400,4.893676
2006-06-06,13.290001,13.44,13.060001,13.35,636700,4.912074
2006-06-07,13.34,13.48,13.24,13.38,309100,4.923112
2006-06-08,13.32,13.66,13.13,13.53,484800,4.978304
2006-06-09,13.600001,13.64,13.37,13.51,287200,4.970945
2006-06-12,13.48,13.570001,13.25,13.39,325700,4.926791
2006-06-13,13.33,13.64,13.27,13.45,476600,4.948868
2006-06-14,13.42,13.54,13.12,13.28,740200,4.886317
2006-06-15,13.33,13.51,13.31,13.400001,648400,4.930471
2006-06-16,13.38,13.45,13.25,13.32,1642800,4.901035
2006-06-19,13.31,13.31,13.090001,13.200001,380500,4.856882
2006-06-20,13.16,13.28,13.090001,13.1,332300,4.820087
2006-06-21,13.1,13.400001,13.05,13.35,534500,4.912074
2006-06-22,13.35,13.39,13.200001,13.36,251500,4.915753
2006-06-23,13.290001,13.400001,13.230001,13.3,307600,4.893676
2006-06-26,13.39,13.39,13.15,13.32,442500,4.901035
2006-06-27,13.35,13.35,13.090001,13.1,542100,4.820087
2006-06-28,13.1,13.230001,13.08,13.15,496200,4.838484
2006-06-29,13.22,13.45,13.05,13.400001,800300,4.930471
2006-06-30,13.45,13.56,13.35,13.55,2216300,4.985663
2006-07-03,13.48,13.48,13.25,13.34,235700,4.908394
2006-07-05,13.32,13.430001,13.230001,13.38,536800,4.923112
2006-07-06,13.38,13.38,13.25,13.32,234700,4.901035
2006-07-07,13.260001,13.31,13.11,13.16,206200,4.842164
2006-07-10,13.11,13.3,13.11,13.260001,287700,4.878959
2006-07-11,13.21,13.38,13.15,13.3,375700,4.893676
2006-07-12,13.260001,13.35,13.230001,13.260001,257400,4.878959
2006-07-13,13.230001,13.38,13.02,13.25,553300,4.875279
2006-07-14,13.25,13.36,13.21,13.28,443500,4.886317
2006-07-17,13.25,13.38,13.230001,13.290001,394800,4.889997
2006-07-18,13.36,13.39,13.25,13.3,486600,4.893676
2006-07-19,13.35,13.47,13.3,13.400001,811600,4.930471
2006-07-20,13.45,13.45,13.260001,13.36,752200,4.915753
2006-07-21,13.31,13.37,13.22,13.28,868900,4.886317
2006-07-24,13.32,13.44,13.32,13.38,519700,4.923112
2006-07-25,13.35,13.44,13.260001,13.38,491100,4.923112
2006-07-26,13.33,13.42,13.25,13.400001,397600,4.930471
2006-07-27,13.42,13.44,13.28,13.39,188600,4.926791
2006-07-28,13.42,13.45,13.19,13.400001,582700,4.930471
2006-07-31,13.38,13.48,13.28,13.460001,410600,4.952548
2006-08-01,13.37,13.47,13.19,13.35,584700,4.912074
2006-08-02,13.430001,13.44,13.34,13.39,306100,4.926791
2006-08-03,13.34,13.5,13.28,13.44,570400,4.945189
2006-08-04,13.48,13.61,13.400001,13.61,461100,5.007739
2006-08-07,13.53,13.7,13.460001,13.68,348400,5.033495
2006-08-08,13.7,13.85,13.59,13.65,654300,5.022457
2006-08-09,13.75,13.88,13.44,13.45,222000,4.948868
2006-08-10,13.430001,13.71,13.3,13.59,365200,5.00038
2006-08-11,13.54,13.7,13.47,13.55,277300,4.985663
2006-08-14,13.630001,13.72,13.47,13.51,194700,4.970945
2006-08-15,13.67,13.71,13.5,13.67,230900,5.029816
2006-08-16,13.7,13.73,13.59,13.7,294900,5.040854
2006-08-17,13.65,13.800001,13.62,13.73,235000,5.051893
2006-08-18,13.78,13.85,13.600001,13.79,259900,5.073969
2006-08-21,13.73,13.89,13.7,13.87,453400,5.103405
2006-08-22,13.85,13.9,13.76,13.85,189600,5.096046
2006-08-23,13.85,13.89,13.65,13.79,279600,5.073969
2006-08-24,13.770001,13.84,13.64,13.76,258200,5.062931
2006-08-25,13.7,13.830001,13.67,13.79,145000,5.073969
2006-08-28,13.76,13.85,13.7,13.84,139900,5.092367
2006-08-29,13.82,13.970001,13.72,13.93,547500,5.125482
2006-08-30,13.9,14.25,13.9,14.200001,656800,5.224827
2006-08-31,14.25,14.4,14.21,14.370001,786300,5.287378
2006-09-01,14.39,14.5,14.35,14.35,346900,5.280019
2006-09-05,14.39,14.64,14.05,14.58,337700,5.364647
