Date,Open,High,Low,Close,Volume,Adj Close
2009-07-01,19.49,19.5,19.25,19.5,79900,6.790421
2009-07-02,19.43,19.85,19.43,19.620001,256100,6.832208
2009-07-06,19.75,19.85,19.5,19.549999,137100,6.807832
2009-07-07,19.5,19.700001,19.5,19.51,86800,6.793903
2009-07-08,19.51,19.790001,19.5,19.5,121800,6.790421
2009-07-09,19.58,19.75,19.540001,19.6,96700,6.825243
2009-07-10,19.67,19.92,19.540001,19.65,76100,6.842654
2009-07-13,19.66,19.780001,19.530001,19.75,80700,6.877477
2009-07-14,19.76,19.799999,19.549999,19.799999,76600,6.894888
2009-07-15,19.6,19.950001,19.6,19.85,167800,6.9123
2009-07-16,19.85,19.85,19.700001,19.790001,150600,6.891407
2009-07-17,19.790001,19.99,19.75,19.9,109700,6.929711
2009-07-20,20.0,20.0,19.77,19.950001,37700,6.947123
2009-07-21,19.950001,20.0,19.75,19.879999,66500,6.922746
2009-07-22,19.85,20.030001,19.82,20.030001,81000,6.974981
2009-07-23,20.049999,20.049999,19.85,20.030001,266800,6.974981
2009-07-24,20.059999,20.059999,19.76,19.76,140400,6.88096
2009-07-27,20.040001,20.049999,19.93,20.049999,407900,6.981945
2009-07-28,19.790001,20.040001,19.790001,20.0,59800,6.964534
2009-07-29,20.0,20.07,20.0,20.049999,57500,6.981945
2009-07-30,20.049999,20.049999,19.809999,20.0,55700,6.964534
2009-07-31,19.85,20.030001,19.809999,20.0,89900,6.964534
2009-08-03,20.0,20.01,19.870001,20.01,58000,6.968016
2009-08-04,19.860001,20.0,19.860001,19.950001,63800,6.947123
2009-08-05,19.879999,20.0,19.809999,19.950001,258900,6.947123
2009-08-06,19.870001,20.07,19.870001,19.950001,79800,6.947123
2009-08-07,19.959999,20.15,19.92,20.129999,104300,7.009803
2009-08-10,20.049999,20.200001,20.0,20.049999,56700,6.981945
2009-08-11,20.049999,20.049999,19.799999,20.02,72500,6.971499
2009-08-12,20.02,20.02,19.92,19.959999,29600,6.950605
2009-08-13,19.950001,20.139999,19.809999,19.969999,67600,6.954087
2009-08-14,19.99,20.049999,19.969999,20.049999,57900,6.981945
2009-08-17,19.870001,20.0,19.870001,19.93,56100,6.940158
2009-08-18,20.0,20.120001,19.91,20.0,128500,6.964534
2009-08-19,19.969999,20.18,19.940001,19.99,86300,6.961052
2009-08-20,19.950001,20.219999,19.950001,20.16,164300,7.02025
2009-08-21,20.17,20.25,20.040001,20.1,96600,6.999357
2009-08-24,20.23,20.23,20.0,20.1,144200,6.999357
2009-08-25,20.040001,20.040001,19.93,20.030001,138000,6.974981
2009-08-26,20.07,20.24,20.040001,20.139999,175700,7.013285
2009-08-27,20.1,20.17,20.08,20.120001,68200,7.006321
2009-08-28,20.09,20.17,20.07,20.1,63800,6.999357
2009-08-31,20.07,20.18,20.07,20.110001,29200,7.002839
2009-09-01,20.1,20.24,20.08,20.1,85700,6.999357
2009-09-02,20.1,20.18,20.08,20.16,47900,7.02025
2009-09-03,20.200001,20.200001,20.0,20.16,81900,7.02025
2009-09-04,20.190001,20.98,20.15,20.959999,116800,7.298831
2009-09-08,20.9,21.18,20.26,20.75,154300,7.225704
2009-09-09,20.799999,20.98,20.18,20.27,172800,7.058555
2009-09-10,20.35,20.639999,20.23,20.4,67000,7.103824
2009-09-11,20.450001,21.139999,20.450001,21.08,284400,7.340619
2009-09-14,21.0,21.790001,20.67,21.700001,115400,7.55652
2009-09-15,21.6,21.83,21.190001,21.5,123500,7.486874
2009-09-16,21.379999,21.950001,21.35,21.950001,78900,7.643576
2009-09-17,21.950001,22.0,20.950001,21.58,142700,7.514732
2009-09-18,21.450001,22.030001,21.290001,22.030001,111300,7.671434
2009-09-21,21.700001,21.950001,21.5,21.91,62100,7.629647
2009-09-22,21.879999,22.1,21.860001,21.950001,199500,7.643576
2009-09-23,22.18,22.18,21.67,21.93,122400,7.636612
2009-09-24,22.0,22.0,21.33,21.6,104300,7.521697
2009-09-25,21.4,21.77,21.26,21.42,27100,7.459016
2009-09-28,21.639999,21.809999,21.25,21.389999,67100,7.448569
2009-09-29,21.52,22.15,21.27,21.959999,181000,7.647058
2009-09-30,22.0,22.09,21.709999,21.85,633400,7.608753
2009-10-01,21.85,21.940001,21.25,21.77,91700,7.580895
2009-10-02,21.52,21.790001,21.309999,21.34,28000,7.431158
2009-10-05,21.6,21.6,21.120001,21.27,82000,7.406782
2009-10-06,21.32,21.48,21.15,21.41,60700,7.455534
2009-10-07,21.41,21.530001,21.27,21.360001,64600,7.438122
2009-10-08,21.459999,21.549999,21.26,21.290001,51400,7.413747
2009-10-09,21.25,21.34,21.08,21.25,35200,7.399817
2009-10-12,21.200001,21.299999,20.860001,20.870001,55600,7.267491
2009-10-13,20.91,21.07,20.469999,21.0,60000,7.312761
2009-10-14,21.16,21.17,20.969999,21.08,183000,7.340619
2009-10-15,21.0,21.200001,20.9,21.200001,125400,7.382406
2009-10-16,21.09,21.110001,20.92,20.99,72100,7.309278
2009-10-19,21.09,21.370001,20.959999,21.23,98500,7.392853
2009-10-20,21.23,21.360001,21.0,21.299999,87400,7.417228
2009-10-21,21.01,21.01,20.59,20.73,112000,7.431568
2009-10-22,20.59,20.75,20.59,20.700001,58700,7.420813
2009-10-23,20.700001,20.700001,20.309999,20.35,40800,7.295341
2009-10-26,20.27,20.59,20.27,20.450001,51400,7.33119
2009-10-27,20.58,20.58,20.200001,20.25,45800,7.259491
2009-10-28,20.25,20.34,20.0,20.0,90700,7.169868
2009-10-29,20.129999,20.25,19.950001,20.15,65700,7.223642
2009-10-30,20.01,20.209999,19.889999,19.940001,102600,7.148358
2009-11-02,20.07,20.110001,19.51,19.790001,116500,7.094584
2009-11-03,19.73,19.75,19.389999,19.530001,88600,7.001376
2009-11-04,19.530001,19.65,19.34,19.52,64300,6.997791
2009-11-05,19.82,20.52,19.82,20.52,142500,7.356284
2009-11-06,20.450001,20.639999,20.18,20.639999,75200,7.399303
