Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,15.48,15.87,15.46,15.87,322900,11.925835
2006-01-04,15.85,16.18,15.85,16.110001,435600,12.106188
2006-01-05,16.530001,16.690001,16.530001,16.620001,512000,12.489438
2006-01-06,16.959999,17.049999,16.879999,16.93,669100,12.722394
2006-01-09,16.98,17.01,16.9,16.92,237000,12.714879
2006-01-10,16.67,16.82,16.620001,16.82,309900,12.639732
2006-01-11,17.01,17.139999,16.91,17.1,346600,12.850144
2006-01-12,17.129999,17.299999,17.09,17.200001,420000,12.925291
2006-01-13,17.030001,17.16,17.030001,17.16,88700,12.895232
2006-01-17,16.98,17.07,16.870001,17.07,278600,12.827599
2006-01-18,16.709999,16.83,16.549999,16.719999,382000,12.564584
2006-01-19,17.07,17.120001,17.0,17.02,108600,12.790026
2006-01-20,17.49,17.6,17.299999,17.559999,1030800,13.19582
2006-01-23,17.629999,17.860001,17.59,17.799999,492700,13.376172
2006-01-24,17.99,18.120001,17.99,18.120001,590500,13.616644
2006-01-25,18.129999,18.200001,17.959999,18.139999,308800,13.631672
2006-01-26,18.52,18.57,18.35,18.4,435900,13.827055
2006-01-27,18.58,18.58,18.290001,18.34,212900,13.781967
2006-01-30,18.389999,18.4,18.290001,18.34,250000,13.781967
2006-01-31,18.4,18.51,18.35,18.450001,432400,13.864629
2006-02-01,18.77,18.870001,18.68,18.790001,434100,14.120129
2006-02-02,18.549999,18.58,18.379999,18.440001,402600,13.857114
2006-02-03,18.23,18.23,18.09,18.16,522100,13.646702
2006-02-06,17.98,18.01,17.610001,17.700001,721200,13.301026
2006-02-07,19.360001,19.48,18.709999,18.709999,2634200,14.06001
2006-02-08,18.68,18.74,18.43,18.5,1216000,13.902202
2006-02-09,18.4,18.65,18.389999,18.49,1234400,13.894687
2006-02-10,18.75,18.93,18.59,18.799999,284300,14.127643
2006-02-13,18.780001,19.02,18.74,18.870001,230300,14.180247
2006-02-14,18.790001,18.959999,18.690001,18.92,300600,14.21782
2006-02-15,18.57,18.6,18.24,18.51,437900,13.909717
2006-02-16,18.530001,18.780001,18.49,18.77,328700,14.1051
2006-02-17,18.799999,18.98,18.76,18.950001,462200,14.240364
2006-02-21,19.26,19.309999,19.16,19.209999,417700,14.435745
2006-02-22,19.450001,19.620001,19.42,19.57,384200,14.706275
2006-02-23,19.65,19.65,19.33,19.5,324800,14.653673
2006-02-24,19.26,19.33,19.16,19.23,290300,14.450775
2006-02-27,19.280001,19.290001,19.219999,19.25,225900,14.465805
2006-02-28,19.190001,19.23,18.959999,19.059999,173000,14.323025
2006-03-01,19.07,19.17,18.950001,19.08,266900,14.338055
2006-03-02,18.91,18.93,18.530001,18.700001,295100,14.052497
2006-03-03,18.370001,18.450001,18.120001,18.42,373900,13.842085
2006-03-06,18.709999,18.74,18.360001,18.450001,150800,13.864629
2006-03-07,18.209999,18.24,18.1,18.15,122000,13.639187
2006-03-08,17.809999,18.0,17.780001,17.940001,538300,13.481379
2006-03-09,18.17,18.25,18.049999,18.07,173900,13.57907
2006-03-10,18.1,18.309999,18.09,18.299999,244900,13.751908
2006-03-13,18.41,18.780001,18.389999,18.65,675200,14.014922
2006-03-14,18.559999,18.75,18.51,18.719999,212300,14.067525
2006-03-15,19.59,19.59,19.219999,19.459999,528500,14.623613
2006-03-16,19.68,19.969999,19.68,19.91,713000,14.961775
2006-03-17,20.35,20.43,20.209999,20.33,683500,15.277393
2006-03-20,20.530001,20.530001,20.200001,20.27,185500,15.232305
2006-03-21,20.059999,20.17,19.950001,19.950001,213500,14.991835
2006-03-22,19.91,20.09,19.889999,20.09,190300,15.09704
2006-03-23,20.16,20.209999,19.700001,19.91,519400,14.961775
2006-03-24,19.77,20.0,19.629999,19.950001,666800,14.991835
2006-03-27,19.67,19.68,19.5,19.65,484300,14.766393
2006-03-28,19.469999,19.549999,19.26,19.33,282400,14.525923
2006-03-29,19.030001,19.190001,18.950001,19.15,932400,14.534271
2006-03-30,19.02,19.16,18.959999,19.0,375700,14.420426
2006-03-31,18.950001,19.040001,18.82,18.860001,550300,14.314171
2006-04-03,19.16,19.440001,19.16,19.370001,375900,14.701245
2006-04-04,19.219999,19.42,19.200001,19.360001,143600,14.693655
2006-04-05,19.58,19.629999,19.360001,19.58,202900,14.860628
2006-04-06,19.42,19.540001,19.33,19.51,205200,14.807501
2006-04-07,19.59,19.6,19.129999,19.23,209300,14.594989
2006-04-10,18.83,18.959999,18.780001,18.92,210200,14.359708
2006-04-11,18.75,18.83,18.360001,18.379999,208200,13.949864
2006-04-12,18.49,18.700001,18.49,18.66,90200,14.162376
2006-04-13,18.559999,19.02,18.51,19.01,307700,14.428016
2006-04-17,19.15,19.200001,19.0,19.02,80600,14.435606
2006-04-18,19.52,19.809999,19.469999,19.780001,247800,15.012423
2006-04-19,20.15,20.27,20.049999,20.25,190400,15.369138
2006-04-20,19.98,20.059999,19.860001,19.950001,195200,15.141448
2006-04-21,20.18,20.190001,19.98,20.049999,88100,15.217344
2006-04-24,20.309999,20.370001,19.940001,20.18,231700,15.31601
2006-04-25,20.67,20.700001,20.309999,20.700001,649000,15.710675
2006-04-26,22.25,22.610001,22.16,22.48,1297500,17.06164
2006-04-27,22.110001,22.58,22.1,22.42,1075900,17.016103
2006-04-28,21.690001,22.09,21.639999,21.870001,479400,16.59867
2006-05-01,21.620001,22.25,21.620001,22.0,584800,16.697335
2006-05-02,22.35,22.459999,22.120001,22.450001,847600,17.038872
2006-05-03,22.389999,22.5,22.27,22.4,610200,17.000923
2006-05-04,22.35,22.549999,22.280001,22.41,250600,17.008513
2006-05-05,22.549999,22.969999,22.540001,22.959999,225100,17.425946
2006-05-08,22.940001,23.120001,22.91,23.01,134900,17.463895
2006-05-09,22.780001,22.98,22.719999,22.93,110700,17.403177
2006-05-10,22.629999,22.709999,22.440001,22.67,249400,17.205845
2006-05-11,22.639999,22.65,22.219999,22.25,238000,16.887078
2006-05-12,22.120001,22.190001,21.530001,21.530001,289900,16.34062
2006-05-15,20.76,21.139999,20.73,21.040001,278000,15.968725
2006-05-16,21.09,21.41,20.93,21.120001,143600,16.029442
2006-05-17,20.76,20.799999,19.629999,20.15,550200,15.293241
2006-05-18,19.98,20.09,19.01,19.42,709900,14.739193
2006-05-19,19.469999,19.83,19.450001,19.75,321500,14.989653
2006-05-22,19.58,19.639999,19.01,19.280001,259600,14.632938
2006-05-23,19.370001,19.84,19.370001,19.51,357500,14.807501
2006-05-24,18.809999,19.24,18.75,19.139999,858900,14.526681
2006-05-25,19.370001,19.49,19.17,19.43,213000,14.746783
2006-05-26,19.610001,19.870001,19.52,19.84,118100,15.057961
2006-05-30,19.450001,19.549999,19.17,19.209999,225900,14.579809
2006-05-31,19.5,19.719999,19.370001,19.549999,325300,14.837859
2006-06-01,19.09,19.67,19.059999,19.67,305100,14.928936
2006-06-02,20.049999,20.08,19.620001,19.809999,371600,15.035191
2006-06-05,19.49,19.68,19.219999,19.219999,624500,14.587399
2006-06-06,18.709999,18.719999,18.15,18.379999,298900,13.949864
2006-06-07,18.389999,18.540001,18.16,18.190001,370900,13.805661
2006-06-08,17.57,17.73,17.26,17.57,901200,13.335099
2006-06-09,17.65,17.82,17.549999,17.59,398000,13.350279
2006-06-12,17.549999,17.58,17.23,17.25,202700,13.092229
2006-06-13,16.76,17.049999,16.620001,16.629999,671100,12.621667
2006-06-14,16.85,17.209999,16.84,17.0,543900,12.902486
2006-06-15,17.35,17.860001,17.35,17.790001,922400,13.502073
2006-06-16,17.790001,17.84,17.67,17.75,181200,13.471714
2006-06-19,18.17,18.200001,17.83,17.879999,201700,13.570379
2006-06-20,17.530001,17.74,17.440001,17.59,293800,13.350279
2006-06-21,17.389999,17.73,17.190001,17.6,345000,13.357868
2006-06-22,17.610001,17.700001,17.41,17.5,185600,13.281971
2006-06-23,17.1,17.280001,17.059999,17.17,208400,13.031511
2006-06-26,17.059999,17.200001,16.969999,17.200001,179100,13.054281
2006-06-27,17.27,17.280001,16.799999,16.809999,247600,12.758282
2006-06-28,17.049999,17.08,16.91,17.040001,227200,12.932846
2006-06-29,17.040001,18.0,17.01,17.93,424100,13.608328
2006-06-30,18.379999,18.530001,18.280001,18.49,283600,14.033351
2006-07-03,18.719999,18.76,18.440001,18.74,218600,14.223094
2006-07-05,18.379999,18.379999,17.969999,18.110001,218600,13.744943
2006-07-06,18.209999,18.370001,18.139999,18.219999,220100,13.828429
2006-07-07,18.18,18.25,17.93,17.99,161000,13.653866
2006-07-10,17.959999,17.969999,17.809999,17.91,139200,13.593149
2006-07-11,17.6,18.02,17.57,18.0,598600,13.661456
2006-07-12,18.01,18.059999,17.709999,17.809999,512600,13.517251
2006-07-13,17.700001,17.9,17.51,17.51,364700,13.289561
2006-07-14,17.5,17.5,17.219999,17.290001,122100,13.122588
2006-07-17,16.950001,17.139999,16.77,16.91,251500,12.834179
2006-07-18,16.879999,16.889999,16.67,16.84,351100,12.781051
2006-07-19,16.940001,17.85,16.92,17.790001,352300,13.502073
2006-07-20,17.969999,17.99,17.639999,17.65,239700,13.395816
2006-07-21,17.48,17.48,17.07,17.15,164800,13.016332
2006-07-24,17.530001,18.07,17.51,18.07,463900,13.714584
2006-07-25,17.879999,18.1,17.76,18.059999,253300,13.706994
2006-07-26,18.540001,18.799999,18.4,18.77,345500,14.245863
2006-07-27,19.84,20.040001,19.360001,19.43,374500,14.746783
2006-07-28,19.34,19.65,19.299999,19.639999,208700,14.906166
2006-07-31,19.620001,19.67,19.51,19.620001,251400,14.890988
2006-08-01,19.389999,19.450001,19.040001,19.4,424500,14.724014
2006-08-02,19.4,19.77,19.370001,19.690001,184500,14.944115
2006-08-03,19.110001,19.530001,19.040001,19.49,170700,14.792321
2006-08-04,19.879999,20.02,19.620001,19.77,108200,15.004833
2006-08-07,19.4,19.450001,19.309999,19.379999,425300,14.708834
2006-08-08,19.219999,19.389999,19.120001,19.200001,128000,14.57222
2006-08-09,19.57,19.9,19.34,19.360001,338500,14.693655
2006-08-10,18.969999,19.27,18.950001,19.25,746900,14.610168
2006-08-11,19.110001,19.190001,19.02,19.110001,149900,14.503913
2006-08-14,19.15,19.34,19.129999,19.17,100300,14.549451
2006-08-15,19.59,19.85,19.58,19.76,182900,14.997243
2006-08-16,20.33,20.43,20.219999,20.43,244600,15.505753
2006-08-17,20.67,20.92,20.66,20.73,135300,15.733443
2006-08-18,20.780001,20.809999,20.549999,20.790001,147200,15.778982
2006-08-21,20.879999,20.950001,20.700001,20.77,153100,15.763803
2006-08-22,20.67,20.93,20.629999,20.84,203200,15.81693
2006-08-23,20.59,20.639999,20.299999,20.43,151400,15.505753
2006-08-24,20.43,20.440001,20.139999,20.33,224200,15.429856
2006-08-25,20.35,20.450001,20.23,20.42,220900,15.498163
2006-08-28,20.389999,20.690001,20.389999,20.639999,85700,15.665136
2006-08-29,20.530001,20.559999,20.08,20.34,149900,15.437446
2006-08-30,20.790001,20.83,20.690001,20.83,114200,15.809341
2006-08-31,20.870001,20.889999,20.75,20.879999,89600,15.847288
2006-09-01,21.02,21.280001,20.98,21.24,118200,16.120518
2006-09-05,20.9,20.9,20.719999,20.82,155800,15.801751
2006-09-06,20.360001,20.42,20.17,20.24,202800,15.476021
2006-09-07,19.84,19.889999,19.620001,19.73,196400,15.086062
2006-09-08,19.9,19.92,19.75,19.9,60500,15.216048
2006-09-11,19.870001,19.950001,19.719999,19.91,76500,15.223695
2006-09-12,20.0,20.530001,20.0,20.530001,113700,15.697763
2006-09-13,20.25,20.41,20.190001,20.389999,105300,15.590714
2006-09-14,20.299999,20.49,20.290001,20.450001,76800,15.636593
2006-09-15,20.629999,20.77,20.59,20.700001,121000,15.827749
2006-09-18,20.68,20.74,20.469999,20.620001,58400,15.766579
2006-09-19,20.6,20.6,20.18,20.27,192800,15.49896
2006-09-20,20.66,21.049999,20.66,20.969999,271000,16.034197
2006-09-21,21.25,21.27,21.030001,21.07,247900,16.11066
2006-09-22,21.129999,21.129999,20.91,20.940001,112400,16.011259
2006-09-25,21.440001,21.57,21.059999,21.57,623100,16.492973
2006-09-26,21.99,22.09,21.85,22.059999,354200,16.867639
2006-09-27,21.82,22.049999,21.82,21.99,100700,16.814116
2006-09-28,21.83,21.83,21.59,21.65,280400,16.554143
2006-09-29,21.65,21.93,21.629999,21.92,179300,16.760592
2006-10-02,22.040001,22.120001,21.940001,22.030001,413700,16.844701
2006-10-03,21.879999,22.07,21.74,22.0,445700,16.821762
2006-10-04,22.049999,22.48,22.040001,22.48,303800,17.188782
2006-10-05,22.379999,22.530001,22.290001,22.49,296000,17.196428
2006-10-06,22.190001,22.389999,22.08,22.309999,431400,17.058796
2006-10-09,22.33,22.77,22.209999,22.709999,644900,17.364646
2006-10-10,23.200001,23.77,23.200001,23.73,1398900,18.144564
2006-10-11,23.110001,23.530001,23.1,23.5,1522900,17.9687
2006-10-12,23.5,24.09,23.5,23.9,816600,18.27455
2006-10-13,23.370001,23.370001,23.01,23.299999,509700,17.815775
2006-10-16,23.26,23.299999,23.02,23.209999,525400,17.746958
2006-10-17,22.620001,22.639999,22.26,22.48,440500,17.188782
2006-10-18,23.139999,23.280001,22.780001,22.870001,425200,17.486987
2006-10-19,22.809999,22.889999,22.700001,22.799999,245800,17.433462
2006-10-20,23.24,23.360001,23.16,23.32,602800,17.831068
2006-10-23,23.200001,23.629999,23.07,23.57,1046700,18.022224
2006-10-24,23.709999,23.73,23.51,23.700001,435000,18.121626
2006-10-25,22.1,22.75,22.049999,22.65,1719900,17.318768
2006-10-26,22.780001,23.0,22.65,22.969999,579000,17.563448
2006-10-27,22.719999,23.129999,22.709999,22.969999,438600,17.563448
2006-10-30,22.68,22.92,22.65,22.860001,410000,17.479341
2006-10-31,22.93,23.059999,22.870001,22.98,124300,17.571095
2006-11-01,23.190001,23.389999,22.9,22.91,151200,17.517571
2006-11-02,22.690001,22.709999,22.48,22.57,731200,17.257598
2006-11-03,22.73,22.84,22.5,22.65,175500,17.318768
2006-11-06,23.16,23.18,22.940001,23.059999,198600,17.632265
2006-11-07,22.91,23.5,22.91,23.26,831000,17.78519
2006-11-08,23.01,23.23,22.969999,23.190001,467200,17.731667
2006-11-09,22.73,22.879999,22.299999,22.389999,2006000,17.119966
2006-11-10,22.57,22.950001,22.52,22.83,745900,17.456401
2006-11-13,22.85,23.129999,22.85,23.08,539200,17.647558
2006-11-14,23.030001,23.1,22.780001,23.01,461200,17.594034
2006-11-15,22.83,23.209999,22.83,23.110001,334700,17.670497
2006-11-16,22.98,23.16,22.98,23.09,193600,17.655204
2006-11-17,22.799999,22.91,22.719999,22.799999,439500,17.433462
2006-11-20,22.6,22.66,22.450001,22.469999,1069800,17.181136
2006-11-21,22.360001,22.440001,22.27,22.41,327900,17.135258
2006-11-22,22.5,22.57,22.440001,22.559999,539400,17.249952
2006-11-24,21.700001,21.700001,21.469999,21.59,552700,16.508266
2006-11-27,21.639999,21.66,21.1,21.16,569500,16.179477
2006-11-28,21.77,21.91,21.639999,21.860001,466000,16.714715
2006-11-29,21.799999,21.799999,21.459999,21.6,397900,16.515912
2006-11-30,21.6,21.719999,21.5,21.629999,167600,16.53885
2006-12-01,21.549999,21.66,21.17,21.49,331000,16.431803
2006-12-04,21.459999,21.690001,21.43,21.639999,240000,16.546496
2006-12-05,21.73,21.91,21.700001,21.91,255700,16.752946
2006-12-06,21.860001,21.950001,21.530001,21.84,538600,16.699422
2006-12-07,22.049999,22.129999,21.889999,21.889999,377900,16.737653
2006-12-08,22.25,22.360001,22.110001,22.15,158700,16.936456
2006-12-11,21.99,22.370001,21.99,22.26,510700,17.020565
2006-12-12,22.26,22.280001,22.09,22.219999,204400,16.989979
2006-12-13,22.700001,22.780001,22.49,22.68,259100,17.341708
2006-12-14,22.68,22.91,22.67,22.83,164500,17.456401
2006-12-15,22.77,22.77,22.450001,22.51,133700,17.211721
2006-12-18,22.42,22.5,22.290001,22.469999,329400,17.181136
