Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,14.72,14.75,14.16,14.43,6328400,14.43
2006-01-04,14.45,14.75,14.36,14.65,2293800,14.65
2006-01-05,14.6,14.91,14.4,14.56,2124300,14.56
2006-01-06,14.34,14.8,14.34,14.63,1721100,14.63
2006-01-09,14.63,14.74,14.45,14.74,2724700,14.74
2006-01-10,14.7,14.7,14.13,14.28,1936100,14.28
2006-01-11,14.24,14.39,13.95,14.07,3771000,14.07
2006-01-12,13.96,14.0,13.48,13.75,4549300,13.75
2006-01-13,13.74,13.79,13.28,13.59,3283900,13.59
2006-01-17,13.46,13.49,12.93,13.22,5144000,13.22
2006-01-18,13.1,13.86,12.97,13.73,4782700,13.73
2006-01-19,13.61,13.91,13.4,13.6,2359700,13.6
2006-01-20,13.6,13.73,13.11,13.23,3217700,13.23
2006-01-23,13.21,13.43,13.15,13.24,3363600,13.24
2006-01-24,13.35,13.7,13.34,13.57,2282500,13.57
2006-01-25,13.75,13.79,13.31,13.44,2432800,13.44
2006-01-26,13.45,13.59,12.82,12.9,4512700,12.9
2006-01-27,12.92,12.94,12.42,12.77,5897300,12.77
2006-01-30,12.78,13.28,12.73,13.01,4358700,13.01
2006-01-31,13.19,13.29,12.84,13.04,2951700,13.04
2006-02-01,12.19,12.39,11.1,11.18,27024100,11.18
2006-02-02,11.25,11.95,11.15,11.9,14643600,11.9
2006-02-03,11.88,11.91,11.5,11.75,5195700,11.75
2006-02-06,11.59,11.68,11.05,11.07,5511300,11.07
2006-02-07,10.63,10.76,10.27,10.59,10086100,10.59
2006-02-08,10.68,10.97,10.61,10.81,3853600,10.81
2006-02-09,10.84,10.9,10.57,10.78,4081300,10.78
2006-02-10,10.82,10.82,10.53,10.62,4017100,10.62
2006-02-13,10.63,10.8,10.45,10.73,2749600,10.73
2006-02-14,10.7,11.37,10.7,11.14,5693100,11.14
2006-02-15,11.15,11.36,11.02,11.25,3382200,11.25
