Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,29.410004,29.700005,28.670004,29.640004,4496000,39.979387
2006-01-04,29.640004,29.880004,29.440003,29.750004,3693200,40.127759
2006-01-05,29.730004,30.000005,29.720005,29.750004,3148000,40.127759
2006-01-06,29.970003,30.100005,29.760005,29.980004,3129900,40.43799
2006-01-09,30.900004,31.280004,30.330004,31.040005,11355400,41.867753
2006-01-10,30.850005,30.890005,30.520004,30.700005,4869800,41.40915
2006-01-11,30.750004,30.780005,30.310003,30.340005,5976800,40.92357
2006-01-12,30.320004,31.250005,30.020005,30.310003,6759400,40.883104
2006-01-13,27.490005,28.050004,26.760004,27.120004,42516100,36.58033
2006-01-17,26.500004,26.680003,25.800004,26.200004,24188400,35.339405
2006-01-18,26.200004,26.500004,25.900004,26.500004,13463400,35.744054
2006-01-19,26.550003,26.630004,26.370004,26.550003,7325800,35.811495
2006-01-20,26.540004,26.600005,26.240004,26.470005,7584500,35.70359
2006-01-23,26.470005,26.600005,26.430005,26.560004,4993700,35.824985
2006-01-24,26.500004,26.620005,26.400003,26.600005,5466700,35.878938
2006-01-25,26.600005,26.720003,26.200004,26.360003,6090900,35.555217
2006-01-26,26.590004,26.810005,26.520004,26.590004,5930500,35.865449
2006-01-27,26.830003,26.830003,26.390004,26.460004,5071400,35.690101
2006-01-30,26.380003,26.620005,26.340003,26.530003,6132100,35.784518
2006-01-31,26.280005,26.400003,25.990004,26.050004,8750100,35.13708
2006-02-01,25.900004,26.330004,25.740004,26.100004,10188800,35.204521
2006-02-02,26.000003,26.000003,24.650004,24.800004,37543300,33.45104
2006-02-03,24.800004,25.190003,24.790003,25.020003,12167500,33.747782
2006-02-06,25.240005,25.300003,25.090003,25.110003,9410300,33.869176
2006-02-07,25.100004,25.400004,25.060004,25.110003,6785500,33.869176
2006-02-08,25.140004,25.600005,25.010004,25.280003,6333700,34.098478
2006-02-09,25.050004,25.590004,25.050004,25.390004,6156500,34.246851
2006-02-10,25.290004,25.550003,25.140004,25.460004,2935600,34.341269
2006-02-13,25.500004,25.640003,25.120004,25.170003,2786900,33.950107
2006-02-14,25.250004,25.500004,25.120004,25.360003,4207600,34.206385
2006-02-15,25.320003,25.490003,25.140004,25.340003,5604100,34.179408
2006-02-16,25.400004,25.630004,25.290004,25.630004,5107600,34.57057
2006-02-17,25.590004,25.950004,25.520004,25.850003,4909400,34.867312
2006-02-21,25.800004,25.920005,25.420004,25.540004,5272100,34.449176
2006-02-22,25.540004,25.640003,25.360003,25.500004,6231300,34.395222
2006-02-23,25.580005,25.680003,25.440004,25.610004,3299900,34.543593
2006-02-24,25.660003,25.930004,25.610004,25.770005,4119200,34.759408
