Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,18.68,18.91,18.24,18.9,841000,15.850288
2006-01-04,19.0,19.41,19.0,19.190001,1704900,16.093495
2006-01-05,19.110001,19.190001,18.9,18.940001,996200,15.883835
2006-01-06,19.9,20.27,19.76,20.27,2891700,16.999225
2006-01-09,19.75,21.200001,19.75,20.58,1955500,17.259203
2006-01-10,20.530001,20.809999,20.469999,20.75,1829300,17.401772
2006-01-11,20.959999,21.870001,20.959999,21.6,6067300,18.114616
2006-01-12,21.66,22.43,21.450001,21.74,5519000,18.232025
2006-01-13,21.75,21.889999,21.469999,21.68,1905900,18.181707
2006-01-17,21.549999,21.559999,21.200001,21.26,1107000,17.829478
2006-01-18,21.26,21.389999,20.959999,21.110001,773600,17.703683
2006-01-19,21.110001,21.879999,21.110001,21.75,2128700,18.240412
2006-01-20,21.83,22.0,21.110001,21.16,1553600,17.745614
2006-01-23,21.15,21.41,21.139999,21.190001,1182800,17.770774
2006-01-24,21.190001,21.84,21.190001,21.65,4103900,18.156547
2006-01-25,21.65,21.73,21.370001,21.440001,1814500,17.980434
2006-01-26,21.5,21.860001,21.4,21.549999,2962600,18.072683
2006-01-27,21.49,21.6,20.940001,21.120001,2035100,17.712069
2006-01-30,21.120001,21.33,21.09,21.110001,2190800,17.703683
2006-01-31,20.450001,21.030001,20.450001,20.889999,2974800,17.519181
2006-02-01,20.799999,21.09,20.77,21.02,2330700,17.628205
2006-02-02,20.9,20.950001,20.450001,20.49,2375500,17.183726
2006-02-03,20.35,20.870001,20.33,20.870001,3398200,17.50241
2006-02-06,21.75,21.950001,21.309999,21.48,3056900,18.013979
2006-02-07,21.43,21.540001,21.25,21.450001,3172800,17.98882
2006-02-08,21.459999,21.459999,21.290001,21.370001,2202300,17.921729
2006-02-09,21.4,21.639999,21.309999,21.41,2505200,17.955274
2006-02-10,21.540001,21.73,21.25,21.530001,1614900,18.055912
2006-02-13,21.549999,21.719999,21.41,21.549999,1701300,18.072683
2006-02-14,21.4,21.690001,21.299999,21.65,1350200,18.156547
2006-02-15,21.57,21.93,21.33,21.82,2028200,18.299116
2006-02-16,21.9,22.299999,21.77,22.299999,1699800,18.701663
2006-02-17,22.6,22.799999,22.17,22.17,2029700,18.59264
2006-02-21,22.129999,22.309999,22.030001,22.280001,1544400,18.684891
2006-02-22,22.35,22.389999,22.25,22.299999,1752100,18.701663
2006-02-23,22.299999,22.42,22.24,22.280001,901600,18.684891
2006-02-24,22.35,22.360001,22.18,22.27,1462300,18.676505
2006-02-27,21.25,22.389999,21.23,22.18,1438500,18.601027
2006-02-28,22.200001,22.25,21.82,21.93,1749900,18.391367
2006-03-01,22.02,22.459999,21.969999,22.299999,4034100,18.701663
2006-03-02,22.309999,22.4,21.940001,21.940001,985600,18.399754
2006-03-03,21.889999,22.15,21.76,21.83,1232000,18.307503
2006-03-06,21.809999,21.92,21.27,21.290001,1394100,17.854638
2006-03-07,21.299999,21.360001,20.889999,20.99,2205100,17.603045
2006-03-08,21.0,21.360001,20.860001,21.200001,1445600,17.779161
2006-03-09,21.190001,21.870001,21.190001,21.34,1172700,17.89657
2006-03-10,21.299999,21.76,21.09,21.76,1381400,18.248798
2006-03-13,21.84,22.1,21.66,21.83,1006300,18.307503
2006-03-14,21.84,22.360001,21.77,22.33,1304500,18.726823
2006-03-15,22.299999,22.35,22.059999,22.15,1286200,18.575867
2006-03-16,22.18,22.35,22.120001,22.15,793200,18.575867
2006-03-17,22.35,22.360001,22.15,22.18,737300,18.601027
2006-03-20,22.049999,22.26,21.700001,22.26,1160600,18.668118
2006-03-21,22.26,22.629999,22.09,22.309999,2127000,18.710049
2006-03-22,22.309999,22.639999,22.02,22.6,1208500,18.953256
2006-03-23,22.58,22.66,22.41,22.51,829300,18.877778
2006-03-24,22.52,22.75,22.440001,22.639999,997400,18.9868
2006-03-27,22.639999,23.0,22.629999,22.91,1709000,19.213233
2006-03-28,23.0,23.0,22.530001,22.610001,1376300,18.961642
2006-03-29,22.799999,23.26,22.73,23.129999,1553300,19.397734
2006-03-30,23.139999,23.280001,22.780001,22.879999,1717500,19.188074
2006-03-31,22.889999,23.23,22.85,23.17,1693400,19.43128
2006-04-03,23.25,23.5,23.120001,23.469999,1926800,19.682871
2006-04-04,23.48,23.940001,23.34,23.92,1951800,20.06026
2006-04-05,23.92,24.18,23.889999,23.98,1430300,20.110578
2006-04-06,23.93,24.15,23.809999,24.15,981700,20.253146
2006-04-07,24.15,24.200001,23.5,23.75,672000,19.917691
2006-04-10,23.620001,23.73,23.33,23.5,740400,19.708031
2006-04-11,23.51,23.52,22.83,22.93,973200,19.230007
2006-04-12,22.93,23.27,22.91,23.040001,1172500,19.322258
2006-04-13,23.1,23.23,22.959999,23.08,777600,19.355802
2006-04-17,23.209999,23.5,22.889999,23.120001,948000,19.389349
2006-04-18,23.120001,23.629999,22.99,23.58,1438300,19.775122
2006-04-19,23.58,23.809999,23.24,23.43,1090600,19.649326
2006-04-20,23.440001,23.75,23.35,23.42,435500,19.64094
2006-04-21,23.43,23.540001,23.120001,23.209999,601800,19.464825
