Date,Open,High,Low,Close,Volume,Adj Close
2009-12-11,11.4,12.09,11.09,12.03,11558200,10.446768
2009-12-14,12.09,12.09,11.73,12.0,1239000,10.420716
2009-12-15,12.0,12.04,11.8,11.8,927900,10.247038
2009-12-16,11.9,12.47,11.87,12.3,883600,10.681234
2009-12-17,12.07,13.19,12.0,13.0,479200,11.289109
2009-12-18,12.86,13.45,12.74,13.31,425700,11.558311
2009-12-21,13.42,13.5,13.0,13.46,325600,11.68857
2009-12-22,13.5,13.5,13.02,13.1,89700,11.375949
2009-12-23,13.26,13.26,12.98,13.05,142600,11.332529
2009-12-24,13.13,13.47,13.0,13.39,53200,11.627783
2009-12-28,13.45,13.45,13.03,13.22,82500,11.480156
2009-12-29,13.19,13.7,13.16,13.52,450800,11.740674
2009-12-30,13.5,13.92,13.43,13.71,260100,11.905668
2009-12-31,13.64,13.92,13.5,13.79,224200,11.975139
2010-01-04,13.78,14.0,13.72,13.97,273600,12.13145
2010-01-05,13.98,14.25,13.89,14.01,268800,12.166186
2010-01-06,14.01,14.2,13.7,14.0,256800,12.157502
2010-01-07,14.13,14.13,13.92,14.01,584800,12.166186
2010-01-08,13.95,14.65,13.79,14.5,389700,12.591699
2010-01-11,14.55,14.87,14.38,14.67,200300,12.739325
2010-01-12,14.71,14.83,14.35,14.57,194700,12.652486
2010-01-13,14.68,14.68,14.22,14.59,102600,12.669854
2010-01-14,14.75,14.78,14.51,14.6,71400,12.678538
2010-01-15,14.47,14.6,14.28,14.55,117200,12.635118
2010-01-19,14.6,14.7,14.22,14.52,255300,12.609067
2010-01-20,15.25,15.27,14.73,14.94,532300,12.973791
2010-01-21,15.12,15.19,14.4,14.48,156100,12.57433
2010-01-22,14.53,14.55,14.2,14.33,119900,12.444072
2010-01-25,14.38,14.69,14.11,14.5,209000,12.591699
2010-01-26,14.47,14.54,14.21,14.5,136300,12.591699
2010-01-27,14.5,14.5,13.84,14.14,173900,12.279077
2010-01-28,14.24,14.24,13.9,13.92,194200,12.088031
2010-01-29,14.07,14.1,13.77,13.87,157000,12.044611
2010-02-01,13.89,14.69,13.89,14.4,509600,12.504859
2010-02-02,14.5,14.82,14.32,14.36,190000,12.470123
2010-02-03,14.23,14.33,14.0,14.25,117300,12.3746
2010-02-04,14.15,14.28,13.96,13.96,148500,12.122766
2010-02-05,14.03,14.28,13.89,14.2,163900,12.33118
2010-02-08,14.16,14.39,14.15,14.24,805800,12.365916
2010-02-09,14.33,14.55,14.19,14.35,517600,12.46144
2010-02-10,14.27,14.45,14.25,14.37,30400,12.478807
2010-02-11,14.46,14.49,14.34,14.48,45900,12.57433
2010-02-12,14.39,14.93,14.35,14.77,70300,12.826165
2010-02-16,14.83,14.99,13.91,13.93,2785100,12.096715
2010-02-17,13.99,14.15,13.27,13.28,430900,11.532259
2010-02-18,13.25,14.1,13.25,14.09,618900,12.235658
2010-02-19,14.09,14.19,14.04,14.15,117700,12.287761
2010-02-22,14.15,14.15,13.96,14.04,135100,12.192238
2010-02-23,13.98,14.01,13.49,13.9,82300,12.070662
2010-02-24,13.99,14.08,13.55,13.55,163900,11.766725
2010-02-25,13.39,14.17,13.14,14.1,243000,12.244342
2010-02-26,14.0,14.0,13.1,13.4,686000,11.636466
2010-03-01,13.53,13.93,13.3,13.46,431500,11.68857
2010-03-02,13.54,14.0,13.5,13.96,374700,12.122766
2010-03-03,14.03,14.26,13.86,14.19,506700,12.322496
2010-03-04,14.14,14.3,13.92,14.0,322600,12.157502
2010-03-05,14.04,14.42,14.01,14.2,221700,12.33118
2010-03-08,14.14,14.23,14.03,14.2,143400,12.33118
2010-03-09,14.19,14.25,13.98,14.18,224300,12.313813
2010-03-10,14.12,14.24,14.1,14.2,115300,12.33118
2010-03-11,14.12,14.16,13.96,13.96,164000,12.122766
2010-03-12,13.96,14.2,13.79,14.2,95100,12.33118
2010-03-15,14.2,14.2,13.9,14.13,154400,12.270393
2010-03-16,14.2,14.6,13.91,14.57,247500,12.652486
2010-03-17,14.61,14.75,14.42,14.54,129700,12.626434
2010-03-18,14.52,14.52,14.27,14.42,22600,12.522227
2010-03-19,14.68,14.8,14.25,14.68,378700,12.74801
2010-03-22,14.68,15.3,14.67,15.06,688300,13.077999
2010-03-23,15.16,15.16,14.95,15.0,66400,13.025895
2010-03-24,14.86,15.04,14.76,14.89,121800,12.930372
2010-03-25,14.99,15.01,14.86,15.0,138300,13.025895
2010-03-26,15.05,15.34,14.92,15.24,275800,13.234309
2010-03-29,15.34,15.34,15.1,15.2,126100,13.199573
2010-03-30,15.28,15.55,15.16,15.55,377100,13.503511
2010-03-31,15.45,15.56,15.04,15.06,969000,13.077999
2010-04-01,15.14,15.4,14.55,15.12,159700,13.130102
2010-04-05,15.09,15.25,14.92,15.1,160800,13.112735
2010-04-06,15.09,15.77,14.94,15.39,220800,13.364569
2010-04-07,15.44,15.55,15.02,15.07,171000,13.086682
2010-04-08,14.98,15.33,14.88,15.33,108500,13.312465
2010-04-09,15.33,15.45,15.33,15.41,62400,13.381936
2010-04-12,15.37,15.41,15.0,15.14,197800,13.14747
2010-04-13,15.17,15.35,14.97,15.14,266000,13.14747
2010-04-14,15.13,15.36,15.12,15.32,198400,13.303781
2010-04-15,15.32,15.32,15.09,15.12,117200,13.130102
2010-04-16,15.0,15.17,14.83,14.96,118100,12.991159
2010-04-19,14.98,15.13,14.85,15.04,184500,13.060631
2010-04-20,15.05,15.52,14.92,15.5,132300,13.460092
2010-04-21,15.44,15.6,15.13,15.27,131800,13.260362
2010-04-22,15.24,15.63,15.19,15.49,737800,13.451407
2010-04-23,15.41,15.54,15.41,15.51,113700,13.468776
2010-04-26,15.55,15.67,15.37,15.46,49900,13.425356
2010-04-27,15.16,15.4,15.16,15.18,392000,13.182206
2010-04-28,15.2,15.21,14.93,15.11,441600,13.121418
2010-04-29,15.14,15.46,14.98,15.4,146900,13.373252
2010-04-30,15.34,15.7,15.26,15.56,159000,13.512196
2010-05-03,15.55,15.84,15.51,15.73,282100,13.659822
2010-05-04,15.57,15.72,15.19,15.49,206700,13.451407
2010-05-05,15.3,15.49,15.16,15.42,152000,13.39062
2010-05-06,15.15,15.38,14.59,14.77,67200,12.826165
2010-05-07,14.7,15.12,14.52,14.86,275200,12.90432
2010-05-10,14.82,15.1,14.41,15.0,261400,13.025895
2010-05-11,14.91,15.26,14.51,15.03,547800,13.051947
2010-05-12,15.02,15.37,14.94,15.2,127200,13.199573
2010-05-13,15.1,15.19,14.85,14.97,124500,12.999844
2010-05-14,14.91,15.0,14.71,14.98,97500,13.008527
2010-05-17,15.02,15.05,14.51,14.8,181800,12.852217
2010-05-18,14.97,15.05,14.79,14.99,225800,13.017211
2010-05-19,14.97,15.02,14.68,14.94,107900,12.973791
2010-05-20,14.65,14.8,14.24,14.27,420700,12.391969
2010-05-21,14.13,14.49,13.88,14.45,149900,12.548279
2010-05-24,14.43,14.7,13.98,14.11,235600,12.253025
2010-05-25,13.82,14.21,13.04,13.31,381800,11.558311
2010-05-26,13.43,14.34,13.43,13.77,1163200,11.957772
2010-05-27,13.8,14.16,13.8,14.09,265400,12.235658
2010-05-28,14.0,14.15,13.82,13.94,459200,12.105398
2010-06-01,13.89,14.59,13.89,14.01,247000,12.166186
2010-06-02,14.1,14.42,13.96,14.0,273000,12.157502
2010-06-03,14.11,14.26,13.96,14.0,291000,12.157502
2010-06-04,13.82,13.82,13.22,13.27,517800,11.523576
2010-06-07,13.33,14.0,13.24,13.26,421600,11.514891
2010-06-08,13.22,13.51,13.22,13.28,175400,11.532259
2010-06-09,13.38,13.5,13.0,13.05,179400,11.332529
2010-06-10,13.22,13.39,12.62,12.93,566000,11.228322
2010-06-11,12.83,13.05,12.76,13.0,233100,11.289109
2010-06-14,13.04,13.51,12.93,13.22,134800,11.480156
2010-06-15,13.29,13.61,13.2,13.49,71400,11.714621
2010-06-16,13.4,13.5,13.15,13.22,80300,11.480156
2010-06-17,13.23,13.33,13.08,13.26,108200,11.514891
2010-06-18,13.25,13.35,13.17,13.29,43000,11.540943
2010-06-21,13.39,13.54,13.15,13.21,63900,11.471472
2010-06-22,13.23,13.27,12.88,12.91,168000,11.210954
2010-06-23,12.88,12.99,12.75,12.93,87000,11.228322
2010-06-24,12.88,12.93,12.32,12.32,214700,10.698602
2010-06-25,12.35,12.78,12.1,12.71,578200,11.037275
2010-06-28,12.65,12.79,11.94,12.18,195600,10.577027
2010-06-29,12.06,12.32,11.52,12.26,236500,10.646498
