Date,Open,High,Low,Close,Volume,Adj Close
2014-06-20,25.450001,30.5,25.27,29.0,7833500,29.0
2014-06-23,29.43,30.93,28.771,30.530001,684500,30.530001
2014-06-24,31.17,32.650002,30.700001,32.150002,733800,32.150002
2014-06-25,32.0,32.139999,28.870001,29.549999,505000,29.549999
2014-06-26,29.559999,29.719999,28.32,29.23,192100,29.23
2014-06-27,29.040001,29.690001,28.530001,29.34,114600,29.34
2014-06-30,30.52,30.52,28.5,28.92,535000,28.92
2014-07-01,27.93,29.48,27.93,28.43,308800,28.43
2014-07-02,27.93,28.940001,27.610001,28.51,295900,28.51
2014-07-03,28.950001,29.33,27.780001,29.139999,84900,29.139999
2014-07-07,29.799999,29.799999,28.059999,28.209999,281300,28.209999
2014-07-08,28.209999,28.5,25.5,25.959999,425300,25.959999
2014-07-09,25.73,26.639999,24.77,25.5,234200,25.5
2014-07-10,25.0,25.209999,24.5,24.860001,295500,24.860001
2014-07-11,24.5,25.559999,23.33,23.59,234700,23.59
2014-07-14,23.549999,24.17,22.82,24.049999,180300,24.049999
2014-07-15,24.85,25.190001,22.200001,22.434999,489400,22.434999
2014-07-16,22.940001,23.23,21.0,21.389999,205600,21.389999
2014-07-17,21.16,23.596001,21.01,22.370001,367600,22.370001
2014-07-18,21.780001,23.92,21.129999,22.84,253900,22.84
2014-07-21,23.219999,23.5,21.780001,22.68,260600,22.68
2014-07-22,23.49,23.5,22.51,22.639999,95500,22.639999
2014-07-23,22.75,23.9,22.51,23.77,121200,23.77
2014-07-24,23.9,24.32,22.98,23.360001,77400,23.360001
2014-07-25,23.190001,23.190001,21.521,22.02,229600,22.02
2014-07-28,21.77,23.57,21.75,23.530001,117800,23.530001
2014-07-29,23.6,24.056999,22.9,23.344999,67200,23.344999
2014-07-30,23.379999,23.99,22.940001,23.825001,100000,23.825001
2014-07-31,23.450001,23.799,22.91,23.5,302600,23.5
2014-08-01,23.33,23.809999,22.049999,22.440001,178000,22.440001
2014-08-04,21.969999,22.530001,21.01,21.52,99400,21.52
2014-08-05,21.799999,22.719999,21.66,22.299999,142800,22.299999
2014-08-06,22.299999,22.792,22.01,22.35,104300,22.35
2014-08-07,22.879999,23.950001,22.18,23.5,257100,23.5
2014-08-08,23.370001,23.999001,22.860001,23.030001,120100,23.030001
2014-08-11,23.139999,24.0,23.139999,23.5,72100,23.5
2014-08-12,23.24,23.503,23.24,23.290001,97500,23.290001
2014-08-13,23.33,23.57,22.879999,23.09,85500,23.09
2014-08-14,23.232,23.360001,22.139999,22.219999,264700,22.219999
2014-08-15,22.25,22.809999,21.860001,22.620001,130100,22.620001
2014-08-18,22.790001,23.0,22.549999,22.950001,69700,22.950001
2014-08-19,23.25,23.299999,22.49,22.59,92000,22.59
2014-08-20,22.530001,22.68,22.040001,22.43,76500,22.43
2014-08-21,22.5,22.58,21.77,22.059999,130800,22.059999
2014-08-22,22.389999,22.799999,21.67,21.82,84600,21.82
2014-08-25,21.889999,22.530001,21.889999,22.299999,703600,22.299999
2014-08-26,25.9,27.450001,25.34,26.25,5788400,26.25
2014-08-27,26.26,28.860001,25.549999,27.200001,2584400,27.200001
2014-08-28,27.0,28.1,26.799999,27.309999,608100,27.309999
2014-08-29,27.73,28.75,27.25,28.27,442300,28.27
2014-09-02,28.6,28.690001,26.26,26.82,776300,26.82
2014-09-03,26.82,27.4,25.639999,26.110001,324000,26.110001
2014-09-04,25.969999,26.799999,24.48,24.85,378500,24.85
2014-09-05,24.43,25.1,23.860001,24.280001,450200,24.280001
2014-09-08,23.879999,24.870001,23.85,24.540001,291600,24.540001
2014-09-09,25.629999,26.450001,24.43,25.559999,435900,25.559999
2014-09-10,25.73,26.48,25.049999,26.43,302500,26.43
2014-09-11,26.43,26.92,25.6,26.85,234500,26.85
2014-09-12,26.99,27.59,26.559999,27.450001,239000,27.450001
2014-09-15,27.08,27.57,26.299999,26.450001,317800,26.450001
2014-09-16,26.120001,27.360001,25.969999,26.92,239600,26.92
2014-09-17,26.91,27.389999,26.219999,26.530001,267900,26.530001
2014-09-18,26.51,26.6,25.82,25.98,249600,25.98
2014-09-19,25.959999,25.959999,24.99,25.33,852100,25.33
2014-09-22,25.33,26.030001,24.860001,25.530001,184000,25.530001
2014-09-23,25.530001,26.49,25.1,26.09,310300,26.09
2014-09-24,26.23,26.73,25.9,26.700001,335300,26.700001
2014-09-25,26.700001,26.84,26.280001,26.610001,218300,26.610001
2014-09-26,26.65,28.23,26.261,28.0,567100,28.0
2014-09-29,28.49,29.370001,28.0,28.84,658200,28.84
2014-09-30,28.799999,29.0,27.530001,28.5,1231200,28.5
2014-10-01,28.91,28.91,27.01,28.309999,241000,28.309999
2014-10-02,29.25,35.389999,29.0,34.68,3073000,34.68
2014-10-03,34.439999,35.299999,32.456001,34.790001,1106100,34.790001
2014-10-06,35.029999,36.189999,32.25,32.830002,711000,32.830002
2014-10-07,32.610001,32.84,31.26,31.799999,391800,31.799999
2014-10-08,31.25,35.516998,31.25,34.970001,661800,34.970001
