Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,12.5,12.73,12.4,12.64,306200,12.64
2013-01-03,12.63,12.99,12.5,12.77,673400,12.77
2013-01-04,12.83,13.04,12.82,13.0,766200,13.0
2013-01-07,12.98,13.04,12.84,13.0,161800,13.0
2013-01-08,13.03,13.05,12.71,12.81,416100,12.81
2013-01-09,12.87,12.91,12.54,12.65,173200,12.65
2013-01-10,12.75,12.75,12.63,12.72,105600,12.72
2013-01-11,12.65,12.74,12.38,12.71,200200,12.71
2013-01-14,12.78,12.86,12.53,12.6,242700,12.6
2013-01-15,12.61,12.73,12.45,12.55,179400,12.55
2013-01-16,12.57,12.62,12.28,12.43,307300,12.43
2013-01-17,12.5,12.5,12.27,12.36,265500,12.36
2013-01-18,12.44,12.5,12.17,12.19,380500,12.19
2013-01-22,12.22,12.34,12.12,12.27,430400,12.27
2013-01-23,12.29,12.43,12.24,12.37,157900,12.37
2013-01-24,12.42,12.52,12.24,12.24,368600,12.24
2013-01-25,12.3,12.44,12.24,12.39,338400,12.39
2013-01-28,12.43,12.46,12.24,12.4,395500,12.4
2013-01-29,12.36,12.52,12.29,12.44,310200,12.44
2013-01-30,12.38,12.48,12.29,12.47,167500,12.47
2013-01-31,12.42,12.47,12.33,12.38,198000,12.38
2013-02-01,12.43,12.53,12.31,12.51,137100,12.51
2013-02-04,12.45,12.45,12.2,12.29,259000,12.29
2013-02-05,12.32,12.46,12.21,12.32,201300,12.32
2013-02-06,12.25,12.59,12.24,12.59,170600,12.59
2013-02-07,12.61,12.72,12.52,12.68,305200,12.68
2013-02-08,12.73,12.87,12.66,12.81,243300,12.81
2013-02-11,12.8,12.85,12.75,12.75,260900,12.75
2013-02-12,12.02,12.34,11.76,11.8,1371800,11.8
2013-02-13,11.48,11.59,11.04,11.37,1082600,11.37
2013-02-14,11.35,11.63,11.21,11.3,1584500,11.3
2013-02-15,10.75,10.91,10.5,10.61,14074100,10.61
2013-02-19,10.62,10.84,10.62,10.72,1218600,10.72
2013-02-20,10.75,10.83,10.57,10.6,1168400,10.6
2013-02-21,10.57,10.57,10.15,10.3,1594900,10.3
2013-02-22,10.41,10.45,10.18,10.27,1350900,10.27
2013-02-25,10.42,10.51,10.16,10.25,1005800,10.25
2013-02-26,10.32,10.73,10.31,10.69,1852900,10.69
2013-02-27,10.67,10.96,10.64,10.82,1549300,10.82
2013-02-28,10.85,11.01,10.79,10.93,1573300,10.93
2013-03-01,10.84,10.98,10.69,10.85,949900,10.85
2013-03-04,10.86,10.86,10.47,10.66,987200,10.66
2013-03-05,10.66,10.81,10.59,10.7,1299600,10.7
2013-03-06,10.82,10.9,10.65,10.74,832000,10.74
2013-03-07,10.73,10.8,10.65,10.69,660600,10.69
2013-03-08,10.69,10.93,10.6,10.92,820400,10.92
2013-03-11,10.93,10.95,10.8,10.91,813900,10.91
2013-03-12,10.94,11.22,10.85,11.22,1548100,11.22
2013-03-13,11.21,11.35,11.09,11.17,1437500,11.17
2013-03-14,11.21,11.27,11.11,11.23,915700,11.23
2013-03-15,11.26,11.34,11.08,11.08,906700,11.08
2013-03-18,11.0,11.2,10.94,11.09,1092000,11.09
2013-03-19,11.07,11.09,10.76,10.99,1782300,10.99
2013-03-20,11.01,11.26,10.82,11.18,1030200,11.18
2013-03-21,11.17,11.31,11.11,11.27,2560100,11.27
2013-03-22,11.25,11.3,11.11,11.16,458700,11.16
2013-03-25,11.25,11.3,11.1,11.17,910300,11.17
2013-03-26,11.2,11.29,11.09,11.29,483700,11.29
2013-03-27,11.2,11.34,11.1,11.31,726900,11.31
2013-03-28,11.27,11.34,11.2,11.3,615900,11.3
2013-04-01,11.3,11.3,11.1,11.26,575900,11.26
2013-04-02,11.31,11.35,11.15,11.18,1045600,11.18
2013-04-03,11.14,11.16,10.85,10.86,915200,10.86
2013-04-04,10.87,10.92,10.77,10.86,433600,10.86
2013-04-05,10.77,11.01,10.76,11.0,331900,11.0
2013-04-08,11.01,11.12,10.88,10.94,337900,10.94
2013-04-09,10.93,11.36,10.87,11.35,681000,11.35
2013-04-10,11.34,11.42,11.28,11.36,469300,11.36
2013-04-11,11.4,11.4,11.12,11.25,356900,11.25
2013-04-12,11.23,11.25,11.09,11.15,736400,11.15
2013-04-15,11.09,11.11,10.5,10.51,955400,10.51
2013-04-16,10.57,10.73,10.57,10.71,354300,10.71
2013-04-17,10.66,10.66,10.29,10.52,313100,10.52
2013-04-18,10.52,10.6,10.3,10.5,506100,10.5
2013-04-19,10.48,10.56,10.22,10.56,577500,10.56
2013-04-22,10.56,10.61,10.4,10.52,327100,10.52
2013-04-23,10.52,10.69,10.41,10.6,221800,10.6
2013-04-24,10.63,10.86,10.6,10.78,393700,10.78
2013-04-25,10.81,11.04,10.75,10.92,382800,10.92
2013-04-26,10.94,11.03,10.77,10.91,189700,10.91
2013-04-29,10.98,11.01,10.85,11.0,470400,11.0
2013-04-30,11.0,11.0,10.88,10.99,388800,10.99
2013-05-01,10.89,11.0,10.63,10.9,856300,10.9
2013-05-02,10.91,10.95,10.58,10.88,577500,10.88
2013-05-03,11.02,11.09,10.87,10.92,345400,10.92
2013-05-06,10.96,11.16,10.89,10.96,456600,10.96
2013-05-07,11.04,11.47,10.97,11.13,1146400,11.13
2013-05-08,11.11,11.18,10.9,10.99,551800,10.99
2013-05-09,11.01,11.47,10.68,11.35,705800,11.35
2013-05-10,11.32,11.42,11.06,11.25,1361400,11.25
2013-05-13,11.2,11.44,11.15,11.38,914800,11.38
2013-05-14,11.45,11.6,11.35,11.46,1488200,11.46
2013-05-15,11.47,11.65,11.45,11.55,1074100,11.55
2013-05-16,11.57,11.78,11.51,11.52,817100,11.52
2013-05-17,11.6,11.89,11.55,11.79,643700,11.79
2013-05-20,11.8,12.17,11.7,11.92,2261800,11.92
2013-05-21,11.22,11.64,11.0,11.15,2042900,11.15
2013-05-22,11.08,11.14,10.48,10.75,1993400,10.75
2013-05-23,10.56,10.6,10.37,10.57,1138400,10.57
2013-05-24,10.54,10.6,10.33,10.54,766300,10.54
2013-05-28,10.63,10.66,10.45,10.53,403900,10.53
2013-05-29,10.5,10.5,10.32,10.43,321900,10.43
2013-05-30,10.42,10.68,10.25,10.61,770100,10.61
2013-05-31,10.54,10.54,10.27,10.32,682500,10.32
2013-06-03,10.37,10.47,10.26,10.43,486800,10.43
2013-06-04,10.44,10.55,10.39,10.55,422800,10.55
2013-06-05,10.5,10.64,10.46,10.59,677400,10.59
2013-06-06,10.56,10.63,10.4,10.55,357700,10.55
2013-06-07,10.7,10.78,10.51,10.62,459200,10.62
2013-06-10,10.61,10.74,10.47,10.61,360300,10.61
2013-06-11,10.33,10.46,10.2,10.38,1171900,10.38
2013-06-12,10.42,10.43,10.25,10.43,428600,10.43
2013-06-13,10.4,10.54,10.35,10.5,540100,10.5
2013-06-14,10.57,10.78,10.39,10.78,802700,10.78
2013-06-17,10.81,10.92,10.69,10.77,639900,10.77
2013-06-18,10.75,10.91,10.68,10.74,527700,10.74
2013-06-19,10.77,10.85,10.55,10.62,513100,10.62
2013-06-20,10.55,10.55,10.31,10.5,525500,10.5
2013-06-21,10.53,10.59,10.34,10.43,553000,10.43
2013-06-24,10.33,10.4,10.09,10.36,675500,10.36
2013-06-25,10.43,10.48,10.28,10.31,383500,10.31
2013-06-26,10.34,10.43,10.28,10.38,491900,10.38
2013-06-27,10.4,10.45,10.3,10.35,301200,10.35
2013-06-28,10.37,10.41,10.16,10.16,1698500,10.16
2013-07-01,10.17,10.44,10.17,10.4,888200,10.4
2013-07-02,10.4,10.51,10.34,10.39,422100,10.39
2013-07-03,10.4,10.41,10.22,10.37,160500,10.37
2013-07-05,10.4,10.46,10.25,10.4,608000,10.4
2013-07-08,10.4,10.44,10.26,10.41,775000,10.41
2013-07-09,10.41,10.44,10.35,10.4,503400,10.4
2013-07-10,10.4,10.54,10.31,10.41,657800,10.41
2013-07-11,10.47,10.81,10.42,10.77,379600,10.77
2013-07-12,10.76,10.81,10.67,10.8,957100,10.8
2013-07-15,10.78,11.0,10.66,10.84,302700,10.84
2013-07-16,10.82,11.02,10.77,11.02,413600,11.02
2013-07-17,11.0,11.1,10.79,10.91,302700,10.91
2013-07-18,10.89,11.0,10.85,10.91,310700,10.91
2013-07-19,10.9,10.97,10.73,10.81,4103200,10.81
2013-07-22,10.78,10.97,10.74,10.95,257200,10.95
2013-07-23,10.99,11.15,10.92,11.1,283400,11.1
2013-07-24,11.14,11.14,10.8,10.86,229900,10.86
2013-07-25,10.86,11.0,10.75,10.98,255600,10.98
2013-07-26,10.92,10.96,10.71,10.94,444900,10.94
2013-07-29,10.9,11.06,10.87,10.95,89200,10.95
2013-07-30,10.98,10.98,10.69,10.87,1040900,10.87
2013-07-31,10.9,10.9,10.51,10.56,838500,10.56
2013-08-01,10.6,10.87,10.58,10.81,400200,10.81
2013-08-02,10.76,10.79,10.53,10.66,737800,10.66
2013-08-05,10.62,10.72,10.34,10.52,1045400,10.52
2013-08-06,10.24,10.27,10.08,10.2,786700,10.2
2013-08-07,10.21,10.3,10.1,10.13,423400,10.13
2013-08-08,10.16,10.27,10.13,10.18,818600,10.18
2013-08-09,10.19,10.25,10.05,10.09,700100,10.09
2013-08-12,10.05,10.17,9.71,9.75,1408700,9.75
2013-08-13,9.73,10.59,9.72,10.51,1234800,10.51
2013-08-14,10.49,10.6,10.13,10.16,750800,10.16
2013-08-15,10.06,10.19,9.91,10.19,351800,10.19
2013-08-16,10.16,10.17,9.97,10.05,254400,10.05
2013-08-19,10.04,10.09,9.88,9.93,232200,9.93
2013-08-20,9.93,10.24,9.87,10.08,599000,10.08
2013-08-21,10.04,10.08,9.73,9.81,450500,9.81
2013-08-22,9.9,10.08,9.81,9.98,640100,9.98
2013-08-23,10.01,10.07,9.92,9.99,324100,9.99
2013-08-26,10.04,10.09,9.96,10.0,600000,10.0
2013-08-27,9.98,10.01,9.87,9.95,234700,9.95
2013-08-28,9.98,10.22,9.97,10.21,384700,10.21
2013-08-29,10.21,10.26,10.11,10.22,262600,10.22
2013-08-30,10.24,10.27,10.13,10.17,259100,10.17
2013-09-03,10.35,10.38,10.08,10.13,453100,10.13
2013-09-04,10.18,10.46,10.17,10.4,793800,10.4
2013-09-05,10.42,10.5,10.32,10.39,482600,10.39
2013-09-06,10.44,10.52,10.36,10.37,323700,10.37
2013-09-09,10.41,10.47,10.34,10.41,410600,10.41
2013-09-10,10.41,10.47,10.34,10.42,435000,10.42
2013-09-11,10.44,10.75,10.34,10.53,1152700,10.53
2013-09-12,10.54,11.01,10.52,10.89,980000,10.89
2013-09-13,10.78,10.94,10.45,10.48,903500,10.48
2013-09-16,10.69,10.79,10.61,10.63,864500,10.63
2013-09-17,10.67,10.72,10.59,10.62,572000,10.62
2013-09-18,10.6,10.91,10.57,10.87,736200,10.87
2013-09-19,10.91,11.0,10.6,10.73,1129800,10.73
2013-09-20,10.7,10.78,10.58,10.75,2669900,10.75
2013-09-23,10.72,10.79,10.54,10.56,645700,10.56
2013-09-24,10.55,10.61,10.4,10.58,556900,10.58
2013-09-25,10.59,10.68,10.55,10.66,377400,10.66
2013-09-26,10.69,10.75,10.62,10.66,314300,10.66
2013-09-27,10.61,10.67,10.39,10.44,339300,10.44
2013-09-30,10.35,10.4,10.23,10.28,572200,10.28
2013-10-01,10.24,10.43,10.24,10.42,496500,10.42
2013-10-02,10.41,10.57,10.32,10.52,888400,10.52
2013-10-03,10.54,10.57,10.38,10.44,284600,10.44
2013-10-04,10.43,10.56,10.43,10.49,508700,10.49
2013-10-07,10.4,10.51,10.36,10.48,133100,10.48
2013-10-08,10.52,10.56,10.29,10.32,294900,10.32
2013-10-09,10.31,10.31,10.03,10.13,205200,10.13
2013-10-10,10.2,10.3,10.15,10.28,237300,10.28
2013-10-11,10.2,10.59,10.2,10.59,1066900,10.59
2013-10-14,10.55,10.76,10.47,10.74,416300,10.74
