Date,Open,High,Low,Close,Volume,Adj Close
2007-03-01,6.4,6.4,6.37,6.37,59200,2.750098
2007-03-02,6.35,6.35,6.33,6.33,2400,2.732829
2007-03-05,6.3,6.3,6.3,6.3,27600,2.719878
2007-03-06,6.25,6.45,6.25,6.45,190600,2.784636
2007-03-07,6.44,6.44,6.42,6.44,277400,2.780319
2007-03-08,6.44,6.55,6.42,6.52,207400,2.814857
2007-03-09,6.52,6.85,6.52,6.78,148800,2.927106
2007-03-12,6.74,6.74,6.61,6.63,32800,2.862347
2007-03-13,6.62,6.62,6.55,6.55,7800,2.827809
2007-03-14,6.53,6.53,6.42,6.42,69200,2.771685
2007-03-15,6.42,6.5,6.4,6.5,150000,2.806223
2007-03-16,6.5,6.6,6.48,6.55,94600,2.827809
2007-03-19,6.56,6.56,6.48,6.49,28400,2.801905
2007-03-20,6.46,6.49,6.45,6.46,23000,2.788954
2007-03-21,6.45,6.6,6.45,6.55,149200,2.827809
2007-03-22,6.55,6.55,6.41,6.5,411200,2.806223
2007-03-23,6.5,6.5,6.47,6.48,158000,2.797588
2007-03-26,6.48,6.48,6.41,6.42,13400,2.771685
2007-03-27,6.44,6.46,6.44,6.46,17400,2.788954
2007-03-28,6.45,6.45,6.43,6.45,46600,2.784636
2007-03-29,6.48,6.48,6.48,6.48,23000,2.797588
2007-03-30,6.49,6.65,6.48,6.6,68000,2.849395
2007-04-02,6.6,6.66,6.6,6.65,76400,2.870982
2007-04-03,6.68,6.75,6.65,6.7,64000,2.892568
2007-04-04,6.72,6.76,6.72,6.75,410600,2.914154
2007-04-05,6.75,6.76,6.75,6.76,205000,2.918472
2007-04-09,6.75,6.8,6.75,6.8,228200,2.935741
2007-04-10,6.78,6.8,6.76,6.77,182800,2.922789
2007-04-11,6.75,6.75,6.68,6.7,279800,2.892568
2007-04-12,6.68,6.77,6.68,6.73,55600,2.90552
2007-04-13,6.75,6.77,6.75,6.77,44600,2.922789
2007-04-16,6.78,6.84,6.72,6.72,133600,2.901202
2007-04-17,6.75,6.8,6.73,6.79,334000,2.931423
2007-04-18,6.79,6.84,6.78,6.79,23200,2.931423
2007-04-19,6.79,6.8,6.78,6.78,105800,2.927106
2007-04-20,6.79,6.82,6.79,6.79,126600,2.931423
2007-04-23,6.81,6.81,6.75,6.77,615800,2.922789
2007-04-24,6.75,6.75,6.72,6.72,19000,2.901202
2007-04-25,6.7,6.7,6.61,6.61,52200,2.853713
2007-04-26,6.63,6.67,6.62,6.65,3800,2.870982
2007-04-27,6.63,6.63,6.56,6.56,9200,2.832126
2007-04-30,6.62,6.62,6.52,6.52,8800,2.814857
2007-05-01,6.5,6.55,6.42,6.42,27600,2.771685
2007-05-02,6.42,6.43,6.42,6.43,13000,2.776002
2007-05-03,6.45,6.57,6.45,6.55,76400,2.827809
2007-05-04,6.54,6.54,6.5,6.53,18800,2.819175
2007-05-07,6.52,6.6,6.52,6.52,23600,2.814857
2007-05-08,6.57,6.57,6.54,6.55,55600,2.827809
2007-05-09,6.56,6.63,6.56,6.63,1370000,2.862347
2007-05-10,6.72,6.99,6.7,6.89,1215600,2.974596
2007-05-11,6.88,6.89,6.87,6.87,445600,2.965962
2007-05-14,6.88,6.89,6.88,6.89,197000,2.974596
2007-05-15,6.88,6.88,6.86,6.87,9400,2.965962
2007-05-16,6.86,6.88,6.86,6.86,273200,2.961644
2007-05-17,6.88,6.9,6.86,6.89,1670200,2.974596
2007-05-18,6.89,6.9,6.87,6.87,137000,2.965962
2007-05-21,6.9,6.98,6.89,6.97,506400,3.009134
2007-05-22,6.98,7.01,6.98,7.0,512600,3.022086
2007-05-23,7.03,7.2,7.02,7.16,477800,3.091162
2007-05-24,7.17,7.19,7.16,7.17,140400,3.09548
2007-05-25,7.17,7.32,7.17,7.27,412800,3.138652
2007-05-29,7.32,8.15,7.3,7.7,204400,3.324295
2007-05-30,7.8,7.8,7.4,7.4,41600,3.194777
2007-05-31,7.45,7.82,7.4,7.7,166000,3.324295
2007-06-01,7.77,7.9,7.72,7.79,104200,3.36315
2007-06-04,7.83,7.83,7.7,7.72,152800,3.332929
2007-06-05,7.8,7.8,7.67,7.7,162400,3.324295
2007-06-06,7.75,7.75,7.65,7.65,30000,3.302708
2007-06-07,7.79,7.79,7.31,7.45,26800,3.216363
2007-06-08,7.5,7.57,7.46,7.5,5600,3.237949
2007-06-11,7.52,7.7,7.45,7.5,42000,3.237949
2007-06-12,7.48,7.5,7.48,7.5,66000,3.237949
2007-06-13,7.5,7.5,7.46,7.46,58800,3.22068
2007-06-14,7.23,7.6,7.23,7.46,13800,3.22068
2007-06-15,7.6,7.75,7.47,7.47,323400,3.224997
2007-06-18,7.6,7.7,7.6,7.65,79800,3.302708
2007-06-19,7.7,7.7,7.63,7.65,3400,3.302708
2007-06-20,7.7,7.7,7.65,7.65,8600,3.302708
2007-06-21,7.7,7.7,7.6,7.65,21800,3.302708
2007-06-22,7.7,7.7,7.65,7.69,33000,3.319977
2007-06-25,7.65,7.67,7.6,7.66,10000,3.307025
2007-06-26,7.7,7.7,7.55,7.55,22600,3.259536
2007-06-27,7.6,7.69,7.55,7.6,65000,3.281122
2007-06-28,7.6,7.62,7.55,7.6,29200,3.281122
2007-06-29,7.53,7.7,7.53,7.59,115200,3.276805
2007-07-02,7.6,7.6,7.51,7.59,50200,3.276805
2007-07-03,7.59,7.59,7.51,7.55,50600,3.259536
2007-07-05,7.58,7.6,7.5,7.5,132400,3.237949
2007-07-06,7.5,7.59,7.5,7.59,9400,3.276805
2007-07-09,7.61,7.61,7.42,7.49,59400,3.233632
2007-07-10,7.5,7.6,7.42,7.45,23000,3.216363
2007-07-11,7.42,7.45,7.3,7.4,121000,3.194777
2007-07-12,7.4,7.54,7.33,7.52,99400,3.246584
2007-07-13,7.5,7.99,7.5,7.7,1221400,3.324295
2007-07-16,7.73,7.74,7.65,7.67,124000,3.311343
2007-07-17,7.7,7.75,7.36,7.66,135200,3.307025
2007-07-18,7.71,7.76,7.69,7.73,34400,3.337246
2007-07-19,7.75,7.92,7.7,7.72,292400,3.332929
2007-07-20,7.81,7.81,7.73,7.75,161200,3.345881
2007-07-23,7.8,7.8,7.69,7.69,28200,3.319977
2007-07-24,7.72,7.72,7.55,7.56,26200,3.263853
2007-07-25,7.56,7.57,7.53,7.57,27200,3.26817
2007-07-26,7.49,7.5,7.28,7.34,35800,3.168873
2007-07-27,7.34,7.35,7.26,7.27,29000,3.138652
2007-07-30,7.27,7.41,7.27,7.37,67200,3.181825
2007-07-31,7.35,7.4,7.2,7.29,78800,3.147287
2007-08-01,7.25,7.26,6.75,7.01,488800,3.026403
2007-08-02,6.95,7.03,6.65,6.88,225600,2.970279
2007-08-03,6.85,6.85,6.3,6.8,46800,2.935741
2007-08-06,6.67,6.68,6.06,6.52,127800,2.814857
2007-08-07,6.54,6.75,6.51,6.58,77600,2.840761
2007-08-08,6.62,6.68,6.16,6.16,66800,2.659436
2007-08-09,6.51,6.75,6.2,6.39,566200,2.758733
2007-08-10,6.39,6.5,6.25,6.38,523400,2.754416
2007-08-13,6.56,6.75,6.45,6.47,174800,2.793271
2007-08-14,6.43,6.51,6.4,6.4,1041000,2.76305
2007-08-15,6.3,6.55,6.3,6.47,658400,2.793271
2007-08-16,6.43,6.45,6.2,6.4,569400,2.76305
2007-08-17,6.5,6.84,6.45,6.84,439600,2.95301
2007-08-20,6.84,6.84,6.67,6.71,43600,2.896885
2007-08-21,6.66,6.7,6.6,6.64,28000,2.866664
2007-08-22,6.69,6.9,6.69,6.83,443400,2.948692
2007-08-23,6.9,7.03,6.87,7.0,159200,3.022086
2007-08-24,7.01,7.1,6.94,7.02,117600,3.030721
2007-08-27,7.06,7.24,7.02,7.04,41000,3.039355
2007-08-28,7.02,7.02,6.77,6.8,148000,2.935741
2007-08-29,6.76,7.6,6.75,6.96,97400,3.004817
2007-08-30,6.99,7.07,6.79,6.92,31000,2.987548
2007-08-31,7.08,7.08,6.87,6.87,30800,2.965962
2007-09-04,6.93,7.08,6.93,7.07,32000,3.052307
2007-09-05,7.06,7.18,7.04,7.18,884600,3.099797
2007-09-06,7.31,7.31,7.13,7.16,61400,3.091162
2007-09-07,7.17,7.22,7.09,7.15,102200,3.086845
2007-09-10,7.12,7.12,7.0,7.04,358600,3.039355
2007-09-11,7.07,7.15,6.91,6.94,215200,2.996182
2007-09-12,6.96,7.0,6.94,6.94,4400,2.996182
2007-09-13,7.0,7.01,6.87,6.9,252800,2.978913
2007-09-14,6.9,6.93,6.72,6.72,74200,2.901202
2007-09-17,6.75,6.92,6.74,6.8,305800,2.935741
2007-09-18,6.8,6.92,6.7,6.92,216400,2.987548
2007-09-19,6.9,7.02,6.85,6.98,139400,3.013452
2007-09-20,6.84,6.94,6.82,6.92,16800,2.987548
2007-09-21,6.95,7.0,6.95,6.96,20000,3.004817
2007-09-24,6.92,6.97,6.7,6.95,24400,3.0005
2007-09-25,6.97,7.08,6.96,7.07,65800,3.052307
2007-09-26,7.05,7.08,7.03,7.03,14000,3.035038
2007-09-27,7.0,7.09,6.99,7.03,36200,3.035038
2007-09-28,7.0,7.18,7.0,7.18,57200,3.099797
2007-10-01,7.19,7.24,6.67,6.89,61200,2.974596
2007-10-02,6.89,7.15,6.88,7.07,24400,3.052307
2007-10-03,7.09,7.15,7.06,7.11,17000,3.069576
2007-10-04,7.12,7.16,7.08,7.16,68800,3.091162
2007-10-05,7.24,7.25,7.18,7.21,49600,3.112749
2007-10-08,7.17,7.17,7.06,7.09,66400,3.060941
2007-10-09,7.1,7.15,7.06,7.14,53000,3.082528
2007-10-10,7.13,7.14,7.1,7.14,128600,3.082528
2007-10-11,7.11,7.11,7.07,7.1,19600,3.065259
2007-10-12,7.12,7.12,7.1,7.11,2800,3.069576
2007-10-15,7.05,7.09,7.03,7.09,6200,3.060941
2007-10-16,7.01,7.01,6.98,7.0,12400,3.022086
2007-10-17,7.04,7.05,7.01,7.01,4600,3.026403
2007-10-18,7.05,7.17,7.05,7.08,48400,3.056624
2007-10-19,7.1,7.1,7.01,7.05,22000,3.043672
2007-10-22,7.05,7.05,6.96,7.05,91000,3.043672
2007-10-23,7.35,7.4,7.15,7.15,65800,3.086845
2007-10-24,7.05,7.1,7.04,7.09,29000,3.060941
2007-10-25,7.09,7.09,6.89,7.02,19000,3.030721
2007-10-26,7.06,7.15,6.98,7.13,297800,3.078211
2007-10-29,7.09,7.09,7.0,7.0,4000,3.022086
2007-10-30,7.01,7.05,7.01,7.05,40600,3.043672
2007-10-31,7.03,7.03,6.99,7.0,233800,3.022086
2007-11-01,7.0,7.23,6.96,7.17,317000,3.09548
2007-11-02,7.16,7.27,7.15,7.21,627800,3.112749
2007-11-05,7.21,7.38,7.21,7.28,112400,3.14297
2007-11-06,7.25,7.5,7.25,7.37,99200,3.181825
2007-11-07,7.37,7.42,7.2,7.24,63400,3.1257
2007-11-08,7.17,7.26,7.17,7.25,71600,3.130018
2007-11-09,7.2,7.2,7.15,7.15,12600,3.086845
2007-11-12,7.25,7.26,7.0,7.04,104200,3.039355
2007-11-13,7.11,7.35,6.93,7.08,130000,3.056624
2007-11-14,7.07,7.27,6.93,7.1,203600,3.065259
2007-11-15,7.18,7.3,7.0,7.11,224800,3.069576
2007-11-16,7.22,7.28,7.18,7.2,93000,3.108431
2007-11-19,7.14,7.27,7.06,7.26,72400,3.134335
2007-11-20,7.03,7.32,7.03,7.32,182400,3.160239
2007-11-21,7.19,7.25,7.15,7.25,1600,3.130018
2007-11-23,7.22,7.22,7.22,7.22,400,3.117066
2007-11-26,7.21,7.52,7.21,7.4,17600,3.194777
2007-11-27,7.29,7.4,7.23,7.25,82000,3.130018
2007-11-28,7.27,7.27,7.1,7.14,181600,3.082528
2007-11-29,7.29,7.29,7.17,7.18,5800,3.099797
2007-11-30,7.18,7.3,6.89,6.89,58000,2.974596
2007-12-03,7.0,7.26,7.0,7.25,41800,3.130018
2007-12-04,7.14,7.17,7.1,7.1,2800,3.065259
2007-12-05,7.09,7.3,7.09,7.25,31000,3.130018
2007-12-06,7.18,7.26,7.18,7.21,26800,3.112749
2007-12-07,7.28,7.4,7.19,7.21,40000,3.112749
2007-12-10,7.27,7.29,7.19,7.22,142000,3.117066
2007-12-11,7.3,7.3,7.1,7.13,81200,3.078211
2007-12-12,7.28,7.29,6.95,7.01,309600,3.026403
2007-12-13,6.96,6.99,6.95,6.95,11400,3.0005
2007-12-14,6.96,7.28,6.96,7.14,148800,3.082528
2007-12-17,7.1,7.2,6.9,7.03,59800,3.035038
2007-12-18,6.9,7.01,6.89,6.97,24800,3.009134
2007-12-19,6.95,6.95,6.89,6.9,84800,2.978913
2007-12-20,6.88,6.88,6.72,6.72,91200,2.901202
2007-12-21,6.78,6.84,6.7,6.79,38200,2.931423
2007-12-24,6.77,6.77,6.73,6.73,600,2.90552
2007-12-26,6.67,6.74,6.67,6.7,32600,2.892568
2007-12-27,6.67,6.8,6.6,6.8,42200,2.935741
2007-12-28,6.8,6.8,6.75,6.79,44200,2.931423
2007-12-31,6.75,7.25,6.75,7.0,94400,3.022086
2008-01-02,7.29,7.8,6.94,6.98,269000,3.013452
2008-01-03,7.18,7.18,6.66,6.7,63800,2.892568
2008-01-04,6.71,6.83,6.55,6.6,122000,2.849395
2008-01-07,6.65,6.65,6.52,6.54,52400,2.823492
2008-01-08,6.53,6.6,6.45,6.6,41800,2.849395
2008-01-09,6.6,6.86,6.54,6.57,22400,2.836444
2008-01-10,6.55,6.6,6.51,6.57,7800,2.836444
2008-01-11,6.57,6.59,6.54,6.59,16600,2.845078
2008-01-14,6.77,6.9,6.6,6.69,25800,2.888251
2008-01-15,6.71,6.74,6.47,6.52,65600,2.814857
2008-01-16,6.75,6.76,6.47,6.5,40600,2.806223
2008-01-17,6.54,6.54,6.4,6.4,130000,2.76305
2008-01-18,6.41,6.5,6.4,6.43,42400,2.776002
2008-01-22,6.32,6.45,6.32,6.43,51600,2.776002
2008-01-23,6.36,6.46,6.35,6.36,22200,2.745781
2008-01-24,6.41,6.41,6.38,6.4,6600,2.76305
2008-01-25,6.41,6.41,6.35,6.35,7000,2.741464
2008-01-28,6.32,6.4,6.27,6.31,528200,2.724195
2008-01-29,6.32,6.59,6.32,6.46,309200,2.788954
2008-01-30,6.47,6.6,6.36,6.36,68000,2.745781
2008-01-31,6.33,6.52,6.3,6.45,167400,2.784636
2008-02-01,6.52,6.56,6.31,6.41,66000,2.767367
2008-02-04,6.3,6.74,6.3,6.7,61600,2.892568
2008-02-05,6.65,6.65,6.55,6.55,73000,2.827809
2008-02-06,6.51,6.56,6.45,6.46,56000,2.788954
2008-02-07,6.5,6.52,6.46,6.5,24800,2.806223
2008-02-08,6.69,6.8,6.6,6.66,8800,2.875299
2008-02-11,6.81,6.81,6.65,6.74,297600,2.909837
2008-02-12,6.68,6.87,6.45,6.79,69200,2.931423
2008-02-13,6.9,7.35,6.67,6.7,62800,2.892568
2008-02-14,6.82,6.82,6.65,6.68,21000,2.883933
2008-02-15,6.68,6.68,6.53,6.56,29400,2.832126
2008-02-19,6.55,6.77,6.53,6.53,43200,2.819175
2008-02-20,6.54,6.54,6.29,6.39,165600,2.758733
2008-02-21,6.3,6.5,6.3,6.44,5800,2.780319
2008-02-22,6.47,6.55,6.39,6.47,38200,2.793271
2008-02-25,6.29,6.46,6.21,6.4,161000,2.76305
2008-02-26,6.36,6.44,6.19,6.4,99600,2.76305
2008-02-27,6.27,6.78,6.25,6.57,84000,2.836444
2008-02-28,6.52,6.54,6.24,6.38,82000,2.754416
2008-02-29,6.22,6.68,6.21,6.65,13800,2.870982
2008-03-03,6.6,6.6,6.28,6.49,8800,2.801905
2008-03-04,6.4,6.41,6.21,6.39,88600,2.758733
2008-03-05,6.31,6.44,6.24,6.4,51400,2.76305
2008-03-06,6.4,6.41,6.38,6.38,3200,2.754416
2008-03-07,6.33,6.35,6.21,6.35,63400,2.741464
2008-03-10,6.4,6.4,6.3,6.33,14000,2.732829
