Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,61.189999,63.0,60.27,62.77,2590200,55.471717
2006-01-04,62.580002,62.580002,61.540001,62.080002,1892300,54.861945
2006-01-05,62.080002,63.560001,61.790001,62.91,1617800,55.595439
2006-01-06,62.299999,62.740002,61.91,62.619999,2461100,55.339156
2006-01-09,62.619999,65.830002,62.32,65.239998,2913300,57.654527
2006-01-10,64.849998,66.440002,64.360001,65.910004,1804500,58.246631
2006-01-11,65.919998,66.199997,65.330002,65.949997,1469400,58.281975
2006-01-12,65.75,65.760002,64.849998,65.230003,1915000,57.645695
2006-01-13,65.0,65.160004,63.630001,63.990002,2159900,56.549869
2006-01-17,63.990002,64.0,63.02,63.43,1345700,56.054979
2006-01-18,63.18,63.889999,62.209999,63.27,1560200,55.913582
2006-01-19,63.099998,63.349998,62.279999,62.619999,1343500,55.339156
2006-01-20,63.200001,63.200001,61.330002,61.75,1737000,54.570312
2006-01-23,61.650002,61.75,60.900002,61.209999,1232400,54.093098
2006-01-24,62.700001,63.869999,62.34,62.939999,2633500,55.62195
2006-01-25,62.939999,62.950001,60.959999,61.450001,1977700,54.305194
2006-01-26,62.349998,62.950001,61.900002,62.939999,2022700,55.62195
2006-01-27,62.720001,64.300003,62.66,63.34,2318400,55.975443
2006-01-30,63.34,63.509998,62.599998,62.950001,1099600,55.630789
2006-01-31,62.75,62.779999,61.849998,62.560001,1567700,55.286135
2006-02-01,62.16,62.18,61.099998,61.560001,2096600,54.402405
2006-02-02,61.59,62.080002,60.279999,60.380001,1938200,53.359604
2006-02-03,59.84,61.450001,59.080002,60.799999,2316900,53.873527
2006-02-06,60.810001,61.0,59.900002,60.209999,1199600,53.350741
2006-02-07,59.82,59.830002,57.66,57.849998,3087300,51.259597
2006-02-08,57.830002,58.0,56.630001,57.889999,2498600,51.295041
2006-02-09,57.709999,58.669998,57.529999,57.66,1278200,51.091244
2006-02-10,57.549999,57.560001,56.099998,57.049999,1600300,50.550736
2006-02-13,57.049999,57.110001,56.150002,56.41,1265900,49.983646
2006-02-14,56.400002,57.650002,55.23,57.299999,2357200,50.772255
2006-02-15,57.209999,58.669998,56.869999,58.060001,2218400,51.445676
2006-02-16,58.900002,59.0,57.709999,58.810001,2025400,52.110234
2006-02-17,58.810001,59.150002,57.93,58.240002,1331600,51.60517
2006-02-21,58.849998,59.439999,57.650002,58.799999,1429300,52.101372
2006-02-22,58.799999,61.349998,58.57,61.060001,2315500,54.103909
2006-02-23,60.950001,61.57,60.369999,60.93,1938800,53.988718
2006-02-24,60.93,60.950001,60.130001,60.689999,975200,53.776058
2006-02-27,60.09,60.919998,59.639999,60.439999,1600000,53.554539
2006-02-28,60.32,60.950001,59.5,59.860001,2049800,53.040615
2006-03-01,59.549999,59.830002,58.75,59.25,1672900,52.500107
2006-03-02,59.049999,59.549999,58.330002,59.279999,2293600,52.526689
2006-03-03,59.049999,59.27,57.919998,58.23,1846800,51.596308
2006-03-06,58.23,58.349998,56.950001,57.25,2096700,50.727952
2006-03-07,57.25,57.25,55.720001,56.369999,2004700,49.948202
2006-03-08,56.049999,56.509998,55.419998,56.41,2644100,49.983646
2006-03-09,56.41,56.720001,55.119999,55.169998,1889800,48.884908
2006-03-10,55.16,56.560001,55.060001,56.310001,1469300,49.89504
2006-03-13,56.799999,57.52,56.700001,56.790001,1493300,50.320357
2006-03-14,56.799999,58.959999,56.709999,58.860001,2391700,52.154538
2006-03-15,58.869999,58.990002,58.209999,58.830002,2010200,52.127956
2006-03-16,59.25,60.299999,59.029999,59.900002,2470400,53.076059
2006-03-17,60.200001,61.029999,59.919998,60.009998,1976700,53.173525
2006-03-20,60.009998,60.110001,58.740002,58.849998,1842100,52.145675
2006-03-21,58.849998,58.849998,57.299999,57.639999,2223600,51.073522
2006-03-22,57.639999,58.25,57.07,57.200001,1496400,50.683649
2006-03-23,57.459999,59.630001,57.27,59.450001,2972400,52.677324
2006-03-24,59.459999,60.07,58.25,59.919998,2348100,53.093778
2006-03-27,60.5,61.25,60.189999,60.32,1742400,53.44821
2006-03-28,61.439999,61.880001,60.389999,61.029999,3927300,54.077325
2006-03-29,60.779999,61.57,60.389999,61.110001,1979600,54.148213
2006-03-30,61.110001,61.240002,59.919998,60.549999,2619700,53.652008
2006-03-31,60.549999,60.810001,60.02,60.380001,1389100,53.501376
2006-04-03,59.950001,60.5,59.32,59.400002,1879000,52.63302
2006-04-04,59.41,60.130001,59.240002,59.57,1298900,52.783652
2006-04-05,59.77,62.380001,59.75,62.279999,2323500,55.184922
2006-04-06,61.75,61.950001,61.009998,61.27,1759500,54.289985
2006-04-07,61.279999,61.779999,60.82,61.41,1674000,54.414035
2006-04-10,61.400002,62.150002,60.759998,60.900002,1168600,53.962137
2006-04-11,61.25,61.889999,60.669998,60.779999,1679300,53.855805
2006-04-12,60.779999,60.779999,59.450001,59.650002,1730600,52.85454
2006-04-13,59.450001,59.599998,58.650002,59.349998,1680800,52.588714
2006-04-17,59.349998,59.68,57.549999,57.810001,2309300,51.224157
2006-04-18,57.5,59.5,56.709999,59.34,3673600,52.579855
2006-04-19,58.700001,59.060001,57.57,57.970001,2416500,51.365929
2006-04-20,57.150002,57.75,56.799999,57.400002,2002800,50.860865
2006-04-21,57.849998,57.849998,56.459999,56.470001,2495600,50.036812
2006-04-24,56.470001,56.470001,55.369999,55.389999,2974100,49.079847
2006-04-25,55.700001,55.709999,54.560001,55.060001,3007600,48.787443
2006-04-26,55.0,57.540001,54.990002,56.220001,3752600,49.815293
2006-04-27,55.5,56.220001,54.43,55.610001,3853300,49.274785
2006-04-28,54.75,56.060001,54.509998,54.93,3203800,48.672252
2006-05-01,54.939999,55.400002,54.25,54.369999,2445800,48.176047
2006-05-02,52.599998,53.700001,52.450001,53.240002,3752700,47.174782
2006-05-03,52.549999,53.77,52.119999,53.25,3035400,47.325865
2006-05-04,53.25,53.5,52.529999,52.529999,2071800,46.685965
2006-05-05,53.450001,54.740002,52.889999,54.490002,2298900,48.427915
2006-05-08,54.240002,54.75,53.529999,53.560001,2101600,47.601379
2006-05-09,53.650002,53.650002,52.25,52.459999,2620400,46.623753
2006-05-10,52.540001,53.610001,52.540001,52.990002,2606800,47.094792
2006-05-11,52.549999,52.880001,51.119999,51.200001,3075000,45.503931
2006-05-12,50.84,50.900002,49.700001,50.540001,2830900,44.917357
2006-05-15,50.610001,51.02,49.139999,49.810001,2613500,44.268571
2006-05-16,49.849998,50.110001,48.720001,48.93,2934500,43.486472
2006-05-17,48.290001,49.080002,47.709999,48.209999,2615200,42.846571
2006-05-18,48.540001,50.099998,48.509998,49.02,3648600,43.566459
2006-05-19,49.099998,49.529999,48.529999,48.75,2590600,43.326496
2006-05-22,48.5,48.740002,47.610001,48.209999,2977100,42.846571
2006-05-23,48.970001,49.950001,48.25,48.529999,4007100,43.130971
2006-05-24,48.529999,50.049999,48.099998,48.68,3480400,43.264284
2006-05-25,48.5,49.189999,48.060001,48.82,1734000,43.388709
2006-05-26,48.830002,49.369999,48.830002,48.990002,1025600,43.539798
2006-05-30,48.75,48.759998,47.59,47.82,2081400,42.49996
2006-05-31,47.860001,48.099998,47.299999,47.91,1948900,42.579947
2006-06-01,47.919998,48.639999,47.580002,48.560001,3093700,43.157635
2006-06-02,48.75,49.099998,47.59,48.080002,2716600,42.731037
2006-06-05,48.080002,48.080002,46.439999,46.5,2669900,41.326812
2006-06-06,46.25,46.259998,44.400002,45.0,5061300,39.993689
2006-06-07,45.349998,45.919998,44.529999,44.700001,3894200,39.727065
2006-06-08,44.700001,44.790001,43.59,44.509998,3360100,39.558201
2006-06-09,45.029999,45.599998,44.610001,45.139999,2119600,40.118113
2006-06-12,44.799999,45.009998,43.75,43.77,1850300,38.900529
2006-06-13,43.5,44.18,42.810001,43.060001,2831200,38.269518
2006-06-14,42.970001,43.700001,42.810001,43.650002,2480500,38.79388
2006-06-15,43.66,45.740002,43.470001,45.389999,3683000,40.3403
2006-06-16,45.389999,45.790001,44.549999,44.889999,2187400,39.895926
