Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,42.119999,42.490002,40.290001,41.799999,428100,38.83955
2006-01-04,41.849998,42.759998,41.5,42.369999,446600,39.36918
2006-01-05,42.43,42.880001,41.869999,41.869999,392200,38.904592
2006-01-06,42.27,42.27,40.889999,41.09,583700,38.179836
2006-01-09,41.150002,41.73,41.0,41.599998,330400,38.653714
2006-01-10,41.75,42.0,41.0,41.810001,398500,38.848844
2006-01-11,41.990002,42.16,40.880001,41.52,271800,38.579382
2006-01-12,41.630001,41.630001,40.849998,41.029999,273100,38.124084
2006-01-13,40.880001,41.84,40.849998,41.240002,477000,38.319214
2006-01-17,41.299999,41.580002,40.369999,40.419998,446400,37.557286
2006-01-18,40.259998,40.75,39.560001,39.619999,964600,36.813946
2006-01-19,39.880001,40.619999,39.57,40.490002,622400,37.622332
2006-01-20,40.48,41.43,40.48,40.919998,480300,38.021874
2006-01-23,41.139999,41.200001,38.720001,39.700001,665400,36.888282
2006-01-24,39.860001,41.509998,39.860001,41.18,570500,38.263462
2006-01-25,41.48,41.549999,39.939999,40.0,487700,37.167034
2006-01-26,40.040001,41.400002,40.040001,41.32,399500,38.393546
2006-01-27,41.549999,41.549999,40.07,40.580002,414400,37.705958
2006-01-30,40.790001,42.240002,40.630001,42.0,334600,39.025386
2006-01-31,42.110001,42.599998,41.299999,42.299999,397500,39.304138
2006-02-01,42.48,42.970001,41.98,42.639999,545700,39.620058
2006-02-02,43.700001,44.599998,42.68,44.419998,1638500,41.27399
2006-02-03,44.57,44.57,43.509998,44.07,554000,40.94878
2006-02-06,44.279999,44.419998,43.290001,43.619999,513400,40.53065
2006-02-07,43.75,43.75,42.0,42.139999,430900,39.15547
2006-02-08,42.439999,42.650002,41.619999,42.459999,554500,39.452806
2006-02-09,42.68,43.240002,42.279999,42.360001,288900,39.35989
2006-02-10,42.529999,43.189999,41.66,43.0,334900,39.978157
2006-02-13,43.060001,43.130001,42.060001,42.509998,293100,39.52259
2006-02-14,42.509998,44.0,41.740002,43.490002,325300,40.433723
2006-02-15,43.290001,44.009998,42.5,43.990002,445100,40.898586
2006-02-16,44.049999,44.5,43.759998,43.82,570300,40.740531
2006-02-17,44.009998,44.16,42.73,43.639999,304500,40.57318
