Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,47.489999,47.87999,46.519998,47.549995,1757100,21.11187
2006-01-04,47.650006,48.039997,47.570003,47.949992,612000,21.289466
2006-01-05,48.000005,48.12,47.710002,47.899998,429900,21.267269
2006-01-06,48.049999,49.02,47.899998,49.02,666500,21.764542
2006-01-09,49.249988,49.650004,48.400001,48.659995,755200,21.604703
2006-01-10,48.659995,48.750004,48.039997,48.489987,417100,21.52922
2006-01-11,48.62999,49.02,48.499989,48.880001,634800,21.702384
2006-01-12,48.880001,49.310007,48.769988,49.02,840700,21.764542
2006-01-13,49.079999,49.189989,48.35999,48.869999,576700,21.697943
2006-01-17,48.970006,48.999996,48.299994,48.890003,434800,21.706825
2006-01-18,48.890003,48.939997,48.140008,48.480005,479100,21.524788
2006-01-19,48.550006,49.059992,48.439993,48.939997,458400,21.729022
2006-01-20,48.939997,49.079999,48.079989,48.079989,255900,21.347184
2006-01-23,48.049999,49.079999,47.889992,48.799998,781900,21.666863
2006-01-24,48.900009,50.369994,48.750004,49.799989,850300,22.110852
2006-01-25,50.200005,50.629988,49.679994,49.850003,584300,22.133058
2006-01-26,49.94999,50.439992,49.829995,50.249999,509300,22.310654
2006-01-27,50.649996,51.860007,50.559987,51.799988,688900,22.998838
2006-01-30,52.000006,52.410004,51.660009,51.660009,556600,22.936688
2006-01-31,51.669991,52.489988,51.479994,52.470004,803700,23.29632
2006-02-01,52.000006,52.760007,52.000006,52.509995,577900,23.314076
2006-02-02,52.680004,53.370004,52.680004,52.979989,687800,23.52275
2006-02-03,52.880002,53.949991,52.769989,53.909999,651100,23.935668
2006-02-06,53.969998,53.969998,53.300002,53.809992,825700,23.891266
2006-02-07,53.909999,54.099995,53.370004,53.489999,440500,23.749191
2006-02-08,53.450007,53.479997,52.559989,53.08,768400,23.567155
2006-02-09,53.08,53.949991,52.960005,53.609994,599700,23.802468
2006-02-10,53.599992,53.659987,52.509995,52.830008,892000,23.45616
2006-02-13,52.849992,52.880002,52.330001,52.489988,412000,23.305193
2006-02-14,52.379995,52.690006,52.270005,52.39,928800,23.260799
2006-02-15,52.299991,52.349989,51.869989,52.000006,666300,23.087644
2006-02-16,52.000006,52.559989,52.000006,52.439994,959000,23.282996
2006-02-17,52.49999,52.649994,52.309997,52.620008,650700,23.362921
2006-02-21,52.649994,52.649994,52.049999,52.449996,630700,23.287437
2006-02-22,52.49999,52.750005,52.400002,52.489988,565600,23.305193
2006-02-23,52.489988,52.559989,52.200004,52.519997,469100,23.318517
2006-02-24,52.6,53.059993,52.439994,52.929996,443200,23.500554
2006-02-27,53.179988,54.079988,53.119992,53.939989,472400,23.948984
2006-02-28,53.939989,54.25,53.679995,54.25,931400,24.086626
2006-03-01,54.25,54.579995,53.879993,53.930007,746600,23.944551
2006-03-02,53.990002,54.919992,53.990002,54.69999,635700,24.286419
2006-03-03,54.740002,55.479995,54.719994,55.030005,794000,24.432943
2006-03-06,55.529989,55.57,54.309995,54.309995,479400,24.113264
2006-03-07,54.210008,54.349987,53.969998,54.140007,388200,24.03779
2006-03-08,54.200006,54.449998,53.440005,54.400001,700600,24.153226
2006-03-09,54.999995,56.099994,54.299994,54.299994,930200,24.108823
2006-03-10,54.499992,54.919992,54.260002,54.649996,558600,24.264222
2006-03-13,55.15,55.59999,54.999995,55.269995,589400,24.539497
2006-03-14,55.100006,56.130003,55.100006,55.969997,774300,24.850293
2006-03-15,56.070008,57.290001,55.939987,56.820003,543400,25.22769
2006-03-16,57.149998,57.759999,57.049991,57.329993,924500,25.454122
2006-03-17,57.549995,57.930007,57.449988,57.749993,1093500,25.640599
2006-03-20,57.899998,58.499993,57.729989,58.250001,844800,25.862599
2006-03-21,58.250001,58.550006,57.529991,57.980001,559500,25.742721
2006-03-22,58.050002,58.550006,57.840002,58.009991,556000,25.756036
2006-03-23,58.019993,58.270004,57.749993,57.850004,558800,25.685003
2006-03-24,58.000009,58.849992,58.000009,58.759986,581200,26.089029
2006-03-27,59.249988,59.860008,59.150001,59.249988,761200,26.306587
2006-03-28,59.399993,59.440004,58.759986,58.909991,788900,26.15563
2006-03-29,58.999996,58.999996,58.400001,58.680003,659900,26.053517
2006-03-30,58.699991,59.449986,58.159992,58.470003,759900,25.960278
