Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,12.9,13.5,12.81,13.5,1875500,13.5
2006-01-04,13.47,13.85,13.0,13.0,2342000,13.0
2006-01-05,13.3,13.31,12.95,13.0,2880600,13.0
2006-01-06,13.0,13.08,12.77,12.93,1627700,12.93
2006-01-09,12.83,13.75,12.82,13.75,1133300,13.75
2006-01-10,13.85,13.85,13.45,13.65,1382200,13.65
2006-01-11,13.6,14.6,13.48,14.32,2884200,14.32
2006-01-12,14.0,14.65,13.9,14.4,2363900,14.4
2006-01-13,14.4,14.77,14.37,14.77,2023000,14.77
2006-01-17,14.45,15.14,14.4,14.87,1754300,14.87
2006-01-18,14.4,14.65,14.31,14.49,1714500,14.49
2006-01-19,14.4,15.22,14.3,15.22,4355100,15.22
2006-01-20,15.4,16.75,15.3,16.559999,3528300,16.559999
2006-01-23,16.57,18.5,16.57,17.59,3088500,17.59
2006-01-24,17.389999,17.799999,17.299999,17.59,1375600,17.59
2006-01-25,17.65,17.65,16.360001,16.73,1517700,16.73
2006-01-26,16.799999,17.450001,16.450001,16.57,811900,16.57
2006-01-27,16.57,17.4,16.57,17.049999,1063900,17.049999
2006-01-30,17.059999,17.299999,16.780001,17.24,941200,17.24
2006-01-31,17.200001,18.0,17.200001,17.75,1478000,17.75
2006-02-01,17.76,17.85,17.26,17.51,403700,17.51
2006-02-02,17.5,17.58,17.25,17.4,804400,17.4
2006-02-03,17.280001,17.74,17.25,17.65,243700,17.65
2006-02-06,17.700001,17.75,17.49,17.639999,338300,17.639999
2006-02-07,17.75,18.15,17.540001,17.76,322000,17.76
2006-02-08,17.76,17.870001,17.51,17.870001,210600,17.870001
2006-02-09,17.92,19.0,17.9,18.950001,836800,18.950001
2006-02-10,19.0,19.299999,18.98,19.07,456100,19.07
2006-02-13,19.0,19.559999,19.0,19.4,718000,19.4
2006-02-14,19.4,19.4,18.92,19.02,436300,19.02
2006-02-15,19.0,19.120001,18.969999,19.07,674500,19.07
2006-02-16,19.08,19.08,18.450001,18.5,1359700,18.5
2006-02-17,18.4,18.469999,17.9,17.940001,257000,17.940001
2006-02-21,17.549999,19.200001,17.459999,18.93,861700,18.93
2006-02-22,18.68,19.0,18.57,18.940001,117900,18.940001
2006-02-23,18.51,18.93,18.299999,18.709999,131000,18.709999
2006-02-24,18.6,18.700001,17.780001,18.49,670600,18.49
2006-02-27,18.35,18.58,17.84,17.91,270300,17.91
2006-02-28,17.85,17.98,17.719999,17.85,174200,17.85
2006-03-01,17.75,17.879999,17.65,17.790001,146900,17.790001
2006-03-02,17.75,17.809999,17.59,17.719999,181000,17.719999
2006-03-03,17.65,17.67,17.5,17.549999,188000,17.549999
2006-03-06,17.549999,18.34,17.549999,18.219999,112700,18.219999
2006-03-07,18.15,18.15,17.67,17.950001,142100,17.950001
2006-03-08,17.91,18.129999,17.9,17.950001,66400,17.950001
2006-03-09,17.9,18.110001,17.9,18.110001,198000,18.110001
2006-03-10,18.059999,18.49,18.0,18.08,1187800,18.08
2006-03-13,18.0,18.030001,17.93,17.98,90200,17.98
2006-03-14,17.9,18.23,17.83,18.209999,141100,18.209999
2006-03-15,18.120001,18.120001,17.940001,18.0,143700,18.0
2006-03-16,18.0,18.700001,18.0,18.5,263100,18.5
2006-03-17,18.5,18.6,18.23,18.51,556600,18.51
2006-03-20,18.450001,18.879999,18.389999,18.610001,171600,18.610001
2006-03-21,18.549999,18.950001,18.549999,18.85,254900,18.85
2006-03-22,18.85,19.0,18.6,19.0,116100,19.0
2006-03-23,19.0,19.02,18.82,18.85,258200,18.85
2006-03-24,18.82,19.110001,18.51,18.85,271200,18.85
2006-03-27,18.83,18.85,18.469999,18.719999,120100,18.719999
2006-03-28,18.620001,19.09,18.610001,18.93,123400,18.93
2006-03-29,18.98,19.030001,18.65,18.99,114500,18.99
2006-03-30,18.92,19.1,18.9,19.02,237200,19.02
2006-03-31,19.09,19.99,19.09,19.84,238000,19.84
2006-04-03,19.860001,19.9,19.15,19.17,150000,19.17
2006-04-04,19.1,19.280001,18.92,19.02,156900,19.02
2006-04-05,19.059999,19.1,18.950001,19.0,119000,19.0
2006-04-06,18.98,19.25,18.969999,19.190001,810600,19.190001
2006-04-07,19.1,19.25,19.049999,19.200001,57600,19.200001
2006-04-10,19.18,19.209999,19.0,19.059999,98600,19.059999
2006-04-11,19.059999,19.15,18.959999,19.0,135900,19.0
2006-04-12,19.0,19.25,18.870001,19.17,256000,19.17
2006-04-13,19.1,19.25,19.1,19.200001,216800,19.200001
2006-04-17,19.16,19.440001,19.16,19.389999,128900,19.389999
2006-04-18,19.33,19.549999,19.26,19.299999,86600,19.299999
2006-04-19,19.35,19.440001,19.18,19.24,179400,19.24
2006-04-20,19.24,19.25,19.15,19.23,77400,19.23
2006-04-21,19.23,19.43,19.110001,19.16,223400,19.16
2006-04-24,19.15,19.35,19.15,19.25,228500,19.25
2006-04-25,19.25,19.440001,19.16,19.209999,136100,19.209999
2006-04-26,19.209999,19.559999,19.209999,19.360001,144500,19.360001
2006-04-27,19.25,19.379999,19.01,19.15,116800,19.15
2006-04-28,19.0,19.25,19.0,19.0,211200,19.0
2006-05-01,19.049999,19.57,19.049999,19.41,207500,19.41
2006-05-02,19.299999,19.49,19.299999,19.360001,176500,19.360001
2006-05-03,19.35,19.49,19.299999,19.389999,71200,19.389999
2006-05-04,19.440001,19.6,19.33,19.5,168500,19.5
2006-05-05,19.6,20.5,19.549999,20.24,316700,20.24
2006-05-08,20.34,20.34,19.969999,20.139999,113400,20.139999
2006-05-09,20.120001,21.18,20.120001,21.0,393800,21.0
2006-05-10,20.950001,21.35,20.950001,21.25,166500,21.25
2006-05-11,21.200001,21.200001,20.709999,20.950001,206700,20.950001
2006-05-12,20.870001,21.16,20.719999,21.059999,211400,21.059999
2006-05-15,21.129999,21.709999,21.0,21.690001,201900,21.690001
2006-05-16,21.610001,21.620001,21.15,21.610001,149900,21.610001
2006-05-17,21.65,21.65,20.68,20.809999,167500,20.809999
2006-05-18,21.0,21.700001,21.0,21.66,247300,21.66
2006-05-19,21.620001,21.99,20.940001,21.799999,183400,21.799999
