Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,20.49,21.389999,20.42,21.200001,988800,5.3
2006-01-04,21.120001,21.690001,20.98,21.059999,844000,5.265
2006-01-05,20.959999,21.620001,20.959999,21.4,683600,5.35
2006-01-06,21.51,21.799999,21.389999,21.540001,574400,5.385
2006-01-09,21.73,22.059999,21.559999,22.030001,638800,5.5075
2006-01-10,21.780001,22.5,21.530001,22.459999,1070000,5.615
2006-01-11,22.139999,22.17,20.969999,21.299999,2014000,5.325
2006-01-12,21.389999,21.85,21.379999,21.65,533600,5.4125
2006-01-13,21.6,21.780001,21.5,21.549999,401200,5.3875
2006-01-17,21.389999,21.389999,20.91,21.0,428400,5.25
2006-01-18,20.959999,21.450001,20.93,21.08,470400,5.27
2006-01-19,21.23,21.83,20.860001,21.83,984800,5.4575
2006-01-20,21.940001,21.940001,21.040001,21.09,407200,5.2725
2006-01-23,21.17,21.17,20.629999,20.790001,453600,5.1975
2006-01-24,20.889999,21.24,20.82,21.0,629600,5.25
2006-01-25,21.1,21.1,20.5,20.74,875600,5.185
2006-01-26,20.93,21.870001,20.700001,21.860001,820800,5.465
2006-01-27,21.959999,22.32,21.75,22.0,1160000,5.5
2006-01-30,21.93,22.15,21.35,21.43,356000,5.3575
2006-01-31,21.530001,21.85,21.33,21.76,298000,5.44
2006-02-01,21.620001,22.309999,21.51,22.219999,657600,5.555
2006-02-02,22.129999,22.370001,21.780001,22.030001,671200,5.5075
2006-02-03,21.799999,22.110001,21.360001,21.41,461600,5.3525
2006-02-06,21.33,22.139999,21.33,22.0,464400,5.5
2006-02-07,21.91,22.200001,21.09,21.639999,768400,5.41
2006-02-08,21.01,21.92,19.57,21.290001,2920800,5.3225
2006-02-09,21.25,21.99,21.25,21.620001,700000,5.405
2006-02-10,21.5,21.620001,21.24,21.35,580400,5.3375
2006-02-13,21.42,21.5,21.190001,21.25,324800,5.3125
2006-02-14,21.34,21.889999,21.209999,21.860001,578800,5.465
2006-02-15,21.84,21.99,21.66,21.91,322800,5.4775
2006-02-16,21.950001,22.0,21.209999,21.51,727200,5.3775
2006-02-17,21.639999,21.74,21.200001,21.65,286400,5.4125
2006-02-21,21.6,21.799999,21.299999,21.549999,316000,5.3875
2006-02-22,21.68,21.68,20.450001,21.09,1025200,5.2725
2006-02-23,21.01,21.450001,20.790001,21.209999,534400,5.3025
2006-02-24,21.26,21.379999,20.92,21.18,594800,5.295
2006-02-27,21.290001,21.9,21.129999,21.51,540800,5.3775
2006-02-28,21.4,21.41,20.790001,21.07,500000,5.2675
2006-03-01,21.16,21.68,21.16,21.68,505600,5.42
2006-03-02,21.58,21.809999,21.200001,21.469999,477600,5.3675
2006-03-03,21.32,21.719999,21.200001,21.200001,351600,5.3
2006-03-06,21.16,21.51,21.0,21.139999,464800,5.285
2006-03-07,21.02,21.309999,21.0,21.17,501200,5.2925
2006-03-08,21.1,21.700001,21.030001,21.440001,778400,5.36
2006-03-09,21.59,21.66,21.18,21.27,432400,5.3175
2006-03-10,21.299999,21.610001,21.120001,21.57,402800,5.3925
2006-03-13,21.549999,21.59,21.34,21.440001,229200,5.36
2006-03-14,21.389999,21.58,21.16,21.549999,259600,5.3875
2006-03-15,21.48,21.57,21.1,21.540001,360400,5.385
2006-03-16,21.6,21.6,21.07,21.25,359600,5.3125
2006-03-17,21.32,21.4,21.030001,21.299999,976000,5.325
2006-03-20,21.219999,21.49,21.1,21.379999,336400,5.345
2006-03-21,21.32,21.91,21.139999,21.32,568800,5.33
2006-03-22,21.34,21.620001,20.98,21.5,992000,5.375
2006-03-23,21.41,21.49,21.049999,21.32,384800,5.33
2006-03-24,21.290001,21.4,21.1,21.4,424400,5.35
2006-03-27,21.25,21.469999,20.99,21.120001,393600,5.28
2006-03-28,21.110001,21.110001,20.870001,20.879999,682800,5.22
2006-03-29,20.9,21.5,20.9,21.5,745600,5.375
2006-03-30,21.51,22.1,21.5,21.98,1408000,5.495
2006-03-31,21.940001,22.1,21.870001,22.0,850000,5.5
2006-04-03,21.91,22.0,21.110001,21.32,1186400,5.33
2006-04-04,19.5,20.620001,19.25,20.280001,8085200,5.07
2006-04-05,20.18,20.34,19.940001,20.040001,1731600,5.01
2006-04-06,19.969999,20.049999,19.639999,20.0,1555600,5.0
2006-04-07,20.02,20.190001,19.610001,19.639999,670000,4.91
2006-04-10,19.639999,19.67,18.73,18.98,2205200,4.745
2006-04-11,18.98,19.360001,18.91,19.34,2614800,4.835
2006-04-12,19.370001,19.49,19.01,19.299999,1211200,4.825
2006-04-13,19.219999,19.790001,19.190001,19.65,528000,4.9125
2006-04-17,19.530001,19.74,19.43,19.610001,1010800,4.9025
2006-04-18,19.549999,20.15,19.389999,20.139999,995600,5.035
2006-04-19,20.1,20.370001,19.780001,19.98,3708000,4.995
2006-04-20,19.92,19.98,19.709999,19.780001,1164400,4.945
2006-04-21,19.82,20.040001,19.77,19.91,938000,4.9775
2006-04-24,19.77,19.98,19.67,19.77,872400,4.9425
2006-04-25,19.66,20.0,19.4,19.66,1104000,4.915
2006-04-26,20.040001,21.940001,19.870001,21.85,3590000,5.4625
2006-04-27,21.67,22.299999,21.559999,21.9,1375200,5.475
2006-04-28,21.74,21.940001,21.549999,21.709999,963200,5.4275
2006-05-01,21.639999,21.77,20.860001,20.93,771200,5.2325
2006-05-02,20.860001,20.99,20.700001,20.73,950800,5.1825
2006-05-03,20.74,20.879999,20.52,20.68,650800,5.17
2006-05-04,20.809999,20.82,20.549999,20.75,369600,5.1875
2006-05-05,20.799999,21.26,20.68,21.030001,564400,5.2575
2006-05-08,20.940001,21.110001,20.790001,20.9,359200,5.225
2006-05-09,20.84,20.889999,20.540001,20.74,826400,5.185
2006-05-10,20.66,20.99,20.469999,20.57,427600,5.1425
2006-05-11,20.52,20.530001,19.93,20.01,438000,5.0025
2006-05-12,19.9,20.309999,19.74,20.0,475600,5.0
2006-05-15,19.799999,20.57,19.799999,20.280001,870800,5.07
2006-05-16,20.25,20.6,20.040001,20.23,581200,5.0575
2006-05-17,20.1,20.52,19.99,20.07,1600400,5.0175
2006-05-18,20.07,20.52,20.07,20.110001,688000,5.0275
2006-05-19,20.02,20.549999,19.92,20.25,850800,5.0625
2006-05-22,20.01,20.6,20.0,20.379999,1333200,5.095
2006-05-23,20.52,20.65,20.0,20.0,1018400,5.0
2006-05-24,19.99,20.469999,19.719999,20.25,1230400,5.0625
2006-05-25,20.33,20.690001,20.33,20.690001,1059200,5.1725
2006-05-26,20.65,20.91,20.25,20.379999,596400,5.095
2006-05-30,20.379999,20.379999,19.67,19.68,983600,4.92
2006-05-31,19.700001,20.15,19.629999,20.120001,572000,5.03
2006-06-01,20.17,20.26,19.780001,20.219999,538400,5.055
2006-06-02,20.5,20.879999,20.219999,20.35,995600,5.0875
2006-06-05,20.26,20.360001,19.870001,20.059999,728000,5.015
2006-06-06,20.0,20.309999,19.82,20.1,532400,5.025
2006-06-07,20.049999,20.82,20.049999,20.190001,782000,5.0475
2006-06-08,20.049999,20.1,19.58,19.959999,684800,4.99
2006-06-09,19.98,20.299999,19.49,19.620001,442000,4.905
2006-06-12,19.57,19.59,19.049999,19.049999,544000,4.7625
2006-06-13,19.0,19.389999,18.41,18.52,1540400,4.63
2006-06-14,18.52,18.719999,18.379999,18.610001,691200,4.6525
2006-06-15,18.700001,19.51,18.58,19.309999,798400,4.8275
2006-06-16,19.26,19.709999,19.25,19.48,2096400,4.87
2006-06-19,19.59,19.610001,19.26,19.48,847200,4.87
2006-06-20,19.469999,19.85,19.219999,19.43,1051600,4.8575
2006-06-21,19.49,19.98,19.209999,19.67,1065600,4.9175
2006-06-22,19.620001,19.860001,19.299999,19.59,368800,4.8975
2006-06-23,19.52,19.57,19.049999,19.389999,467200,4.8475
2006-06-26,19.459999,19.67,19.26,19.42,470400,4.855
2006-06-27,19.370001,19.559999,18.950001,19.02,410400,4.755
2006-06-28,19.120001,19.15,18.700001,18.940001,332800,4.735
2006-06-29,19.01,19.799999,19.0,19.610001,678800,4.9025
2006-06-30,20.290001,20.41,19.9,20.290001,3281200,5.0725
2006-07-03,20.18,20.809999,20.17,20.49,423600,5.1225
2006-07-05,20.290001,20.370001,19.74,19.99,705200,4.9975
2006-07-06,19.969999,20.280001,19.68,19.780001,726800,4.945
2006-07-07,19.68,19.780001,19.25,19.389999,883200,4.8475
2006-07-10,19.280001,19.65,19.129999,19.17,1126800,4.7925
2006-07-11,19.110001,19.290001,18.66,18.969999,1544000,4.7425
2006-07-12,19.040001,19.27,18.5,18.530001,1244800,4.6325
2006-07-13,18.48,19.030001,18.35,18.559999,536800,4.64
2006-07-14,18.52,18.76,18.280001,18.440001,419600,4.61
2006-07-17,18.51,18.719999,18.25,18.34,510400,4.585
2006-07-18,18.360001,18.719999,17.91,18.389999,629200,4.5975
2006-07-19,18.33,19.15,18.139999,18.85,688000,4.7125
2006-07-20,18.940001,19.139999,18.190001,18.209999,659600,4.5525
2006-07-21,18.129999,18.200001,17.68,18.049999,627200,4.5125
2006-07-24,18.07,18.360001,17.799999,18.34,1037200,4.585
2006-07-25,18.440001,19.360001,18.370001,18.92,922400,4.73
2006-07-26,21.33,21.950001,21.049999,21.049999,4952800,5.2625
2006-07-27,21.07,21.299999,20.629999,20.84,2060000,5.21
2006-07-28,20.879999,21.459999,20.879999,21.040001,1169200,5.26
2006-07-31,21.0,21.200001,20.780001,21.059999,926800,5.265
2006-08-01,20.99,21.030001,20.68,20.700001,772400,5.175
2006-08-02,20.83,21.43,20.73,21.309999,1562400,5.3275
