Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,35.580002,35.580002,34.02,34.93,232900,29.670891
2006-01-04,35.709999,36.330002,35.25,36.139999,244000,30.698711
2006-01-05,35.900002,36.099998,35.900002,35.970001,103900,30.554308
2006-01-06,35.91,36.259998,35.91,36.029999,99700,30.605272
2006-01-09,36.0,36.34,36.0,36.0,87900,30.57979
2006-01-10,36.060001,36.5,35.939999,36.380001,160000,30.902577
2006-01-11,36.34,36.380001,36.0,36.130001,67100,30.690218
2006-01-12,36.099998,36.209999,35.919998,35.990002,53400,30.571297
2006-01-13,36.130001,36.5,36.080002,36.490002,52500,30.996016
2006-01-17,36.27,36.299999,36.049999,36.150002,50800,30.707207
2006-01-18,35.990002,36.349998,35.990002,36.110001,63600,30.673229
2006-01-19,36.110001,36.66,36.110001,36.290001,44900,30.826128
2006-01-20,36.52,36.52,35.860001,35.970001,85100,30.554308
2006-01-23,36.150002,36.259998,35.880001,36.02,36200,30.596779
2006-01-24,36.0,36.0,35.470001,35.689999,94100,30.316463
2006-01-25,35.869999,35.869999,34.799999,35.0,251700,29.730351
2006-01-26,35.119999,35.200001,34.919998,35.0,248300,29.730351
2006-01-27,34.900002,35.450001,34.900002,35.369999,183500,30.044643
2006-01-30,35.009998,35.189999,34.669998,34.869999,203200,29.619923
2006-01-31,34.759998,35.25,34.68,35.07,90000,29.789812
2006-02-01,34.810001,35.509998,34.810001,35.5,188400,30.155071
2006-02-02,35.34,35.669998,35.189999,35.5,131000,30.155071
2006-02-03,35.400002,35.740002,35.400002,35.48,135600,30.138081
2006-02-06,35.389999,35.669998,35.25,35.580002,164800,30.223027
2006-02-07,35.41,35.709999,35.400002,35.490002,105200,30.146578
2006-02-08,35.669998,35.689999,35.450001,35.509998,87900,30.163564
2006-02-09,35.599998,35.619999,35.43,35.5,137900,30.155071
2006-02-10,35.400002,35.650002,35.400002,35.490002,84100,30.146578
2006-02-13,35.490002,35.610001,35.25,35.48,90700,30.138081
2006-02-14,35.669998,36.0,35.439999,35.799999,48900,30.409902
2006-02-15,35.599998,36.139999,35.5,36.040001,30000,30.742578
2006-02-16,36.049999,36.43,36.02,36.34,56400,30.998481
2006-02-17,36.299999,36.540001,36.009998,36.150002,97200,30.83641
2006-02-21,36.09,36.259998,35.889999,36.220001,275900,30.89612
2006-02-22,36.439999,36.810001,36.400002,36.610001,168000,31.228795
2006-02-23,36.700001,36.75,36.490002,36.59,72000,31.211734
2006-02-24,36.52,36.970001,36.52,36.919998,85900,31.493227
2006-02-27,36.849998,37.200001,36.689999,36.869999,60300,31.450577
2006-02-28,36.810001,36.93,36.73,36.759998,72500,31.356745
2006-03-01,37.0,37.060001,36.740002,37.049999,69300,31.604119
2006-03-02,36.900002,37.119999,36.900002,37.049999,165700,31.604119
2006-03-03,36.799999,37.099998,36.59,36.630001,52400,31.245855
2006-03-06,36.509998,36.529999,35.75,35.900002,111800,30.623157
2006-03-07,35.75,35.759998,35.400002,35.560001,136000,30.333132
2006-03-08,35.52,35.75,35.139999,35.290001,160600,30.102818
2006-03-09,35.290001,35.290001,34.889999,34.939999,256200,29.804262
2006-03-10,34.900002,35.220001,34.830002,35.07,82500,29.915154
2006-03-13,35.0,35.279999,34.669998,34.799999,180600,29.684841
2006-03-14,34.869999,35.0,34.619999,34.970001,104500,29.829854
2006-03-15,35.0,35.0,34.75,35.0,41700,29.855444
2006-03-16,35.0,35.41,35.0,35.259998,76200,30.077226
2006-03-17,35.439999,35.580002,34.98,35.240002,221800,30.060168
2006-03-20,35.119999,35.560001,34.98,35.380001,41500,30.17959
2006-03-21,34.75,35.439999,34.75,34.75,39700,29.642191
2006-03-22,34.75,35.349998,34.599998,35.200001,64800,30.026047
2006-03-23,35.060001,35.110001,34.619999,34.919998,36700,29.787201
2006-03-24,34.950001,35.369999,34.849998,35.220001,46400,30.043108
2006-03-27,35.279999,35.34,34.939999,35.279999,82400,30.094286
2006-03-28,35.0,35.419998,34.919998,34.98,29800,29.838383
2006-03-29,35.060001,35.5,34.869999,35.419998,47300,30.213708
2006-03-30,35.32,35.52,35.200001,35.380001,76100,30.17959
2006-03-31,35.549999,35.650002,35.16,35.400002,65000,30.19665
2006-04-03,35.400002,35.619999,35.0,35.029999,59100,29.881033
2006-04-04,34.98,35.529999,34.900002,35.34,102700,30.145468
2006-04-05,35.52,35.52,34.98,35.189999,53100,30.017515
2006-04-06,35.200001,35.200001,34.779999,35.040001,64900,29.889565
2006-04-07,35.25,35.25,34.91,35.09,145400,29.932215
2006-04-10,35.290001,35.290001,34.860001,35.0,74000,29.855444
2006-04-11,35.200001,35.220001,34.599998,34.810001,93200,29.693373
2006-04-12,34.75,35.09,34.709999,34.91,81000,29.778673
2006-04-13,34.810001,35.0,34.68,34.919998,46900,29.787201
2006-04-17,34.700001,35.029999,34.669998,35.0,118200,29.855444
2006-04-18,34.700001,36.0,34.349998,35.93,109500,30.648746
2006-04-19,35.869999,36.450001,35.700001,36.16,234100,30.844938
