Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,64.150002,64.199997,62.810001,64.010002,6321400,28.786936
2013-01-03,63.900002,63.990002,61.959999,62.220001,7296400,27.981927
2013-01-04,62.400002,63.139999,61.009998,62.549999,6589200,28.130336
2013-01-07,62.080002,62.080002,60.040001,60.25,11086800,27.095967
2013-01-08,60.450001,61.73,60.279999,61.549999,9818800,27.68061
2013-01-09,62.060001,62.66,61.759998,62.419998,7302200,28.071871
2013-01-10,62.880001,62.990002,62.049999,62.790001,6480800,28.238271
2013-01-11,62.700001,62.98,61.700001,61.990002,6742600,27.878491
2013-01-14,62.200001,62.639999,61.900002,62.619999,4476400,28.161816
2013-01-15,62.32,64.440002,62.200001,64.260002,5688600,28.899368
2013-01-16,63.990002,65.370003,63.959999,64.739998,5761200,29.115234
2013-01-17,65.209999,66.089996,65.040001,65.379997,7048800,29.403058
2013-01-18,65.68,65.910004,63.900002,65.199997,7196800,29.322108
2013-01-22,65.260002,67.639999,65.139999,67.110001,6046400,30.181085
2013-01-23,67.230003,68.089996,66.519997,67.580002,7568200,30.392457
2013-01-24,67.550003,69.080002,67.550003,68.650002,5068200,30.873663
2013-01-25,68.879997,69.0,68.089996,68.669998,4657000,30.882656
2013-01-28,68.57,69.18,66.620003,68.650002,5798400,30.873663
2013-01-29,69.989998,72.419998,69.860001,71.970001,11114600,32.366752
2013-01-30,73.099998,73.400002,70.879997,72.889999,10041400,32.780499
2013-01-31,72.690002,75.010002,72.389999,74.209999,8097200,33.374136
2013-02-01,75.050003,76.410004,74.550003,76.209999,7498000,34.273587
2013-02-04,75.660004,77.220001,75.449997,76.800003,7424000,34.538927
2013-02-05,77.330002,77.400002,76.169998,76.68,8406200,34.484959
2013-02-06,76.519997,78.370003,76.519997,77.790001,6355400,34.984155
2013-02-07,77.959999,79.110001,77.410004,79.019997,8834400,35.537315
2013-02-08,79.550003,82.080002,79.550003,81.43,8353800,36.621156
2013-02-11,81.709999,82.5,81.080002,81.690002,7026400,36.738085
2013-02-12,81.779999,82.0,80.230003,80.889999,6500600,36.378303
2013-02-13,80.769997,81.900002,80.459999,81.669998,4563000,36.729089
2013-02-14,81.18,83.75,80.910004,83.160004,5921200,37.399182
2013-02-15,82.809998,83.18,81.510002,82.559998,5678200,37.286271
2013-02-19,83.029999,84.269997,82.559998,84.209999,8598200,38.031455
2013-02-20,84.059998,84.629997,80.050003,80.230003,9563000,36.233984
2013-02-21,79.879997,81.199997,77.660004,80.589996,10590000,36.396567
2013-02-22,81.300003,81.589996,79.959999,81.529999,5221800,36.821097
2013-02-25,81.739998,82.940002,79.239998,79.279999,5922200,35.804937
2013-02-26,79.389999,80.660004,78.330002,80.550003,5782400,36.378505
2013-02-27,80.379997,83.260002,80.18,82.739998,5973000,37.367564
2013-02-28,82.639999,83.860001,82.559998,82.879997,4813400,37.430792
2013-03-01,82.339996,85.010002,82.339996,85.010002,6742000,38.392758
2013-03-04,84.809998,89.949997,84.709999,89.790001,11788200,40.551531
2013-03-05,90.089996,90.470001,87.699997,88.75,12037600,40.081839
2013-03-06,89.25,89.68,88.260002,88.540001,5949400,39.986998
2013-03-07,88.599998,89.019997,87.279999,88.279999,7400400,39.869575
2013-03-08,89.040001,89.400002,87.629997,89.019997,7495200,40.203777
2013-03-11,88.480003,88.580002,87.0,87.889999,7916400,39.693441
2013-03-12,87.739998,89.860001,87.279999,88.989998,5936600,40.190229
2013-03-13,88.529999,88.730003,86.18,86.830002,9499600,39.214718
2013-03-14,87.260002,87.860001,86.089996,87.699997,7341000,39.60763
2013-03-15,87.809998,88.610001,87.300003,87.93,9869800,39.711506
2013-03-18,86.900002,89.739998,86.300003,88.739998,5540800,40.077322
2013-03-19,88.669998,89.470001,87.349998,88.309998,6269800,39.883123
2013-03-20,89.459999,91.980003,89.080002,91.129997,6160600,41.156709
2013-03-21,90.529999,91.230003,89.040001,89.059998,7649800,40.221843
2013-03-22,89.459999,91.889999,89.199997,90.910004,5065400,41.057354
2013-03-25,91.769997,92.730003,89.709999,90.190002,5703000,40.732183
2013-03-26,90.690002,91.57,90.190002,90.93,5243800,41.066385
2013-03-27,90.519997,90.879997,89.400002,89.669998,5737000,40.497335
2013-03-28,89.669998,90.449997,89.309998,89.599998,5275600,40.465721
2013-04-01,89.550003,90.029999,88.290001,89.830002,4970800,40.569597
2013-04-02,90.370003,90.540001,84.760002,85.480003,8668800,38.605023
2013-04-03,85.470001,85.470001,78.5,81.389999,18626000,36.757869
2013-04-04,81.160004,83.900002,80.75,82.620003,8338400,37.313371
2013-04-05,81.050003,82.849998,79.5,82.370003,6352400,37.200465
2013-04-08,82.879997,83.480003,81.940002,83.360001,4992400,37.647574
2013-04-09,83.660004,85.360001,82.660004,84.800003,5196200,38.297917
2013-04-10,85.160004,85.550003,84.0,84.339996,5100400,38.090166
2013-04-11,84.300003,84.57,80.75,82.07,10707400,37.064975
2013-04-12,80.989998,81.419998,78.400002,80.290001,9943400,36.261081
2013-04-15,79.190002,80.209999,77.139999,77.519997,10907200,35.010074
2013-04-16,78.400002,79.389999,77.68,78.870003,7204400,35.619772
2013-04-17,77.739998,78.349998,75.199997,76.610001,7759200,34.599096
2013-04-18,76.57,77.989998,75.309998,76.989998,7909000,34.770713
2013-04-19,77.410004,78.769997,76.779999,78.75,6213200,35.565576
2013-04-22,78.860001,80.839996,77.959999,79.989998,5784000,36.125592
2013-04-23,80.110001,81.980003,80.050003,81.550003,5274400,36.830131
2013-04-24,82.07,83.529999,81.940002,82.620003,5325800,37.313371
2013-04-25,83.190002,84.300003,81.389999,81.620003,5399600,36.861745
2013-04-26,81.599998,81.709999,80.410004,81.349998,4257200,36.739804
2013-04-29,81.709999,83.330002,81.610001,82.410004,5419200,37.21853
2013-04-30,79.93,81.629997,76.849998,78.360001,13876000,35.389442
2013-05-01,77.599998,77.610001,73.459999,73.470001,15908400,33.180989
2013-05-02,73.599998,76.610001,73.57,75.800003,9519600,34.233279
2013-05-03,76.480003,78.68,76.480003,78.099998,8823400,35.272018
2013-05-06,77.970001,80.779999,77.720001,80.339996,5726600,36.28366
2013-05-07,80.870003,81.910004,80.18,81.440002,6623400,36.780452
2013-05-08,81.25,81.360001,78.269997,78.610001,7932200,35.502348
2013-05-09,78.440002,78.980003,77.160004,78.470001,5669200,35.439121
2013-05-10,77.769997,77.769997,76.220001,77.379997,7920000,34.946847
2013-05-13,77.220001,77.68,75.809998,76.449997,6110400,34.526834
2013-05-14,76.410004,77.959999,76.160004,77.849998,5706000,35.320816
2013-05-15,77.870003,80.309998,77.870003,79.379997,5736600,36.014982
2013-05-16,79.040001,80.75,78.300003,78.519997,6027800,35.624797
2013-05-17,79.110001,83.050003,79.110001,82.68,8992800,37.512205
2013-05-20,82.650002,86.0,82.540001,84.599998,7579600,38.383315
2013-05-21,84.540001,84.540001,81.870003,82.879997,6177200,37.602944
2013-05-22,82.949997,83.959999,80.949997,82.449997,7024000,37.407852
2013-05-23,80.870003,83.059998,80.110001,82.360001,4425800,37.36702
2013-05-24,81.900002,82.110001,80.699997,82.059998,3205600,37.230908
2013-05-28,83.489998,84.440002,82.800003,83.75,4441800,37.997668
2013-05-29,83.099998,84.129997,82.25,83.709999,2994600,37.979519
2013-05-30,83.610001,84.050003,82.519997,83.540001,4177800,37.90239
2013-05-31,83.300003,84.43,82.5,82.5,5167800,37.430538
2013-06-03,82.610001,83.029999,80.150002,82.019997,4824000,37.212759
2013-06-04,81.57,82.510002,79.839996,80.629997,4819200,36.582111
2013-06-05,80.419998,82.080002,79.559998,79.93,5643800,36.26452
2013-06-06,79.900002,82.75,79.650002,82.75,5383000,37.543964
2013-06-07,82.830002,83.769997,81.970001,83.629997,4276400,37.943222
2013-06-10,83.620003,84.150002,82.25,82.410004,4506600,37.389707
2013-06-11,80.919998,81.779999,79.849998,79.860001,4609600,36.232761
2013-06-12,80.790001,80.949997,79.019997,79.279999,5115800,35.969612
2013-06-13,79.129997,81.019997,79.029999,80.790001,4457200,36.654706
2013-06-14,80.099998,81.019997,79.5,79.610001,3119200,36.119335
2013-06-17,80.099998,80.5,78.699997,79.0,4654800,35.842576
2013-06-18,78.730003,79.809998,78.459999,78.919998,7257000,35.806279
2013-06-19,79.269997,80.43,78.300003,78.309998,4919600,35.529519
2013-06-20,77.18,77.199997,72.860001,73.790001,10555200,33.478781
2013-06-21,74.480003,74.5,70.720001,72.809998,11563400,33.03415
2013-06-24,71.919998,71.959999,69.309998,70.379997,7746400,31.931651
2013-06-25,71.540001,72.43,71.440002,72.080002,7364400,32.702949
2013-06-26,72.839996,73.860001,72.139999,72.43,6059600,32.861744
2013-06-27,73.120003,73.709999,70.709999,71.050003,7349600,32.235635
2013-06-28,70.839996,71.110001,70.300003,71.059998,15077600,32.240169
2013-07-01,70.830002,72.650002,70.050003,70.379997,5556000,31.931651
2013-07-02,70.589996,70.889999,68.339996,69.290001,8500800,31.437115
2013-07-03,69.120003,70.849998,67.580002,70.730003,5514600,32.09045
2013-07-05,68.919998,70.660004,67.599998,68.989998,6161400,31.301003
2013-07-08,69.190002,70.480003,69.190002,69.440002,6802800,31.505172
2013-07-09,69.93,70.379997,69.370003,70.120003,4819200,31.81369
2013-07-10,70.410004,70.449997,67.949997,68.300003,7129200,30.98795
2013-07-11,69.5,71.68,68.779999,71.510002,7577400,32.444338
2013-07-12,70.419998,74.199997,70.199997,73.239998,8986800,33.229243
2013-07-15,73.209999,73.910004,72.330002,73.099998,5185400,33.165725
2013-07-16,71.489998,72.449997,69.059998,69.93,10226600,31.727485
2013-07-17,69.910004,70.849998,69.730003,69.75,4450000,31.645819
2013-07-18,69.970001,70.099998,68.0,68.290001,8348600,30.983412
2013-07-19,68.860001,69.650002,67.889999,69.599998,6666600,31.577762
2013-07-22,69.650002,70.230003,69.0,69.839996,4830600,31.68665
2013-07-23,70.050003,72.360001,69.93,71.769997,5396400,32.562298
2013-07-24,71.839996,71.889999,69.879997,70.389999,5161800,31.936189
2013-07-25,70.080002,72.169998,69.809998,72.050003,5070800,32.689338
2013-07-26,71.980003,72.75,71.389999,71.910004,3327200,32.62582
2013-07-29,71.989998,72.489998,71.349998,72.230003,3745000,32.771005
2013-07-30,72.5,73.580002,72.239998,73.010002,5062800,33.124893
2013-07-31,73.050003,74.75,72.379997,73.330002,5845400,33.270078
2013-08-01,73.860001,76.019997,73.860001,75.089996,6829000,34.068594
2013-08-02,73.879997,74.169998,71.550003,71.93,7223200,32.634892
2013-08-05,71.760002,71.949997,70.830002,71.690002,3975000,32.526005
2013-08-06,71.690002,73.190002,70.5,71.120003,7383600,32.267394
2013-08-07,71.099998,72.300003,70.800003,71.720001,5623200,32.539615
2013-08-08,71.889999,73.900002,71.769997,72.489998,5427200,32.888965
2013-08-09,72.730003,73.419998,72.5,73.239998,4739400,33.229243
2013-08-12,72.93,73.730003,72.449997,73.050003,4768800,33.143042
2013-08-13,73.389999,75.07,73.010002,74.940002,4176600,34.000541
2013-08-14,74.769997,75.489998,73.660004,73.690002,6719800,33.433411
2013-08-15,73.269997,73.279999,70.580002,70.669998,8015000,32.063225
2013-08-16,70.650002,70.650002,68.830002,70.0,7379400,31.759245
2013-08-19,69.540001,70.910004,69.029999,69.050003,6281000,31.517332
2013-08-20,69.050003,71.669998,68.540001,70.989998,6649400,32.402827
2013-08-21,70.760002,72.980003,70.239998,71.849998,5060600,32.795368
2013-08-22,72.279999,75.739998,71.959999,74.860001,7022800,34.169259
2013-08-23,75.07,76.580002,74.68,75.059998,7861400,34.260546
2013-08-26,75.25,76.110001,74.699997,74.809998,5875000,34.146436
2013-08-27,73.879997,74.480003,72.699997,73.099998,6429000,33.36592
2013-08-28,73.32,74.550003,73.089996,74.040001,4333400,33.794977
2013-08-29,73.82,74.760002,73.199997,73.629997,3831400,33.607834
2013-08-30,73.93,74.660004,72.209999,72.510002,4815600,33.096621
2013-09-03,73.620003,74.550003,73.150002,73.440002,4477400,33.521112
2013-09-04,73.129997,73.970001,72.690002,73.660004,3637200,33.62153
2013-09-05,73.769997,74.349998,72.050003,72.099998,4892000,32.909478
2013-09-06,72.269997,72.720001,70.470001,70.849998,6013600,32.338925
2013-09-09,70.860001,71.0,69.339996,69.610001,7774800,31.772938
2013-09-10,69.470001,69.550003,67.910004,68.099998,8854000,31.08371
2013-09-11,68.18,68.379997,66.650002,67.709999,7546800,30.905697
2013-09-12,67.629997,67.809998,66.629997,66.93,5362200,30.549673
2013-09-13,67.32,68.580002,67.120003,67.889999,5797400,30.987857
2013-09-16,68.330002,68.550003,66.900002,66.949997,4376600,30.5588
2013-09-17,66.879997,67.480003,65.559998,66.209999,6658000,30.221034
2013-09-18,66.230003,66.629997,65.360001,66.260002,8218000,30.243858
2013-09-19,66.809998,67.550003,65.139999,65.410004,9784000,29.855883
2013-09-20,65.410004,65.800003,64.379997,64.510002,10416000,29.445084
2013-09-23,64.449997,64.589996,62.93,62.990002,7327800,28.751292
2013-09-24,63.009998,64.690002,62.509998,64.309998,9041000,29.353793
2013-09-25,64.540001,65.360001,63.619999,64.470001,8645600,29.426826
2013-09-26,64.449997,64.940002,63.66,64.139999,6170800,29.276199
2013-09-27,64.5,65.620003,64.309998,64.940002,7105400,29.641354
2013-09-30,63.75,64.57,63.040001,64.32,9147800,29.358359
2013-10-01,64.150002,64.75,63.380001,64.290001,6648800,29.344666
2013-10-02,63.959999,65.940002,63.959999,65.339996,8029400,29.823928
2013-10-03,65.0,65.610001,64.599998,65.230003,5098200,29.773723
2013-10-04,64.839996,65.739998,64.18,65.230003,5138200,29.773723
2013-10-07,64.860001,65.120003,63.16,63.919998,5025400,29.175781
2013-10-08,63.880001,63.98,62.5,62.5,6700600,28.527634
2013-10-09,62.529999,62.529999,61.32,62.099998,7422000,28.345057
2013-10-10,63.380001,65.910004,63.009998,65.309998,8428400,29.810236
2013-10-11,65.300003,67.889999,65.029999,67.25,8977200,30.695734
2013-10-14,66.519997,67.379997,65.889999,67.190002,4481800,30.668349
2013-10-15,67.709999,69.129997,67.519997,68.440002,9239200,31.238902
2013-10-16,69.360001,69.360001,68.209999,68.949997,6075200,31.471685
2013-10-17,68.75,70.389999,68.519997,70.18,6378600,32.03311
2013-10-18,70.68,70.739998,69.889999,70.739998,5053200,32.288717
2013-10-21,70.989998,71.550003,70.43,70.93,4219200,32.375442
2013-10-22,71.389999,73.199997,71.389999,72.5,7307200,33.092056
2013-10-23,72.300003,75.150002,71.980003,72.089996,10102400,32.904913
2013-10-24,72.0,72.0,69.029999,69.209999,10597800,31.590361
2013-10-25,69.419998,70.269997,68.419998,69.889999,6272800,31.900741
2013-10-28,70.379997,72.589996,70.300003,71.199997,5972400,32.49868
2013-10-29,71.269997,72.459999,70.589996,70.82,3768000,32.325233
2013-10-30,70.980003,72.580002,70.010002,72.510002,7796200,33.096621
2013-10-31,72.360001,75.0,71.580002,71.660004,9671400,32.708646
2013-11-01,71.839996,72.050003,70.150002,70.860001,7031600,32.343491
2013-11-04,70.970001,71.760002,70.18,71.690002,4843800,32.722339
2013-11-05,71.199997,71.489998,70.43,70.720001,5071600,32.279589
2013-11-06,71.190002,71.959999,70.120003,70.400002,5263000,32.133528
2013-11-07,70.059998,71.080002,69.379997,70.43,8184800,32.147221
2013-11-08,70.400002,71.879997,69.790001,71.650002,5051400,32.704081
2013-11-11,71.660004,72.25,70.800003,72.199997,3816200,32.955122
2013-11-12,72.300003,74.419998,72.050003,74.010002,6765200,33.781284
2013-11-13,73.75,75.169998,73.239998,75.099998,5727200,34.278805
2013-11-14,75.379997,79.400002,75.379997,78.860001,13853000,35.995028
2013-11-15,78.910004,79.5,77.739998,78.839996,9410800,35.985897
2013-11-18,78.739998,79.260002,77.190002,77.43,6683200,35.531601
2013-11-19,77.480003,79.75,76.730003,78.830002,10812800,36.174043
2013-11-20,79.010002,79.160004,76.849998,77.400002,5748000,35.517835
2013-11-21,77.220001,78.970001,76.82,78.779999,5360400,36.151097
2013-11-22,79.300003,80.43,79.279999,80.25,6741200,36.825661
2013-11-25,80.550003,82.099998,79.739998,81.779999,9178400,37.527757
2013-11-26,82.190002,83.32,81.529999,81.550003,9426600,37.422215
2013-11-27,81.550003,85.650002,81.550003,84.339996,11929200,38.702506
2013-11-29,84.639999,84.639999,82.620003,82.739998,3893800,37.968288
2013-12-02,83.839996,88.239998,83.419998,87.410004,12023200,40.111292
2013-12-03,86.919998,88.290001,86.389999,86.989998,9649200,39.918557
2013-12-04,84.089996,85.839996,82.239998,83.260002,14658200,38.206911
2013-12-05,84.470001,85.400002,82.82,83.849998,10253600,38.477653
2013-12-06,84.699997,88.860001,84.660004,87.199997,12492600,40.014923
2013-12-09,87.769997,88.809998,85.419998,85.550003,12114400,39.257762
2013-12-10,85.330002,88.059998,83.239998,87.510002,10819000,40.15718
2013-12-11,87.199997,87.489998,85.160004,85.980003,6899400,39.455084
2013-12-12,86.110001,86.839996,84.449997,85.699997,6871000,39.326592
2013-12-13,85.800003,86.010002,83.519997,85.209999,7480600,39.101739
2013-12-16,85.440002,87.349998,85.440002,86.349998,9189200,39.62487
2013-12-17,86.330002,86.980003,85.379997,86.089996,5612200,39.505558
2013-12-18,86.470001,88.25,85.43,87.419998,7972000,40.115878
2013-12-19,87.139999,87.800003,85.510002,85.709999,6993000,39.331182
2013-12-20,85.5,88.07,85.449997,87.260002,11507400,40.042458
2013-12-23,88.190002,89.949997,87.839996,88.769997,4906600,40.735375
2013-12-24,88.720001,89.379997,88.059998,89.349998,1793400,41.00153
2013-12-26,89.139999,89.809998,88.93,89.540001,2618400,41.088719
2013-12-27,89.879997,89.879997,87.769997,89.129997,3128800,40.900574
2013-12-30,89.080002,89.470001,87.489998,88.5,3245200,40.611477
2013-12-31,89.18,91.949997,89.129997,91.730003,6417400,42.093682
2014-01-02,91.489998,91.82,88.830002,89.480003,6062800,41.061187
2014-01-03,89.790001,90.25,87.779999,88.260002,4357400,40.501345
2014-01-06,88.559998,90.010002,88.129997,88.709999,4191600,40.707843
2014-01-07,88.739998,89.449997,86.510002,89.0,7553600,40.84092
2014-01-08,89.239998,89.239998,87.120003,88.68,8400400,40.694076
2014-01-09,89.029999,91.860001,88.709999,91.040001,10654000,41.777049
2014-01-10,91.0,91.860001,89.239998,90.970001,5297800,41.744928
2014-01-13,90.970001,91.559998,87.650002,88.160004,6903000,40.455457
2014-01-14,89.389999,90.440002,88.400002,89.099998,6102000,40.886808
2014-01-15,89.589996,89.610001,84.970001,86.650002,11636600,39.762537
2014-01-16,86.269997,86.800003,84.68,85.699997,7891600,39.326592
2014-01-17,85.5,86.650002,85.029999,85.279999,7060200,39.133861
2014-01-21,86.279999,87.519997,85.82,86.330002,5157400,39.615693
2014-01-22,86.769997,86.910004,84.480003,85.580002,5239000,39.271528
2014-01-23,86.260002,86.860001,83.769997,85.440002,8390800,39.207284
2014-01-24,84.339996,84.5,82.050003,82.980003,5447800,38.078423
