Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,33.099998,33.389999,32.07,33.0,343300,29.563847
2006-01-04,33.02,33.779999,33.0,33.759998,293800,30.24471
2006-01-05,33.669998,33.919998,33.549999,33.759998,501200,30.24471
2006-01-06,33.799999,34.290001,33.599998,33.900002,365900,30.370135
2006-01-09,33.950001,34.23,33.169998,33.950001,308100,30.414928
2006-01-10,33.91,34.150002,33.610001,33.93,192200,30.39701
2006-01-11,34.0,34.18,33.66,34.07,138300,30.522432
2006-01-12,33.900002,33.970001,33.700001,33.849998,155900,30.325338
2006-01-13,33.939999,33.950001,33.439999,33.740002,135600,30.226795
2006-01-17,33.490002,33.75,33.25,33.470001,228500,29.984909
2006-01-18,33.25,33.650002,33.200001,33.560001,145600,30.065537
2006-01-19,33.650002,34.169998,33.25,34.049999,148600,30.504514
2006-01-20,34.299999,34.330002,32.549999,33.040001,257800,29.599682
2006-01-23,33.040001,33.299999,32.240002,32.650002,250500,29.250292
2006-01-24,32.830002,33.98,32.619999,33.689999,278800,30.181999
2006-01-25,33.689999,34.18,33.23,33.630001,291300,30.128248
2006-01-26,33.849998,34.099998,33.52,33.68,443800,30.173041
2006-01-27,33.689999,33.689999,32.299999,32.470001,263200,29.089035
2006-01-30,32.549999,32.549999,31.15,31.219999,681400,27.96919
2006-01-31,31.16,31.26,30.16,30.389999,1275800,27.225615
2006-02-01,30.549999,30.790001,30.23,30.59,1130100,27.40479
2006-02-02,30.59,30.620001,30.200001,30.299999,276100,27.144986
2006-02-03,30.26,30.93,30.15,30.6,1185800,27.413749
2006-02-06,30.5,31.0,30.34,30.84,421700,27.628759
2006-02-07,30.91,31.98,30.91,31.459999,831400,28.1842
2006-02-08,31.469999,32.470001,31.23,31.74,463100,28.435045
2006-02-09,31.73,31.84,31.040001,31.17,218800,27.924397
2006-02-10,31.049999,31.209999,30.629999,31.01,120200,27.781057
2006-02-13,30.860001,30.950001,30.440001,30.82,138700,27.610841
2006-02-14,30.76,31.110001,30.43,30.690001,175300,27.494378
2006-02-15,30.690001,30.950001,30.469999,30.6,221100,27.413749
2006-02-16,30.6,30.809999,30.25,30.49,262000,27.315202
2006-02-17,30.51,30.98,30.34,30.450001,369100,27.279368
2006-02-21,30.43,30.67,30.1,30.52,156900,27.342079
2006-02-22,30.52,31.549999,30.209999,31.540001,207500,28.255871
2006-02-23,31.469999,31.540001,31.16,31.360001,268800,28.094614
2006-02-24,31.360001,31.549999,30.98,31.360001,248900,28.094614
2006-02-27,31.379999,32.049999,31.33,31.709999,128000,28.408168
2006-02-28,31.799999,33.459999,31.799999,33.040001,778300,29.599682
2006-03-01,33.040001,33.25,33.0,33.220001,365700,29.76094
2006-03-02,33.299999,33.5,33.18,33.5,218200,30.011784
2006-03-03,33.299999,33.82,33.23,33.52,217700,30.029702
2006-03-06,32.57,33.700001,32.57,33.68,186400,30.173041
2006-03-07,33.580002,33.709999,33.5,33.580002,373200,30.083455
2006-03-08,33.48,33.5,33.139999,33.450001,595200,29.966991
2006-03-09,33.509998,34.119999,33.509998,34.009998,396900,30.468678
2006-03-10,34.5,35.48,34.279999,35.279999,362000,31.606439
2006-03-13,37.75,37.990002,36.25,37.290001,1324300,33.407148
2006-03-14,37.34,37.810001,37.110001,37.549999,599500,33.640073
2006-03-15,37.950001,37.950001,36.599998,36.799999,785600,32.968168
2006-03-16,36.700001,37.259998,36.68,37.209999,329200,33.335476
2006-03-17,37.950001,38.299999,37.619999,37.91,736700,33.962589
2006-03-20,37.91,38.419998,37.75,38.029999,452600,34.070093
2006-03-21,38.0,38.200001,37.299999,37.450001,580900,33.550487
2006-03-22,37.380001,38.259998,37.150002,38.080002,298000,34.114889
2006-03-23,37.919998,37.950001,37.43,37.779999,205700,33.846124
2006-03-24,37.849998,38.27,37.57,38.27,212300,34.285104
2006-03-27,38.27,38.27,37.73,38.049999,221300,34.08801
2006-03-28,38.040001,38.040001,37.5,37.869999,267600,33.926753
2006-03-29,37.93,38.139999,37.740002,38.0,267800,34.043217
2006-03-30,37.990002,37.990002,37.490002,37.970001,291900,34.016342
2006-03-31,38.0,38.439999,37.75,38.220001,512800,34.240311
2006-04-03,38.299999,39.09,38.119999,38.610001,802700,34.589701
2006-04-04,38.549999,38.990002,38.299999,38.650002,312700,34.625537
2006-04-05,38.650002,38.990002,38.650002,38.830002,271400,34.786795
2006-04-06,38.830002,38.830002,38.23,38.5,265500,34.491154
2006-04-07,38.619999,38.75,37.619999,37.959999,189200,34.007382
2006-04-10,38.049999,38.139999,37.669998,38.130001,227200,34.159682
2006-04-11,38.279999,38.450001,38.040001,38.209999,353600,34.23135
2006-04-12,38.310001,38.549999,38.049999,38.23,284700,34.249268
2006-04-13,38.299999,38.66,37.810001,38.400002,329700,34.401568
2006-04-17,38.439999,38.880001,38.330002,38.68,441600,34.652412
2006-04-18,38.779999,39.130001,38.759998,39.080002,318700,35.010763
2006-04-19,39.02,39.02,38.43,38.560001,317500,34.544908
2006-04-20,38.549999,38.959999,38.099998,38.77,116500,34.733041
2006-04-21,39.0,39.0,38.450001,38.75,121800,34.715123
2006-04-24,38.75,38.830002,38.200001,38.41,140400,34.410526
2006-04-25,38.349998,38.41,37.439999,37.77,250800,33.837167
2006-04-26,37.799999,37.91,37.200001,37.419998,198800,33.523609
2006-04-27,37.41,38.369999,37.0,37.490002,296000,33.586323
2006-04-28,37.389999,37.77,37.25,37.599998,216300,33.684866
2006-05-01,37.549999,38.619999,37.549999,38.240002,250000,34.258229
2006-05-02,38.259998,38.369999,37.939999,38.330002,127300,34.338858
2006-05-03,38.32,38.700001,38.279999,38.509998,245800,34.500112
2006-05-04,38.5,39.0,38.439999,38.959999,226000,34.903256
2006-05-05,38.950001,39.849998,38.75,39.549999,381400,35.431822
2006-05-08,39.5,39.799999,39.310001,39.740002,176100,35.60204
2006-05-09,39.740002,39.98,39.630001,39.880001,202000,35.727462
2006-05-10,39.450001,39.450001,38.560001,39.209999,407100,35.127224
2006-05-11,39.299999,39.360001,38.080002,38.349998,184300,34.356772
2006-05-12,38.299999,38.299999,37.130001,37.779999,248800,33.846124
2006-05-15,37.529999,38.07,37.220001,37.740002,201600,33.810292
2006-05-16,37.68,37.740002,37.400002,37.470001,184500,33.568405
2006-05-17,37.349998,37.59,36.970001,37.310001,232100,33.425065
2006-05-18,37.389999,38.119999,37.389999,37.650002,280300,33.729663
2006-05-19,37.549999,38.169998,37.200001,38.080002,180800,34.114889
2006-05-22,37.900002,37.900002,37.080002,37.080002,255600,33.219015
2006-05-23,37.200001,37.439999,36.110001,36.200001,327200,32.430645
2006-05-24,36.169998,36.169998,35.389999,35.77,574400,32.045418
2006-05-25,36.0,36.200001,35.610001,35.779999,233300,32.054376
2006-05-26,35.82,36.32,35.75,36.139999,214700,32.376891
2006-05-30,35.900002,35.919998,35.580002,35.630001,199600,31.919997
2006-05-31,35.639999,36.299999,35.5,35.950001,266100,32.206676
2006-06-01,35.860001,36.369999,35.66,35.900002,366000,32.161883
2006-06-02,36.0,36.049999,35.529999,35.900002,162600,32.161883
2006-06-05,35.849998,36.040001,35.25,35.25,245700,31.579564
2006-06-06,35.25,35.509998,34.759998,35.389999,290200,31.704985
2006-06-07,36.5,37.75,36.110001,36.48,611300,32.681488
2006-06-08,36.0,36.0,34.810001,35.450001,803600,31.758739
2006-06-09,35.450001,35.84,35.200001,35.279999,266100,31.606439
2006-06-12,35.330002,35.330002,34.639999,34.759998,129000,31.140584
2006-06-13,34.66,35.189999,34.450001,34.52,270500,30.925576
2006-06-14,34.5,35.060001,34.400002,34.599998,223500,30.997244
2006-06-15,34.75,34.82,34.459999,34.599998,352400,30.997244
2006-06-16,34.509998,34.799999,34.299999,34.529999,647200,30.934533
2006-06-19,34.57,34.689999,33.650002,33.91,375200,30.379092
2006-06-20,33.91,34.150002,33.580002,33.75,420600,30.235752
2006-06-21,33.700001,33.939999,33.599998,33.84,569200,30.316381
2006-06-22,33.849998,34.029999,33.639999,33.939999,321400,30.405967
2006-06-23,33.799999,34.709999,33.759998,34.27,224500,30.701607
2006-06-26,34.27,35.32,34.27,35.060001,343900,31.409349
2006-06-27,35.060001,35.400002,35.029999,35.099998,266500,31.445181
2006-06-28,35.23,35.790001,35.099998,35.57,327400,31.866243
2006-06-29,35.740002,36.27,35.419998,35.950001,502100,32.206676
2006-06-30,36.200001,37.099998,36.049999,37.099998,755900,33.236929
2006-07-03,37.049999,37.150002,36.77,37.0,164200,33.147343
2006-07-05,36.93,36.970001,36.119999,36.259998,185600,32.484395
2006-07-06,36.290001,36.41,36.200001,36.349998,155000,32.565024
2006-07-07,36.220001,36.220001,35.369999,35.450001,356800,31.758739
2006-07-10,35.450001,36.0,35.43,35.799999,254500,32.072294
2006-07-11,35.700001,36.200001,35.310001,36.060001,166300,32.305223
2006-07-12,36.099998,36.27,35.73,35.98,219800,32.233551
2006-07-13,35.84,36.060001,35.419998,35.68,296600,31.96479
2006-07-14,35.75,35.799999,34.75,35.310001,298300,31.633317
2006-07-17,35.25,35.919998,35.169998,35.599998,167200,31.893118
2006-07-18,35.700001,36.0,34.91,35.5,142400,31.803532
2006-07-19,35.450001,36.25,35.330002,35.98,207200,32.233551
2006-07-20,36.110001,36.23,35.07,35.349998,397800,31.66915
2006-07-21,35.209999,35.279999,34.700001,35.169998,682500,31.507892
2006-07-24,35.27,35.810001,35.220001,35.400002,263100,31.713946
2006-07-25,35.48,35.48,34.779999,35.290001,333600,31.615399
2006-07-26,35.200001,35.369999,34.75,35.009998,170000,31.364552
2006-07-27,35.110001,35.380001,34.5,34.75,195000,31.131626
2006-07-28,34.889999,35.060001,34.630001,34.939999,131600,31.301841
2006-07-31,34.900002,34.900002,34.5,34.57,134100,30.970369
2006-08-01,34.5,34.610001,34.009998,34.509998,252500,30.916615
2006-08-02,34.549999,35.139999,34.549999,34.849998,164000,31.221213
2006-08-03,34.700001,36.009998,34.52,35.830002,240500,32.099172
2006-08-04,36.049999,37.09,35.810001,36.310001,247700,32.529191
2006-08-07,36.279999,36.279999,35.84,36.080002,156300,32.323141
2006-08-08,36.119999,36.84,36.009998,36.099998,296300,32.341055
2006-08-09,36.25,36.599998,35.470001,35.52,124100,31.82145
2006-08-10,35.330002,35.689999,34.709999,35.290001,219100,31.615399
2006-08-11,36.009998,37.700001,36.0,36.77,832300,32.941293
2006-08-14,36.939999,37.369999,36.799999,36.799999,240900,32.968168
2006-08-15,36.970001,37.5,36.810001,36.84,209700,33.004004
2006-08-16,36.849998,36.889999,36.450001,36.700001,251300,32.878582
