Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,15.0,17.379999,15.0,16.99,951100,14.990118
2014-04-21,16.969999,17.370001,16.33,16.82,444300,14.840129
2014-04-22,16.629999,17.0,16.629999,16.799999,576700,14.822482
2014-04-23,16.809999,16.85,16.709999,16.780001,1608900,14.804838
2014-04-24,16.85,16.860001,16.450001,16.629999,368900,14.672493
2014-04-25,16.9,16.92,16.32,16.889999,1086500,14.901889
2014-04-28,16.93,16.93,16.379999,16.67,1187900,14.707785
2014-04-29,16.620001,16.879999,16.450001,16.68,648500,14.716609
2014-04-30,16.700001,16.700001,16.360001,16.549999,26746200,14.60191
2014-05-01,16.120001,17.360001,16.120001,17.0,3650100,14.998941
2014-05-02,17.01,17.299999,16.870001,16.950001,2995000,14.954827
2014-05-05,16.93,17.26,16.530001,16.809999,3978400,14.831306
2014-05-06,16.690001,16.799999,16.25,16.34,14309200,14.41663
2014-05-07,16.360001,16.610001,16.26,16.6,5692900,14.646025
2014-05-08,16.5,16.639999,16.35,16.450001,5668200,14.513682
2014-05-09,16.299999,16.51,16.030001,16.280001,2797000,14.363693
2014-05-12,16.280001,16.549999,15.775,15.95,6980100,14.072536
2014-05-13,15.78,16.129999,15.78,15.85,8292000,13.984307
2014-05-14,15.77,16.040001,15.5,15.74,4577500,13.887255
2014-05-15,15.66,16.0,15.59,15.74,4919000,13.887255
2014-05-16,15.66,15.95,15.66,15.86,2786900,13.99313
2014-05-19,15.76,16.040001,15.664,16.02,4532400,14.134297
2014-05-20,16.1,16.165001,15.82,15.94,9754800,14.063713
2014-05-21,15.93,16.129999,15.82,15.93,1743600,14.054891
2014-05-22,15.84,16.040001,15.8,15.97,2128900,14.090182
2014-05-23,16.0,16.129999,15.97,16.07,2826400,14.178411
2014-05-27,16.09,16.34,15.79,15.98,1726900,14.099004
2014-05-28,16.02,16.049999,15.665,15.68,4219100,13.834318
2014-05-29,15.73,15.82,15.53,15.68,3463400,13.834318
2014-05-30,15.63,15.91,15.63,15.8,5261300,13.940193
2014-06-02,15.84,15.94,15.79,15.81,2986800,13.949016
2014-06-03,16.6,16.6,15.74,15.83,3483500,13.966661
2014-06-04,15.6,15.96,15.58,15.89,3231500,14.153716
2014-06-05,16.030001,16.68,15.9,16.67,4582400,14.848485
2014-06-06,16.76,16.950001,16.610001,16.67,1622700,14.848485
2014-06-09,16.610001,16.809999,16.370001,16.809999,3169300,14.973187
2014-06-10,16.719999,17.0,16.700001,16.799999,3441800,14.96428
2014-06-11,16.73,16.969999,16.73,16.879999,1857100,15.035538
2014-06-12,16.809999,17.0,16.68,16.74,2336400,14.910836
2014-06-13,16.719999,16.860001,16.549999,16.67,1485600,14.848485
2014-06-16,16.66,16.889999,16.6,16.780001,804900,14.946466
2014-06-17,16.690001,16.959999,16.639999,16.84,1268800,14.99991
2014-06-18,16.76,17.120001,16.690001,17.059999,2268100,15.19587
2014-06-19,17.01,17.32,16.725,17.190001,3754000,15.311666
2014-06-20,17.280001,17.530001,17.15,17.459999,3907900,15.552162
2014-06-23,17.450001,17.77,17.450001,17.68,4460000,15.748124
2014-06-24,17.66,17.76,17.58,17.655001,2609200,15.725856
2014-06-25,17.6,17.76,17.52,17.610001,5173500,15.685773
2014-06-26,17.58,17.68,17.530001,17.67,931700,15.739216
2014-06-27,17.610001,17.91,17.610001,17.84,4649500,15.890641
2014-06-30,17.76,17.98,17.639999,17.709999,2023700,15.774845
2014-07-01,17.790001,17.969999,17.77,17.771999,2274000,15.83007
2014-07-02,17.75,17.940001,17.635,17.77,2509900,15.82829
2014-07-03,17.76,17.889999,17.68,17.700001,1953700,15.765939
2014-07-07,17.65,17.77,17.6,17.65,1747300,15.721401
2014-07-08,17.6,17.700001,17.440001,17.6,4540600,15.676866
2014-07-09,17.6,17.74,17.57,17.719999,2496900,15.783752
2014-07-10,17.540001,17.870001,17.5,17.780001,2692500,15.837197
2014-07-11,17.809999,17.934999,17.74,17.889999,6752700,15.935177
2014-07-14,17.969999,18.065001,17.82,18.0,2796700,16.033158
2014-07-15,17.99,18.09,17.645,17.700001,3716200,15.765939
2014-07-16,17.709999,17.915001,17.49,17.82,3180600,15.872826
2014-07-17,17.690001,18.280001,17.690001,17.700001,2805800,15.765939
2014-07-18,17.75,17.75,17.5,17.690001,2191700,15.757031
2014-07-21,17.65,17.9,17.57,17.860001,2268500,15.908456
2014-07-22,17.879999,17.99,17.83,17.969999,1774500,16.006435
2014-07-23,17.950001,18.02,17.91,17.98,1414400,16.015343
2014-07-24,17.92,18.15,17.92,17.969999,2131800,16.006435
2014-07-25,17.9,18.15,17.780001,17.870001,1967600,15.917363
2014-07-28,17.799999,18.049999,17.66,17.99,2900400,16.02425
2014-07-29,17.93,18.110001,17.65,17.700001,3500400,15.765939
2014-07-30,17.700001,17.969999,17.48,17.58,3032300,15.659051
2014-07-31,17.530001,17.959999,17.190001,17.200001,3568000,15.320573
2014-08-01,17.200001,17.5,17.139999,17.34,1832500,15.445275
2014-08-04,17.32,17.34,16.98,17.17,1700400,15.293851
2014-08-05,17.07,17.25,16.879999,16.950001,2083500,15.097891
2014-08-06,16.92,17.15,16.860001,16.99,2538600,15.133519
2014-08-07,17.040001,17.190001,16.761,16.860001,1392800,15.017725
2014-08-08,16.9,17.344999,16.76,17.280001,3591800,15.391832
2014-08-11,17.35,17.389999,17.09,17.1,1096300,15.2315
2014-08-12,17.110001,17.17,16.940001,17.1,1166900,15.2315
2014-08-13,17.15,17.235001,17.07,17.17,940900,15.293851
2014-08-14,17.15,17.17,17.040001,17.15,1448200,15.276036
2014-08-15,17.16,17.25,16.860001,17.02,1595100,15.160242
2014-08-18,17.129999,17.51,17.07,17.379999,2932800,15.480904
2014-08-19,17.35,17.459999,17.184999,17.32,1413900,15.42746
2014-08-20,17.18,17.565001,17.110001,17.5,1279200,15.587792
2014-08-21,17.5,17.540001,17.290001,17.459999,1167200,15.552162
2014-08-22,17.42,17.6,17.370001,17.450001,1062000,15.543256
2014-08-25,17.48,17.74,17.450001,17.629999,769600,15.703586
2014-08-26,17.6,17.74,17.530001,17.610001,917000,15.685773
2014-08-27,17.58,17.77,17.58,17.709999,840200,15.774845
2014-08-28,17.620001,17.799999,17.530001,17.719999,911200,15.783752
2014-08-29,17.719999,18.0,17.65,17.940001,1990200,15.979714
2014-09-02,17.940001,18.129999,17.879999,17.98,1560700,16.015343
