Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,34.200001,34.299999,33.799999,33.990002,1512600,16.189615
2006-01-04,34.0,34.200001,33.599998,33.950001,2877200,16.170562
2006-01-05,33.939999,34.200001,33.869999,34.150002,3077700,16.265824
2006-01-06,34.200001,34.790001,34.150002,34.790001,4427900,16.570659
2006-01-09,34.939999,36.040001,34.939999,35.700001,1832700,17.004097
2006-01-10,35.700001,36.830002,35.540001,36.689999,2566100,17.475638
2006-01-11,36.599998,36.77,36.25,36.700001,1330900,17.480402
2006-01-12,36.700001,37.049999,36.400002,36.77,923400,17.513743
2006-01-13,36.720001,37.060001,36.43,37.0,853600,17.623293
2006-01-17,38.150002,38.68,37.009998,37.490002,2872500,17.856683
2006-01-18,37.490002,37.98,37.200001,37.73,1321200,17.970996
2006-01-19,37.720001,38.5,37.599998,38.5,2471700,18.337751
2006-01-20,38.450001,38.639999,37.279999,37.360001,1825600,17.794763
2006-01-23,37.5,37.900002,37.200001,37.25,917400,17.742369
2006-01-24,37.200001,37.41,37.0,37.34,1901200,17.785237
2006-01-25,37.34,37.439999,36.720001,36.900002,1444500,17.575663
2006-01-26,37.5,37.919998,36.369999,36.810001,2452300,17.532796
2006-01-27,36.799999,37.689999,36.580002,37.490002,1137200,17.856683
2006-01-30,37.549999,37.950001,37.299999,37.52,888200,17.870972
2006-01-31,37.349998,37.470001,37.060001,37.150002,1421200,17.69474
2006-02-01,37.209999,38.080002,37.169998,38.009998,1205500,18.10436
2006-02-02,37.799999,38.529999,37.779999,38.34,2047600,18.261542
2006-02-03,38.049999,38.419998,38.049999,38.330002,1058100,18.25678
2006-02-06,38.16,38.27,37.52,37.66,1492100,17.937654
2006-02-07,37.82,39.16,37.799999,38.82,1672500,18.490168
2006-02-08,38.5,38.950001,38.310001,38.849998,1336400,18.504457
2006-02-09,38.75,38.970001,38.610001,38.830002,1419100,18.494932
2006-02-10,38.349998,38.91,37.869999,38.790001,1211900,18.47588
2006-02-13,38.790001,38.830002,38.459999,38.540001,563800,18.356803
2006-02-14,38.509998,38.950001,38.450001,38.5,1297500,18.337751
2006-02-15,38.540001,38.650002,38.130001,38.130001,1014000,18.161518
2006-02-16,38.32,39.599998,38.32,39.599998,1180600,18.861686
2006-02-17,39.57,39.91,39.0,39.66,924100,18.890265
2006-02-21,39.240002,39.240002,38.82,38.939999,589300,18.547324
2006-02-22,39.0,39.139999,38.810001,38.889999,1236600,18.52351
2006-02-23,38.639999,39.389999,38.549999,39.099998,928000,18.623533
2006-02-24,39.349998,39.959999,39.25,39.919998,1089700,19.014103
2006-02-27,40.0,40.84,39.869999,40.27,1495500,19.180811
2006-02-28,39.950001,40.779999,39.810001,40.09,1863400,19.095076
2006-03-01,39.68,40.189999,39.380001,40.07,923000,19.08555
2006-03-02,39.599998,39.889999,39.43,39.779999,550400,18.947421
