Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,7.65,7.87,7.5,7.8,1787800,7.8
2006-01-04,7.81,7.85,7.42,7.59,2123300,7.59
2006-01-05,7.59,7.75,7.52,7.66,1312100,7.66
2006-01-06,7.74,8.24,7.71,8.21,2993100,8.21
2006-01-09,8.33,8.49,8.02,8.04,2444000,8.04
2006-01-10,8.06,8.39,8.05,8.25,1414500,8.25
2006-01-11,8.3,8.3,8.05,8.23,1118000,8.23
2006-01-12,8.39,8.39,8.05,8.09,742400,8.09
2006-01-13,8.1,8.18,7.81,7.91,1151800,7.91
2006-01-17,7.9,7.93,7.55,7.71,1006200,7.71
2006-01-18,7.59,7.79,7.41,7.61,1274200,7.61
2006-01-19,7.79,8.19,7.75,8.17,1279200,8.17
2006-01-20,8.17,8.17,7.73,7.83,1640400,7.83
2006-01-23,7.88,7.9,7.51,7.6,1094800,7.6
2006-01-24,7.64,7.88,7.61,7.79,983400,7.79
2006-01-25,7.79,7.9,7.72,7.86,1202500,7.86
2006-01-26,7.87,8.14,7.83,8.08,1228200,8.08
2006-01-27,8.11,8.24,8.0,8.19,1418400,8.19
2006-01-30,8.2,8.3,8.16,8.29,1317500,8.29
2006-01-31,8.25,8.55,8.24,8.54,1533800,8.54
2006-02-01,8.5,8.63,8.43,8.56,1531000,8.56
2006-02-02,8.53,8.58,8.23,8.54,1480000,8.54
2006-02-03,8.53,8.57,8.26,8.34,3130000,8.34
2006-02-06,8.34,8.34,8.02,8.08,1336300,8.08
2006-02-07,8.04,8.07,7.71,8.0,2083800,8.0
2006-02-08,8.2,9.0,8.07,8.92,3799400,8.92
2006-02-09,9.0,9.42,8.67,8.9,3919300,8.9
2006-02-10,9.05,9.7,8.97,9.6,3399200,9.6
2006-02-13,9.64,9.79,9.07,9.31,2777600,9.31
2006-02-14,9.09,9.49,9.04,9.1,2259600,9.1
2006-02-15,8.88,9.36,8.42,9.3,1947100,9.3
2006-02-16,9.28,9.43,9.0,9.28,2081500,9.28
2006-02-17,9.31,10.47,9.25,10.12,6667200,10.12
2006-02-21,10.06,10.25,10.02,10.14,1895500,10.14
2006-02-22,10.13,10.96,10.1,10.7,4203900,10.7
2006-02-23,10.58,11.0,10.42,10.8,4265600,10.8
2006-02-24,10.75,11.06,10.55,10.85,1789200,10.85
2006-02-27,10.89,11.16,10.8,10.91,1885600,10.91
2006-02-28,10.82,10.94,10.52,10.7,1508700,10.7
2006-03-01,10.78,10.85,10.52,10.74,1443100,10.74
2006-03-02,10.74,10.75,10.14,10.28,3157700,10.28
2006-03-03,10.25,10.58,10.15,10.46,1571100,10.46
2006-03-06,10.49,10.75,10.25,10.32,1285700,10.32
2006-03-07,10.24,10.33,10.03,10.12,893100,10.12
2006-03-08,10.02,10.29,9.2,10.29,3577200,10.29
2006-03-09,10.23,10.65,10.1,10.14,1804400,10.14
2006-03-10,10.08,10.19,9.77,10.08,1412900,10.08
2006-03-13,10.09,10.29,10.05,10.24,1173400,10.24
2006-03-14,10.2,10.65,10.1,10.59,1977200,10.59
2006-03-15,10.63,10.68,10.32,10.41,1052800,10.41
2006-03-16,10.49,10.68,10.4,10.44,1047600,10.44
2006-03-17,10.6,10.6,10.15,10.21,1998200,10.21
2006-03-20,10.09,10.23,9.76,9.86,2109800,9.86
2006-03-21,9.57,9.99,9.55,9.57,2197800,9.57
2006-03-22,9.57,9.84,9.34,9.74,1210300,9.74
2006-03-23,9.75,9.79,9.46,9.63,922900,9.63
2006-03-24,9.63,10.19,9.6,10.14,1269900,10.14
2006-03-27,10.08,10.75,10.08,10.61,1985000,10.61
2006-03-28,10.57,11.06,10.57,10.91,2053600,10.91
2006-03-29,10.91,11.63,10.91,11.62,3001400,11.62
2006-03-30,11.71,12.04,11.25,11.77,3789900,11.77
2006-03-31,12.02,12.02,11.67,11.81,1470400,11.81
2006-04-03,11.81,11.98,11.29,11.48,1519800,11.48
2006-04-04,11.75,11.89,11.54,11.76,1583900,11.76
2006-04-05,11.8,11.84,11.36,11.55,1136900,11.55
2006-04-06,11.4,11.55,10.87,11.15,2210300,11.15
2006-04-07,11.17,11.25,10.95,11.08,1563700,11.08
2006-04-10,11.17,11.48,10.96,11.18,1498900,11.18
2006-04-11,11.25,11.25,10.64,11.09,1498200,11.09
2006-04-12,11.08,11.55,11.06,11.34,2019700,11.34
2006-04-13,11.34,11.68,11.28,11.57,861000,11.57
2006-04-17,11.59,11.92,11.51,11.55,1674500,11.55
2006-04-18,11.64,12.19,11.58,12.19,2816600,12.19
2006-04-19,12.15,12.71,12.12,12.34,2597700,12.34
2006-04-20,12.37,12.6,11.97,12.45,1442700,12.45
2006-04-21,12.56,12.57,11.75,11.82,2031700,11.82
2006-04-24,11.73,12.05,11.68,11.98,1291900,11.98
2006-04-25,12.06,12.53,11.82,12.46,2849700,12.46
2006-04-26,12.59,13.12,12.49,12.69,4683400,12.69
2006-04-27,12.59,13.16,12.4,12.99,2189400,12.99
2006-04-28,13.02,13.1,12.68,12.83,1349600,12.83
2006-05-01,12.75,12.83,12.39,12.41,1231700,12.41
2006-05-02,12.41,12.68,12.33,12.49,1109300,12.49
2006-05-03,12.5,12.91,12.44,12.8,3400100,12.8
2006-05-04,12.95,13.25,12.65,13.22,2448300,13.22
2006-05-05,13.27,13.47,12.96,13.46,1643100,13.46
2006-05-08,13.42,13.48,13.0,13.01,1312500,13.01
2006-05-09,13.07,13.48,13.0,13.26,1717600,13.26
2006-05-10,11.55,12.19,10.87,11.88,11951000,11.88
2006-05-11,11.82,12.21,11.0,11.08,4932800,11.08
2006-05-12,11.12,11.13,10.08,10.74,4709200,10.74
2006-05-15,10.62,10.8,10.24,10.48,3001100,10.48
2006-05-16,10.5,10.61,9.9,10.03,3743500,10.03
2006-05-17,10.04,10.08,9.53,9.98,2667300,9.98
2006-05-18,10.0,10.44,10.0,10.14,2478400,10.14
2006-05-19,10.13,10.29,9.73,9.95,2273500,9.95
2006-05-22,9.81,9.85,9.32,9.54,2465000,9.54
2006-05-23,9.66,10.07,9.61,9.75,1884500,9.75
2006-05-24,9.85,9.89,9.1,9.48,2664600,9.48
2006-05-25,9.66,9.66,9.31,9.48,2245700,9.48
2006-05-26,9.58,9.9,9.47,9.59,1991100,9.59
2006-05-30,9.6,9.69,8.91,8.93,2532300,8.93
2006-05-31,8.99,9.12,8.46,8.72,4487200,8.72
2006-06-01,8.71,9.14,8.57,9.14,1969900,9.14
2006-06-02,9.22,9.56,9.17,9.25,2174400,9.25
2006-06-05,9.25,9.31,8.72,8.82,1876700,8.82
2006-06-06,8.85,8.99,8.48,8.69,1935700,8.69
2006-06-07,8.74,8.79,8.3,8.33,2950400,8.33
2006-06-08,8.33,8.35,7.85,8.24,2758500,8.24
2006-06-09,8.35,8.69,7.94,7.99,3076500,7.99
2006-06-12,8.05,8.07,7.62,7.67,2151900,7.67
2006-06-13,7.65,8.07,7.37,7.59,2836200,7.59
2006-06-14,7.65,7.79,7.58,7.75,1228200,7.75
2006-06-15,7.82,8.5,7.82,8.41,2772500,8.41
2006-06-16,8.4,9.04,8.37,8.86,5369600,8.86
2006-06-19,8.92,8.98,8.44,8.54,1927400,8.54
2006-06-20,8.56,8.58,8.24,8.31,1563000,8.31
2006-06-21,8.55,9.0,8.46,8.83,1803300,8.83
2006-06-22,8.83,9.74,8.74,9.3,3335200,9.3
2006-06-23,9.4,9.57,9.3,9.5,1638300,9.5
2006-06-26,9.61,9.93,9.42,9.54,1886600,9.54
2006-06-27,9.55,9.72,9.03,9.06,1774100,9.06
2006-06-28,9.07,9.49,9.04,9.23,1220100,9.23
2006-06-29,9.26,9.8,9.05,9.73,1819100,9.73
2006-06-30,9.77,10.22,9.76,10.06,3085100,10.06
2006-07-03,10.16,10.39,10.11,10.35,740200,10.35
2006-07-05,10.16,10.2,9.69,9.71,1744500,9.71
2006-07-06,9.78,10.09,9.48,9.54,1844900,9.54
2006-07-07,9.46,9.48,9.09,9.26,2642700,9.26
2006-07-10,9.3,9.59,9.05,9.2,1547500,9.2
2006-07-11,9.15,9.44,8.81,9.42,1825900,9.42
2006-07-12,9.47,9.48,8.95,8.97,1335200,8.97
2006-07-13,8.91,8.96,8.61,8.71,2397200,8.71
2006-07-14,8.73,8.79,8.41,8.55,1225700,8.55
2006-07-17,8.66,8.79,8.4,8.45,773500,8.45
