Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,680.0,723.0,680.0,721.0,113400,721.0
2006-01-04,714.0,719.25,708.109985,715.0,40000,715.0
2006-01-05,705.5,740.0,705.299988,734.5,72900,734.5
2006-01-06,722.0,730.799988,717.200012,723.0,82900,723.0
2006-01-09,723.0,775.0,723.0,774.5,114700,774.5
2006-01-10,773.950012,813.97998,772.0,810.0,135000,810.0
2006-01-11,810.0,844.840027,805.0,822.880005,118600,822.880005
2006-01-12,820.0,820.0,807.02002,810.0,71800,810.0
2006-01-13,813.0,818.0,784.0,785.25,89200,785.25
2006-01-17,782.0,786.119995,772.0,773.609985,88600,773.609985
2006-01-18,772.0,780.049988,755.0,764.0,80000,764.0
2006-01-19,764.0,775.0,755.130005,765.0,58500,765.0
2006-01-20,767.0,768.0,746.0,752.5,62400,752.5
2006-01-23,750.0,752.5,730.0,737.0,85400,737.0
2006-01-24,737.0,752.450012,737.0,739.0,44300,739.0
2006-01-25,734.5,735.5,720.0,730.5,73600,730.5
2006-01-26,736.390015,774.98999,736.390015,773.0,86600,773.0
2006-01-27,771.0,793.0,750.0,754.0,71800,754.0
2006-01-30,750.0,767.5,743.0,766.5,74800,766.5
2006-01-31,763.0,794.25,762.549988,794.25,126000,794.25
2006-02-01,791.0,791.01001,762.0,770.0,76000,770.0
2006-02-02,772.0,772.0,755.150024,759.0,75500,759.0
2006-02-03,756.0,778.98999,742.0,770.25,56100,770.25
2006-02-06,770.25,771.98999,747.0,748.25,42100,748.25
2006-02-07,738.5,739.97998,728.0,739.849976,62400,739.849976
2006-02-08,737.0,756.0,721.0,752.0,83900,752.0
2006-02-09,753.0,755.0,735.0,735.0,43000,735.0
2006-02-10,732.0,733.0,715.25,732.0,42400,732.0
2006-02-13,726.0,734.0,724.0,726.0,56900,726.0
2006-02-14,720.0,742.0,717.0,736.5,63700,736.5
2006-02-15,738.5,748.0,730.0,742.0,56600,742.0
2006-02-16,750.0,754.98999,737.049988,750.0,46600,750.0
2006-02-17,749.0,761.719971,749.0,760.0,63000,760.0
2006-02-21,761.099976,769.849976,755.0,760.0,57300,760.0
2006-02-22,763.0,786.98999,758.5,775.5,57900,775.5
2006-02-23,773.5,774.0,763.179993,767.5,51300,767.5
2006-02-24,768.0,779.01001,762.150024,777.75,28100,777.75
2006-02-27,771.0,775.0,758.0,765.0,43300,765.0
2006-02-28,758.440002,772.0,753.0,753.0,49100,753.0
2006-03-01,747.0,771.900024,741.0,769.5,45200,769.5
2006-03-02,767.5,773.890015,760.049988,765.0,38500,765.0
2006-03-03,762.0,764.98999,742.5,742.5,49100,742.5
2006-03-06,740.0,746.0,732.25,735.25,45700,735.25
2006-03-07,731.0,732.640015,722.549988,724.75,32600,724.75
2006-03-08,720.0,728.0,716.299988,725.0,81800,725.0
2006-03-09,724.0,732.900024,702.549988,706.5,49000,706.5
2006-03-10,710.0,721.0,708.0,719.98999,25900,719.98999
2006-03-13,720.0,738.700012,720.0,737.0,42200,737.0
2006-03-14,735.0,777.080017,734.0,775.25,83600,775.25
2006-03-15,771.0,777.0,768.0,775.0,61500,775.0
2006-03-16,769.0,788.590027,768.549988,783.0,60000,783.0
2006-03-17,780.0,798.299988,780.0,792.0,51400,792.0
2006-03-20,788.0,788.5,763.190002,765.0,48400,765.0
2006-03-21,765.0,770.0,746.5,751.0,43000,751.0
2006-03-22,751.0,764.0,749.0,751.650024,36200,751.650024
2006-03-23,754.0,778.5,753.5,773.0,41200,773.0
2006-03-24,770.0,775.97998,753.0,775.97998,37800,775.97998
2006-03-27,773.5,788.0,770.049988,781.0,26000,781.0
2006-03-28,775.0,785.0,761.0,762.700012,40900,762.700012
2006-03-29,760.0,767.549988,754.25,761.0,27900,761.0
2006-03-30,767.219971,767.219971,738.0,745.75,57700,745.75
2006-03-31,747.0,747.98999,736.27002,738.950012,43100,738.950012
2006-04-03,725.5,754.75,725.25,753.0,59000,753.0
2006-04-04,753.0,759.0,747.0,759.0,34600,759.0
2006-04-05,760.0,846.75,760.0,842.97998,151900,842.97998
2006-04-06,815.0,829.400024,811.669983,815.0,78600,815.0
2006-04-07,811.0,823.0,796.0,800.0,50900,800.0
2006-04-10,801.0,807.179993,783.0,792.0,43500,792.0
2006-04-11,796.0,801.0,788.039978,794.0,24900,794.0
2006-04-12,792.0,792.0,760.0,760.0,35400,760.0
2006-04-13,757.0,763.0,742.219971,756.0,50800,756.0
