Date,Open,High,Low,Close,Volume,Adj Close
2014-01-16,33.009998,34.0,32.75,33.099998,786100,30.557528
2014-01-17,33.919998,34.0,33.099998,33.290001,506800,30.732936
2014-01-21,33.48,33.869999,33.23,33.369999,596500,30.80679
2014-01-22,33.59,33.990002,33.259998,33.599998,388900,31.019122
2014-01-23,33.360001,33.599998,33.25,33.560001,225800,30.982198
2014-01-24,33.279999,33.68,33.25,33.34,207300,30.779095
2014-01-27,32.709999,33.830002,32.709999,33.34,35300,30.779095
2014-01-28,33.540001,34.130001,33.299999,33.619999,365300,31.037587
2014-01-29,33.419998,34.0,33.369999,33.709999,206800,31.120674
2014-01-30,34.290001,34.509998,33.810001,33.93,410600,31.323776
2014-01-31,34.599998,34.599998,33.59,34.119999,9630700,31.499181
2014-02-03,33.299999,34.0,33.25,33.630001,1975000,31.04682
2014-02-04,33.330002,33.5,32.540001,33.220001,4408600,30.668313
2014-02-05,33.25,33.610001,33.0,33.23,1909500,30.677544
2014-02-06,33.169998,33.43,33.119999,33.400002,1160400,30.834488
2014-02-07,33.07,33.27,32.880001,32.98,2551200,30.446747
2014-02-10,32.5,32.720001,32.049999,32.5,3137200,30.003617
2014-02-11,32.48,33.099998,32.389999,32.84,1926100,30.317501
2014-02-12,32.509998,32.77,32.09,32.25,2506000,29.77282
2014-02-13,31.940001,33.02,31.940001,32.509998,1387700,30.012847
2014-02-14,32.34,33.299999,32.34,33.110001,902900,30.566762
2014-02-18,33.119999,33.400002,32.91,33.189999,901000,30.640615
2014-02-19,33.25,33.299999,32.900002,33.099998,891000,30.557528
2014-02-20,33.07,33.459999,32.93,33.139999,249600,30.594457
2014-02-21,33.259998,33.450001,33.009998,33.240002,551200,30.686778
2014-02-24,33.299999,33.700001,33.139999,33.16,505200,30.612921
2014-02-25,33.029999,33.389999,32.889999,32.939999,462100,30.409818
2014-02-26,33.0,33.209999,32.84,33.18,410600,30.631385
2014-02-27,33.0,33.259998,32.990002,33.220001,273100,30.668313
2014-02-28,33.380001,34.130001,33.23,33.98,1129200,31.369935
2014-03-03,33.82,35.66,33.82,34.869999,1663700,32.191572
