Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,12.23,12.8,12.22,12.6,56073800,11.475829
2006-01-04,12.56,12.78,12.54,12.62,56412300,11.494044
2006-01-05,12.62,12.92,12.6,12.79,52657100,11.648877
2006-01-06,12.8,13.15,12.75,13.12,95067600,11.949434
2006-01-09,13.01,13.09,12.79,12.88,48177800,11.730847
2006-01-10,12.81,12.81,12.61,12.62,43903600,11.494044
2006-01-11,12.64,12.68,12.47,12.6,60810100,11.475829
2006-01-12,12.73,12.74,12.48,12.52,43749300,11.402967
2006-01-13,12.49,12.54,12.37,12.51,33247500,11.393859
2006-01-17,12.46,12.54,12.4,12.44,22593700,11.330104
2006-01-18,12.37,12.39,12.23,12.34,44744000,11.239026
2006-01-19,12.47,12.6,12.45,12.52,41646400,11.402967
2006-01-20,12.48,12.53,12.26,12.29,53853200,11.193487
2006-01-23,12.31,12.5,12.21,12.3,36996200,11.202595
2006-01-24,12.35,12.39,12.19,12.2,48399500,11.111517
2006-01-25,12.4,12.56,12.34,12.51,92994900,11.393859
2006-01-26,12.56,12.6,12.41,12.44,63482400,11.330104
2006-01-27,12.45,12.53,12.39,12.41,61590500,11.302781
2006-01-30,12.42,12.65,12.28,12.61,62092100,11.484936
2006-01-31,12.56,12.59,12.41,12.57,53373600,11.448505
2006-02-01,12.41,12.65,12.39,12.58,54206000,11.457613
2006-02-02,12.54,12.58,12.36,12.39,41926000,11.284565
2006-02-03,12.3,12.38,12.18,12.21,63619900,11.120625
2006-02-06,12.22,12.29,12.06,12.25,61768000,11.157056
2006-02-07,12.23,12.39,12.21,12.37,51162700,11.266349
2006-02-08,12.44,12.63,12.44,12.57,54270900,11.448505
2006-02-09,12.56,12.8,12.46,12.69,107351900,11.557799
2006-02-10,12.58,12.8,12.56,12.69,59674100,11.557799
2006-02-13,12.64,12.72,12.4,12.49,37636000,11.375643
2006-02-14,12.48,12.49,12.35,12.4,47912300,11.293673
2006-02-15,12.37,12.5,12.35,12.41,37630400,11.302781
2006-02-16,12.42,12.49,12.36,12.44,29399100,11.330104
2006-02-17,12.38,12.44,12.32,12.4,35536000,11.293673
2006-02-21,12.35,12.38,12.25,12.34,41343600,11.239026
2006-02-22,12.36,12.49,12.28,12.48,40641000,11.366535
2006-02-23,12.44,12.54,12.4,12.4,39913300,11.293673
2006-02-24,12.39,12.49,12.38,12.46,31299300,11.34832
2006-02-27,12.44,12.51,12.36,12.46,38585600,11.34832
2006-02-28,12.42,12.58,12.39,12.42,43399200,11.311889
2006-03-01,12.49,12.83,12.49,12.81,72471500,11.667093
2006-03-02,12.75,12.92,12.68,12.8,63229200,11.657985
2006-03-03,12.63,12.93,12.61,12.79,52363900,11.648877
2006-03-06,12.75,12.96,12.73,12.77,48553100,11.630662
2006-03-07,12.74,12.92,12.72,12.88,36177700,11.730847
2006-03-08,12.81,12.95,12.75,12.86,38942500,11.712631
2006-03-09,12.9,13.0,12.82,12.84,48773800,11.694416
2006-03-10,12.88,13.0,12.84,12.9,38438000,11.749063
2006-03-13,12.92,12.95,12.85,12.9,24297100,11.749063
2006-03-14,12.91,12.98,12.87,12.96,44498300,11.80371
2006-03-15,12.94,13.32,12.9,13.24,76106900,12.058728
2006-03-16,13.34,13.54,13.27,13.5,81957200,12.295531
2006-03-17,13.54,13.72,13.42,13.6,70639000,12.386609
2006-03-20,13.66,13.87,13.57,13.72,123796300,12.495903
2006-03-21,13.34,13.9,13.22,13.62,144515800,12.404824
2006-03-22,13.57,14.0,13.55,13.99,83106300,12.741813
2006-03-23,13.91,13.99,13.73,13.8,51106100,12.568765
2006-03-24,13.78,13.83,13.72,13.79,35174400,12.559657
2006-03-27,13.83,13.94,13.77,13.84,36646600,12.605196
2006-03-28,13.83,13.85,13.57,13.59,47533800,12.377501
2006-03-29,13.59,13.81,13.43,13.72,55889400,12.495903
2006-03-30,13.72,13.85,13.64,13.78,50501000,12.550549
2006-03-31,13.71,13.85,13.69,13.69,33305800,12.468579
2006-04-03,13.75,13.86,13.75,13.79,26912300,12.559657
2006-04-04,13.82,13.91,13.78,13.84,30831800,12.605196
2006-04-05,13.82,14.0,13.81,13.95,70984700,12.705382
2006-04-06,13.96,13.96,13.74,13.8,32788400,12.568765
2006-04-07,13.83,13.91,13.72,13.75,29517200,12.523226
2006-04-10,13.73,13.85,13.62,13.83,28928600,12.596088
2006-04-11,13.83,14.0,13.72,13.84,44219500,12.605196
2006-04-12,13.84,13.9,13.73,13.78,29217300,12.550549
2006-04-13,13.75,13.77,13.66,13.68,29693900,12.459472
2006-04-17,13.66,13.83,13.65,13.74,28970700,12.514118
2006-04-18,13.7,14.01,13.69,14.0,41113900,12.750921
2006-04-19,13.84,14.34,13.81,14.31,58050400,13.033263
2006-04-20,14.16,14.31,14.1,14.15,32815300,12.887538
2006-04-21,14.16,14.45,14.15,14.28,56187800,13.005939
2006-04-24,14.23,14.67,14.19,14.48,61354000,13.188095
2006-04-25,14.56,14.83,14.55,14.65,58690000,13.342928
2006-04-26,14.7,14.74,14.62,14.72,47345900,13.406683
2006-04-27,14.68,15.21,14.55,14.93,108692600,13.597947
2006-04-28,14.89,14.95,14.52,14.59,67677500,13.288281
2006-05-01,14.61,14.96,14.43,14.58,41422900,13.279173
2006-05-02,14.56,14.58,14.38,14.43,29045900,13.142557
2006-05-03,14.37,14.49,14.07,14.32,40839600,13.04237
2006-05-04,14.38,14.47,14.21,14.29,21837400,13.015047
2006-05-05,14.3,14.57,14.28,14.45,26398600,13.160772
2006-05-08,14.43,14.55,14.17,14.23,29683000,12.9604
2006-05-09,14.22,14.28,14.05,14.11,21975400,12.851107
2006-05-10,14.07,14.37,14.06,14.24,23581800,12.969508
2006-05-11,14.19,14.28,13.8,13.91,31474100,12.668951
2006-05-12,13.74,14.22,13.54,13.98,39924500,12.732705
2006-05-15,13.83,14.03,13.8,13.97,26079100,12.723598
2006-05-16,13.91,14.22,13.87,14.19,42273300,12.923969
2006-05-17,14.08,14.11,13.75,13.85,47984500,12.614304
2006-05-18,13.93,13.99,13.28,13.77,46897500,12.541442
2006-05-19,13.61,13.93,13.56,13.7,46390200,12.477687
2006-05-22,13.53,13.72,13.5,13.55,29426200,12.34107
2006-05-23,13.56,13.64,13.44,13.47,27182500,12.268208
2006-05-24,13.38,13.87,13.36,13.78,32985200,12.550549
2006-05-25,13.76,14.11,13.7,14.07,37154800,12.814675
2006-05-26,14.05,14.18,13.92,14.05,18672500,12.79646
2006-05-30,14.0,14.19,13.88,14.02,26323900,12.769137
2006-05-31,14.01,14.25,13.97,14.22,34272800,12.951293
2006-06-01,14.14,14.24,13.96,14.22,37626100,12.951293
2006-06-02,14.22,14.28,14.04,14.15,22929600,12.887538
2006-06-05,14.05,14.11,13.86,13.86,22489500,12.623411
2006-06-06,13.98,14.0,13.6,13.82,31295500,12.58698
2006-06-07,13.86,13.88,13.5,13.54,30404500,12.331962
2006-06-08,13.45,13.59,13.2,13.53,50882600,12.322854
2006-06-09,13.49,13.54,13.33,13.47,26740100,12.268208
2006-06-12,13.46,13.58,13.22,13.25,36625600,12.067836
2006-06-13,13.27,13.54,13.1,13.15,36410300,11.976758
2006-06-14,13.15,13.29,13.07,13.19,27433700,12.013189
2006-06-15,13.33,13.84,13.3,13.7,47881400,12.477687
2006-06-16,14.47,14.92,14.09,14.19,115901400,12.923969
2006-06-19,14.35,14.56,14.18,14.29,35603700,13.015047
2006-06-20,14.42,14.48,14.23,14.25,29998100,12.978616
2006-06-21,14.29,14.9,14.28,14.53,58342800,13.233634
2006-06-22,14.62,14.7,14.25,14.33,48936300,13.051478
