Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,17.76,18.0,17.24,17.379999,285700,17.379999
2013-01-03,17.4,17.700001,17.15,17.549999,221800,17.549999
2013-01-04,17.559999,17.93,17.41,17.91,153300,17.91
2013-01-07,17.77,18.08,17.74,17.93,315900,17.93
2013-01-08,17.969999,18.469999,17.91,18.41,193500,18.41
2013-01-09,18.5,18.559999,18.110001,18.450001,228300,18.450001
2013-01-10,18.4,18.74,18.26,18.65,234600,18.65
2013-01-11,18.73,19.42,18.65,19.120001,303600,19.120001
2013-01-14,19.0,19.4,18.559999,18.58,185400,18.58
2013-01-15,18.559999,19.18,18.24,18.950001,214100,18.950001
2013-01-16,18.299999,19.1,18.049999,18.73,1522000,18.73
2013-01-17,18.77,19.67,18.5,19.43,792400,19.43
2013-01-18,19.58,20.280001,19.200001,20.049999,629000,20.049999
2013-01-22,19.950001,20.1,19.73,19.940001,402800,19.940001
2013-01-23,19.98,20.1,19.43,19.9,252800,19.9
2013-01-24,19.879999,20.1,19.67,19.91,397200,19.91
2013-01-25,20.0,20.0,19.469999,19.879999,157200,19.879999
2013-01-28,19.969999,20.1,19.73,19.92,405400,19.92
2013-01-29,19.870001,19.969999,19.469999,19.66,332400,19.66
2013-01-30,19.700001,19.879999,19.35,19.549999,292200,19.549999
2013-01-31,19.66,19.68,19.360001,19.379999,240700,19.379999
2013-02-01,19.379999,21.17,18.98,20.780001,905800,20.780001
2013-02-04,20.719999,20.719999,20.049999,20.129999,272900,20.129999
2013-02-05,20.34,20.34,20.1,20.219999,277700,20.219999
2013-02-06,20.209999,20.549999,20.0,20.209999,167400,20.209999
2013-02-07,20.0,20.0,19.049999,19.620001,278500,19.620001
2013-02-08,19.5,19.75,19.4,19.559999,144200,19.559999
2013-02-11,19.610001,20.33,19.6,19.77,192400,19.77
2013-02-12,19.73,20.75,19.52,19.59,294400,19.59
2013-02-13,19.629999,19.98,19.459999,19.790001,110700,19.790001
2013-02-14,19.690001,20.040001,19.52,19.73,142200,19.73
2013-02-15,20.0,20.0,19.67,19.870001,131100,19.870001
2013-02-19,19.85,20.26,19.67,20.139999,214400,20.139999
2013-02-20,20.0,20.700001,19.91,20.469999,414600,20.469999
2013-02-21,20.309999,20.43,20.02,20.35,202100,20.35
2013-02-22,20.48,20.629999,20.15,20.629999,220100,20.629999
2013-02-25,20.5,20.889999,20.32,20.540001,499000,20.540001
2013-02-26,20.52,21.16,20.52,20.870001,222600,20.870001
2013-02-27,21.0,21.950001,20.73,21.68,474800,21.68
2013-02-28,21.68,21.98,21.360001,21.860001,274800,21.860001
2013-03-01,21.74,23.75,21.43,23.42,589800,23.42
2013-03-04,23.42,23.940001,23.120001,23.940001,510300,23.940001
2013-03-05,24.01,25.48,23.709999,25.370001,810700,25.370001
2013-03-06,25.540001,26.379999,25.18,25.92,750400,25.92
2013-03-07,26.049999,26.25,24.719999,26.1,436400,26.1
2013-03-08,26.42,28.450001,26.42,28.18,943900,28.18
2013-03-11,28.200001,30.110001,27.82,29.280001,2708000,29.280001
2013-03-12,29.01,29.57,28.040001,28.92,582200,28.92
2013-03-13,29.01,29.780001,28.18,29.4,600300,29.4
2013-03-14,29.440001,30.209999,29.23,30.0,495200,30.0
2013-03-15,30.0,30.940001,29.75,30.08,918600,30.08
2013-03-18,29.540001,29.6,27.700001,28.280001,2065800,28.280001
2013-03-19,28.17,28.290001,26.51,27.049999,891900,27.049999
2013-03-20,27.26,27.5,26.639999,27.24,612800,27.24
2013-03-21,27.370001,27.5,26.77,27.5,359700,27.5
2013-03-22,27.5,27.780001,27.24,27.6,467500,27.6
2013-03-25,27.620001,28.75,27.6,28.34,665400,28.34
2013-03-26,28.52,29.0,28.34,28.690001,442800,28.690001
2013-03-27,28.68,29.059999,28.17,28.92,346300,28.92
2013-03-28,28.49,28.93,28.190001,28.860001,298000,28.860001
2013-04-01,28.77,29.030001,27.16,28.559999,627300,28.559999
2013-04-02,28.57,29.610001,27.98,28.280001,429500,28.280001
2013-04-03,28.24,28.24,26.950001,27.48,490600,27.48
2013-04-04,28.23,28.700001,27.48,28.33,268100,28.33
2013-04-05,27.809999,28.389999,27.6,28.389999,287000,28.389999
2013-04-08,28.48,28.75,27.82,28.65,236800,28.65
2013-04-09,28.610001,29.4,28.42,29.08,171800,29.08
2013-04-10,28.91,29.379999,28.389999,29.280001,253000,29.280001
2013-04-11,29.34,30.0,29.26,29.299999,318200,29.299999
2013-04-12,29.27,30.0,29.09,29.98,398300,29.98
2013-04-15,30.0,30.1,28.73,28.9,295000,28.9
2013-04-16,29.049999,29.719999,28.610001,29.459999,370700,29.459999
2013-04-17,29.299999,29.59,28.51,29.5,371400,29.5
2013-04-18,29.6,29.6,27.74,28.059999,306600,28.059999
2013-04-19,27.92,28.639999,27.870001,28.57,294800,28.57
2013-04-22,28.790001,29.48,28.27,29.360001,233400,29.360001
2013-04-23,29.59,30.1,29.51,29.879999,430500,29.879999
2013-04-24,30.0,30.209999,29.110001,29.200001,235700,29.200001
2013-04-25,29.35,29.549999,28.41,28.6,355000,28.6
2013-04-26,28.58,29.02,27.780001,28.139999,228200,28.139999
2013-04-29,28.309999,29.5,28.299999,28.92,227200,28.92
2013-04-30,29.299999,29.549999,28.5,28.870001,199300,28.870001
2013-05-01,28.879999,29.280001,27.52,27.620001,204500,27.620001
2013-05-02,27.82,29.139999,27.51,28.940001,228500,28.940001
2013-05-03,29.42,29.469999,28.940001,28.98,186200,28.98
2013-05-06,28.93,29.15,28.219999,28.389999,149800,28.389999
2013-05-07,28.51,28.969999,25.860001,27.0,825100,27.0
2013-05-08,25.780001,26.82,24.700001,25.84,1755600,25.84
2013-05-09,25.290001,28.24,25.290001,27.530001,512100,27.530001
2013-05-10,27.18,28.73,27.18,28.309999,380700,28.309999
2013-05-13,28.360001,29.67,28.360001,29.07,244400,29.07
