Date,Open,High,Low,Close,Volume,Adj Close
2014-11-19,18.49,18.5,17.49,18.18,57281800,17.228833
2014-11-20,18.15,18.280001,18.1,18.15,6643300,17.200402
2014-11-21,18.27,18.559999,18.209999,18.43,10293000,17.465754
2014-11-24,18.549999,18.639999,18.379999,18.559999,3473800,17.588951
2014-11-25,18.6,18.790001,18.360001,18.790001,5863400,17.806919
2014-11-26,18.85,18.85,18.67,18.790001,1585100,17.806919
2014-11-28,18.799999,18.950001,18.799999,18.799999,733700,17.816394
2014-12-01,18.799999,18.879999,18.16,18.25,2631800,17.295171
2014-12-02,18.309999,18.639999,18.25,18.27,1353700,17.314125
2014-12-03,18.290001,18.695,18.24,18.5,2446000,17.532091
2014-12-04,18.4,18.639999,18.32,18.5,1642300,17.532091
2014-12-05,18.42,18.5,18.290001,18.41,1470200,17.4468
2014-12-08,18.35,18.549999,18.290001,18.35,1634100,17.389939
2014-12-09,18.379999,18.4,18.17,18.33,1626900,17.370985
2014-12-10,18.24,18.389999,18.049999,18.23,4403400,17.276217
2014-12-11,18.25,18.52,18.059999,18.42,2141500,17.456277
2014-12-12,18.450001,18.469999,18.17,18.34,1275700,17.380462
2014-12-15,18.27,18.450001,17.65,18.059999,2347100,17.115111
2014-12-16,17.799999,18.25,17.790001,18.1,2677200,17.153019
2014-12-17,18.110001,18.4,18.030001,18.32,2275900,17.361508
2014-12-18,18.49,18.6,18.15,18.35,2251400,17.389939
2014-12-19,18.309999,18.370001,18.08,18.08,8240800,17.134065
2014-12-22,18.15,18.48,18.07,18.42,4184300,17.456277
2014-12-23,18.43,18.75,18.379999,18.530001,1765600,17.560522
2014-12-24,18.450001,18.639999,18.450001,18.459999,216900,17.494183
2014-12-26,18.58,18.719999,18.26,18.639999,633700,17.664766
2014-12-29,18.67,18.889999,18.450001,18.5,825300,17.532091
2014-12-30,18.379999,19.68,18.33,18.74,1056200,17.759534
2014-12-31,18.75,18.879999,18.540001,18.59,1007600,17.617382
