Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,6.49,6.59,6.31,6.5,418500,6.026556
2006-01-04,6.52,6.56,6.46,6.56,194100,6.082186
2006-01-05,6.53,6.95,6.48,6.88,620400,6.378878
2006-01-06,6.85,6.95,6.65,6.83,436100,6.33252
2006-01-09,6.83,7.0,6.77,6.84,236000,6.341792
2006-01-10,6.79,7.14,6.7,7.1,364100,6.582854
2006-01-11,7.13,7.13,6.9,6.98,316700,6.471594
2006-01-12,7.0,7.0,6.88,6.92,317900,6.415965
2006-01-13,6.95,6.98,6.83,6.91,342300,6.406693
2006-01-17,6.91,6.96,6.78,6.91,449100,6.406693
2006-01-18,6.83,7.08,6.83,7.08,329100,6.564311
2006-01-19,7.05,7.19,7.0,7.1,271900,6.582854
2006-01-20,7.16,7.16,6.95,6.99,355000,6.480866
2006-01-23,7.07,7.13,6.96,6.99,654600,6.480866
2006-01-24,7.03,7.09,6.96,7.05,426300,6.536496
2006-01-25,7.07,7.21,7.03,7.15,371400,6.629212
2006-01-26,7.1,7.32,7.06,7.32,970600,6.78683
2006-01-27,7.41,7.41,7.15,7.23,599300,6.703385
2006-01-30,7.3,7.3,7.05,7.1,483200,6.582854
2006-01-31,7.17,7.22,7.12,7.16,564000,6.638484
2006-02-01,7.15,7.3,7.15,7.2,716900,6.67557
2006-02-02,7.22,7.34,7.05,7.15,517200,6.629212
2006-02-03,7.16,7.28,7.13,7.24,419500,6.712656
2006-02-06,7.34,7.61,7.31,7.57,481200,7.01862
2006-02-07,7.58,7.6,7.2,7.36,363900,6.823916
2006-02-08,8.02,8.5,7.3,8.38,3022200,7.769622
2006-02-09,8.36,8.36,7.9,8.2,1130700,7.602733
2006-02-10,8.14,8.2,7.99,8.08,695400,7.491473
2006-02-13,8.05,8.25,8.01,8.25,526600,7.649091
2006-02-14,8.35,8.95,8.32,8.81,2031500,8.168302
2006-02-15,8.81,9.04,8.74,8.99,923000,8.335191
2006-02-16,9.0,9.33,8.89,9.27,864600,8.594797
2006-02-17,9.2,9.26,9.11,9.17,414200,8.50208
2006-02-21,9.0,9.0,8.68,8.9,1041400,8.251746
2006-02-22,8.9,9.1,8.86,8.93,705400,8.279562
2006-02-23,8.95,8.98,8.72,8.78,655800,8.140487
2006-02-24,8.78,8.83,8.65,8.75,710000,8.112672
2006-02-27,8.8,8.86,8.72,8.78,976100,8.140487
2006-02-28,8.8,8.86,8.65,8.73,637800,8.094128
2006-03-01,8.86,8.86,8.67,8.77,785700,8.131216
2006-03-02,8.79,8.79,8.6,8.66,590100,8.029227
2006-03-03,8.65,8.69,8.51,8.62,527100,7.992141
2006-03-06,8.58,8.62,8.46,8.55,478300,7.92724
2006-03-07,8.49,8.55,8.32,8.45,240200,7.834523
2006-03-08,8.45,8.48,8.2,8.31,589100,7.704721
2006-03-09,8.33,8.37,8.16,8.34,539400,7.732536
2006-03-10,8.35,8.53,8.24,8.53,571100,7.908696
2006-03-13,8.5,8.54,8.43,8.45,417700,7.834523
2006-03-14,8.42,8.93,8.32,8.85,747400,8.205389
2006-03-15,8.85,9.01,8.82,8.98,310400,8.325919
2006-03-16,9.01,9.21,8.96,9.11,802100,8.44645
2006-03-17,9.19,9.33,9.1,9.25,1057000,8.576253
2006-03-20,9.28,9.29,9.0,9.12,466000,8.455722
2006-03-21,9.11,9.14,8.86,8.89,618600,8.242475
2006-03-22,8.82,9.33,8.73,9.31,562200,8.631884
2006-03-23,9.32,9.88,9.01,9.27,884600,8.594797
2006-03-24,9.33,9.5,9.28,9.43,696800,8.743143
2006-03-27,9.43,9.44,9.31,9.44,629100,8.752414
2006-03-28,9.3,9.44,9.05,9.43,606800,8.743143
2006-03-29,9.43,9.54,9.3,9.42,558700,8.733871
2006-03-30,9.43,9.43,9.08,9.2,794300,8.529895
2006-03-31,9.1,9.34,9.02,9.32,535800,8.641154
2006-04-03,9.33,9.4,9.05,9.09,773000,8.427908
2006-04-04,9.1,9.35,9.03,9.07,596100,8.409364
2006-04-05,9.13,9.23,8.82,8.86,778500,8.21466
2006-04-06,8.91,9.28,8.9,9.26,373200,8.585525
2006-04-07,9.24,9.3,9.04,9.05,788600,8.390821
2006-04-10,9.07,9.2,8.91,9.1,470900,8.437179
2006-04-11,9.11,9.12,8.91,9.02,831000,8.363006
2006-04-12,8.98,9.02,8.82,8.96,388000,8.307376
2006-04-13,8.88,9.02,8.77,8.95,265100,8.298104
2006-04-17,8.82,8.95,8.57,8.8,571300,8.15903
2006-04-18,8.79,9.45,8.78,9.36,822800,8.678241
2006-04-19,9.41,9.43,9.16,9.28,529000,8.604068
