Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,19.0,19.15,18.42,18.860001,415500,15.826333
2006-01-04,18.799999,18.85,18.200001,18.68,500000,15.675286
2006-01-05,18.84,18.959999,18.700001,18.9,480600,15.859898
2006-01-06,19.09,19.139999,18.82,18.950001,455700,15.901856
2006-01-09,19.1,19.200001,19.0,19.17,366000,16.086468
2006-01-10,19.200001,19.540001,19.040001,19.469999,450300,16.338212
2006-01-11,19.639999,20.01,19.43,19.969999,641900,16.757786
2006-01-12,20.02,20.09,19.950001,19.959999,604500,16.749394
2006-01-13,20.110001,20.290001,19.940001,20.27,452500,17.009531
2006-01-17,20.280001,20.280001,19.93,20.049999,443100,16.824918
2006-01-18,20.0,20.059999,19.700001,20.0,452100,16.782961
2006-01-19,20.09,20.200001,19.92,20.17,476000,16.925616
2006-01-20,20.299999,20.51,20.129999,20.309999,806900,17.043096
2006-01-23,20.41,20.58,20.209999,20.43,540100,17.143795
2006-01-24,20.52,20.75,20.43,20.68,538800,17.353582
2006-01-25,20.57,20.629999,20.16,20.309999,631700,17.043096
2006-01-26,20.33,20.75,20.23,20.629999,442400,17.311623
2006-01-27,20.76,20.9,20.24,20.32,619900,17.051488
2006-01-30,20.4,20.450001,20.27,20.309999,381700,17.043096
2006-01-31,20.370001,20.6,20.23,20.5,390400,17.202535
2006-02-01,20.6,20.629999,20.370001,20.42,636800,17.135403
2006-02-02,20.549999,20.66,20.370001,20.540001,545300,17.236102
2006-02-03,20.610001,20.610001,20.4,20.5,353800,17.202535
2006-02-06,20.540001,20.799999,20.24,20.57,795200,17.261275
2006-02-07,21.4,24.299999,21.32,23.799999,2686300,19.971723
2006-02-08,23.639999,23.799999,23.469999,23.5,1000500,19.719979
2006-02-09,23.6,24.0,22.950001,22.99,1116700,19.292013
2006-02-10,23.07,23.27,22.549999,23.01,503200,19.308797
2006-02-13,22.879999,22.940001,22.530001,22.6,283200,18.964746
2006-02-14,22.67,23.16,22.559999,23.120001,450400,19.401103
2006-02-15,23.290001,23.290001,22.9,23.15,578700,19.426277
2006-02-16,23.27,23.4,23.15,23.34,745300,19.585715
2006-02-17,23.360001,23.360001,23.040001,23.129999,479700,19.409494
2006-02-21,23.1,23.15,22.9,23.02,419400,19.317188
2006-02-22,23.16,23.309999,22.940001,23.27,272900,19.526975
2006-02-23,23.32,23.41,23.1,23.24,423500,19.5018
2006-02-24,23.35,23.35,22.84,23.24,374800,19.5018
2006-02-27,23.35,23.809999,23.309999,23.76,415400,19.938158
2006-02-28,23.700001,23.700001,23.209999,23.34,488400,19.585715
2006-03-01,23.5,23.52,22.950001,23.43,326200,19.661239
2006-03-02,23.299999,23.790001,23.18,23.700001,566900,19.887809
2006-03-03,23.700001,24.0,23.5,23.74,545400,19.921374
2006-03-06,23.719999,23.809999,23.540001,23.629999,460000,19.829068
2006-03-07,23.6,23.690001,23.5,23.610001,509100,19.812286
2006-03-08,23.77,23.940001,23.540001,23.870001,885600,20.030465
2006-03-09,23.85,23.93,23.67,23.799999,329000,19.971723
2006-03-10,23.879999,24.540001,23.719999,24.51,763900,20.567519
2006-03-13,24.65,25.9,24.58,25.76,1304500,21.616454
2006-03-14,25.66,26.15,25.57,26.01,706500,21.826241
2006-03-15,26.1,26.15,24.190001,24.290001,2223800,20.382907
2006-03-16,24.26,24.58,22.709999,23.32,2806600,19.568932
2006-03-17,23.209999,24.290001,23.209999,23.99,1734200,20.131161
2006-03-20,23.879999,24.23,23.879999,24.0,421700,20.139553
2006-03-21,24.1,24.42,23.85,24.1,462000,20.223468
2006-03-22,23.969999,24.299999,23.91,24.24,519400,20.340948
2006-03-23,24.15,25.07,24.15,24.969999,748800,20.953526
2006-03-24,25.07,25.360001,24.809999,24.99,445300,20.970309
2006-03-27,24.9,24.950001,24.6,24.91,363600,20.903178
2006-03-28,24.9,25.129999,24.66,24.959999,346200,20.945134
2006-03-29,24.91,25.16,24.709999,25.120001,365100,21.0794
2006-03-30,25.07,25.65,25.059999,25.549999,408100,21.440232
2006-03-31,25.51,25.809999,25.309999,25.559999,420600,21.448624
2006-04-03,25.58,25.809999,25.5,25.610001,292400,21.490582
2006-04-04,25.57,26.35,25.549999,26.1,501600,21.901764
2006-04-05,26.200001,26.379999,25.98,26.299999,617300,22.069593
2006-04-06,26.290001,26.49,26.030001,26.32,254200,22.086376
2006-04-07,26.440001,27.08,25.969999,26.01,438600,21.826241
2006-04-10,25.950001,26.82,25.950001,26.5,808500,22.237423
