Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,27.15,28.15,27.120001,28.049999,4985400,28.049999
2006-01-04,27.98,28.83,27.799999,28.799999,4661500,28.799999
2006-01-05,28.799999,29.790001,28.799999,29.049999,5825100,29.049999
2006-01-06,29.41,30.08,29.15,30.08,4327000,30.08
2006-01-09,30.26,30.26,29.360001,29.620001,4514500,29.620001
2006-01-10,29.4,30.969999,29.4,30.469999,4797000,30.469999
2006-01-11,30.450001,31.049999,30.08,30.82,3150800,30.82
2006-01-12,30.66,30.799999,29.77,29.889999,3242700,29.889999
2006-01-13,29.33,29.440001,28.43,28.84,14390800,28.84
2006-01-17,28.25,29.280001,28.139999,29.27,5289100,29.27
2006-01-18,28.27,29.059999,28.27,28.9,3306000,28.9
2006-01-19,29.139999,29.34,28.85,29.24,2027400,29.24
2006-01-20,29.67,30.110001,28.52,28.59,5107300,28.59
2006-01-23,28.74,28.74,27.719999,27.92,3834100,27.92
2006-01-24,27.91,28.01,26.700001,27.200001,5448700,27.200001
2006-01-25,27.219999,27.57,26.51,27.309999,6486200,27.309999
2006-01-26,27.639999,28.559999,27.459999,28.32,4544300,28.32
2006-01-27,28.610001,29.030001,28.25,28.26,2743400,28.26
2006-01-30,28.139999,29.040001,27.85,28.66,3751000,28.66
2006-01-31,28.52,29.059999,27.92,28.870001,3747500,28.870001
2006-02-01,28.459999,29.709999,28.370001,29.219999,3496000,29.219999
2006-02-02,29.219999,29.48,28.0,28.08,3914700,28.08
2006-02-03,28.030001,28.639999,27.49,28.32,3044400,28.32
2006-02-06,28.540001,28.68,28.129999,28.200001,2714700,28.200001
2006-02-07,28.1,28.129999,26.52,27.040001,5193400,27.040001
2006-02-08,27.129999,27.5,26.65,27.360001,2688200,27.360001
2006-02-09,27.43,27.700001,26.74,26.889999,3981100,26.889999
2006-02-10,26.9,26.940001,26.059999,26.5,2973600,26.5
2006-02-13,26.15,26.73,26.059999,26.549999,2762700,26.549999
2006-02-14,26.57,27.09,26.25,26.299999,3206100,26.299999
2006-02-15,26.23,26.280001,25.799999,25.99,2729700,25.99
2006-02-16,25.879999,25.969999,25.25,25.549999,4726100,25.549999
2006-02-17,25.42,25.5,24.92,25.09,3716200,25.09
2006-02-21,25.0,25.24,24.85,25.049999,2389000,25.049999
2006-02-22,25.0,25.35,24.780001,25.32,3242300,25.32
2006-02-23,25.25,26.82,25.25,26.5,4528000,26.5
2006-02-24,26.5,26.75,26.200001,26.43,1777000,26.43
2006-02-27,26.41,26.91,26.15,26.450001,2284700,26.450001
2006-02-28,26.33,26.950001,26.200001,26.870001,2252400,26.870001
2006-03-01,26.950001,28.360001,26.92,28.139999,4768400,28.139999
2006-03-02,28.379999,28.99,27.889999,28.25,3523200,28.25
2006-03-03,28.0,29.280001,28.0,29.01,3339700,29.01
