Date,Open,High,Low,Close,Volume,Adj Close
2009-11-03,10.34,10.6,10.34,10.49,327000,8.03098
2009-11-04,10.6,10.6,10.41,10.5,35600,8.038636
2009-11-05,10.5,10.6,10.43,10.5,42000,8.038636
2009-11-06,10.5,10.52,10.36,10.52,32900,8.053948
2009-11-09,10.5,10.5,10.39,10.48,79200,8.023324
2009-11-10,10.48,10.48,10.32,10.37,114000,7.93911
2009-11-11,10.45,10.48,10.33,10.45,57600,8.000356
2009-11-12,10.45,10.45,10.35,10.39,81100,7.954422
2009-11-13,10.45,10.45,10.35,10.4,23700,7.962077
2009-11-16,10.5,10.5,10.4,10.45,86400,8.000356
2009-11-17,10.47,10.49,10.4,10.43,39200,7.985045
2009-11-18,10.4,10.47,10.35,10.39,732400,7.954422
2009-11-19,10.42,10.42,10.32,10.35,85400,7.923798
2009-11-20,10.38,10.39,10.29,10.32,157700,7.90083
2009-11-23,10.37,10.42,10.34,10.35,17900,7.923798
2009-11-24,10.44,10.44,10.3,10.39,40700,7.954422
2009-11-25,10.45,10.45,10.33,10.42,71500,7.977389
2009-11-27,10.3,10.4,10.29,10.4,57600,7.962077
2009-11-30,10.4,10.44,10.3,10.39,66000,7.954422
2009-12-01,10.4,10.4,10.31,10.36,57500,7.931454
2009-12-02,10.4,10.41,10.29,10.37,93600,7.93911
2009-12-03,10.35,10.4,10.35,10.35,30300,7.923798
2009-12-04,10.25,10.39,10.25,10.39,63900,7.954422
2009-12-07,10.48,10.48,10.35,10.4,161800,7.962077
2009-12-08,10.39,10.4,10.37,10.4,52400,7.962077
2009-12-09,10.4,10.4,10.25,10.27,345100,7.862552
2009-12-10,10.33,10.35,10.14,10.21,1040800,7.816616
2009-12-11,10.24,10.32,10.2,10.27,484400,7.862552
2009-12-14,10.31,10.35,10.24,10.35,275700,7.923798
2009-12-15,10.3,10.35,10.18,10.31,727600,7.893175
2009-12-16,10.33,10.33,10.12,10.22,1082400,7.824272
2009-12-17,10.29,10.29,10.11,10.11,593600,7.740058
2009-12-18,10.29,10.29,10.01,10.19,392100,7.801304
2009-12-21,10.3,10.3,10.21,10.21,23900,7.816616
2009-12-22,10.1,10.25,10.1,10.23,53300,7.831928
2009-12-23,10.29,10.34,10.09,10.3,35100,7.885519
2009-12-24,10.3,10.3,10.2,10.22,52900,7.824272
2009-12-28,10.29,10.31,10.2,10.3,81000,7.885519
2009-12-29,10.28,10.29,10.18,10.22,72900,7.824272
2009-12-30,10.32,10.32,10.16,10.18,40900,7.793649
2009-12-31,10.3,10.3,10.01,10.09,189600,7.724746
2010-01-04,10.15,10.26,10.11,10.18,323200,7.793649
2010-01-05,10.28,10.38,10.16,10.24,736500,7.839584
2010-01-06,10.3,10.3,10.19,10.25,138300,7.84724
2010-01-07,10.17,10.34,10.17,10.28,255300,7.870207
2010-01-08,10.24,10.34,10.24,10.29,141300,7.877863
2010-01-11,10.29,10.34,10.24,10.26,156900,7.854896
2010-01-12,10.3,10.39,10.26,10.3,486100,7.885519
2010-01-13,10.28,10.38,10.28,10.3,131700,7.885519
2010-01-14,10.35,10.35,10.28,10.29,202100,7.877863
2010-01-15,10.28,10.35,10.28,10.35,72000,7.923798
2010-01-19,10.33,10.43,10.3,10.43,134800,7.985045
2010-01-20,10.37,10.49,10.37,10.49,6600,8.03098
2010-01-21,10.5,10.5,10.31,10.41,66700,7.969733
2010-01-22,10.46,10.46,10.32,10.34,19100,7.916142
2010-01-25,10.25,10.44,10.25,10.34,211300,7.916142
2010-01-26,10.43,10.43,10.31,10.35,48500,7.923798
2010-01-27,10.35,10.45,10.3,10.35,17500,7.923798
2010-01-28,10.36,10.41,10.2,10.31,44000,7.893175
2010-01-29,10.28,10.36,10.26,10.28,73200,7.870207
2010-02-01,10.32,10.35,10.26,10.27,90200,7.862552
2010-02-02,10.26,10.35,10.24,10.31,152100,7.893175
2010-02-03,10.27,10.34,10.27,10.3,25700,7.885519
2010-02-04,10.27,10.35,10.25,10.3,71700,7.885519
2010-02-05,10.27,10.31,10.24,10.28,21900,7.870207
2010-02-08,10.24,10.27,10.22,10.23,26900,7.831928
2010-02-09,10.24,10.3,10.21,10.24,32400,7.839584
2010-02-10,10.22,10.26,10.14,10.24,27300,7.839584
2010-02-11,10.15,10.33,10.15,10.28,5400,7.870207
2010-02-12,10.21,10.29,10.15,10.21,148500,7.816616
2010-02-16,10.2,10.25,10.16,10.22,31700,7.824272
2010-02-17,10.28,10.29,10.16,10.2,119100,7.80896
2010-02-18,10.17,10.23,10.11,10.19,48700,7.801304
2010-02-19,10.18,10.29,10.12,10.22,38100,7.824272
2010-02-22,10.18,10.21,10.11,10.18,112800,7.793649
2010-02-23,10.15,10.2,10.12,10.15,44600,7.770681
2010-02-24,10.15,10.29,10.08,10.16,146900,7.778337
2010-02-25,10.06,10.21,10.06,10.1,33300,7.732402
2010-02-26,10.12,10.15,9.95,10.0,889700,7.655843
2010-03-01,10.01,10.09,9.96,10.0,111900,7.655843
2010-03-02,10.03,10.04,9.96,9.98,70100,7.640531
2010-03-03,10.05,10.07,9.96,10.0,159900,7.655843
2010-03-04,9.97,10.2,9.97,10.19,431400,7.801304
2010-03-05,10.25,10.25,10.18,10.23,186000,7.831928
2010-03-08,10.24,10.28,10.16,10.24,137300,7.839584
2010-03-09,10.2,10.27,10.15,10.25,296800,7.84724
2010-03-10,10.21,10.33,10.21,10.3,107700,7.885519
2010-03-11,10.38,10.38,10.17,10.28,34200,7.870207
2010-03-12,10.35,10.35,10.27,10.3,36800,7.885519
2010-03-15,10.24,10.3,10.2,10.21,209700,7.816616
2010-03-16,10.25,10.25,10.2,10.24,125900,7.839584
2010-03-17,10.11,10.4,10.11,10.38,159300,7.946766
2010-03-18,10.21,10.37,10.21,10.33,188700,7.908486
2010-03-19,10.25,10.32,10.2,10.25,1179300,7.84724
2010-03-22,10.25,10.29,10.15,10.2,199100,7.80896
2010-03-23,10.16,10.22,10.14,10.2,18000,7.80896
2010-03-24,10.19,10.31,10.16,10.2,759700,7.80896
2010-03-25,10.17,10.39,10.13,10.26,401000,7.854896
2010-03-26,10.29,10.32,10.19,10.23,1243600,7.831928
2010-03-29,10.19,10.29,10.11,10.15,169600,7.770681
2010-03-30,10.39,10.39,10.09,10.15,192900,7.770681
2010-03-31,10.11,10.18,10.01,10.12,390500,7.747714
2010-04-01,10.12,10.17,10.1,10.14,320200,7.763026
2010-04-05,10.18,10.32,10.18,10.25,220800,7.84724
2010-04-06,10.26,10.27,10.17,10.2,213600,7.80896
2010-04-07,10.23,10.64,10.13,10.15,1339700,7.770681
2010-04-08,10.41,10.41,10.23,10.24,562800,7.839584
2010-04-09,10.35,10.35,10.19,10.22,222800,7.824272
2010-04-12,10.3,10.33,10.19,10.19,118200,7.801304
2010-04-13,10.26,10.26,10.14,10.19,165600,7.801304
2010-04-14,10.25,10.25,10.16,10.18,328700,7.793649
2010-04-15,10.24,10.24,9.99,10.0,1005000,7.655843
2010-04-16,10.1,10.13,9.91,9.95,1103000,7.617564
2010-04-19,10.0,10.0,9.92,9.93,172800,7.602253
2010-04-20,10.0,10.0,9.9,9.92,449600,7.594597
2010-04-21,9.98,9.98,9.71,9.85,710300,7.541006
2010-04-22,9.88,9.9,9.82,9.86,190700,7.548661
2010-04-23,9.91,10.01,9.85,9.9,121100,7.579285
2010-04-26,9.95,10.01,9.88,9.92,201200,7.594597
2010-04-27,9.98,10.01,9.82,9.86,161000,7.548661
2010-04-28,9.92,9.95,9.78,9.78,129200,7.487415
2010-04-29,9.86,9.99,9.78,9.91,129300,7.586941
2010-04-30,9.94,9.97,9.84,9.88,81100,7.563973
2010-05-03,9.91,9.99,9.86,9.94,196500,7.609908
2010-05-04,9.99,9.99,9.75,9.77,189700,7.479759
2010-05-05,9.75,9.93,9.75,9.84,206900,7.53335
2010-05-06,9.82,9.93,9.61,9.68,343700,7.410857
2010-05-07,9.7,9.76,9.6,9.7,201800,7.426168
2010-05-10,9.9,9.9,9.73,9.74,238100,7.456791
2010-05-11,9.75,9.76,9.7,9.74,223900,7.456791
2010-05-12,9.8,9.9,9.66,9.8,452000,7.502727
2010-05-13,9.8,9.8,9.69,9.8,511600,7.502727
2010-05-14,9.76,9.79,9.73,9.77,265100,7.479759
2010-05-17,9.71,9.78,9.53,9.59,375700,7.341954
2010-05-18,9.65,9.77,9.62,9.62,429900,7.364921
2010-05-19,9.61,9.76,9.42,9.62,483300,7.364921
2010-05-20,9.52,9.68,9.34,9.44,415100,7.227116
2010-05-21,9.35,9.68,9.35,9.68,477000,7.410857
2010-05-24,9.62,9.76,9.56,9.6,692900,7.395449
2010-05-25,9.5,9.64,9.35,9.61,425800,7.403152
2010-05-26,9.65,9.93,9.65,9.8,4822400,7.549521
2010-05-27,9.91,9.96,9.52,9.84,419300,7.580335
2010-05-28,9.79,9.79,9.61,9.66,171800,7.441671
2010-06-01,9.65,9.77,9.55,9.63,183100,7.41856
2010-06-02,9.69,9.79,9.6,9.76,221800,7.518707
2010-06-03,9.72,9.91,9.6,9.83,151500,7.572632
