Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,19.899978,20.439979,19.409997,20.289993,594000,5.038251
2006-01-04,20.289993,20.940019,20.219996,20.689999,529200,5.137577
2006-01-05,20.720002,20.79999,20.429989,20.450002,276900,5.077983
2006-01-06,20.650004,20.810013,20.389995,20.720002,201300,5.145027
2006-01-09,20.79999,21.169992,20.720002,21.129997,183200,5.246834
2006-01-10,21.090003,21.260003,20.940019,21.260003,311400,5.279116
2006-01-11,21.220008,21.480019,21.099994,21.430001,489600,5.321329
2006-01-12,21.449981,21.449981,21.080014,21.099994,232800,5.239384
2006-01-13,21.06999,21.249978,20.950008,21.020006,407000,5.219522
2006-01-17,20.850008,21.029997,20.670019,21.010017,311100,5.217041
2006-01-18,20.940019,21.199994,20.699988,21.020006,280800,5.219522
2006-01-19,21.080014,21.140021,20.820004,21.129997,338400,5.246834
2006-01-20,21.129997,21.150012,20.489995,20.550004,213900,5.102815
2006-01-23,20.559993,20.850008,20.459993,20.659995,152100,5.130127
2006-01-24,20.650004,21.190005,20.620002,21.169992,270200,5.256765
2006-01-25,21.099994,21.140021,20.629991,20.750006,309200,5.152478
2006-01-26,20.820004,21.530003,20.820004,21.509989,251700,5.341191
2006-01-27,21.499998,21.579987,21.249978,21.350014,335700,5.301467
2006-01-30,21.330001,21.709991,21.299996,21.309987,266000,5.291528
2006-01-31,21.129997,21.6,20.899992,21.490009,462300,5.336229
2006-02-01,21.399998,21.739996,21.299996,21.669998,266600,5.380923
2006-02-02,21.550016,21.550016,20.829994,21.449981,399600,5.32629
2006-02-03,21.299996,21.750018,21.249978,21.469996,176100,5.33126
2006-02-06,21.399998,21.509989,21.099994,21.399998,212900,5.313879
2006-02-07,21.299996,21.369994,20.650004,20.680009,381600,5.135096
2006-02-08,20.659995,21.06999,20.650004,20.979979,256500,5.225505
2006-02-09,20.950008,21.239989,20.629991,20.670019,230400,5.148303
2006-02-10,20.600022,21.299996,20.280004,21.179981,398300,5.275319
2006-02-13,21.160001,21.190005,20.470016,20.550004,363200,5.11841
2006-02-14,20.550004,20.820004,20.359991,20.689999,361100,5.153279
2006-02-15,20.650004,21.140021,20.489995,21.090003,413700,5.252909
2006-02-16,21.150012,21.480019,20.859997,21.290006,227400,5.302723
2006-02-17,21.330001,21.330001,20.940019,20.959999,232400,5.220528
2006-02-21,20.909981,20.909981,20.029984,20.219996,430200,5.036215
2006-02-22,20.210007,20.52,19.949996,20.459993,297200,5.095991
2006-02-23,20.350002,20.410009,19.740003,19.790021,296600,4.929121
2006-02-24,19.749994,19.829981,19.330008,19.479994,557700,4.851902
2006-02-27,19.479994,19.879998,19.379992,19.879998,694500,4.951531
2006-02-28,19.749994,19.749994,19.339999,19.370003,825800,4.824506
2006-03-01,19.440001,19.870009,19.339999,19.800012,661500,4.931609
2006-03-02,19.70001,19.749994,19.209994,19.359979,972600,4.82201
2006-03-03,19.200004,19.660016,19.149986,19.339999,345200,4.817033
2006-03-06,19.300006,19.349988,19.009991,19.300006,438000,4.807072
2006-03-07,19.149986,19.349988,19.050019,19.250022,920300,4.794622
2006-03-08,19.239997,19.540001,19.209994,19.219983,1589600,4.787141
2006-03-09,19.219983,19.400006,19.109993,19.239997,571200,4.792126
2006-03-10,19.219983,19.470003,19.079988,19.270001,536900,4.799599
2006-03-13,19.289981,19.540001,19.279992,19.520021,607700,4.861872
2006-03-14,19.489983,19.730014,19.390017,19.629978,498200,4.889259
2006-03-15,19.600008,19.840005,19.44999,19.619989,469400,4.886771
2006-03-16,19.549992,19.879998,19.400006,19.749994,462300,4.919151
2006-03-17,19.800012,19.930016,19.44999,19.740003,1109000,4.916663
2006-03-20,19.749994,19.749994,19.509997,19.590019,375500,4.879306
