Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,26.799999,27.41,26.26,27.23,87400,13.529724
2006-01-04,27.299999,27.4,27.01,27.08,51100,13.455194
2006-01-05,27.0,27.15,26.9,27.0,140400,13.415444
2006-01-06,26.91,27.120001,26.700001,27.0,211500,13.415444
2006-01-09,27.030001,27.09,26.9,27.040001,35700,13.43532
2006-01-10,26.940001,27.120001,26.93,27.049999,170600,13.440287
2006-01-11,27.049999,27.389999,26.940001,27.299999,354500,13.564505
2006-01-12,27.299999,27.799999,27.01,27.799999,301200,13.812939
2006-01-13,27.799999,27.799999,27.360001,27.59,67200,13.708597
2006-01-17,27.59,27.59,27.32,27.48,66900,13.653941
2006-01-18,27.33,27.48,27.01,27.280001,138400,13.554568
2006-01-19,27.299999,27.68,27.24,27.58,24100,13.703628
2006-01-20,27.74,27.74,27.219999,27.35,56400,13.589349
2006-01-23,27.450001,27.73,27.35,27.559999,23100,13.69369
2006-01-24,27.4,27.77,27.16,27.77,78500,13.798033
2006-01-25,27.940001,28.040001,27.67,27.92,54100,13.872563
2006-01-26,28.0,28.129999,27.719999,28.129999,44700,13.976905
2006-01-27,28.23,28.35,27.940001,27.940001,53700,13.882501
2006-01-30,28.059999,28.200001,27.65,27.780001,41000,13.803002
2006-01-31,27.799999,28.41,27.719999,28.18,40000,14.001749
2006-02-01,28.24,28.4,28.09,28.280001,35400,14.051436
2006-02-02,28.280001,28.290001,27.75,27.91,39400,13.867595
2006-02-03,27.91,27.940001,27.700001,27.799999,35200,13.812939
2006-02-06,27.709999,28.040001,27.5,28.040001,37700,13.932188
2006-02-07,28.1,28.1,27.700001,27.76,32100,13.793064
2006-02-08,27.83,28.120001,27.6,28.049999,47700,13.937156
2006-02-09,28.049999,28.200001,27.73,27.73,33600,13.778158
2006-02-10,27.790001,28.25,27.790001,28.120001,44400,13.971937
2006-02-13,28.02,28.129999,27.92,28.07,33700,13.947093
2006-02-14,28.17,28.74,28.0,28.48,51400,14.150809
2006-02-15,28.48,28.83,28.34,28.6,33900,14.210434
2006-02-16,28.450001,28.780001,28.35,28.77,53700,14.294902
2006-02-17,28.83,28.889999,28.58,28.85,46000,14.334651
2006-02-21,28.860001,29.040001,28.74,29.030001,85400,14.424087
2006-02-22,29.030001,29.91,29.01,29.82,45700,14.816613
2006-02-23,29.82,29.82,29.030001,29.219999,65400,14.518492
2006-02-24,29.120001,29.42,28.969999,29.33,37700,14.573148
2006-02-27,29.459999,29.51,29.040001,29.129999,27000,14.473774
2006-02-28,29.16,29.16,28.91,29.059999,46000,14.438993
2006-03-01,29.16,29.450001,29.02,29.1,51600,14.458868
2006-03-02,29.139999,29.41,29.07,29.34,47200,14.578116
2006-03-03,29.25,29.370001,29.07,29.17,47400,14.493649
2006-03-06,28.219999,29.67,28.219999,29.67,40300,14.742083
2006-03-07,29.690001,29.690001,29.25,29.559999,44400,14.687427
2006-03-08,29.559999,29.73,29.360001,29.549999,32000,14.682458
2006-03-09,29.540001,29.84,29.4,29.780001,26500,14.796739
2006-03-10,29.84,30.33,29.83,30.18,57800,14.995486
2006-03-13,30.18,30.33,30.139999,30.280001,68600,15.045173
2006-03-14,30.280001,30.700001,30.280001,30.67,125100,15.238951
2006-03-15,30.549999,30.92,30.549999,30.76,53500,15.283669
2006-03-16,30.41,30.75,30.219999,30.299999,26200,15.277618
2006-03-17,30.43,30.67,30.040001,30.08,186800,15.166692
2006-03-20,30.200001,30.200001,29.34,29.639999,58800,14.944839
2006-03-21,29.540001,29.82,29.290001,29.52,62400,14.884334
2006-03-22,29.4,29.75,29.34,29.700001,29400,14.975092
2006-03-23,29.73,29.98,29.639999,29.879999,17900,15.065849
2006-03-24,29.98,30.16,29.799999,30.030001,37300,15.141482
2006-03-27,30.030001,30.280001,29.799999,30.08,103500,15.166692
2006-03-28,29.98,30.219999,29.9,30.030001,74000,15.141482
2006-03-29,30.0,30.58,30.0,30.4,32400,15.32804
2006-03-30,30.299999,30.32,29.75,30.110001,53500,15.181819
2006-03-31,30.110001,30.27,29.9,30.27,79900,15.262493
2006-04-03,30.27,30.309999,29.549999,29.58,48700,14.914586
2006-04-04,29.700001,29.700001,28.93,29.23,116800,14.738112
2006-04-05,29.280001,29.700001,28.879999,29.620001,46000,14.934755
2006-04-06,29.52,29.93,29.52,29.700001,69600,14.975092
2006-04-07,29.709999,29.99,29.290001,29.440001,59100,14.843997
2006-04-10,29.43,29.49,29.26,29.35,153800,14.798618
2006-04-11,29.48,29.540001,29.02,29.02,242800,14.632228
2006-04-12,29.02,29.200001,28.879999,28.950001,86400,14.596933
2006-04-13,28.950001,29.0,28.5,28.5,31700,14.370038
2006-04-17,28.370001,28.549999,28.15,28.219999,73400,14.228858
2006-04-18,28.370001,28.440001,28.139999,28.33,218400,14.284321
2006-04-19,28.450001,28.549999,28.200001,28.32,239700,14.279279
2006-04-20,28.440001,28.5,27.959999,28.01,165300,14.122974
2006-04-21,28.0,28.24,27.52,27.77,108700,14.001963
2006-04-24,27.57,27.629999,27.290001,27.35,164800,13.790194
2006-04-25,27.360001,27.57,27.299999,27.370001,197100,13.800279
2006-04-26,27.41,27.74,27.4,27.57,101600,13.90112
2006-04-27,27.32,27.93,27.200001,27.34,60200,13.785152
2006-04-28,27.34,27.389999,26.9,27.030001,72700,13.628846
2006-05-01,27.0,27.66,27.0,27.07,113000,13.649014
2006-05-02,26.98,27.17,26.469999,26.75,135600,13.487667
2006-05-03,26.5,27.02,26.389999,26.85,103500,13.538088
2006-05-04,26.9,27.15,26.790001,27.049999,63100,13.63893
