Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,26.34,27.6,26.34,27.559999,1698100,26.63165
2006-01-04,27.6,28.709999,27.6,28.51,1764600,27.54965
2006-01-05,28.549999,28.66,27.26,27.450001,1627200,26.525357
2006-01-06,27.85,28.200001,27.549999,27.700001,1187600,26.766935
2006-01-09,27.639999,27.809999,27.18,27.629999,1158200,26.699292
2006-01-10,27.629999,28.450001,27.530001,28.33,1123500,27.375713
2006-01-11,28.43,28.959999,28.030001,28.75,1301900,27.781566
2006-01-12,28.85,29.709999,28.639999,28.76,1706400,27.791229
2006-01-13,28.799999,28.98,28.18,28.709999,714200,27.742912
2006-01-17,29.0,29.6,28.959999,29.370001,732500,28.380682
2006-01-18,29.549999,29.700001,28.280001,28.620001,761100,27.655946
2006-01-19,28.42,29.98,28.41,29.780001,1320000,28.776871
2006-01-20,30.129999,30.52,29.370001,29.5,1057300,28.506302
2006-01-23,29.5,29.85,28.940001,29.030001,1205000,28.052135
2006-01-24,29.040001,29.4,28.719999,28.9,1458400,27.926513
2006-01-25,29.549999,29.66,28.209999,28.25,1332100,27.298408
2006-01-26,28.219999,28.25,27.09,27.74,2058100,26.805587
2006-01-27,28.41,29.049999,28.25,28.370001,1716500,27.414367
2006-01-30,28.51,29.5,28.51,29.27,1014100,28.28405
2006-01-31,29.33,29.940001,29.280001,29.870001,848000,28.86384
2006-02-01,29.870001,30.059999,29.02,29.18,1303900,28.197082
2006-02-02,29.18,29.530001,28.01,28.26,979400,27.308071
2006-02-03,28.26,28.6,27.6,27.9,1104500,26.960197
2006-02-06,28.370001,28.610001,28.08,28.190001,903200,27.24043
2006-02-07,27.6,27.6,25.92,26.120001,1889900,25.240157
2006-02-08,25.950001,26.110001,24.799999,26.01,2185700,25.133862
2006-02-09,26.049999,26.35,24.32,24.540001,2182900,23.713379
2006-02-10,24.610001,24.709999,23.58,24.030001,2144700,23.220558
2006-02-13,23.4,24.16,23.209999,23.309999,1098400,22.52481
2006-02-14,22.75,24.4,22.690001,24.27,2346300,23.452473
2006-02-15,24.5,25.200001,24.120001,24.25,2492200,23.433147
2006-02-16,24.6,25.49,24.6,24.98,1350100,24.138556
2006-02-17,25.18,25.98,24.91,25.1,1031500,24.254515
2006-02-21,26.15,26.190001,25.76,25.950001,1202900,25.075884
2006-02-22,25.950001,25.950001,24.799999,24.879999,1220900,24.041925
2006-02-23,24.450001,25.08,24.059999,24.530001,1576300,23.703716
2006-02-24,25.09,25.459999,24.82,24.83,1131100,23.99361
2006-02-27,24.469999,24.700001,24.059999,24.32,1521400,23.500789
2006-02-28,24.08,24.440001,23.59,23.93,2210700,23.123926
2006-03-01,24.0,24.91,23.940001,24.9,1476900,24.061251
2006-03-02,25.0,25.450001,24.790001,25.18,1455500,24.33182
2006-03-03,25.15,25.9,25.059999,25.49,1361000,24.631378
2006-03-06,25.139999,25.290001,23.879999,23.969999,1279200,23.162578
2006-03-07,23.879999,23.969999,22.799999,23.1,1393100,22.321884
2006-03-08,22.75,23.6,22.52,23.33,1665700,22.544137
2006-03-09,23.5,23.74,22.959999,23.190001,1424800,22.408853
2006-03-10,23.049999,23.66,22.82,23.43,1171900,22.640768
2006-03-13,23.85,24.379999,23.700001,24.309999,1051300,23.511195
2006-03-14,24.379999,25.360001,24.120001,25.309999,1873800,24.478336
2006-03-15,25.309999,25.549999,25.120001,25.370001,1601100,24.536366
2006-03-16,25.360001,26.219999,25.27,26.1,1361100,25.242378
2006-03-17,26.25,26.950001,25.709999,25.799999,895400,24.952235
2006-03-20,25.549999,25.99,25.049999,25.08,635500,24.255894
2006-03-21,24.9,25.389999,24.51,24.91,1216900,24.09148
2006-03-22,24.870001,25.700001,24.73,25.549999,898300,24.71045
2006-03-23,25.950001,26.42,25.790001,26.18,1154200,25.319749
2006-03-24,26.1,26.75,26.09,26.59,970600,25.716277
2006-03-27,26.6,27.02,26.4,26.91,841900,26.025762
2006-03-28,27.15,27.950001,27.059999,27.59,902900,26.683418
2006-03-29,27.67,27.879999,27.299999,27.84,922100,26.925203
2006-03-30,27.959999,28.5,27.9,28.110001,1047200,27.186332
2006-03-31,27.809999,27.85,26.92,27.309999,1038500,26.412618
2006-04-03,27.75,28.1,27.440001,27.530001,752700,26.62539
2006-04-04,27.530001,27.639999,27.01,27.52,704400,26.615718
2006-04-05,27.620001,27.950001,27.299999,27.690001,919300,26.780132
2006-04-06,27.9,28.040001,27.299999,27.85,580300,26.934875
2006-04-07,27.85,27.91,26.809999,27.08,689900,26.190176
2006-04-10,28.049999,28.049999,27.6,27.879999,686000,26.963888
2006-04-11,28.0,28.0,27.09,27.35,1129000,26.451304
2006-04-12,27.360001,27.6,26.809999,26.99,764400,26.103133
