Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,40.02,40.040001,39.43,40.0,2038400,29.772825
2006-01-04,39.91,40.02,39.75,39.990002,2204700,29.765383
2006-01-05,39.900002,40.040001,39.540001,40.040001,1418700,29.802599
2006-01-06,40.200001,40.389999,40.040001,40.259998,1038000,29.966347
2006-01-09,39.939999,40.5,39.880001,40.43,1190700,30.092883
2006-01-10,40.23,40.610001,39.98,40.610001,1794700,30.226861
2006-01-11,40.52,40.799999,40.189999,40.799999,1322300,30.368281
2006-01-12,40.799999,40.810001,40.470001,40.52,1254200,30.159872
2006-01-13,40.459999,40.900002,40.400002,40.860001,1255600,30.412941
2006-01-17,40.560001,40.720001,40.209999,40.299999,1012200,29.996121
2006-01-18,40.310001,40.52,40.220001,40.330002,1003000,30.018452
2006-01-19,40.330002,40.610001,40.200001,40.560001,940600,30.189646
2006-01-20,40.419998,40.419998,40.009998,40.130001,1219300,29.869588
2006-01-23,40.299999,40.52,40.240002,40.310001,1547900,30.003566
2006-01-24,40.400002,40.93,40.400002,40.84,1656400,30.398055
2006-01-25,40.799999,40.869999,40.599998,40.82,1764900,30.383168
2006-01-26,41.0,41.959999,41.0,41.580002,2063600,30.948853
2006-01-27,41.580002,41.630001,41.189999,41.349998,1169100,30.777657
2006-01-30,41.32,41.619999,40.75,41.619999,1276100,30.978624
2006-01-31,41.299999,41.5,40.959999,40.970001,2645900,30.494817
2006-02-01,40.889999,41.5,40.830002,41.389999,1811300,30.80743
2006-02-02,41.400002,42.459999,40.57,41.029999,2117800,30.539475
2006-02-03,40.830002,41.84,40.799999,41.43,1958500,30.837204
2006-02-06,41.389999,42.189999,41.310001,42.119999,1954300,31.350784
2006-02-07,42.200001,42.200001,41.630001,41.669998,1621500,31.015839
2006-02-08,41.619999,41.790001,41.07,41.759998,1148500,31.082828
2006-02-09,41.689999,42.18,41.330002,42.029999,1153100,31.283795
2006-02-10,42.040001,42.939999,41.919998,42.790001,1285100,31.84948
