Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,17.99,18.639999,17.77,18.42,611800,18.42
2006-01-04,18.379999,18.950001,18.26,18.719999,693700,18.719999
2006-01-05,18.68,18.83,18.450001,18.719999,767500,18.719999
2006-01-06,18.799999,18.85,18.530001,18.73,675200,18.73
2006-01-09,18.780001,19.32,18.709999,18.85,867900,18.85
2006-01-10,18.809999,19.049999,18.67,18.74,735700,18.74
2006-01-11,18.700001,18.950001,18.65,18.73,405700,18.73
2006-01-12,18.75,18.83,18.450001,18.5,310400,18.5
2006-01-13,18.59,18.879999,18.450001,18.559999,218100,18.559999
2006-01-17,18.43,18.59,18.09,18.290001,299600,18.290001
2006-01-18,18.09,18.620001,18.09,18.6,512100,18.6
2006-01-19,18.6,19.23,18.6,19.1,541400,19.1
2006-01-20,18.92,19.17,18.719999,18.879999,498700,18.879999
2006-01-23,18.99,19.23,18.690001,18.91,350100,18.91
2006-01-24,18.950001,20.030001,18.93,19.809999,918800,19.809999
2006-01-25,19.959999,20.32,19.68,20.110001,843800,20.110001
2006-01-26,20.209999,20.51,19.9,20.469999,487200,20.469999
2006-01-27,20.49,20.879999,20.450001,20.879999,372800,20.879999
2006-01-30,20.9,21.0,20.540001,20.6,1010600,20.6
2006-01-31,20.700001,22.0,20.530001,21.85,2048200,21.85
2006-02-01,21.77,21.85,21.08,21.16,1046600,21.16
2006-02-02,21.02,21.08,20.309999,20.700001,921700,20.700001
2006-02-03,20.549999,20.6,20.08,20.549999,365300,20.549999
2006-02-06,20.65,20.959999,20.34,20.959999,430800,20.959999
2006-02-07,20.969999,21.66,20.25,20.43,685700,20.43
2006-02-08,20.559999,20.690001,20.139999,20.57,619500,20.57
2006-02-09,20.690001,21.17,20.4,20.41,382500,20.41
2006-02-10,20.34,20.940001,20.299999,20.790001,355600,20.790001
2006-02-13,20.82,20.82,20.290001,20.299999,332100,20.299999
2006-02-14,20.4,21.02,20.26,20.98,408900,20.98
2006-02-15,20.870001,21.799999,20.719999,21.75,605500,21.75
2006-02-16,21.860001,22.040001,21.540001,22.01,783400,22.01
2006-02-17,22.08,22.309999,21.870001,21.99,614800,21.99
2006-02-21,22.290001,22.65,21.889999,21.98,1388800,21.98
2006-02-22,21.969999,22.450001,21.77,22.35,647200,22.35
2006-02-23,21.719999,22.34,21.719999,22.110001,1187200,22.110001
2006-02-24,22.059999,22.91,22.049999,22.790001,653700,22.790001
2006-02-27,22.77,22.99,22.52,22.65,438200,22.65
2006-02-28,22.440001,22.91,22.219999,22.49,856500,22.49
2006-03-01,22.6,22.99,22.43,22.629999,900100,22.629999
2006-03-02,22.469999,22.99,22.450001,22.92,905300,22.92
