Date,Open,High,Low,Close,Volume,Adj Close
2006-09-29,15.5,16.73,15.01,15.55,8668800,15.55
2006-10-02,15.69,15.69,15.4,15.47,739500,15.47
2006-10-03,15.55,15.55,14.06,14.36,1790800,14.36
2006-10-04,14.25,14.56,14.05,14.05,614400,14.05
2006-10-05,14.05,14.18,13.18,13.64,1005100,13.64
2006-10-06,13.58,13.58,12.32,12.4,811300,12.4
2006-10-09,12.62,13.2,12.51,12.93,501200,12.93
2006-10-10,12.8,13.0,12.5,12.65,259000,12.65
2006-10-11,12.65,12.96,12.5,12.71,321100,12.71
2006-10-12,12.69,13.39,12.65,12.9,631100,12.9
2006-10-13,12.9,12.92,12.75,12.8,190200,12.8
2006-10-16,12.8,12.86,12.74,12.75,274300,12.75
2006-10-17,12.7,12.94,12.52,12.88,214200,12.88
2006-10-18,12.89,12.9,12.8,12.8,98000,12.8
2006-10-19,12.9,12.9,12.5,12.75,155300,12.75
2006-10-20,12.71,12.9,12.71,12.9,96500,12.9
2006-10-23,13.01,13.37,13.0,13.23,266000,13.23
2006-10-24,13.3,13.45,13.2,13.31,64900,13.31
2006-10-25,13.6,13.72,13.25,13.34,201800,13.34
2006-10-26,13.49,13.5,13.2,13.4,93500,13.4
2006-10-27,13.27,13.9,13.25,13.35,169600,13.35
2006-10-30,13.65,13.65,13.22,13.22,56600,13.22
2006-10-31,13.4,13.4,13.0,13.15,90400,13.15
2006-11-01,13.05,13.1,12.68,12.69,209700,12.69
2006-11-02,12.7,12.75,12.1,12.5,319800,12.5
2006-11-03,12.58,12.58,12.3,12.35,57300,12.35
2006-11-06,12.38,12.55,12.25,12.26,184300,12.26
2006-11-07,12.3,12.44,12.05,12.1,155100,12.1
2006-11-08,12.34,13.32,12.34,13.24,1240200,13.24
2006-11-09,13.1,14.44,13.1,13.94,867100,13.94
2006-11-10,14.0,14.73,13.93,14.65,469200,14.65
2006-11-13,14.76,15.01,14.56,14.98,164600,14.98
2006-11-14,15.14,15.58,15.09,15.4,354900,15.4
2006-11-15,15.7,16.0,14.6,14.62,228000,14.62
2006-11-16,14.58,14.58,14.0,14.29,75000,14.29
2006-11-17,14.26,14.69,14.01,14.55,134300,14.55
2006-11-20,14.5,14.67,14.5,14.67,26800,14.67
2006-11-21,14.68,15.0,14.61,15.0,80000,15.0
2006-11-22,15.0,15.35,14.9,15.23,55600,15.23
2006-11-24,15.24,15.63,15.1,15.2,79100,15.2
2006-11-27,15.25,15.25,14.75,14.8,162300,14.8
2006-11-28,15.14,15.5,14.94,15.32,214500,15.32
2006-11-29,15.42,15.42,15.1,15.15,81100,15.15
2006-11-30,15.12,15.38,15.1,15.32,54900,15.32
2006-12-01,15.5,15.73,15.1,15.7,133200,15.7
2006-12-04,15.7,16.290001,15.57,15.6,308900,15.6
2006-12-05,15.61,15.84,15.15,15.2,75800,15.2
2006-12-06,15.14,15.5,14.8,14.95,101300,14.95
2006-12-07,14.83,15.11,14.83,14.92,122400,14.92
2006-12-08,14.95,15.05,14.8,14.94,78700,14.94
2006-12-11,14.98,15.35,14.98,15.15,194900,15.15
2006-12-12,15.15,15.15,14.66,14.73,119900,14.73
2006-12-13,14.95,15.09,14.76,14.91,303600,14.91
2006-12-14,14.87,15.0,14.66,14.78,107600,14.78
2006-12-15,14.76,15.31,14.7,14.91,350600,14.91
2006-12-18,14.85,15.05,14.65,14.81,145200,14.81
2006-12-19,14.8,14.91,14.6,14.82,141400,14.82
2006-12-20,15.0,15.0,14.44,14.58,178000,14.58
2006-12-21,14.75,14.75,14.43,14.48,85800,14.48
