Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,19.1,19.389999,19.1,19.389999,8600,32.57855
2006-01-04,19.549999,19.67,19.469999,19.549999,6100,32.847377
2006-01-05,20.01,20.15,20.01,20.030001,10700,33.653862
2006-01-06,20.07,20.07,19.940001,19.950001,2400,33.519449
2006-01-09,19.9,19.950001,19.790001,19.84,6100,33.334629
2006-01-10,19.77,19.82,19.65,19.780001,6800,33.233819
2006-01-11,19.469999,19.469999,19.1,19.35,14800,32.511344
2006-01-12,19.25,19.25,18.790001,18.790001,11100,31.570448
2006-01-13,18.75,18.75,18.620001,18.690001,6500,31.402431
2006-01-17,18.280001,18.35,17.9,18.0,20800,30.24311
2006-01-18,18.15,18.440001,18.0,18.299999,17000,30.747161
2006-01-19,18.35,18.459999,18.25,18.440001,9100,30.982387
2006-01-20,18.43,18.43,18.1,18.15,4900,30.495136
2006-01-23,18.0,18.0,17.85,17.870001,2800,30.024689
2006-01-24,18.08,18.299999,18.08,18.299999,18800,30.747161
2006-01-25,18.299999,18.32,18.049999,18.24,9400,30.646352
2006-01-26,18.049999,18.049999,17.870001,17.950001,11200,30.159103
2006-01-27,18.190001,18.59,18.190001,18.43,9300,30.965585
2006-01-30,18.299999,18.33,18.17,18.200001,4500,30.579146
2006-01-31,18.15,18.23,18.08,18.200001,2200,30.579146
2006-02-01,18.23,18.35,18.209999,18.27,3200,30.696758
2006-02-02,18.290001,18.35,18.200001,18.200001,9800,30.579146
2006-02-03,18.200001,18.309999,18.049999,18.190001,20600,30.562344
2006-02-06,18.209999,18.209999,18.049999,18.1,3600,30.411128
2006-02-07,17.75,17.77,17.620001,17.65,2700,29.655049
2006-02-08,17.719999,17.85,17.6,17.84,5500,29.974283
2006-02-09,17.549999,17.629999,17.52,17.52,3500,29.436628
2006-02-10,17.67,17.790001,17.67,17.790001,3000,29.890276
2006-02-13,17.66,17.66,17.42,17.450001,4500,29.319017
2006-02-14,17.459999,17.629999,17.450001,17.6,3800,29.571042
2006-02-15,17.719999,17.780001,17.6,17.68,3200,29.705456
2006-02-16,17.75,17.82,17.719999,17.82,5100,29.940679
2006-02-17,17.83,18.09,17.83,18.049999,3100,30.327118
2006-02-21,17.85,17.85,17.700001,17.700001,2300,29.73906
2006-02-22,17.549999,17.85,17.52,17.83,5800,29.957481
2006-02-23,17.879999,18.0,17.860001,17.879999,5700,30.041488
2006-02-24,17.940001,17.950001,17.83,17.93,1300,30.125499
2006-02-27,17.950001,18.120001,17.940001,18.120001,5600,30.444733
2006-02-28,18.02,18.139999,18.02,18.139999,1900,30.478334
2006-03-01,18.1,18.1,17.84,17.940001,2200,30.142301
2006-03-02,17.950001,18.08,17.860001,18.08,4700,30.377524
2006-03-03,18.02,18.1,17.9,18.09,3400,30.394326
2006-03-06,17.9,17.950001,17.75,17.77,1900,29.856671
2006-03-07,17.75,18.030001,17.75,17.950001,2900,30.159103
2006-03-08,17.620001,17.65,17.459999,17.6,2400,29.571042
2006-03-09,17.6,17.690001,17.559999,17.610001,3800,29.587844
2006-03-10,17.84,18.030001,17.82,18.0,8200,30.24311
2006-03-13,18.309999,18.48,18.309999,18.43,3700,30.965585
2006-03-14,18.74,19.049999,18.74,18.959999,4100,31.856075
2006-03-15,19.049999,19.16,18.959999,19.08,7400,32.057697
2006-03-16,19.15,19.200001,19.07,19.09,2500,32.074499
2006-03-17,19.25,19.370001,19.190001,19.299999,4500,32.427334
2006-03-20,19.290001,19.34,19.049999,19.049999,11200,32.007291
2006-03-21,19.040001,19.040001,18.9,18.9,2900,31.755265
2006-03-22,19.059999,19.32,19.059999,19.32,4700,32.460938
2006-03-23,19.26,19.26,18.93,18.950001,2600,31.839276
2006-03-24,18.959999,19.219999,18.959999,19.07,8100,32.040895
2006-03-27,19.09,19.09,18.9,18.9,2500,31.755265
2006-03-28,18.9,18.959999,18.75,18.76,7100,31.520042
2006-03-29,18.91,19.190001,18.9,19.190001,5600,32.242517
2006-03-30,19.120001,19.190001,18.93,19.040001,6800,31.990492
2006-03-31,19.02,19.02,18.629999,18.98,16400,31.889679
2006-04-03,18.99,19.49,18.99,19.42,2600,32.628956
2006-04-04,19.110001,19.110001,18.83,18.959999,6500,31.856075
2006-04-05,19.219999,19.4,19.200001,19.4,8700,32.595352
2006-04-06,19.6,19.700001,19.58,19.6,3600,32.931388
2006-04-07,19.66,19.66,19.5,19.530001,4000,32.813776
2006-04-10,19.57,19.6,19.370001,19.43,7000,32.645758
2006-04-11,19.4,19.51,19.16,19.24,4600,32.326524
2006-04-12,19.24,19.299999,19.200001,19.200001,3800,32.259319
2006-04-13,19.209999,19.26,19.17,19.17,1000,32.208913
2006-04-17,19.27,19.379999,19.23,19.23,4500,32.309722
2006-04-18,19.389999,19.450001,19.26,19.35,2000,32.511344
2006-04-19,19.35,19.5,19.35,19.41,3300,32.612154
2006-04-20,19.32,19.35,19.23,19.26,900,32.360129
2006-04-21,19.27,19.5,19.200001,19.23,5600,32.309722
2006-04-24,19.17,19.190001,19.1,19.15,2200,32.175308
2006-04-25,19.43,19.43,19.209999,19.27,5300,32.376931
2006-04-26,19.299999,19.43,19.24,19.24,2200,32.326524
2006-04-27,19.25,19.360001,19.110001,19.309999,3700,32.444136
2006-04-28,19.08,19.26,19.07,19.26,3700,32.360129
2006-05-01,19.35,19.49,19.309999,19.33,2500,32.47774
2006-05-02,19.379999,19.48,19.370001,19.48,3100,32.729765
2006-05-03,19.4,19.450001,19.360001,19.4,2000,32.595352
2006-05-04,19.6,19.76,19.6,19.700001,7100,33.099405
2006-05-05,19.9,19.99,19.85,19.860001,5600,33.368233
2006-05-08,19.870001,19.940001,19.85,19.9,4800,33.435438
2006-05-09,19.85,19.969999,19.809999,19.83,2300,33.317827
2006-05-10,19.75,19.940001,19.75,19.76,2600,33.200215
2006-05-11,19.799999,19.9,19.74,19.76,16400,33.200215
2006-05-12,19.690001,19.690001,19.200001,19.290001,15700,32.410535
2006-05-15,19.299999,19.459999,19.26,19.280001,17400,32.393733
2006-05-16,19.280001,19.35,19.219999,19.219999,1900,32.29292
2006-05-17,19.200001,19.200001,18.9,18.950001,16200,31.839276
2006-05-18,18.99,19.24,18.91,19.0,14900,31.923283
2006-05-19,18.85,18.85,18.6,18.709999,4200,31.436032
2006-05-22,18.450001,18.51,18.34,18.5,52500,31.083197
2006-05-23,18.68,18.93,18.68,18.76,2100,31.520042
2006-05-24,18.49,18.49,18.129999,18.290001,53100,30.730362
2006-05-25,18.43,18.59,18.389999,18.59,1600,31.234413
2006-05-26,18.5,18.5,18.360001,18.450001,51200,30.999189
2006-05-30,18.42,18.48,18.200001,18.32,57300,30.780765
2006-05-31,17.93,17.940001,17.6,17.639999,62200,30.488668
2006-06-01,17.58,17.780001,17.540001,17.75,50900,30.678791
2006-06-02,18.35,18.370001,18.15,18.18,4600,31.421996
2006-06-05,18.1,18.1,17.639999,17.74,7200,30.661507
2006-06-06,17.620001,17.639999,17.42,17.639999,4400,30.488668
2006-06-07,17.549999,17.549999,17.4,17.42,2500,30.108425
2006-06-08,17.15,17.200001,17.0,17.200001,4200,29.728182
2006-06-09,17.58,17.719999,17.48,17.48,3100,30.212127
2006-06-12,18.110001,18.549999,18.07,18.110001,9700,31.30101
2006-06-13,17.48,17.6,17.32,17.4,4200,30.073856
2006-06-14,17.530001,17.799999,17.51,17.6,9900,30.419534
2006-06-15,17.59,17.690001,17.530001,17.559999,1100,30.350397
2006-06-16,17.450001,17.629999,17.299999,17.6,4400,30.419534
2006-06-19,17.74,17.76,17.620001,17.629999,4100,30.471384
2006-06-20,17.780001,17.940001,17.700001,17.709999,3700,30.609654
2006-06-21,17.620001,17.799999,17.6,17.77,3700,30.713359
2006-06-22,17.610001,17.75,17.41,17.41,7100,30.091141
2006-06-23,17.379999,17.469999,17.309999,17.360001,2300,30.004723
2006-06-26,17.32,17.33,17.17,17.33,4900,29.95287
2006-06-27,17.26,17.280001,17.0,17.0,8800,29.382504
2006-06-28,17.049999,17.15,17.01,17.139999,3100,29.624476
2006-06-29,17.09,17.4,17.030001,17.4,2800,30.073856
2006-06-30,17.65,17.9,17.65,17.77,2900,30.713359
2006-07-03,17.52,17.639999,17.52,17.59,500,30.40225
2006-07-05,17.559999,17.559999,17.27,17.32,3300,29.935586
2006-07-06,17.4,17.549999,17.4,17.48,1400,30.212127
2006-07-07,17.73,17.82,17.51,17.51,2200,30.26398
2006-07-10,17.459999,17.57,17.450001,17.450001,1400,30.160277
2006-07-11,17.59,17.790001,17.549999,17.790001,1300,30.747928
2006-07-12,17.709999,17.83,17.5,17.559999,4300,30.350397
2006-07-13,17.559999,17.559999,17.309999,17.309999,1600,29.918302
2006-07-14,17.440001,17.440001,17.35,17.370001,1800,30.022007
2006-07-17,17.17,17.280001,17.120001,17.190001,6600,29.710898
2006-07-18,17.34,17.41,17.25,17.34,1500,29.970154
2006-07-19,17.42,17.93,17.42,17.93,3100,30.9899
