Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,15.45,15.93,14.8,15.659999,789000,5.22
2006-01-04,15.67,15.739999,15.51,15.560001,483900,5.186667
2006-01-05,15.560001,15.73,15.35,15.67,606300,5.223333
2006-01-06,15.920001,16.24,15.859999,16.13,826200,5.376667
2006-01-09,16.17,17.6,16.15,17.139999,2173500,5.713333
2006-01-10,16.5,17.84,16.5,17.319999,1091100,5.773333
2006-01-11,17.319999,17.35,16.83,17.15,417600,5.716667
2006-01-12,17.020001,17.25,16.87,17.01,954600,5.67
2006-01-13,17.01,17.5,17.01,17.459999,669600,5.82
2006-01-17,17.459999,17.459999,16.9,17.03,642600,5.676667
2006-01-18,17.0,17.23,16.8,17.020001,357600,5.673334
2006-01-19,17.059999,17.379999,16.85,17.299999,940200,5.766666
2006-01-20,17.450001,17.49,16.99,17.09,501000,5.696667
2006-01-23,17.200001,17.5,17.180001,17.49,742500,5.83
2006-01-24,17.49,18.53,17.43,18.4,2517000,6.133333
2006-01-25,18.600001,19.13,18.5,18.680001,1092600,6.226667
2006-01-26,18.780001,19.09,18.57,19.05,789300,6.35
2006-01-27,19.0,19.32,18.85,19.05,758100,6.35
2006-01-30,19.030001,19.17,18.659999,18.77,783600,6.256667
2006-01-31,18.780001,19.450001,18.719999,19.350001,1205700,6.45
2006-02-01,19.42,19.729999,19.219999,19.489999,1116600,6.496666
2006-02-02,19.430001,19.48,18.629999,18.799999,717600,6.266666
2006-02-03,18.600001,19.09,18.5,19.02,793500,6.34
2006-02-06,19.05,19.15,18.780001,18.940001,706500,6.313334
2006-02-07,18.840001,18.99,18.67,18.719999,765600,6.24
2006-02-08,18.85,18.860001,18.469999,18.520001,514200,6.173334
2006-02-09,18.600001,18.629999,18.3,18.37,1046400,6.123333
2006-02-10,19.99,20.0,18.49,18.799999,2774700,6.266666
2006-02-13,18.75,19.700001,18.75,19.569999,1564200,6.523333
2006-02-14,19.66,20.47,19.42,20.079999,1949100,6.693333
2006-02-15,20.03,20.360001,19.96,20.020001,952500,6.673334
2006-02-16,20.0,20.200001,19.85,20.200001,1291800,6.733334
2006-02-17,19.25,20.290001,19.25,20.290001,1056300,6.763334
2006-02-21,20.290001,20.379999,19.649999,19.85,864300,6.616667
2006-02-22,19.91,20.049999,19.72,20.0,682500,6.666667
2006-02-23,20.370001,21.940001,20.370001,21.620001,3230400,7.206667
2006-02-24,21.520001,21.53,20.7,21.45,1095600,7.15
2006-02-27,21.46,22.0,20.799999,21.41,1418400,7.136667
2006-02-28,21.25,21.309999,20.809999,21.200001,1489500,7.066667
2006-03-01,21.25,21.32,20.850001,20.879999,689700,6.96
2006-03-02,20.829999,20.829999,20.340001,20.7,1153200,6.9
2006-03-03,20.799999,20.829999,20.399999,20.58,1152000,6.86
2006-03-06,20.58,20.889999,20.399999,20.55,1131600,6.85
2006-03-07,20.5,20.67,20.07,20.58,853200,6.86
2006-03-08,20.479999,20.52,20.25,20.35,939300,6.783333
2006-03-09,20.319999,20.78,20.280001,20.690001,841500,6.896667
2006-03-10,20.7,20.78,20.450001,20.66,625500,6.886667
2006-03-13,20.76,21.27,20.74,20.930001,1106700,6.976667
2006-03-14,20.930001,21.42,20.209999,21.41,1182600,7.136667
2006-03-15,21.200001,21.83,21.200001,21.780001,543600,7.26
2006-03-16,21.75,22.15,21.659999,21.77,591900,7.256667
2006-03-17,22.02,22.139999,21.67,22.07,963600,7.356667
2006-03-20,22.07,22.350001,21.920001,22.219999,404400,7.406666
2006-03-21,22.12,22.34,21.48,21.549999,693000,7.183333
2006-03-22,21.45,22.0,21.22,22.0,471600,7.333333
2006-03-23,22.01,22.02,21.35,21.600001,643200,7.2
2006-03-24,21.59,22.5,21.46,22.409999,1702800,7.47
2006-03-27,22.969999,23.100001,22.450001,22.98,2226000,7.66
2006-03-28,23.65,23.94,23.399999,23.6,2142300,7.866667
2006-03-29,23.9,24.450002,23.850001,24.24,2040000,8.08
2006-03-30,24.4,24.75,24.08,24.700001,1578000,8.233334
2006-03-31,24.999999,25.040002,24.700001,24.930001,1298100,8.31
2006-04-03,25.18,25.46,24.260001,24.420001,1290600,8.14
2006-04-04,24.75,24.87,24.0,24.110001,1260600,8.036667
2006-04-05,24.36,24.48,24.0,24.290002,758100,8.096667
2006-04-06,24.500001,24.540001,23.84,24.049999,913200,8.016666
2006-04-07,24.249999,24.35,23.799999,23.850001,470100,7.95
2006-04-10,23.9,24.049999,23.5,23.57,829800,7.856667
2006-04-11,23.6,23.66,22.809999,22.83,1061100,7.61
2006-04-12,23.6,24.900001,23.6,24.690001,1936200,8.23
2006-04-13,24.55,24.95,24.31,24.559999,911100,8.186666
2006-04-17,24.799999,25.3,24.599999,24.999999,1186500,8.333333
2006-04-18,25.049998,25.14,24.770001,25.03,944400,8.343333
2006-04-19,25.15,25.3,24.850001,24.919999,744000,8.306666
2006-04-20,25.239999,26.000001,25.239999,25.749999,3057300,8.583333
2006-04-21,25.600001,26.05,24.799999,25.9,7919400,8.633333
2006-04-24,25.9,25.959998,25.559999,25.85,816600,8.616667
2006-04-25,25.950002,26.099999,25.62,26.05,1354200,8.683333
2006-04-26,26.149999,26.21,25.920001,25.989999,1220100,8.663333
2006-04-27,27.900001,28.11,26.52,27.860001,4893600,9.286667
2006-04-28,27.700001,27.860001,27.27,27.35,1738500,9.116667
2006-05-01,27.35,28.349999,27.04,27.089999,2975700,9.03
2006-05-02,27.169999,27.47,26.940001,27.4,1430400,9.133333
2006-05-03,27.500001,27.649999,26.849999,27.12,1145100,9.04
2006-05-04,27.139998,27.35,26.73,26.950001,1063500,8.983334
2006-05-05,27.0,27.100001,26.750001,26.899999,1134000,8.966666
2006-05-08,26.910001,27.070001,26.45,26.499999,819000,8.833333
2006-05-09,26.499999,26.510001,26.01,26.339999,1171200,8.78
2006-05-10,26.899999,27.0,26.469998,26.65,1459500,8.883333
2006-05-11,26.65,26.750001,25.7,25.719998,1503000,8.573333
2006-05-12,25.73,25.73,24.59,25.079999,1386900,8.36
2006-05-15,24.55,25.34,24.55,25.239999,1325400,8.413333
2006-05-16,25.22,25.549999,24.900001,25.399999,1473600,8.466666
2006-05-17,25.15,25.66,24.999999,25.509999,1697100,8.503333
2006-05-18,25.610001,26.360001,25.610001,26.000001,1514400,8.666667
2006-05-19,25.86,26.259999,25.129998,26.02,1492500,8.673333
2006-05-22,26.099999,26.21,25.18,25.89,1482000,8.63
2006-05-23,26.37,27.809999,26.37,26.659999,2412300,8.886666
2006-05-24,26.76,26.76,25.790002,26.13,1952700,8.71
2006-05-25,26.33,27.100001,26.299999,26.990001,1929000,8.996667
2006-05-26,27.35,27.489999,26.6,26.739999,727500,8.913333
2006-05-30,26.8,26.8,25.799998,25.93,1065300,8.643333
2006-05-31,26.309999,27.0,25.93,26.860002,1857000,8.953334
2006-06-01,27.4,27.679999,26.969999,27.110001,2620800,9.036667
2006-06-02,27.500001,27.95,26.849999,26.990001,2073000,8.996667
2006-06-05,27.030001,27.139998,26.190001,26.190001,1453800,8.73
2006-06-06,26.229999,26.48,25.19,25.549999,1485000,8.516666
2006-06-07,25.549999,26.149999,25.200002,25.85,1054800,8.616667
2006-06-08,25.549999,25.7,23.71,24.98,2189700,8.326667
2006-06-09,25.079999,25.549999,24.999999,25.010001,534600,8.336667
2006-06-12,25.090001,25.090001,23.879999,23.9,1183500,7.966667
2006-06-13,23.440001,23.459999,22.430001,22.66,2198700,7.553333
2006-06-14,22.5,22.95,22.28,22.809999,1242300,7.603333
2006-06-15,22.9,24.580001,22.85,24.31,1415400,8.103333
2006-06-16,24.32,24.35,23.63,23.9,1537800,7.966667
2006-06-19,23.799999,24.860001,22.450001,22.8,1710600,7.6
2006-06-20,22.83,22.99,21.840001,21.979999,1217100,7.326666
2006-06-21,21.25,22.25,21.190001,22.059999,2018100,7.353333
2006-06-22,22.04,22.139999,21.65,22.09,952500,7.363333
2006-06-23,21.860001,22.889999,21.799999,22.6,1313100,7.533333
