Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,36.830002,38.73,36.830002,38.560001,441700,37.461178
2006-01-04,38.57,39.490002,38.060001,39.290001,527900,38.170376
2006-01-05,39.189999,39.200001,38.0,38.82,437800,37.713768
2006-01-06,39.650002,40.630001,39.400002,39.849998,562000,38.714415
2006-01-09,39.639999,39.970001,39.110001,39.599998,332400,38.471539
2006-01-10,39.299999,40.639999,39.240002,40.299999,329400,39.151593
2006-01-11,40.310001,40.610001,39.459999,40.07,597300,38.928147
2006-01-12,40.400002,41.470001,39.959999,40.040001,476400,38.899003
2006-01-13,39.919998,41.099998,39.919998,40.84,274400,39.676205
2006-01-17,41.490002,41.799999,41.34,41.790001,295400,40.599134
2006-01-18,41.790001,42.080002,40.330002,41.299999,564200,40.123096
2006-01-19,41.509998,43.5,41.310001,43.220001,539000,41.988385
2006-01-20,43.400002,43.900002,42.189999,42.220001,480500,41.016881
2006-01-23,42.220001,42.779999,41.900002,42.48,425600,41.269471
2006-01-24,42.459999,43.110001,42.110001,42.200001,725400,40.997451
2006-01-25,42.27,42.650002,40.68,41.130001,417400,39.957942
2006-01-26,41.25,41.330002,39.200001,41.279999,559300,40.103666
2006-01-27,41.880001,43.09,41.790001,42.139999,266700,40.939159
2006-01-30,42.389999,44.689999,42.389999,44.23,1147500,42.969602
2006-01-31,43.98,44.150002,43.09,43.639999,475700,42.396415
2006-02-01,43.349998,44.220001,42.950001,43.330002,583800,42.095251
2006-02-02,43.0,43.34,41.540001,42.060001,447300,40.861441
2006-02-03,42.060001,42.77,41.720001,41.98,276200,40.783719
2006-02-06,42.25,42.57,41.650002,42.330002,490700,41.123747
2006-02-07,41.849998,41.849998,39.599998,39.799999,429700,38.665841
2006-02-08,39.0,39.639999,38.099998,39.43,560900,38.306386
2006-02-09,39.060001,39.799999,37.169998,37.34,607100,36.275943
2006-02-10,37.34,37.509998,36.27,37.259998,540200,36.198221
2006-02-13,36.970001,37.349998,35.950001,36.189999,419600,35.158712
2006-02-14,35.720001,36.470001,34.700001,36.450001,626200,35.411305
2006-02-15,36.650002,36.970001,35.599998,36.040001,477300,35.012989
2006-02-16,36.290001,37.240002,36.25,37.209999,326100,36.149646
2006-02-17,37.41,37.900002,37.07,37.27,402200,36.207938
2006-02-21,37.82,38.450001,37.5,38.119999,515000,37.033715
2006-02-22,37.75,37.75,37.0,37.299999,321900,36.237082
