Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,18.1,18.1,17.93,18.0,548300,18.0
2013-01-03,18.0,19.190001,17.860001,19.1,1036800,19.1
2013-01-04,20.01,20.139999,19.4,20.059999,642100,20.059999
2013-01-07,20.059999,20.450001,19.84,20.16,277000,20.16
2013-01-08,20.120001,20.389999,20.09,20.389999,191900,20.389999
2013-01-09,20.360001,20.6,19.98,20.0,211100,20.0
2013-01-10,20.190001,21.059999,20.139999,20.950001,292000,20.950001
2013-01-11,20.9,20.9,20.34,20.610001,388200,20.610001
2013-01-14,20.610001,21.0,20.51,20.700001,256200,20.700001
2013-01-15,20.92,20.98,20.75,20.92,281000,20.92
2013-01-16,20.950001,21.379999,20.84,21.1,407400,21.1
2013-01-17,21.200001,21.309999,20.99,21.18,229100,21.18
2013-01-18,21.290001,21.440001,21.02,21.280001,389100,21.280001
2013-01-22,21.299999,21.620001,20.99,21.209999,341600,21.209999
2013-01-23,21.219999,21.35,21.040001,21.190001,350900,21.190001
2013-01-24,21.17,21.26,20.780001,21.129999,230600,21.129999
2013-01-25,21.41,21.41,20.6,20.690001,249600,20.690001
2013-01-28,20.700001,20.76,20.440001,20.52,328000,20.52
2013-01-29,20.52,20.52,20.17,20.35,264800,20.35
2013-01-30,20.32,20.469999,20.24,20.27,235700,20.27
2013-01-31,20.18,20.25,19.75,19.98,539700,19.98
2013-02-01,20.08,21.0,20.08,20.780001,196000,20.780001
2013-02-04,20.620001,20.91,20.42,20.68,390700,20.68
2013-02-05,20.360001,20.360001,19.91,20.049999,523100,20.049999
2013-02-06,20.059999,20.389999,19.67,19.85,439800,19.85
2013-02-07,19.84,19.959999,19.690001,19.82,229100,19.82
2013-02-08,19.870001,20.34,19.870001,20.23,224000,20.23
2013-02-11,20.24,20.24,19.23,19.51,243300,19.51
2013-02-12,19.530001,19.92,19.48,19.75,138000,19.75
2013-02-13,19.780001,20.040001,19.780001,19.959999,187400,19.959999
2013-02-14,19.93,20.379999,19.93,20.1,149100,20.1
2013-02-15,20.16,20.190001,19.25,19.33,325900,19.33
2013-02-19,19.34,19.65,19.25,19.610001,257700,19.610001
2013-02-20,19.540001,19.77,19.24,19.24,318100,19.24
2013-02-21,19.23,19.23,18.75,18.940001,155600,18.940001
2013-02-22,18.92,19.18,18.74,19.18,134200,19.18
2013-02-25,19.299999,19.4,18.360001,18.360001,177000,18.360001
2013-02-26,18.5,18.549999,17.690001,18.08,543700,18.08
2013-02-27,17.92,18.889999,17.92,18.85,429600,18.85
2013-02-28,18.92,19.129999,18.309999,18.51,402300,18.51
2013-03-01,18.34,18.74,18.0,18.49,169400,18.49
2013-03-04,18.360001,18.42,17.870001,18.059999,173100,18.059999
2013-03-05,18.17,18.26,17.98,18.129999,268500,18.129999
2013-03-06,18.15,18.59,18.0,18.549999,211300,18.549999
2013-03-07,18.42,19.15,17.1,18.120001,639100,18.120001
2013-03-08,18.219999,18.360001,18.09,18.280001,192500,18.280001
2013-03-11,18.15,18.4,17.860001,18.370001,176200,18.370001
2013-03-12,18.43,18.57,18.110001,18.540001,132100,18.540001
2013-03-13,18.49,19.08,18.49,19.01,181300,19.01
2013-03-14,19.049999,19.5,19.049999,19.34,146700,19.34
2013-03-15,19.35,19.57,19.17,19.4,433000,19.4
2013-03-18,19.24,19.99,19.1,19.450001,307400,19.450001
2013-03-19,19.450001,19.450001,19.07,19.16,2234400,19.16
2013-03-20,19.379999,19.75,19.02,19.120001,492400,19.120001
2013-03-21,19.950001,19.99,19.41,19.5,2502400,19.5
2013-03-22,19.85,19.870001,19.26,19.450001,642600,19.450001
2013-03-25,19.66,19.66,19.15,19.24,382200,19.24
2013-03-26,19.200001,19.870001,19.139999,19.84,563300,19.84
2013-03-27,19.91,20.0,18.959999,19.4,1025700,19.4
2013-03-28,19.52,19.98,19.16,19.92,469800,19.92
2013-04-01,19.92,19.92,19.35,19.459999,327400,19.459999
2013-04-02,19.65,19.68,19.26,19.280001,318200,19.280001
2013-04-03,19.23,19.290001,18.15,18.450001,630700,18.450001
2013-04-04,18.42,18.42,18.02,18.32,296300,18.32
2013-04-05,18.1,18.549999,18.030001,18.299999,162900,18.299999
2013-04-08,18.32,18.52,18.1,18.49,190400,18.49
2013-04-09,18.51,19.16,18.389999,18.969999,259100,18.969999
2013-04-10,18.969999,19.35,18.77,19.32,262700,19.32
2013-04-11,19.280001,19.48,18.950001,19.030001,168300,19.030001
2013-04-12,18.959999,19.209999,18.92,19.190001,280100,19.190001
2013-04-15,19.049999,19.049999,17.77,17.93,579000,17.93
2013-04-16,18.190001,18.379999,18.0,18.33,361300,18.33
2013-04-17,18.040001,18.15,17.32,17.700001,415500,17.700001
2013-04-18,17.700001,18.17,17.530001,17.74,317100,17.74
2013-04-19,17.809999,17.809999,17.02,17.290001,320700,17.290001
2013-04-22,17.43,17.43,17.049999,17.25,256400,17.25
2013-04-23,17.5,18.950001,17.450001,18.52,868600,18.52
2013-04-24,18.610001,18.790001,18.450001,18.530001,295800,18.530001
2013-04-25,18.549999,18.629999,18.24,18.299999,401100,18.299999
2013-04-26,18.25,18.360001,17.6,18.040001,181400,18.040001
2013-04-29,18.059999,18.27,17.969999,18.209999,398500,18.209999
