Date,Open,High,Low,Close,Volume,Adj Close
2006-06-15,9.0,9.5,8.25,8.85,2449700,8.85
2006-06-16,8.85,9.1,8.25,8.58,505100,8.58
2006-06-19,8.63,9.0,8.24,8.5,242300,8.5
2006-06-20,8.61,8.88,8.26,8.41,36700,8.41
2006-06-21,8.58,8.69,8.4,8.51,142200,8.51
2006-06-22,8.59,9.17,8.5,8.9,231900,8.9
2006-06-23,8.99,8.99,8.62,8.9,64900,8.9
2006-06-26,8.8,8.99,8.75,8.99,42100,8.99
2006-06-27,8.6,8.98,8.6,8.97,26900,8.97
2006-06-28,8.49,9.0,8.49,8.84,44000,8.84
2006-06-29,8.74,8.9,8.55,8.72,185400,8.72
2006-06-30,8.81,8.81,8.51,8.68,20900,8.68
2006-07-03,8.55,8.84,8.53,8.59,12200,8.59
2006-07-05,8.45,8.74,8.39,8.52,21700,8.52
2006-07-06,8.5,8.73,8.47,8.47,16500,8.47
2006-07-07,8.58,8.58,8.17,8.25,29900,8.25
2006-07-10,9.0,9.0,8.2,8.2,17400,8.2
2006-07-11,8.39,8.39,7.12,7.75,310800,7.75
2006-07-12,7.88,8.15,7.5,8.14,33600,8.14
2006-07-13,8.18,8.42,7.83,8.05,44000,8.05
2006-07-14,8.26,8.26,7.6,7.65,30100,7.65
2006-07-17,7.5,7.63,7.24,7.5,91000,7.5
2006-07-18,7.55,7.63,7.0,7.1,32500,7.1
2006-07-19,6.9,7.1,6.8,6.91,194000,6.91
2006-07-20,7.0,7.29,6.65,6.65,305500,6.65
2006-07-21,7.21,7.21,6.29,6.35,302700,6.35
2006-07-24,6.29,7.49,6.25,7.17,27000,7.17
2006-07-25,7.55,7.64,6.74,6.95,92200,6.95
2006-07-26,6.9,7.37,6.9,7.18,36800,7.18
2006-07-27,7.2,7.48,7.0,7.27,58600,7.27
2006-07-28,7.37,7.55,7.3,7.55,36300,7.55
2006-07-31,7.64,7.79,7.37,7.75,66800,7.75
2006-08-01,7.75,7.75,7.12,7.35,132600,7.35
2006-08-02,7.66,7.74,7.24,7.27,30500,7.27
2006-08-03,7.25,7.36,7.2,7.2,95100,7.2
2006-08-04,7.15,7.22,6.8,6.85,42700,6.85
2006-08-07,7.19,7.19,6.85,6.85,137100,6.85
2006-08-08,6.92,7.07,6.75,6.76,47600,6.76
2006-08-09,6.87,7.19,6.75,7.19,14400,7.19
2006-08-10,7.1,7.11,6.8,6.85,15400,6.85
2006-08-11,7.03,7.03,6.8,6.8,21200,6.8
2006-08-14,7.07,7.11,6.75,6.83,58300,6.83
2006-08-15,7.11,7.23,6.9,7.02,74500,7.02
2006-08-16,7.1,7.15,6.84,6.98,22300,6.98
2006-08-17,7.0,7.42,6.98,7.28,354000,7.28
2006-08-18,7.32,7.5,7.12,7.45,58800,7.45
2006-08-21,7.46,7.69,7.34,7.46,6500,7.46
2006-08-22,7.48,7.75,7.48,7.7,6400,7.7
