Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,19.65,19.799999,19.25,19.5,10252800,17.516162
2014-11-19,19.5,19.9,19.5,19.780001,1367100,17.767677
2014-11-20,19.879999,19.950001,19.639999,19.860001,577400,17.839538
2014-11-21,19.879999,19.950001,19.75,19.85,283600,17.830555
2014-11-24,19.790001,19.99,19.700001,19.98,712200,17.947328
2014-11-25,19.950001,20.18,19.77,20.0,481100,17.965294
2014-11-26,20.09,20.690001,20.02,20.59,486400,18.49527
2014-11-28,20.790001,21.069,20.469999,20.860001,339100,18.737802
2014-12-01,21.049999,21.129999,20.07,20.35,376200,18.279687
2014-12-02,20.42,20.879999,20.42,20.5,519400,18.414426
2014-12-03,20.59,20.6,20.030001,20.129999,654800,18.082068
2014-12-04,19.9,20.41,19.75,20.27,569300,18.207826
2014-12-05,20.49,20.49,20.01,20.299999,306500,18.234773
2014-12-08,20.16,20.341999,19.85,20.120001,736400,18.073087
2014-12-09,20.34,20.530001,19.98,20.51,292600,18.423409
2014-12-10,20.530001,21.014999,20.030001,20.24,297000,18.180877
2014-12-11,20.26,20.530001,20.1,20.42,306500,18.342565
2014-12-12,20.23,20.98,20.23,20.4,431500,18.3246
2014-12-15,20.540001,20.780001,20.34,20.57,535500,18.477305
2014-12-16,20.389999,20.860001,20.389999,20.57,794700,18.477305
2014-12-17,20.51,21.440001,20.32,21.190001,615000,19.03423
2014-12-18,21.43,22.462999,20.450001,21.389999,646400,19.213882
2014-12-19,21.290001,21.5,20.795,21.059999,3087500,18.917454
2014-12-22,21.08,21.58,20.83,21.48,842500,19.294725
2014-12-23,21.59,21.629999,21.195,21.52,179400,19.330657
2014-12-24,21.68,21.875,21.370001,21.58,54000,19.384552
2014-12-26,21.629999,22.17,21.24,21.799999,189100,19.58217
2014-12-29,21.719999,21.91,21.120001,21.780001,220000,19.667051
2014-12-30,21.76,22.242001,21.629999,22.040001,186500,19.901828
2014-12-31,22.09,22.290001,21.6,21.610001,194700,19.513543
