Date,Open,High,Low,Close,Volume,Adj Close
2009-08-12,19.500001,20.0,19.479996,20.0,12713500,8.912076
2009-08-13,19.979995,20.0,19.800004,20.0,1223300,8.912076
2009-08-14,19.849997,19.960002,19.620002,19.670006,784100,8.765029
2009-08-17,19.500001,19.599997,19.060002,19.400003,994200,8.644715
2009-08-18,19.220001,19.75,19.129998,19.539996,445900,8.707096
2009-08-19,19.099998,19.909997,19.099998,19.800004,473700,8.822957
2009-08-20,19.800004,20.249999,19.659998,20.039996,1188800,8.929898
2009-08-21,20.050004,20.240003,19.490004,19.960002,1202700,8.894252
2009-08-24,19.960002,20.039996,19.800004,20.0,277100,8.912076
2009-08-25,20.219998,20.219998,19.75,19.759996,361100,8.805129
2009-08-26,19.870002,19.990003,19.819996,19.950007,688300,8.889799
2009-08-27,19.950007,19.950007,19.629998,19.699995,306900,8.778392
2009-08-28,19.789996,19.800004,19.659998,19.699995,119500,8.778392
2009-08-31,19.530001,19.819996,19.530001,19.789996,262700,8.818497
2009-09-01,19.810001,19.950007,19.419995,19.599997,157100,8.733833
2009-09-02,19.599997,19.900001,19.599997,19.879998,243600,8.858603
2009-09-03,20.060001,20.060001,19.800004,19.930002,189200,8.880885
2009-09-04,19.950007,19.990003,19.759996,19.930002,46700,8.880885
2009-09-08,19.950007,19.979995,19.620002,19.710003,165100,8.782852
2009-09-09,19.650003,19.969998,19.620002,19.670006,207100,8.765029
2009-09-10,19.659998,19.840001,19.620002,19.659998,351400,8.76057
2009-09-11,19.550005,19.740004,19.419995,19.650003,377700,8.756116
2009-09-14,19.699995,19.770004,19.520004,19.740004,288800,8.79622
2009-09-15,19.650003,19.780001,19.569997,19.610006,271800,8.738293
2009-09-16,19.569997,20.0,19.569997,19.849997,536600,8.845234
2009-09-17,19.75,19.930002,19.699995,19.900001,606500,8.867516
2009-09-18,19.75,19.939999,19.610006,19.939999,936200,8.885339
2009-09-21,19.979995,19.979995,19.710003,19.879998,354200,8.858603
2009-09-22,19.819996,19.939999,19.640006,19.870002,628900,8.854148
2009-09-23,19.900001,19.930002,19.75,19.800004,368700,8.822957
2009-09-24,19.890007,19.900001,19.699995,19.759996,357100,8.805129
2009-09-25,19.780001,19.840001,19.560001,19.610006,475100,8.738293
2009-09-28,19.650003,19.800004,19.640006,19.680003,203200,8.769484
2009-09-29,19.699995,19.990003,19.509996,19.860005,1088200,8.849693
2009-09-30,19.849997,20.610004,19.759996,20.249999,6404800,9.023476
2009-10-01,20.099996,20.189999,19.860005,20.029999,750500,8.925443
2009-10-02,19.900001,20.069997,19.900001,20.009994,428900,8.916529
