Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,32.799999,33.0,32.290001,32.740002,687900,26.219221
2006-01-04,32.439999,32.549999,32.049999,32.299999,705900,25.866853
2006-01-05,32.139999,32.330002,31.950001,32.18,810400,25.770754
2006-01-06,32.130001,32.93,32.110001,32.889999,615800,26.339344
2006-01-09,32.889999,32.950001,32.529999,32.82,404800,26.283286
2006-01-10,34.099998,34.75,33.779999,34.310001,2457500,27.476526
2006-01-11,34.0,34.0,32.849998,33.0,1145700,26.427435
2006-01-12,32.830002,33.0,32.68,32.810001,705400,26.275279
2006-01-13,33.0,33.330002,32.630001,32.700001,433900,26.187187
2006-01-17,32.709999,32.759998,32.27,32.389999,638300,25.938928
2006-01-18,32.389999,32.689999,32.299999,32.599998,704100,26.107102
2006-01-19,32.599998,32.810001,32.029999,32.189999,751200,25.778761
2006-01-20,32.189999,32.189999,31.73,31.85,930400,25.50648
2006-01-23,31.75,34.09,31.450001,33.98,10804500,27.21225
2006-01-24,33.98,34.049999,33.02,33.09,2996800,26.49951
2006-01-25,33.049999,33.060001,32.389999,32.560001,2310000,26.075071
2006-01-26,32.59,32.900002,32.360001,32.450001,1786900,25.986979
2006-01-27,32.48,32.709999,32.240002,32.610001,1937500,26.115112
2006-01-30,32.580002,32.59,32.02,32.099998,1659900,25.706686
2006-01-31,32.099998,32.209999,31.73,31.93,1901800,25.570546
2006-02-01,31.85,31.91,31.459999,31.700001,1654500,25.386355
2006-02-02,31.65,31.66,31.049999,31.4,2566900,25.146105
2006-02-03,31.4,31.4,30.6,30.91,2782300,24.753698
2006-02-06,30.959999,31.610001,30.860001,31.41,1407600,25.154113
2006-02-07,31.4,31.700001,31.299999,31.620001,1608600,25.322289
2006-02-08,31.559999,31.76,31.190001,31.639999,1804200,25.338304
2006-02-09,31.52,31.549999,31.16,31.299999,1071500,25.066022
2006-02-10,31.35,31.459999,30.98,31.200001,1020500,24.98594
2006-02-13,31.120001,31.24,31.040001,31.129999,923300,24.92988
2006-02-14,31.190001,31.59,31.049999,31.440001,1080900,25.178139
2006-02-15,31.379999,31.91,31.299999,31.82,1089700,25.482454
2006-02-16,31.799999,32.029999,31.540001,32.02,1194000,25.642621
2006-02-17,32.02,32.549999,32.0,32.310001,1478200,25.874863
2006-02-21,32.27,32.700001,32.150002,32.540001,1936900,26.059054
2006-02-22,32.549999,32.639999,32.330002,32.459999,1785000,25.994986
2006-02-23,32.360001,32.380001,31.809999,32.189999,2490600,25.778761
2006-02-24,32.16,32.369999,32.02,32.02,2320800,25.642621
2006-02-27,31.92,32.060001,31.5,31.83,892500,25.620887
2006-02-28,31.629999,31.799999,31.200001,31.6,2149700,25.435754
2006-03-01,31.6,31.700001,31.16,31.4,2220200,25.274767
2006-03-02,31.24,31.4,31.02,31.34,1422100,25.226472
2006-03-03,31.190001,31.299999,31.01,31.17,1250700,25.089634
2006-03-06,31.120001,31.370001,31.02,31.27,1472400,25.170127
2006-03-07,31.299999,31.809999,31.26,31.57,863900,25.411605
2006-03-08,32.200001,32.279999,31.98,32.0,1968400,25.757725
2006-03-09,31.940001,32.09,31.6,31.620001,938600,25.451852
2006-03-10,31.610001,32.040001,31.469999,31.98,613300,25.741626
2006-03-13,32.0,32.099998,31.709999,31.950001,1272500,25.717479
2006-03-14,31.860001,32.009998,31.66,31.83,1760600,25.620887
2006-03-15,31.860001,32.07,31.65,31.98,2278900,25.741626
2006-03-16,31.98,32.080002,31.76,31.950001,1735200,25.717479
2006-03-17,32.0,32.189999,31.92,32.07,2414700,25.81407
2006-03-20,32.02,32.099998,31.9,32.02,1046900,25.773824
2006-03-21,32.040001,32.139999,31.99,32.040001,1199600,25.789923
2006-03-22,32.0,32.0,31.77,31.950001,1144100,25.717479
2006-03-23,31.940001,31.950001,31.629999,31.709999,946800,25.524295
2006-03-24,31.66,31.719999,31.25,31.6,1008900,25.435754
2006-03-27,31.51,31.639999,31.32,31.41,623000,25.282817
2006-03-28,31.43,31.450001,31.07,31.110001,700600,25.041339
2006-03-29,31.25,31.309999,31.049999,31.190001,860200,25.105733
2006-03-30,31.1,31.15,30.76,30.83,1642800,24.815958
2006-03-31,30.889999,31.049999,30.77,30.82,1114000,24.807908
2006-04-03,30.75,30.83,30.52,30.639999,1008000,24.663021
2006-04-04,30.700001,30.73,30.27,30.42,1681800,24.485937
2006-04-05,30.49,30.639999,30.290001,30.559999,2496400,24.598627
2006-04-06,30.57,30.629999,30.200001,30.24,1140700,24.34105
2006-04-07,30.24,30.299999,29.799999,29.83,893900,24.011029
2006-04-10,29.92,30.0,29.83,29.91,886200,24.075423
2006-04-11,29.91,29.93,29.469999,29.51,937300,23.753452
