Date,Open,High,Low,Close,Volume,Adj Close
2010-12-16,11.0,11.16,10.61,11.1,39961900,11.1
2010-12-17,11.01,11.1,11.0,11.05,4562800,11.05
2010-12-20,11.0,11.55,11.0,11.43,3849200,11.43
2010-12-21,11.5,12.47,11.5,12.11,6400100,12.11
2010-12-22,12.02,13.0,11.99,12.61,5173700,12.61
2010-12-23,12.61,12.85,12.33,12.45,2081000,12.45
2010-12-27,12.29,12.75,11.5,12.39,1565900,12.39
2010-12-28,12.28,12.45,11.97,12.15,704300,12.15
2010-12-29,12.06,12.45,12.0,12.17,699300,12.17
2010-12-30,12.06,12.48,12.04,12.4,594000,12.4
2010-12-31,12.28,12.51,12.11,12.51,290900,12.51
