Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,27.280001,27.610001,26.93,27.42,681800,20.418919
2006-01-04,27.440001,27.940001,27.389999,27.940001,952400,20.806149
2006-01-05,27.940001,28.200001,27.879999,28.110001,1464700,20.932744
2006-01-06,28.360001,28.41,27.969999,28.059999,605500,20.895509
2006-01-09,28.030001,28.07,27.84,27.9,488300,20.776362
2006-01-10,27.790001,28.030001,27.629999,27.98,517700,20.835936
2006-01-11,27.98,27.99,27.690001,27.690001,276500,20.619981
2006-01-12,27.639999,27.75,27.129999,27.25,722400,20.292325
2006-01-13,27.17,27.719999,27.17,27.52,564000,20.493387
2006-01-17,27.52,27.52,27.200001,27.25,367000,20.292325
2006-01-18,27.25,27.25,25.57,26.0,2293400,19.361484
2006-01-19,26.15,26.27,25.35,25.52,2101700,19.004042
2006-01-20,25.52,25.549999,24.67,24.799999,2123700,18.467877
2006-01-23,24.9,25.33,24.9,25.110001,1160700,18.698726
2006-01-24,25.219999,25.35,25.15,25.200001,642600,18.765747
2006-01-25,25.129999,25.26,24.860001,25.0,923200,18.788293
2006-01-26,25.08,25.25,24.93,24.99,1117200,18.780778
2006-01-27,24.889999,25.25,24.889999,25.17,489100,18.916053
2006-01-30,25.129999,25.209999,24.950001,25.02,910400,18.803324
2006-01-31,24.52,25.08,24.52,24.99,479600,18.780778
2006-02-01,24.92,25.17,24.870001,25.049999,442300,18.825869
2006-02-02,25.01,25.02,24.450001,24.49,752300,18.405012
2006-02-03,24.49,24.66,24.23,24.48,573800,18.397496
2006-02-06,24.42,24.889999,24.360001,24.790001,1012800,18.630472
2006-02-07,24.780001,24.92,24.639999,24.67,458900,18.540288
2006-02-08,24.68,25.120001,24.620001,24.99,511000,18.780778
2006-02-09,25.0,25.209999,24.9,25.1,498000,18.863446
2006-02-10,25.4,25.49,25.110001,25.280001,1341300,18.998722
2006-02-13,25.280001,25.49,25.25,25.33,479300,19.036298
2006-02-14,25.35,25.84,25.309999,25.58,685200,19.224181
2006-02-15,25.6,25.84,25.440001,25.629999,688700,19.261757
2006-02-16,25.75,25.85,25.610001,25.85,453400,19.427095
2006-02-17,25.870001,25.870001,25.559999,25.57,327400,19.216666
2006-02-21,25.68,25.77,25.52,25.540001,425500,19.194121
2006-02-22,25.540001,26.040001,25.540001,26.0,620400,19.539825
2006-02-23,25.85,25.91,25.66,25.66,317300,19.284304
2006-02-24,25.66,25.700001,25.5,25.629999,556700,19.261757
2006-02-27,25.700001,25.76,25.6,25.65,521400,19.276788
2006-02-28,25.65,25.67,25.33,25.360001,531300,19.058845
2006-03-01,25.450001,25.780001,25.41,25.73,576200,19.336911
2006-03-02,25.68,25.73,25.450001,25.6,515900,19.239212
2006-03-03,25.440001,25.59,25.15,25.219999,697900,18.953629
2006-03-06,25.24,25.24,24.77,24.93,963500,18.735686
2006-03-07,24.940001,25.040001,24.700001,24.790001,731400,18.630472
2006-03-08,24.860001,25.26,24.860001,25.209999,1223800,18.946114
2006-03-09,25.200001,25.25,25.01,25.049999,611800,18.825869
2006-03-10,25.059999,25.379999,25.01,25.290001,509600,19.006238
2006-03-13,25.459999,25.92,25.459999,25.66,1095100,19.284304
2006-03-14,25.67,26.18,25.540001,26.139999,766600,19.645039
2006-03-15,26.09,26.17,25.799999,26.09,1440500,19.607463
2006-03-16,26.200001,26.280001,25.98,26.24,830100,19.720192
2006-03-17,26.24,26.299999,25.9,26.1,899200,19.614978
2006-03-20,26.08,26.219999,26.049999,26.18,501400,19.675101
2006-03-21,26.200001,26.33,26.07,26.07,894700,19.592432
2006-03-22,26.15,26.99,26.15,26.68,607300,20.050867
2006-03-23,26.530001,26.540001,26.08,26.110001,933300,19.622494
2006-03-24,26.049999,26.15,25.92,26.049999,551900,19.577401
2006-03-27,26.049999,26.35,25.83,26.07,409700,19.592432
2006-03-28,26.08,26.219999,25.92,25.99,352700,19.532309
2006-03-29,25.98,26.0,25.559999,25.799999,489600,19.389518
2006-03-30,25.799999,25.92,25.610001,25.709999,344800,19.32188
2006-03-31,25.74,25.91,25.610001,25.75,941700,19.351942
2006-04-03,25.969999,26.07,25.76,25.83,832800,19.412064
2006-04-04,25.790001,25.950001,25.77,25.82,618100,19.404549
2006-04-05,26.0,26.219999,25.889999,25.99,933600,19.532309
